#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1691955,26641341,AVV10_gp002,AVV10_gp002,OSIRIS_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
1691955,26641352,AVV10_gp013,AVV10_gp013,OSIRIS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641353,AVV10_gp014,AVV10_gp014,OSIRIS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641354,AVV10_gp015,AVV10_gp015,OSIRIS_15,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20200629,-
1691955,26641355,AVV10_gp016,AVV10_gp016,OSIRIS_16,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201221,-
1691955,26641356,AVV10_gp017,AVV10_gp017,OSIRIS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641357,AVV10_gp018,AVV10_gp018,OSIRIS_18,-,-,-,putative DNA binding/transcriptional regulator,protein-coding,-,-,-,putative DNA binding/transcriptional regulator,20200629,-
1691955,26641358,AVV10_gp019,AVV10_gp019,OSIRIS_19,-,-,-,putative DNA binding/transcriptional regulator,protein-coding,-,-,-,putative DNA binding/transcriptional regulator,20200629,-
1691955,26641359,AVV10_gp020,AVV10_gp020,OSIRIS_20,-,-,-,putative DNA binding/transcriptional regulator,protein-coding,-,-,-,putative DNA binding/transcriptional regulator,20200629,-
1691955,26641360,AVV10_gp021,AVV10_gp021,OSIRIS_21,-,-,-,putative prophage antirepressor,protein-coding,-,-,-,putative prophage antirepressor,20200629,-
1691955,26641361,AVV10_gp022,AVV10_gp022,OSIRIS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641362,AVV10_gp023,AVV10_gp023,OSIRIS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641363,AVV10_gp024,AVV10_gp024,OSIRIS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641364,AVV10_gp025,AVV10_gp025,OSIRIS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641365,AVV10_gp026,AVV10_gp026,OSIRIS_26,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20200629,-
1691955,26641366,AVV10_gp027,AVV10_gp027,OSIRIS_27,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201221,-
1691955,26641367,AVV10_gp028,AVV10_gp028,OSIRIS_28,-,-,-,putative late control D protein,protein-coding,-,-,-,putative late control D protein,20200629,-
1691955,26641368,AVV10_gp029,AVV10_gp029,OSIRIS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641369,AVV10_gp030,AVV10_gp030,OSIRIS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641370,AVV10_gp031,AVV10_gp031,OSIRIS_31,-,-,-,putative baseplate J family protein,protein-coding,-,-,-,putative baseplate J family protein,20200629,-
1691955,26641371,AVV10_gp032,AVV10_gp032,OSIRIS_32,-,-,-,putative phage-like element PBSX,protein-coding,-,-,-,putative phage-like element PBSX,20200629,-
1691955,26641372,AVV10_gp033,AVV10_gp033,OSIRIS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641373,AVV10_gp034,AVV10_gp034,OSIRIS_34,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1691955,26641374,AVV10_gp035,AVV10_gp035,OSIRIS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641375,AVV10_gp036,AVV10_gp036,OSIRIS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641376,AVV10_gp037,AVV10_gp037,OSIRIS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641377,AVV10_gp038,AVV10_gp038,OSIRIS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641378,AVV10_gp039,AVV10_gp039,OSIRIS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641379,AVV10_gp040,AVV10_gp040,OSIRIS_40,-,-,-,putative mannosyl-glycoprotein endo-beta-N-acetylglucosamidase,protein-coding,-,-,-,putative mannosyl-glycoprotein endo-beta-N-acetylglucosamidase,20200629,-
1691955,26641380,AVV10_gp041,AVV10_gp041,OSIRIS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641381,AVV10_gp042,AVV10_gp042,OSIRIS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641382,AVV10_gp043,AVV10_gp043,OSIRIS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641383,AVV10_gp044,AVV10_gp044,OSIRIS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641384,AVV10_gp045,AVV10_gp045,OSIRIS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641385,AVV10_gp046,AVV10_gp046,OSIRIS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641386,AVV10_gp047,AVV10_gp047,OSIRIS_47,-,-,-,putative kelch repeat protein,protein-coding,-,-,-,putative kelch repeat protein,20200629,-
1691955,26641387,AVV10_gp048,AVV10_gp048,OSIRIS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641388,AVV10_gp049,AVV10_gp049,OSIRIS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641389,AVV10_gp050,AVV10_gp050,OSIRIS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641390,AVV10_gp051,AVV10_gp051,OSIRIS_51,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20200629,-
1691955,26641391,AVV10_gp052,AVV10_gp052,OSIRIS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641392,AVV10_gp053,AVV10_gp053,OSIRIS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641393,AVV10_gp054,AVV10_gp054,OSIRIS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641394,AVV10_gp055,AVV10_gp055,OSIRIS_55,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200629,-
1691955,26641395,AVV10_gp056,AVV10_gp056,OSIRIS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641396,AVV10_gp057,AVV10_gp057,OSIRIS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641397,AVV10_gp058,AVV10_gp058,OSIRIS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641398,AVV10_gp059,AVV10_gp059,OSIRIS_59,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200629,-
1691955,26641399,AVV10_gp060,AVV10_gp060,OSIRIS_60,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200629,-
1691955,26641400,AVV10_gp061,AVV10_gp061,OSIRIS_61,-,-,-,putative XRE family transcriptional regulator,protein-coding,-,-,-,putative XRE family transcriptional regulator,20200629,-
1691955,26641401,AVV10_gp062,AVV10_gp062,OSIRIS_62,-,-,-,putative Arc-like DNA binding domain,protein-coding,-,-,-,putative Arc-like DNA binding domain,20200629,-
1691955,26641402,AVV10_gp063,AVV10_gp063,OSIRIS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641403,AVV10_gp064,AVV10_gp064,OSIRIS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641404,AVV10_gp065,AVV10_gp065,OSIRIS_65,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200629,-
1691955,26641405,AVV10_gp066,AVV10_gp066,OSIRIS_66,-,-,-,putative excisionase,protein-coding,-,-,-,putative excisionase,20200629,-
1691955,26641406,AVV10_gp067,AVV10_gp067,OSIRIS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641407,AVV10_gp068,AVV10_gp068,OSIRIS_68,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1691955,26641408,AVV10_gp069,AVV10_gp069,OSIRIS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641409,AVV10_gp070,AVV10_gp070,OSIRIS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641410,AVV10_gp071,AVV10_gp071,OSIRIS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641411,AVV10_gp072,AVV10_gp072,OSIRIS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641412,AVV10_gp073,AVV10_gp073,OSIRIS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641413,AVV10_gp074,AVV10_gp074,OSIRIS_74,-,-,-,putative ERF family protein,protein-coding,-,-,-,putative ERF family protein,20200629,-
1691955,26641414,AVV10_gp075,AVV10_gp075,OSIRIS_75,-,-,-,putative single-stranded DNA binding protein,protein-coding,-,-,-,putative single-stranded DNA binding protein,20200629,-
1691955,26641415,AVV10_gp076,AVV10_gp076,OSIRIS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641416,AVV10_gp077,AVV10_gp077,OSIRIS_77,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200629,-
1691955,26641417,AVV10_gp078,AVV10_gp078,OSIRIS_78,-,-,-,putative DNA replication protein,protein-coding,-,-,-,putative DNA replication protein,20200629,-
1691955,26641418,AVV10_gp079,AVV10_gp079,OSIRIS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641419,AVV10_gp080,AVV10_gp080,OSIRIS_80,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20200629,-
1691955,26641420,AVV10_gp081,AVV10_gp081,OSIRIS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641421,AVV10_gp082,AVV10_gp082,OSIRIS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641422,AVV10_gp083,AVV10_gp083,OSIRIS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641423,AVV10_gp084,AVV10_gp084,OSIRIS_84,-,-,-,putative recombinase RecU,protein-coding,-,-,-,putative recombinase RecU,20200629,-
1691955,26641424,AVV10_gp085,AVV10_gp085,OSIRIS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641425,AVV10_gp086,AVV10_gp086,OSIRIS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641426,AVV10_gp087,AVV10_gp087,OSIRIS_87,-,-,-,putative dUTPase,protein-coding,-,-,-,putative dUTPase,20200629,-
1691955,26641427,AVV10_gp088,AVV10_gp088,OSIRIS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641428,AVV10_gp089,AVV10_gp089,OSIRIS_89,-,-,-,putative site-specific DNA methylase,protein-coding,-,-,-,putative site-specific DNA methylase,20200629,-
1691955,26641429,AVV10_gp090,AVV10_gp090,OSIRIS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641430,AVV10_gp091,AVV10_gp091,OSIRIS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641431,AVV10_gp092,AVV10_gp092,OSIRIS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641432,AVV10_gp093,AVV10_gp093,OSIRIS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641433,AVV10_gp094,AVV10_gp094,OSIRIS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641434,AVV10_gp095,AVV10_gp095,OSIRIS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641435,AVV10_gp096,AVV10_gp096,OSIRIS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641436,AVV10_gp097,AVV10_gp097,OSIRIS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641437,AVV10_gp098,AVV10_gp098,OSIRIS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641438,AVV10_gp099,AVV10_gp099,OSIRIS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641439,AVV10_gp100,AVV10_gp100,OSIRIS_100,-,-,-,putative RNA polymerase sigma 24,protein-coding,-,-,-,putative RNA polymerase sigma 24,20200629,-
1691955,26641440,AVV10_gp101,AVV10_gp101,OSIRIS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641441,AVV10_gp102,AVV10_gp102,OSIRIS_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641442,AVV10_gp103,AVV10_gp103,OSIRIS_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641443,AVV10_gp001,AVV10_gp001,OSIRIS_1,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200629,-
1691955,26680911,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
