#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
383872,40512546,nad5,FKU50_mgp041,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20200801,-
383872,40512593,orf316,FKU50_mgp047,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512594,orf148,FKU50_mgp046,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512595,orf165,FKU50_mgp045,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512596,orf190,FKU50_mgp044,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512597,orf126_2,FKU50_mgp043,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512598,rnpB,FKU50_mgs001,-,-,MT,-,ncRNA,ncRNA,-,-,-,-,20200909,-
383872,40512599,nad4L,FKU50_mgp042,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20200801,-
383872,40512600,orf310,FKU50_mgp039,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512601,orf412,FKU50_mgp038,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512602,orf364,FKU50_mgp037,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512603,orf202,FKU50_mgp036,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512604,orf301,FKU50_mgp035,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
383872,40512605,orf346,FKU50_mgp034,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512606,orf156,FKU50_mgp033,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512607,nad6,FKU50_mgp032,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20200801,-
383872,40512608,orf113,FKU50_mgp040,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512609,cox2,FKU50_mgp031,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20200801,-
383872,40512610,orf350,FKU50_mgp029,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512611,orf273,FKU50_mgp028,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512612,orf170,FKU50_mgp027,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512613,orf242,FKU50_mgp030,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512614,nad4,FKU50_mgp026,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20200801,-
383872,40512615,trnY(gta),FKU50_mgt003,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512616,orf111,FKU50_mgp025,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512617,trnM(cat),FKU50_mgt004,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512618,trnH(gtg),FKU50_mgt005,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512619,ATP9,FKU50_mgp024,-,-,MT,-,ATP synthase subunit 9,protein-coding,-,-,-,ATP synthase subunit 9,20200801,-
383872,40512620,rns,FKU50_mgr002,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
383872,40512621,orf324,FKU50_mgp022,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512622,trnK(ttt),FKU50_mgt006,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512623,trnG(tcc),FKU50_mgt007,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512624,trnD(gtc),FKU50_mgt008,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512625,trnS(gct),FKU50_mgt009,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512626,trnW(tca),FKU50_mgt010,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512627,trnI(gat),FKU50_mgt011,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512628,trnS(tga),FKU50_mgt012,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512629,trnP(tgg),FKU50_mgt013,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512630,rnl,FKU50_mgr001,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
383872,40512631,orf402,FKU50_mgp020,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512632,orf401,FKU50_mgp019,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512633,orf294,FKU50_mgp018,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512634,trnT(tgt),FKU50_mgt014,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512635,trnE(ttc),FKU50_mgt015,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512636,trnL(taa),FKU50_mgt016,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512637,trnA(tgc),FKU50_mgt017,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512638,trnF(gaa),FKU50_mgt018,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512639,trnL(tag),FKU50_mgt019,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512640,trnQ(ttg),FKU50_mgt020,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512641,trnR(tct),FKU50_mgt021,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512642,nad1,FKU50_mgp017,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20200801,-
383872,40512643,orf99,FKU50_mgp016,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512644,trnV(tac),FKU50_mgt022,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512645,trnN(gtt),FKU50_mgt023,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512646,trnC(gca),FKU50_mgt024,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
