#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
711470,22110945,2,REDROCK_2,-,-,-,-,VIP2,protein-coding,-,-,-,VIP2,20200909,-
711470,22110989,46,REDROCK_46,-,-,-,-,Pol1,protein-coding,-,-,-,Pol1,20200909,-
711470,22110990,47,REDROCK_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110991,48,REDROCK_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110992,49,REDROCK_49,-,-,-,-,"HTH, DNA binding",protein-coding,-,-,-,"HTH, DNA binding",20200909,-
711470,22110993,50,REDROCK_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110994,51,REDROCK_51,-,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20200909,-
711470,22110995,52,REDROCK_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110996,53,REDROCK_53,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200909,-
711470,22110997,54,REDROCK_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110998,55,REDROCK_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22110999,56,REDROCK_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111000,57,REDROCK_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111001,58,REDROCK_58,-,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20200909,-
711470,22111002,59,REDROCK_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111003,60,REDROCK_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111004,61,REDROCK_61,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200909,-
711470,22111005,62,REDROCK_62,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200909,-
711470,22111006,63,REDROCK_63,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20200909,-
711470,22111007,64,REDROCK_64,-,-,-,-,non-heme haloperoxidase,protein-coding,-,-,-,non-heme haloperoxidase,20200909,-
711470,22111008,65,REDROCK_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111009,66,REDROCK_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111010,67,REDROCK_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111011,68,REDROCK_68,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20200909,-
711470,22111012,69,REDROCK_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111013,70,REDROCK_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111014,71,REDROCK_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111015,72,REDROCK_72,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200909,-
711470,22111016,73,REDROCK_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111017,74,REDROCK_74,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20200909,-
711470,22111018,75,REDROCK_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111019,76,REDROCK_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111020,77,REDROCK_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111021,78,REDROCK_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111022,79,REDROCK_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111023,80,REDROCK_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111024,81,REDROCK_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111025,82,REDROCK_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111026,83,REDROCK_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111027,84,REDROCK_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111028,85,REDROCK_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111029,86,REDROCK_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111030,87,REDROCK_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111031,88,REDROCK_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111032,89,REDROCK_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111033,90,REDROCK_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111034,91,REDROCK_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111035,92,REDROCK_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111036,93,REDROCK_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111037,94,REDROCK_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111038,95,REDROCK_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111039,96,REDROCK_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22111040,1,REDROCK_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
711470,22203778,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage RedRock).,other,-,-,-,-,20200513,-
