#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1351735,40079773,FDH83_gp02,FDH83_gp02,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1351735,40079813,FDH83_gp42,FDH83_gp42,-,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20201221,-
1351735,40079814,FDH83_gp43,FDH83_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079815,FDH83_gp44,FDH83_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079816,FDH83_gp45,FDH83_gp45,-,-,-,-,ATP-dependent metalloprotease,protein-coding,-,-,-,ATP-dependent metalloprotease,20201221,-
1351735,40079817,FDH83_gp46,FDH83_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079818,FDH83_gp47,FDH83_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079819,FDH83_gp48,FDH83_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079820,FDH83_gp49,FDH83_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079821,FDH83_gp50,FDH83_gp50,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1351735,40079822,FDH83_gp51,FDH83_gp51,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1351735,40079823,FDH83_gp52,FDH83_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079824,FDH83_gp53,FDH83_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079825,FDH83_gp54,FDH83_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079826,FDH83_gp55,FDH83_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079827,FDH83_gp56,FDH83_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079828,FDH83_gp57,FDH83_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079829,FDH83_gp58,FDH83_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079830,FDH83_gp59,FDH83_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079831,FDH83_gp60,FDH83_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079832,FDH83_gp61,FDH83_gp61,-,-,-,-,LPS glycosyltransferase,protein-coding,-,-,-,LPS glycosyltransferase,20201221,-
1351735,40079833,FDH83_gp62,FDH83_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079834,FDH83_gp63,FDH83_gp63,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201221,-
1351735,40079835,FDH83_gp64,FDH83_gp64,-,-,-,-,crossover junction endodeoxyribonuclease RuvC,protein-coding,-,-,-,crossover junction endodeoxyribonuclease RuvC,20201221,-
1351735,40079836,FDH83_gp65,FDH83_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079837,FDH83_gp66,FDH83_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079838,FDH83_gp67,FDH83_gp67,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1351735,40079839,FDH83_gp68,FDH83_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079840,FDH83_gp69,FDH83_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079841,FDH83_gp70,FDH83_gp70,-,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20201221,-
1351735,40079842,FDH83_gp71,FDH83_gp71,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20210313,-
1351735,40079843,FDH83_gp72,FDH83_gp72,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1351735,40079844,FDH83_gp73,FDH83_gp73,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1351735,40079845,FDH83_gp74,FDH83_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079846,FDH83_gp75,FDH83_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079847,FDH83_gp76,FDH83_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079848,FDH83_gp77,FDH83_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079849,FDH83_gp78,FDH83_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079850,FDH83_gp79,FDH83_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079851,FDH83_gp80,FDH83_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079852,FDH83_gp81,FDH83_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079853,FDH83_gp82,FDH83_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079854,FDH83_gp83,FDH83_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1351735,40079855,FDH83_gp84,FDH83_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079856,FDH83_gp85,FDH83_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079857,FDH83_gp86,FDH83_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079858,FDH83_gp87,FDH83_gp87,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
1351735,40079859,FDH83_gp88,FDH83_gp88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079860,FDH83_gp89,FDH83_gp89,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20201221,-
1351735,40079861,FDH83_gp90,FDH83_gp90,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1351735,40079862,FDH83_gp91,FDH83_gp91,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1351735,40079863,FDH83_gp92,FDH83_gp92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079864,FDH83_gp93,FDH83_gp93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079865,FDH83_gp94,FDH83_gp94,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1351735,40079866,FDH83_gp95,FDH83_gp95,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1351735,40079867,FDH83_gp96,FDH83_gp96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079868,FDH83_gp97,FDH83_gp97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079869,FDH83_gp98,FDH83_gp98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079870,FDH83_gp01,FDH83_gp01,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1351735,40120154,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterococcus faecalis phage IME-EF1; Enterococcus phage IME-EF1).,other,-,-,-,-,20200513,-
