#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
913183,18559143,ORF30,CJ97_gp30,-,-,-,-,DNA polymerase-like protein,protein-coding,-,-,-,DNA polymerase-like protein,20201220,-
913183,18559160,ORF25,CJ97_gp25,-,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20201220,-
913183,18559161,ORF26,CJ97_gp26,-,-,-,-,endonuclease-like protein,protein-coding,-,-,-,endonuclease-like protein,20201220,-
913183,18559162,ORF27,CJ97_gp27,-,-,-,-,lysozyme-like protein,protein-coding,-,-,-,lysozyme-like protein,20201220,-
913183,18559163,ORF28,CJ97_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559164,ORE29,CJ97_gp29,-,-,-,-,DNA primase/helicase-like protein,protein-coding,-,-,-,DNA primase/helicase-like protein,20201220,-
913183,18559165,ORF4,CJ97_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559166,ORF31,CJ97_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559167,ORF32,CJ97_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559168,ORF33,CJ97_gp33,-,-,-,-,exonuclease-like protein,protein-coding,-,-,-,exonuclease-like protein,20201220,-
913183,18559169,ORF34,CJ97_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559170,ORF35,CJ97_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559171,ORF36,CJ97_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559172,ORF37,CJ97_gp37,-,-,-,-,putative head to tail joining protein,protein-coding,-,-,-,putative head to tail joining protein,20201220,-
913183,18559173,ORF38,CJ97_gp38,-,-,-,-,putative capsid assembly protein,protein-coding,-,-,-,putative capsid assembly protein,20201220,-
913183,18559174,ORF39,CJ97_gp39,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201220,-
913183,18559175,ORF40,CJ97_gp40,-,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20201220,-
913183,18559176,ORF5,CJ97_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559177,ORF41,CJ97_gp41,-,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201220,-
913183,18559178,ORF42,CJ97_gp42,-,-,-,-,putative internal virion protein A,protein-coding,-,-,-,putative internal virion protein A,20201220,-
913183,18559179,ORF43,CJ97_gp43,-,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20201220,-
913183,18559180,ORF44,CJ97_gp44,-,-,-,-,putative internal virion protein C,protein-coding,-,-,-,putative internal virion protein C,20201220,-
913183,18559181,ORF45,CJ97_gp45,-,-,-,-,putative internal virion protein D,protein-coding,-,-,-,putative internal virion protein D,20201220,-
913183,18559182,ORF46,CJ97_gp46,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
913183,18559183,ORF47,CJ97_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559184,ORF48,CJ97_gp48,-,-,-,-,putative lysis protein,protein-coding,-,-,-,putative lysis protein,20201220,-
913183,18559185,ORF49,CJ97_gp49,-,-,-,-,putative packaging maturation protein A,protein-coding,-,-,-,putative packaging maturation protein A,20201220,-
913183,18559186,ORF50,CJ97_gp50,-,-,-,-,putative packaging maturation protein B,protein-coding,-,-,-,putative packaging maturation protein B,20201220,-
913183,18559187,ORF6,CJ97_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559188,ORF51,CJ97_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559189,ORF52,CJ97_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559190,ORF7,CJ97_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559191,ORF8,CJ97_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559192,ORF9,CJ97_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559193,ORF10,CJ97_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559194,ORF1,CJ97_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18669515,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200516,-
