#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696397,55626291,HWD01_gp02,HWD01_gp02,flopper_2,-,-,-,putative antirestriction protein,protein-coding,-,-,-,putative antirestriction protein,20201222,-
2696397,55626314,HWD01_gp25,HWD01_gp25,flopper_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626315,HWD01_gp26,HWD01_gp26,flopper_26,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20210129,-
2696397,55626316,HWD01_gp27,HWD01_gp27,flopper_27,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210313,-
2696397,55626317,HWD01_gp28,HWD01_gp28,flopper_28,-,-,-,holin,protein-coding,-,-,-,holin,20210313,-
2696397,55626318,HWD01_gp29,HWD01_gp29,flopper_29,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210313,-
2696397,55626319,HWD01_gp30,HWD01_gp30,flopper_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696397,55626320,HWD01_gp31,HWD01_gp31,flopper_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626321,HWD01_gp32,HWD01_gp32,flopper_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696397,55626322,HWD01_gp33,HWD01_gp33,flopper_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696397,55626323,HWD01_gp34,HWD01_gp34,flopper_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626324,HWD01_gp35,HWD01_gp35,flopper_35,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210313,-
2696397,55626325,HWD01_gp36,HWD01_gp36,flopper_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626326,HWD01_gp37,HWD01_gp37,flopper_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626327,HWD01_gp38,HWD01_gp38,flopper_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626328,HWD01_gp39,HWD01_gp39,flopper_39,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20210313,-
2696397,55626329,HWD01_gp40,HWD01_gp40,flopper_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626330,HWD01_gp41,HWD01_gp41,flopper_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626331,HWD01_gp42,HWD01_gp42,flopper_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696397,55626332,HWD01_gp43,HWD01_gp43,flopper_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626333,HWD01_gp44,HWD01_gp44,flopper_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626334,HWD01_gp45,HWD01_gp45,flopper_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2696397,55626335,HWD01_gp46,HWD01_gp46,flopper_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626336,HWD01_gp47,HWD01_gp47,flopper_47,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210313,-
2696397,55626337,HWD01_gp48,HWD01_gp48,flopper_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626338,HWD01_gp49,HWD01_gp49,flopper_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626339,HWD01_gp50,HWD01_gp50,flopper_50,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20210129,-
2696397,55626340,HWD01_gp51,HWD01_gp51,flopper_51,-,-,-,hi1409 family protein,protein-coding,-,-,-,hi1409 family protein,20210313,-
2696397,55626341,HWD01_gp52,HWD01_gp52,flopper_52,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2696397,55626342,HWD01_gp53,HWD01_gp53,flopper_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626343,HWD01_gp54,HWD01_gp54,flopper_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626344,HWD01_gp55,HWD01_gp55,flopper_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626345,HWD01_gp56,HWD01_gp56,flopper_56,-,-,-,deoxyuridine 5'-triphosphate nucleotide hydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotide hydrolase,20210313,-
2696397,55626346,HWD01_gp57,HWD01_gp57,flopper_57,-,-,-,putative ATP-binding protein,protein-coding,-,-,-,putative ATP-binding protein,20201222,-
2696397,55626347,HWD01_gp58,HWD01_gp58,flopper_58,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210313,-
2696397,55626348,HWD01_gp59,HWD01_gp59,flopper_59,-,-,-,HNH domain containing protein,protein-coding,-,-,-,HNH domain containing protein,20201222,-
2696397,55626349,HWD01_gp60,HWD01_gp60,flopper_60,-,-,-,5'-3' exonuclease,protein-coding,-,-,-,5'-3' exonuclease,20210313,-
2696397,55626350,HWD01_gp61,HWD01_gp61,flopper_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626351,HWD01_gp62,HWD01_gp62,flopper_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626352,HWD01_gp63,HWD01_gp63,flopper_63,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210313,-
2696397,55626353,HWD01_gp64,HWD01_gp64,flopper_64,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2696397,55626354,HWD01_gp65,HWD01_gp65,flopper_65,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210313,-
2696397,55626355,HWD01_gp66,HWD01_gp66,flopper_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626356,HWD01_gp67,HWD01_gp67,flopper_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626357,HWD01_gp68,HWD01_gp68,flopper_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626358,HWD01_gp69,HWD01_gp69,flopper_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626359,HWD01_gp70,HWD01_gp70,flopper_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626360,HWD01_gp71,HWD01_gp71,flopper_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626361,HWD01_gp72,HWD01_gp72,flopper_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626362,HWD01_gp01,HWD01_gp01,flopper_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55636119,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
