#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147152,14181964,F853_gp02,F853_gp02,mEp460_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1147152,14181978,F853_gp16,F853_gp16,mEp460_016,-,-,-,tail fiber component,protein-coding,-,-,-,tail fiber component,20200629,-
1147152,14181979,F853_gp17,F853_gp17,mEp460_017,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200629,-
1147152,14181980,F853_gp18,F853_gp18,mEp460_018,-,-,-,host specificity protein,protein-coding,-,-,-,host specificity protein,20200629,-
1147152,14181981,F853_gp19,F853_gp19,mEp460_019,-,-,-,Lom protein,protein-coding,-,-,-,Lom protein,20210123,-
1147152,14181982,F853_gp20,F853_gp20,mEp460_020,-,-,-,side tail fiber protein,protein-coding,-,-,-,side tail fiber protein,20200629,-
1147152,14181983,F853_gp21,F853_gp21,mEp460_021,-,-,-,DinI-like protein,protein-coding,-,-,-,DinI-like protein,20210129,-
1147152,14181984,F853_gp22,F853_gp22,mEp460_022,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1147152,14181985,F853_gp23,F853_gp23,mEp460_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181986,F853_gp24,F853_gp24,mEp460_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181987,F853_gp25,F853_gp25,mEp460_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181988,F853_gp26,F853_gp26,mEp460_026,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210129,-
1147152,14181989,F853_gp27,F853_gp27,mEp460_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181990,F853_gp28,F853_gp28,mEp460_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181991,F853_gp29,F853_gp29,mEp460_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181992,F853_gp30,F853_gp30,mEp460_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181993,F853_gp31,F853_gp31,mEp460_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181994,F853_gp32,F853_gp32,mEp460_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181995,F853_gp33,F853_gp33,mEp460_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181996,F853_gp34,F853_gp34,mEp460_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1147152,14181997,F853_gp35,F853_gp35,mEp460_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181998,F853_gp36,F853_gp36,mEp460_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181999,F853_gp37,F853_gp37,mEp460_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182000,F853_gp38,F853_gp38,mEp460_038,-,-,-,prophage repressor,protein-coding,-,-,-,prophage repressor,20200629,-
1147152,14182001,F853_gp39,F853_gp39,mEp460_039,-,-,-,putative antirepressor Cro,protein-coding,-,-,-,putative antirepressor Cro,20200629,-
1147152,14182002,F853_gp40,F853_gp40,mEp460_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182003,F853_gp41,F853_gp41,mEp460_041,-,-,-,regulatory protein Rha,protein-coding,-,-,-,regulatory protein Rha,20210417,-
1147152,14182004,F853_gp42,F853_gp42,mEp460_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182005,F853_gp43,F853_gp43,mEp460_043,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20210417,-
1147152,14182006,F853_gp44,F853_gp44,mEp460_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182007,F853_gp45,F853_gp45,mEp460_045,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20200629,-
1147152,14182008,F853_gp46,F853_gp46,mEp460_046,-,-,-,LexA DNA binding domain protein,protein-coding,-,-,-,LexA DNA binding domain protein,20200629,-
1147152,14182009,F853_gp47,F853_gp47,mEp460_047,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210129,-
1147152,14182010,F853_gp48,F853_gp48,mEp460_048,-,-,-,KilA-N domain protein,protein-coding,-,-,-,KilA-N domain protein,20200926,-
1147152,14182011,F853_gp49,F853_gp49,mEp460_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1147152,14182012,F853_gp50,F853_gp50,mEp460_050,-,-,-,late gene regulator,protein-coding,-,-,-,late gene regulator,20210123,-
1147152,14182013,F853_gp51,F853_gp51,mEp460_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182014,F853_gp52,F853_gp52,mEp460_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182015,F853_gp53,F853_gp53,mEp460_053,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
1147152,14182016,F853_gp54,F853_gp54,mEp460_054,-,-,-,porin,protein-coding,-,-,-,porin,20200629,-
1147152,14182017,F853_gp55,F853_gp55,mEp460_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182018,F853_gp56,F853_gp56,mEp460_056,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200629,-
1147152,14182019,F853_gp57,F853_gp57,mEp460_057,-,-,-,Rz lysis protein,protein-coding,-,-,-,Rz lysis protein,20210129,-
1147152,14182020,F853_gp58,F853_gp58,mEp460_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182021,F853_gp59,F853_gp59,mEp460_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14182022,F853_gp01,F853_gp01,mEp460_001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1147152,14250453,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
