#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027267,55808370,HYP49_gp02,HYP49_gp02,LP0209_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027267,55808400,HYP49_gp32,HYP49_gp32,LP0209_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808401,HYP49_gp33,HYP49_gp33,LP0209_33,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2027267,55808402,HYP49_gp34,HYP49_gp34,LP0209_34,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2027267,55808403,HYP49_gp35,HYP49_gp35,LP0209_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808404,HYP49_gp36,HYP49_gp36,LP0209_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808405,HYP49_gp37,HYP49_gp37,LP0209_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808406,HYP49_gp38,HYP49_gp38,LP0209_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808407,HYP49_gp39,HYP49_gp39,LP0209_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808408,HYP49_gp40,HYP49_gp40,LP0209_40,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210424,-
2027267,55808409,HYP49_gp41,HYP49_gp41,LP0209_41,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210424,-
2027267,55808410,HYP49_gp42,HYP49_gp42,LP0209_42,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2027267,55808411,HYP49_gp43,HYP49_gp43,LP0209_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808412,HYP49_gp44,HYP49_gp44,LP0209_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808413,HYP49_gp45,HYP49_gp45,LP0209_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808414,HYP49_gp46,HYP49_gp46,LP0209_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027267,55808415,HYP49_gp47,HYP49_gp47,LP0209_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808416,HYP49_gp48,HYP49_gp48,LP0209_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808417,HYP49_gp49,HYP49_gp49,LP0209_49,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2027267,55808418,HYP49_gp50,HYP49_gp50,LP0209_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808419,HYP49_gp51,HYP49_gp51,LP0209_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808420,HYP49_gp52,HYP49_gp52,LP0209_52,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210424,-
2027267,55808421,HYP49_gp53,HYP49_gp53,LP0209_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808422,HYP49_gp01,HYP49_gp01,LP0209_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201010,-
2027267,55863455,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
