#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
889956,15010271,CPMG_00002,CPMG_00002,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
889956,15010318,CPMG_00049,CPMG_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010319,CPMG_00050,CPMG_00050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010320,CPMG_00051,CPMG_00051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010321,CPMG_00052,CPMG_00052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010322,CPMG_00053,CPMG_00053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010323,CPMG_00054,CPMG_00054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010324,CPMG_00055,CPMG_00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010325,CPMG_00056,CPMG_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010326,CPMG_00057,CPMG_00057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010327,CPMG_00058,CPMG_00058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010328,CPMG_00059,CPMG_00059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010329,CPMG_00060,CPMG_00060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010330,CPMG_00061,CPMG_00061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010331,CPMG_00062,CPMG_00062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010332,CPMG_00063,CPMG_00063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010333,CPMG_00064,CPMG_00064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010334,CPMG_00065,CPMG_00065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010335,CPMG_00066,CPMG_00066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010336,CPMG_00067,CPMG_00067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010337,CPMG_00068,CPMG_00068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010338,CPMG_00069,CPMG_00069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010339,CPMG_00070,CPMG_00070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010340,CPMG_00071,CPMG_00071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010341,CPMG_00072,CPMG_00072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010342,CPMG_00073,CPMG_00073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010343,CPMG_00074,CPMG_00074,-,-,-,-,cytosine methyltransferase,protein-coding,-,-,-,cytosine methyltransferase,20201220,-
889956,15010344,CPMG_00075,CPMG_00075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010345,CPMG_00076,CPMG_00076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010346,CPMG_00077,CPMG_00077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010347,CPMG_00078,CPMG_00078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010348,CPMG_00079,CPMG_00079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010349,CPMG_00080,CPMG_00080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010350,CPMG_00081,CPMG_00081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010351,CPMG_00082,CPMG_00082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010352,CPMG_00083,CPMG_00083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010353,CPMG_00084,CPMG_00084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010354,CPMG_00085,CPMG_00085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010355,CPMG_00086,CPMG_00086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010356,CPMG_00087,CPMG_00087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010357,CPMG_00088,CPMG_00088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010358,CPMG_00089,CPMG_00089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010359,CPMG_00090,CPMG_00090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010360,CPMG_00091,CPMG_00091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010361,CPMG_00092,CPMG_00092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010362,CPMG_00093,CPMG_00093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010363,CPMG_00094,CPMG_00094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010364,CPMG_00095,CPMG_00095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010365,CPMG_00096,CPMG_00096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010366,CPMG_00097,CPMG_00097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010367,CPMG_00098,CPMG_00098,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201220,-
889956,15010368,CPMG_00099,CPMG_00099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010369,CPMG_00100,CPMG_00100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010370,CPMG_00101,CPMG_00101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010371,CPMG_00102,CPMG_00102,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20201220,-
889956,15010372,CPMG_00103,CPMG_00103,-,-,-,-,phycoerythrobilin synthase,protein-coding,-,-,-,phycoerythrobilin synthase,20201220,-
889956,15010373,CPMG_00104,CPMG_00104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010374,CPMG_00105,CPMG_00105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010375,CPMG_00106,CPMG_00106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010376,CPMG_00107,CPMG_00107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010377,CPMG_00108,CPMG_00108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010378,CPMG_00109,CPMG_00109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010379,CPMG_00110,CPMG_00110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010380,CPMG_00111,CPMG_00111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010381,CPMG_00112,CPMG_00112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010382,CPMG_00113,CPMG_00113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010383,CPMG_00114,CPMG_00114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010384,CPMG_00115,CPMG_00115,-,-,-,-,phosphate-starvation inducible protein,protein-coding,-,-,-,phosphate-starvation inducible protein,20201220,-
889956,15010385,CPMG_00116,CPMG_00116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010386,CPMG_00117,CPMG_00117,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
889956,15010387,CPMG_00118,CPMG_00118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010388,CPMG_00119,CPMG_00119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010389,CPMG_00120,CPMG_00120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010390,CPMG_00121,CPMG_00121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010391,CPMG_00122,CPMG_00122,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201220,-
889956,15010392,CPMG_00123,CPMG_00123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010393,CPMG_00124,CPMG_00124,-,-,-,-,TalC,protein-coding,-,-,-,TalC,20201220,-
889956,15010394,CPMG_00125,CPMG_00125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010395,CPMG_00126,CPMG_00126,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201220,-
889956,15010396,CPMG_00127,CPMG_00127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010397,CPMG_00128,CPMG_00128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010398,CPMG_00129,CPMG_00129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010399,CPMG_00130,CPMG_00130,-,-,-,-,plastoquinol terminal oxidase,protein-coding,-,-,-,plastoquinol terminal oxidase,20201220,-
889956,15010400,CPMG_00131,CPMG_00131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010401,CPMG_00132,CPMG_00132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010402,CPMG_00133,CPMG_00133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010403,CPMG_00134,CPMG_00134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010404,CPMG_00135,CPMG_00135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010405,CPMG_00136,CPMG_00136,-,-,-,-,photosystem II reaction center D2,protein-coding,-,-,-,photosystem II reaction center D2,20201220,-
889956,15010406,CPMG_00137,CPMG_00137,-,-,-,-,photosystem Q(B) protein,protein-coding,-,-,-,photosystem Q(B) protein,20201220,-
889956,15010407,CPMG_00138,CPMG_00138,-,-,-,-,heme oxygenase,protein-coding,-,-,-,heme oxygenase,20201220,-
889956,15010408,CPMG_00139,CPMG_00139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010409,CPMG_00140,CPMG_00140,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201220,-
889956,15010410,CPMG_00141,CPMG_00141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010411,CPMG_00142,CPMG_00142,-,-,-,-,carboxylesterase,protein-coding,-,-,-,carboxylesterase,20201220,-
889956,15010412,CPMG_00143,CPMG_00143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010413,CPMG_00144,CPMG_00144,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20201220,-
889956,15010414,CPMG_00145,CPMG_00145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010415,CPMG_00146,CPMG_00146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010416,CPMG_00147,CPMG_00147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010417,CPMG_00148,CPMG_00148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010418,CPMG_00149,CPMG_00149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010419,CPMG_00150,CPMG_00150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010420,CPMG_00151,CPMG_00151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010421,CPMG_00152,CPMG_00152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010422,CPMG_00153,CPMG_00153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010423,CPMG_00154,CPMG_00154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010424,CPMG_00155,CPMG_00155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010425,CPMG_00156,CPMG_00156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010426,CPMG_00157,CPMG_00157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010427,CPMG_00158,CPMG_00158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010428,CPMG_00159,CPMG_00159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010429,CPMG_00160,CPMG_00160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010430,CPMG_00161,CPMG_00161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010431,CPMG_00162,CPMG_00162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010432,CPMG_00163,CPMG_00163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010433,CPMG_00164,CPMG_00164,-,-,-,-,PurM,protein-coding,-,-,-,PurM,20201220,-
889956,15010434,CPMG_00165,CPMG_00165,-,-,-,-,glycine dehydrogenase,protein-coding,-,-,-,glycine dehydrogenase,20201220,-
889956,15010435,CPMG_00166,CPMG_00166,-,-,-,-,hypothetical protein,pseudo,-,-,-,-,20201220,-
889956,15010436,CPMG_00167,CPMG_00167,-,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20201220,-
889956,15010437,CPMG_00168,CPMG_00168,-,-,-,-,ribonucleotide reductase A subunit,protein-coding,-,-,-,ribonucleotide reductase A subunit,20201220,-
889956,15010438,CPMG_00169,CPMG_00169,-,-,-,-,primase,protein-coding,-,-,-,primase,20201220,-
889956,15010439,CPMG_00170,CPMG_00170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010440,CPMG_00171,CPMG_00171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010441,CPMG_00172,CPMG_00172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010442,CPMG_00173,CPMG_00173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010443,CPMG_00174,CPMG_00174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010444,CPMG_00175,CPMG_00175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010445,CPMG_00176,CPMG_00176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010446,CPMG_00177,CPMG_00177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010447,CPMG_00178,CPMG_00178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010448,CPMG_00179,CPMG_00179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010449,CPMG_00180,CPMG_00180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010450,CPMG_00181,CPMG_00181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010451,CPMG_00182,CPMG_00182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010452,CPMG_00183,CPMG_00183,-,-,-,-,MazG,protein-coding,-,-,-,MazG,20201220,-
889956,15010453,CPMG_00184,CPMG_00184,-,-,-,-,redox protein,protein-coding,-,-,-,redox protein,20201220,-
889956,15010454,CPMG_00185,CPMG_00185,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201220,-
889956,15010455,CPMG_00186,CPMG_00186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010456,CPMG_00187,CPMG_00187,-,-,-,-,UvsX,protein-coding,-,-,-,UvsX,20201220,-
889956,15010457,CPMG_00188,CPMG_00188,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
889956,15010458,CPMG_00189,CPMG_00189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010459,CPMG_00190,CPMG_00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010460,CPMG_00191,CPMG_00191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010461,CPMG_00192,CPMG_00192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010462,CPMG_00193,CPMG_00193,-,-,-,-,heat-shock protein IbpA,protein-coding,-,-,-,heat-shock protein IbpA,20201220,-
889956,15010463,CPMG_00194,CPMG_00194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010464,CPMG_00195,CPMG_00195,-,-,-,-,RegA,protein-coding,-,-,-,RegA,20201220,-
889956,15010465,CPMG_00196,CPMG_00196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010466,CPMG_00197,CPMG_00197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010467,CPMG_00198,CPMG_00198,-,-,-,-,modification methylase,protein-coding,-,-,-,modification methylase,20201220,-
889956,15010468,CPMG_00199,CPMG_00199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010469,CPMG_00200,CPMG_00200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010470,CPMG_00201,CPMG_00201,-,-,-,-,sliding clamp loader,protein-coding,-,-,-,sliding clamp loader,20201220,-
889956,15010471,CPMG_00202,CPMG_00202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010472,CPMG_00203,CPMG_00203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010473,CPMG_00204,CPMG_00204,-,-,-,-,hypothetical protein,pseudo,-,-,-,-,20201220,-
889956,15010474,CPMG_00205,CPMG_00205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010475,CPMG_00206,CPMG_00206,-,-,-,-,CobS,protein-coding,-,-,-,CobS,20201220,-
889956,15010476,CPMG_00207,CPMG_00207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010477,CPMG_00208,CPMG_00208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010478,CPMG_00209,CPMG_00209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010479,CPMG_00210,CPMG_00210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010480,CPMG_00211,CPMG_00211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
