#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1481186,22112401,vB_AbaM_Acibel004_2,vB_AbaM_Acibel004_2,-,-,-,-,putative DnaG-like primase,protein-coding,-,-,-,putative DnaG-like primase,20200910,-
1481186,22112421,vB_AbaM_Acibel004_22,vB_AbaM_Acibel004_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112422,vB_AbaM_Acibel004_23,vB_AbaM_Acibel004_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112423,vB_AbaM_Acibel004_24,vB_AbaM_Acibel004_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112424,vB_AbaM_Acibel004_25,vB_AbaM_Acibel004_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112425,vB_AbaM_Acibel004_26,vB_AbaM_Acibel004_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112426,vB_AbaM_Acibel004_27,vB_AbaM_Acibel004_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112427,vB_AbaM_Acibel004_28,vB_AbaM_Acibel004_28,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200910,-
1481186,22112428,vB_AbaM_Acibel004_29,vB_AbaM_Acibel004_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112429,vB_AbaM_Acibel004_30,vB_AbaM_Acibel004_30,-,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20200910,-
1481186,22112430,vB_AbaM_Acibel004_31,vB_AbaM_Acibel004_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112431,vB_AbaM_Acibel004_32,vB_AbaM_Acibel004_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112432,vB_AbaM_Acibel004_33,vB_AbaM_Acibel004_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112433,vB_AbaM_Acibel004_34,vB_AbaM_Acibel004_34,-,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20200910,-
1481186,22112434,vB_AbaM_Acibel004_35,vB_AbaM_Acibel004_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112435,vB_AbaM_Acibel004_36,vB_AbaM_Acibel004_36,-,-,-,-,putative DNA/RNA helicase,protein-coding,-,-,-,putative DNA/RNA helicase,20200910,-
1481186,22112436,vB_AbaM_Acibel004_37,vB_AbaM_Acibel004_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112437,vB_AbaM_Acibel004_38,vB_AbaM_Acibel004_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112438,vB_AbaM_Acibel004_39,vB_AbaM_Acibel004_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112439,vB_AbaM_Acibel004_40,vB_AbaM_Acibel004_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112440,vB_AbaM_Acibel004_41,vB_AbaM_Acibel004_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112441,vB_AbaM_Acibel004_42,vB_AbaM_Acibel004_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112442,vB_AbaM_Acibel004_43,vB_AbaM_Acibel004_43,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112443,vB_AbaM_Acibel004_44,vB_AbaM_Acibel004_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112444,vB_AbaM_Acibel004_45,vB_AbaM_Acibel004_45,-,-,-,-,putative RNA ligase I and tail attachment protein,protein-coding,-,-,-,putative RNA ligase I and tail attachment protein,20200910,-
1481186,22112445,vB_AbaM_Acibel004_46,vB_AbaM_Acibel004_46,-,-,-,-,putative phosphatase,protein-coding,-,-,-,putative phosphatase,20200910,-
1481186,22112446,vB_AbaM_Acibel004_47,vB_AbaM_Acibel004_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112447,vB_AbaM_Acibel004_48,vB_AbaM_Acibel004_48,-,-,-,-,putative host recBCD nuclease inhibitor,protein-coding,-,-,-,putative host recBCD nuclease inhibitor,20200910,-
1481186,22112448,vB_AbaM_Acibel004_49,vB_AbaM_Acibel004_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112449,vB_AbaM_Acibel004_50,vB_AbaM_Acibel004_50,-,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200910,-
1481186,22112450,vB_AbaM_Acibel004_51,vB_AbaM_Acibel004_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112451,vB_AbaM_Acibel004_52,vB_AbaM_Acibel004_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112452,vB_AbaM_Acibel004_53,vB_AbaM_Acibel004_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112453,vB_AbaM_Acibel004_54,vB_AbaM_Acibel004_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112454,vB_AbaM_Acibel004_55,vB_AbaM_Acibel004_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112455,vB_AbaM_Acibel004_56,vB_AbaM_Acibel004_56,-,-,-,-,putative RnlB RNA ligase 2,protein-coding,-,-,-,putative RnlB RNA ligase 2,20200910,-
1481186,22112456,vB_AbaM_Acibel004_57,vB_AbaM_Acibel004_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112457,vB_AbaM_Acibel004_58,vB_AbaM_Acibel004_58,-,-,-,-,putative Appr-1-p processing protein,protein-coding,-,-,-,putative Appr-1-p processing protein,20200910,-
1481186,22112458,vB_AbaM_Acibel004_59,vB_AbaM_Acibel004_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112459,vB_AbaM_Acibel004_60,vB_AbaM_Acibel004_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112460,vB_AbaM_Acibel004_61,vB_AbaM_Acibel004_61,-,-,-,-,putative phosphoribosylpyrophosphate synthetase,protein-coding,-,-,-,putative phosphoribosylpyrophosphate synthetase,20200910,-
1481186,22112461,vB_AbaM_Acibel004_62,vB_AbaM_Acibel004_62,-,-,-,-,putative nicotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinate phosphoribosyltransferase,20200910,-
1481186,22112462,vB_AbaM_Acibel004_63,vB_AbaM_Acibel004_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112463,vB_AbaM_Acibel004_64,vB_AbaM_Acibel004_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112464,vB_AbaM_Acibel004_65,vB_AbaM_Acibel004_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112465,vB_AbaM_Acibel004_66,vB_AbaM_Acibel004_66,-,-,-,-,putative shock protein A,protein-coding,-,-,-,putative shock protein A,20200910,-
1481186,22112466,vB_AbaM_Acibel004_67,vB_AbaM_Acibel004_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112467,vB_AbaM_Acibel004_68,vB_AbaM_Acibel004_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112468,vB_AbaM_Acibel004_69,vB_AbaM_Acibel004_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112469,vB_AbaM_Acibel004_70,vB_AbaM_Acibel004_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112470,vB_AbaM_Acibel004_71,vB_AbaM_Acibel004_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112471,vB_AbaM_Acibel004_72,vB_AbaM_Acibel004_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112472,vB_AbaM_Acibel004_73,vB_AbaM_Acibel004_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112473,vB_AbaM_Acibel004_74,vB_AbaM_Acibel004_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112474,vB_AbaM_Acibel004_75,vB_AbaM_Acibel004_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112475,vB_AbaM_Acibel004_76,vB_AbaM_Acibel004_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112476,vB_AbaM_Acibel004_77,vB_AbaM_Acibel004_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112477,vB_AbaM_Acibel004_78,vB_AbaM_Acibel004_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112478,vB_AbaM_Acibel004_79,vB_AbaM_Acibel004_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112479,vB_AbaM_Acibel004_80,vB_AbaM_Acibel004_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112480,vB_AbaM_Acibel004_81,vB_AbaM_Acibel004_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112481,vB_AbaM_Acibel004_82,vB_AbaM_Acibel004_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112482,vB_AbaM_Acibel004_83,vB_AbaM_Acibel004_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112483,vB_AbaM_Acibel004_84,vB_AbaM_Acibel004_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112484,vB_AbaM_Acibel004_85,vB_AbaM_Acibel004_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112485,vB_AbaM_Acibel004_86,vB_AbaM_Acibel004_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112486,vB_AbaM_Acibel004_87,vB_AbaM_Acibel004_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112487,vB_AbaM_Acibel004_88,vB_AbaM_Acibel004_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112488,vB_AbaM_Acibel004_89,vB_AbaM_Acibel004_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112489,vB_AbaM_Acibel004_90,vB_AbaM_Acibel004_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112490,vB_AbaM_Acibel004_91,vB_AbaM_Acibel004_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112491,vB_AbaM_Acibel004_92,vB_AbaM_Acibel004_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112492,vB_AbaM_Acibel004_93,vB_AbaM_Acibel004_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112493,vB_AbaM_Acibel004_94,vB_AbaM_Acibel004_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112494,vB_AbaM_Acibel004_95,vB_AbaM_Acibel004_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112495,vB_AbaM_Acibel004_96,vB_AbaM_Acibel004_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112496,vB_AbaM_Acibel004_97,vB_AbaM_Acibel004_97,-,-,-,-,type IV pilus assembly protein,protein-coding,-,-,-,type IV pilus assembly protein,20200910,-
1481186,22112497,vB_AbaM_Acibel004_98,vB_AbaM_Acibel004_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112498,vB_AbaM_Acibel004_99,vB_AbaM_Acibel004_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112499,vB_AbaM_Acibel004_100,vB_AbaM_Acibel004_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112500,vB_AbaM_Acibel004_101,vB_AbaM_Acibel004_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112501,vB_AbaM_Acibel004_102,vB_AbaM_Acibel004_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112502,vB_AbaM_Acibel004_103,vB_AbaM_Acibel004_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112503,vB_AbaM_Acibel004_104,vB_AbaM_Acibel004_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112504,vB_AbaM_Acibel004_105,vB_AbaM_Acibel004_105,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112505,vB_AbaM_Acibel004_106,vB_AbaM_Acibel004_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112506,vB_AbaM_Acibel004_107,vB_AbaM_Acibel004_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112507,vB_AbaM_Acibel004_108,vB_AbaM_Acibel004_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112508,vB_AbaM_Acibel004_109,vB_AbaM_Acibel004_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112509,vB_AbaM_Acibel004_110,vB_AbaM_Acibel004_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112510,vB_AbaM_Acibel004_111,vB_AbaM_Acibel004_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112511,vB_AbaM_Acibel004_t01,vB_AbaM_Acibel004_t01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112512,vB_AbaM_Acibel004_t02,vB_AbaM_Acibel004_t02,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112513,vB_AbaM_Acibel004_t03,vB_AbaM_Acibel004_t03,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112514,vB_AbaM_Acibel004_112,vB_AbaM_Acibel004_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112515,vB_AbaM_Acibel004_t04,vB_AbaM_Acibel004_t04,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112516,vB_AbaM_Acibel004_t05,vB_AbaM_Acibel004_t05,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112517,vB_AbaM_Acibel004_t06,vB_AbaM_Acibel004_t06,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112518,vB_AbaM_Acibel004_t07,vB_AbaM_Acibel004_t07,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112519,vB_AbaM_Acibel004_t08,vB_AbaM_Acibel004_t08,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112520,vB_AbaM_Acibel004_t09,vB_AbaM_Acibel004_t09,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112521,vB_AbaM_Acibel004_t10,vB_AbaM_Acibel004_t10,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112522,vB_AbaM_Acibel004_t11,vB_AbaM_Acibel004_t11,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112523,vB_AbaM_Acibel004_t12,vB_AbaM_Acibel004_t12,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112524,vB_AbaM_Acibel004_113,vB_AbaM_Acibel004_113,-,-,-,-,putative chaperone GroES,protein-coding,-,-,-,putative chaperone GroES,20200910,-
1481186,22112525,vB_AbaM_Acibel004_t13,vB_AbaM_Acibel004_t13,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112526,vB_AbaM_Acibel004_t14,vB_AbaM_Acibel004_t14,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112527,vB_AbaM_Acibel004_t15,vB_AbaM_Acibel004_t15,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112528,vB_AbaM_Acibel004_t16,vB_AbaM_Acibel004_t16,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112529,vB_AbaM_Acibel004_t17,vB_AbaM_Acibel004_t17,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112530,vB_AbaM_Acibel004_t18,vB_AbaM_Acibel004_t18,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112531,vB_AbaM_Acibel004_t19,vB_AbaM_Acibel004_t19,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112532,vB_AbaM_Acibel004_t20,vB_AbaM_Acibel004_t20,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112533,vB_AbaM_Acibel004_114,vB_AbaM_Acibel004_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112534,vB_AbaM_Acibel004_t21,vB_AbaM_Acibel004_t21,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112535,vB_AbaM_Acibel004_t22,vB_AbaM_Acibel004_t22,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1481186,22112536,vB_AbaM_Acibel004_115,vB_AbaM_Acibel004_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112537,vB_AbaM_Acibel004_1,vB_AbaM_Acibel004_1,-,-,-,-,putative deoxycitidylate deaminase,protein-coding,-,-,-,putative deoxycitidylate deaminase,20200910,-
1481186,22112538,vB_AbaM_Acibel004_116,vB_AbaM_Acibel004_116,-,-,-,-,putative thioredoxin o,protein-coding,-,-,-,putative thioredoxin o,20200910,-
1481186,22112539,vB_AbaM_Acibel004_117,vB_AbaM_Acibel004_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112540,vB_AbaM_Acibel004_118,vB_AbaM_Acibel004_118,-,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200910,-
1481186,22112541,vB_AbaM_Acibel004_119,vB_AbaM_Acibel004_119,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200910,-
1481186,22112542,vB_AbaM_Acibel004_120,vB_AbaM_Acibel004_120,-,-,-,-,putative head maturation protease,protein-coding,-,-,-,putative head maturation protease,20200910,-
1481186,22112543,vB_AbaM_Acibel004_121,vB_AbaM_Acibel004_121,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112544,vB_AbaM_Acibel004_122,vB_AbaM_Acibel004_122,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200910,-
1481186,22112545,vB_AbaM_Acibel004_123,vB_AbaM_Acibel004_123,-,-,-,-,putative tail protein I,protein-coding,-,-,-,putative tail protein I,20200910,-
1481186,22112546,vB_AbaM_Acibel004_124,vB_AbaM_Acibel004_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112547,vB_AbaM_Acibel004_125,vB_AbaM_Acibel004_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112548,vB_AbaM_Acibel004_126,vB_AbaM_Acibel004_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112549,vB_AbaM_Acibel004_127,vB_AbaM_Acibel004_127,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1481186,22112550,vB_AbaM_Acibel004_128,vB_AbaM_Acibel004_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112551,vB_AbaM_Acibel004_129,vB_AbaM_Acibel004_129,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112552,vB_AbaM_Acibel004_130,vB_AbaM_Acibel004_130,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112553,vB_AbaM_Acibel004_131,vB_AbaM_Acibel004_131,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112554,vB_AbaM_Acibel004_132,vB_AbaM_Acibel004_132,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112555,vB_AbaM_Acibel004_133,vB_AbaM_Acibel004_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112556,vB_AbaM_Acibel004_134,vB_AbaM_Acibel004_134,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112557,vB_AbaM_Acibel004_135,vB_AbaM_Acibel004_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112558,vB_AbaM_Acibel004_136,vB_AbaM_Acibel004_136,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200910,-
1481186,22112559,vB_AbaM_Acibel004_137,vB_AbaM_Acibel004_137,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112560,vB_AbaM_Acibel004_138,vB_AbaM_Acibel004_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112561,vB_AbaM_Acibel004_139,vB_AbaM_Acibel004_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112562,vB_AbaM_Acibel004_140,vB_AbaM_Acibel004_140,-,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20200910,-
1481186,22112563,vB_AbaM_Acibel004_141,vB_AbaM_Acibel004_141,-,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20200910,-
1481186,22112564,vB_AbaM_Acibel004_142,vB_AbaM_Acibel004_142,-,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20200910,-
1481186,22112565,vB_AbaM_Acibel004_143,vB_AbaM_Acibel004_143,-,-,-,-,putative tail component,protein-coding,-,-,-,putative tail component,20200910,-
1481186,22112566,vB_AbaM_Acibel004_144,vB_AbaM_Acibel004_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112567,vB_AbaM_Acibel004_145,vB_AbaM_Acibel004_145,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200910,-
