#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
207830,935830,lef-9,McnAVgp124,-,-,-,-,LEF-9,protein-coding,-,-,-,LEF-9,20180815,-
207830,935880,vef,McnAVgp089,-,-,-,-,viral enhancing factor VEF,protein-coding,-,-,-,viral enhancing factor VEF,20180815,-
207830,935881,bro-e,McnAVgp090,-,-,-,-,BRO-e,protein-coding,-,-,-,BRO-e,20210417,-
207830,935882,hel,McnAVgp093,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20180815,-
207830,935883,odv-e25,McnAVgp094,-,-,-,-,ODV-E25,protein-coding,-,-,-,ODV-E25,20180815,-
207830,935884,lef-4,McnAVgp098,-,-,-,-,LEF-4,protein-coding,-,-,-,LEF-4,20180815,-
207830,935885,vp39,McnAVgp099,-,-,-,-,vp39 capsid,protein-coding,-,-,-,vp39 capsid,20201003,-
207830,935886,cg30,McnAVgp100,-,-,-,-,CG30,protein-coding,-,-,-,CG30,20180815,-
207830,935887,vp91,McnAVgp101,-,-,-,-,vp91 capsid,protein-coding,-,-,-,vp91 capsid,20180815,-
207830,935888,gp41,McnAVgp104,-,-,-,-,gp41,protein-coding,-,-,-,gp41,20180815,-
207830,935889,vlf-1,McnAVgp106,-,-,-,-,very late factor 1 VLF-1,protein-coding,-,-,-,very late factor 1 VLF-1,20201003,-
207830,935890,ctl,McnAVgp107,-,-,-,-,conotoxin-like protein CTL,protein-coding,-,-,-,conotoxin-like protein CTL,20180815,-
207830,935891,p26a,McnAVgp109,-,-,-,-,p26,protein-coding,-,-,-,p26,20201010,-
207830,935892,iap-2,McnAVgp110,-,-,-,-,inhibitor of apoptosis-2 IAP-2,protein-coding,-,-,-,inhibitor of apoptosis-2 IAP-2,20180815,-
207830,935893,lef-3,McnAVgp113,-,-,-,-,LEF-3,protein-coding,-,-,-,LEF-3,20180815,-
207830,935894,bro-f,McnAVgp122,-,-,-,-,BRO-f,protein-coding,-,-,-,BRO-f,20180815,-
207830,935895,bro-g,McnAVgp123,-,-,-,-,BRO-g,protein-coding,-,-,-,BRO-g,20180815,-
207830,1733630,McnAVgp129,McnAVgp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
207830,1733631,McnAVgp132,McnAVgp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
207830,1733632,McnAVgp111,McnAVgp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733633,McnAVgp026,McnAVgp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733634,McnAVgp112,McnAVgp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
207830,1733635,McnAVgp142,McnAVgp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733636,McnAVgp065,McnAVgp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733637,McnAVgp150,McnAVgp150,-,-,-,-,39k/pp31,protein-coding,-,-,-,39k/pp31,20180815,-
207830,1733638,McnAVgp167,McnAVgp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733639,McnAVgp147,McnAVgp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733640,McnAVgp128,McnAVgp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
207830,1733641,McnAVgp095,McnAVgp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733642,McnAVgp070,McnAVgp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733643,McnAVgp102,McnAVgp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
207830,1733644,McnAVgp030,McnAVgp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733645,McnAVgp151,McnAVgp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733646,McnAVgp137,McnAVgp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733647,McnAVgp077,McnAVgp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733648,McnAVgp056,McnAVgp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733649,McnAVgp143,McnAVgp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733650,McnAVgp002,McnAVgp002,-,-,-,-,Ac1629,protein-coding,-,-,-,Ac1629,20180815,-
207830,1733651,McnAVgp059,McnAVgp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733652,McnAVgp005,McnAVgp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733653,McnAVgp061,McnAVgp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733654,McnAVgp053,McnAVgp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733655,McnAVgp120,McnAVgp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733656,McnAVgp010,McnAVgp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733657,McnAVgp064,McnAVgp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733658,McnAVgp135,McnAVgp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733659,McnAVgp096,McnAVgp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733660,McnAVgp036,McnAVgp036,-,-,-,-,38.7 kDa protein,protein-coding,-,-,-,38.7 kDa protein,20180815,-
207830,1733661,McnAVgp091,McnAVgp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733662,McnAVgp034,McnAVgp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733663,McnAVgp041,McnAVgp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733664,McnAVgp018,McnAVgp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733665,McnAVgp046,McnAVgp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733666,McnAVgp164,McnAVgp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733667,McnAVgp048,McnAVgp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733668,McnAVgp044,McnAVgp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733669,McnAVgp138,McnAVgp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
207830,1733670,McnAVgp148,McnAVgp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
207830,1733671,McnAVgp074,McnAVgp074,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210417,-
207830,1733672,McnAVgp028,McnAVgp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733673,McnAVgp040,McnAVgp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733674,McnAVgp115,McnAVgp115,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180815,-
207830,1733675,McnAVgp057,McnAVgp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733676,McnAVgp055,McnAVgp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733677,McnAVgp157,McnAVgp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733678,McnAVgp086,McnAVgp086,-,-,-,-,basic DNA-binding protein P6.9,protein-coding,-,-,-,basic DNA-binding protein P6.9,20180815,-
207830,1733679,McnAVgp015,McnAVgp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733680,McnAVgp023,McnAVgp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733681,McnAVgp013,McnAVgp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733682,McnAVgp088,McnAVgp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733683,McnAVgp121,McnAVgp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733684,McnAVgp049,McnAVgp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733685,McnAVgp168,McnAVgp168,-,-,-,-,IE0,protein-coding,-,-,-,IE0,20201003,-
207830,1733686,McnAVgp062,McnAVgp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
207830,1733687,McnAVgp131,McnAVgp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733688,McnAVgp073,McnAVgp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733689,McnAVgp067,McnAVgp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733690,McnAVgp105,McnAVgp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733691,McnAVgp163,McnAVgp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733692,McnAVgp052,McnAVgp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733693,McnAVgp071,McnAVgp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733694,McnAVgp027,McnAVgp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
207830,1733695,McnAVgp097,McnAVgp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
207830,1733696,McnAVgp068,McnAVgp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733697,McnAVgp080,McnAVgp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733698,McnAVgp069,McnAVgp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733699,McnAVgp081,McnAVgp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
207830,1733700,McnAVgp017,McnAVgp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
207830,1733701,McnAVgp060,McnAVgp060,-,-,-,-,polyhedron envelope protein calyx/pep,protein-coding,-,-,-,polyhedron envelope protein calyx/pep,20201010,-
207830,1733702,McnAVgp072,McnAVgp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733703,McnAVgp161,McnAVgp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733704,McnAVgp063,McnAVgp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733705,McnAVgp083,McnAVgp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733706,McnAVgp153,McnAVgp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733707,McnAVgp008,McnAVgp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733708,McnAVgp043,McnAVgp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733709,McnAVgp117,McnAVgp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
207830,1733710,McnAVgp092,McnAVgp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733711,McnAVgp019,McnAVgp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733712,McnAVgp025,McnAVgp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733713,McnAVgp050,McnAVgp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733714,McnAVgp130,McnAVgp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733715,McnAVgp079,McnAVgp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733716,McnAVgp020,McnAVgp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733717,McnAVgp154,McnAVgp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
207830,1733718,McnAVgp140,McnAVgp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733719,McnAVgp029,McnAVgp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733720,McnAVgp136,McnAVgp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733721,McnAVgp004,McnAVgp004,-,-,-,-,hoar,protein-coding,-,-,-,hoar,20180815,-
207830,1733722,McnAVgp146,McnAVgp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733723,McnAVgp085,McnAVgp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733724,McnAVgp119,McnAVgp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733725,McnAVgp042,McnAVgp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733726,McnAVgp118,McnAVgp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733727,McnAVgp116,McnAVgp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733728,McnAVgp108,McnAVgp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733729,McnAVgp103,McnAVgp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733730,McnAVgp009,McnAVgp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
207830,1733731,McnAVgp114,McnAVgp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,1733732,McnAVgp084,McnAVgp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
207830,2830773,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mamestra configurata NPV-A).,other,-,-,-,-,20210531,-
