#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
61420,43648700,BDV27DRAFT_10002,BDV27DRAFT_10002,-,-,Unknown,-,methyltransferase-domain-containing protein,protein-coding,-,-,-,methyltransferase-domain-containing protein,20210306,-
61420,43648741,BDV27DRAFT_102059,BDV27DRAFT_102059,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648742,BDV27DRAFT_10210,BDV27DRAFT_10210,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
61420,43648743,BDV27DRAFT_102150,BDV27DRAFT_102150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648744,BDV27DRAFT_102223,BDV27DRAFT_102223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648745,BDV27DRAFT_102226,BDV27DRAFT_102226,-,-,Unknown,-,"Lactonase, 7-bladed beta-propeller-domain-containing protein",protein-coding,-,-,-,"Lactonase, 7-bladed beta-propeller-domain-containing protein",20210306,-
61420,43648746,BDV27DRAFT_102244,BDV27DRAFT_102244,-,-,Unknown,-,flavo protein-like protein,protein-coding,-,-,-,flavo protein-like protein,20210306,-
61420,43648747,BDV27DRAFT_102324,BDV27DRAFT_102324,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210306,-
61420,43648748,BDV27DRAFT_10235,BDV27DRAFT_10235,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
61420,43648749,BDV27DRAFT_102431,BDV27DRAFT_102431,-,-,Unknown,-,Polymerase/histidinol phosphatase-like protein,protein-coding,-,-,-,Polymerase/histidinol phosphatase-like protein,20210306,-
61420,43648750,BDV27DRAFT_102449,BDV27DRAFT_102449,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648751,BDV27DRAFT_102527,BDV27DRAFT_102527,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210306,-
61420,43648752,BDV27DRAFT_102581,BDV27DRAFT_102581,-,-,Unknown,-,EAP30/Vps36 family-domain-containing protein,protein-coding,-,-,-,EAP30/Vps36 family-domain-containing protein,20210306,-
61420,43648753,BDV27DRAFT_102642,BDV27DRAFT_102642,-,-,Unknown,-,amidase signature domain-containing protein,protein-coding,-,-,-,amidase signature domain-containing protein,20210306,-
61420,43648754,BDV27DRAFT_102671,BDV27DRAFT_102671,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648755,BDV27DRAFT_102714,BDV27DRAFT_102714,-,-,Unknown,-,Leucine aminopeptidase 1,protein-coding,-,-,-,Leucine aminopeptidase 1,20201217,-
61420,43648756,BDV27DRAFT_102722,BDV27DRAFT_102722,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648757,BDV27DRAFT_102811,BDV27DRAFT_102811,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648758,BDV27DRAFT_102867,BDV27DRAFT_102867,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648759,BDV27DRAFT_102873,BDV27DRAFT_102873,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648760,BDV27DRAFT_102958,BDV27DRAFT_102958,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648761,BDV27DRAFT_103009,BDV27DRAFT_103009,-,-,Unknown,-,fungal-specific transcription factor domain-containing protein,protein-coding,-,-,-,fungal-specific transcription factor domain-containing protein,20201217,-
61420,43648762,BDV27DRAFT_10301,BDV27DRAFT_10301,-,-,Unknown,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20210306,-
61420,43648763,BDV27DRAFT_10305,BDV27DRAFT_10305,-,-,Unknown,-,HIT-like domain-containing protein,protein-coding,-,-,-,HIT-like domain-containing protein,20201201,-
61420,43648764,BDV27DRAFT_103108,BDV27DRAFT_103108,-,-,Unknown,-,cytidylyltransferase family-domain-containing protein,protein-coding,-,-,-,cytidylyltransferase family-domain-containing protein,20210306,-
61420,43648765,BDV27DRAFT_103114,BDV27DRAFT_103114,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648766,BDV27DRAFT_103141,BDV27DRAFT_103141,-,-,Unknown,-,armadillo-type protein,protein-coding,-,-,-,armadillo-type protein,20201217,-
61420,43648767,BDV27DRAFT_103142,BDV27DRAFT_103142,-,-,Unknown,-,Fructosamine/Ketosamine-3-kinase,protein-coding,-,-,-,Fructosamine/Ketosamine-3-kinase,20210306,-
61420,43648768,BDV27DRAFT_103166,BDV27DRAFT_103166,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648769,BDV27DRAFT_103179,BDV27DRAFT_103179,-,-,Unknown,-,chitin synthase III catalytic subunit,protein-coding,-,-,-,chitin synthase III catalytic subunit,20210306,-
61420,43648770,BDV27DRAFT_103226,BDV27DRAFT_103226,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648771,BDV27DRAFT_103299,BDV27DRAFT_103299,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20200526,-
61420,43648772,BDV27DRAFT_1033,BDV27DRAFT_1033,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648773,BDV27DRAFT_103421,BDV27DRAFT_103421,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648774,BDV27DRAFT_103580,BDV27DRAFT_103580,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648775,BDV27DRAFT_103581,BDV27DRAFT_103581,-,-,Unknown,-,NOL1/NOP2/sun family-domain-containing protein,protein-coding,-,-,-,NOL1/NOP2/sun family-domain-containing protein,20201217,-
61420,43648776,BDV27DRAFT_103588,BDV27DRAFT_103588,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648777,BDV27DRAFT_103644,BDV27DRAFT_103644,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648778,BDV27DRAFT_103673,BDV27DRAFT_103673,-,-,Unknown,-,actin-related protein 2/3 complex subunit 3,protein-coding,-,-,-,actin-related protein 2/3 complex subunit 3,20210306,-
61420,43648779,BDV27DRAFT_103695,BDV27DRAFT_103695,-,-,Unknown,-,Gcd10p family-domain-containing protein,protein-coding,-,-,-,Gcd10p family-domain-containing protein,20210306,-
61420,43648780,BDV27DRAFT_103721,BDV27DRAFT_103721,-,-,Unknown,-,flavo protein,protein-coding,-,-,-,flavo protein,20210306,-
61420,43648781,BDV27DRAFT_103733,BDV27DRAFT_103733,-,-,Unknown,-,cyclophilin-like domain-containing protein,protein-coding,-,-,-,cyclophilin-like domain-containing protein,20210306,-
61420,43648782,BDV27DRAFT_103745,BDV27DRAFT_103745,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648783,BDV27DRAFT_1038,BDV27DRAFT_1038,-,-,Unknown,-,alpha-helical ferredoxin,protein-coding,-,-,-,alpha-helical ferredoxin,20201201,-
61420,43648784,BDV27DRAFT_103836,BDV27DRAFT_103836,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648785,BDV27DRAFT_103925,BDV27DRAFT_103925,-,-,Unknown,-,histone-fold-containing protein,protein-coding,-,-,-,histone-fold-containing protein,20201217,-
61420,43648786,BDV27DRAFT_104204,BDV27DRAFT_104204,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648787,BDV27DRAFT_104223,BDV27DRAFT_104223,-,-,Unknown,-,nucleotide hydrolase-domain-containing protein,protein-coding,-,-,-,nucleotide hydrolase-domain-containing protein,20210306,-
61420,43648788,BDV27DRAFT_104236,BDV27DRAFT_104236,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648789,BDV27DRAFT_104265,BDV27DRAFT_104265,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648790,BDV27DRAFT_104298,BDV27DRAFT_104298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648791,BDV27DRAFT_104336,BDV27DRAFT_104336,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648792,BDV27DRAFT_104398,BDV27DRAFT_104398,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648793,BDV27DRAFT_104505,BDV27DRAFT_104505,-,-,Unknown,-,aegerolysin type hemolysin,protein-coding,-,-,-,aegerolysin type hemolysin,20210306,-
61420,43648794,BDV27DRAFT_104554,BDV27DRAFT_104554,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648795,BDV27DRAFT_104573,BDV27DRAFT_104573,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648796,BDV27DRAFT_104608,BDV27DRAFT_104608,-,-,Unknown,-,RGS domain-containing protein,protein-coding,-,-,-,RGS domain-containing protein,20201217,-
61420,43648797,BDV27DRAFT_104643,BDV27DRAFT_104643,-,-,Unknown,-,glycoside hydrolase superfamily,protein-coding,-,-,-,glycoside hydrolase superfamily,20201217,-
61420,43648798,BDV27DRAFT_104653,BDV27DRAFT_104653,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20201217,-
61420,43648799,BDV27DRAFT_104661,BDV27DRAFT_104661,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648800,BDV27DRAFT_104695,BDV27DRAFT_104695,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648801,BDV27DRAFT_104714,BDV27DRAFT_104714,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648802,BDV27DRAFT_104721,BDV27DRAFT_104721,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648803,BDV27DRAFT_104754,BDV27DRAFT_104754,-,-,Unknown,-,glycoside hydrolase superfamily,protein-coding,-,-,-,glycoside hydrolase superfamily,20210306,-
61420,43648804,BDV27DRAFT_104784,BDV27DRAFT_104784,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648805,BDV27DRAFT_104832,BDV27DRAFT_104832,-,-,Unknown,-,"putative endo-1,3(4)-beta-glucanase",protein-coding,-,-,-,"putative endo-1,3(4)-beta-glucanase",20201217,-
61420,43648806,BDV27DRAFT_104855,BDV27DRAFT_104855,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648807,BDV27DRAFT_104865,BDV27DRAFT_104865,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648808,BDV27DRAFT_10487,BDV27DRAFT_10487,-,-,Unknown,-,Lon protease C-terminal proteolytic domain-containing protein,protein-coding,-,-,-,Lon protease C-terminal proteolytic domain-containing protein,20201217,-
61420,43648809,BDV27DRAFT_104882,BDV27DRAFT_104882,-,-,Unknown,-,NmrA-like family protein,protein-coding,-,-,-,NmrA-like family protein,20210306,-
61420,43648810,BDV27DRAFT_104891,BDV27DRAFT_104891,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648811,BDV27DRAFT_10492,BDV27DRAFT_10492,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201217,-
61420,43648812,BDV27DRAFT_104946,BDV27DRAFT_104946,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648813,BDV27DRAFT_104977,BDV27DRAFT_104977,-,-,Unknown,-,ribosomal protein S5 domain 2-type protein,protein-coding,-,-,-,ribosomal protein S5 domain 2-type protein,20201217,-
61420,43648814,BDV27DRAFT_105015,BDV27DRAFT_105015,-,-,Unknown,-,chloride channel,protein-coding,-,-,-,chloride channel,20210306,-
61420,43648815,BDV27DRAFT_105038,BDV27DRAFT_105038,-,-,Unknown,-,SGNH hydrolase-type esterase domain-containing protein,protein-coding,-,-,-,SGNH hydrolase-type esterase domain-containing protein,20201217,-
61420,43648816,BDV27DRAFT_105046,BDV27DRAFT_105046,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648817,BDV27DRAFT_105082,BDV27DRAFT_105082,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648818,BDV27DRAFT_105102,BDV27DRAFT_105102,-,-,Unknown,-,VTC domain-containing protein,protein-coding,-,-,-,VTC domain-containing protein,20201217,-
61420,43648819,BDV27DRAFT_105141,BDV27DRAFT_105141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648820,BDV27DRAFT_105150,BDV27DRAFT_105150,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20201217,-
61420,43648821,BDV27DRAFT_105194,BDV27DRAFT_105194,-,-,Unknown,-,Longin-like domain-containing protein,protein-coding,-,-,-,Longin-like domain-containing protein,20201201,-
61420,43648822,BDV27DRAFT_105238,BDV27DRAFT_105238,-,-,Unknown,-,mitochondrial carrier domain-containing protein,protein-coding,-,-,-,mitochondrial carrier domain-containing protein,20210306,-
61420,43648823,BDV27DRAFT_10525,BDV27DRAFT_10525,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
61420,43648824,BDV27DRAFT_105294,BDV27DRAFT_105294,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210306,-
61420,43648825,BDV27DRAFT_105329,BDV27DRAFT_105329,-,-,Unknown,-,glycoside hydrolase superfamily,protein-coding,-,-,-,glycoside hydrolase superfamily,20210306,-
61420,43648826,BDV27DRAFT_105356,BDV27DRAFT_105356,-,-,Unknown,-,thiamine diphosphate-binding protein,protein-coding,-,-,-,thiamine diphosphate-binding protein,20201217,-
61420,43648827,BDV27DRAFT_105381,BDV27DRAFT_105381,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648828,BDV27DRAFT_105396,BDV27DRAFT_105396,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648829,BDV27DRAFT_105401,BDV27DRAFT_105401,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210306,-
61420,43648830,BDV27DRAFT_105416,BDV27DRAFT_105416,-,-,Unknown,-,FAD-NAD(P)-binding-domain-containing protein,protein-coding,-,-,-,FAD-NAD(P)-binding-domain-containing protein,20210306,-
61420,43648831,BDV27DRAFT_105464,BDV27DRAFT_105464,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648832,BDV27DRAFT_105483,BDV27DRAFT_105483,-,-,Unknown,-,aspartic peptidase domain-containing protein,protein-coding,-,-,-,aspartic peptidase domain-containing protein,20201217,-
61420,43648833,BDV27DRAFT_105491,BDV27DRAFT_105491,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200526,-
61420,43648834,BDV27DRAFT_105498,BDV27DRAFT_105498,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210306,-
61420,43648835,BDV27DRAFT_105528,BDV27DRAFT_105528,-,-,Unknown,-,oligomeric Golgi complex subunit 6,protein-coding,-,-,-,oligomeric Golgi complex subunit 6,20210306,-
61420,43648836,BDV27DRAFT_105576,BDV27DRAFT_105576,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648837,BDV27DRAFT_105698,BDV27DRAFT_105698,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648838,BDV27DRAFT_105707,BDV27DRAFT_105707,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648839,BDV27DRAFT_105734,BDV27DRAFT_105734,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
61420,43648840,BDV27DRAFT_105759,BDV27DRAFT_105759,-,-,Unknown,-,FtsJ-like methyltransferase-domain-containing protein,protein-coding,-,-,-,FtsJ-like methyltransferase-domain-containing protein,20201217,-
61420,43648841,BDV27DRAFT_105839,BDV27DRAFT_105839,-,-,Unknown,-,DWNN domain-containing protein,protein-coding,-,-,-,DWNN domain-containing protein,20201217,-
61420,43648842,BDV27DRAFT_105860,BDV27DRAFT_105860,-,-,Unknown,-,yippee putative zinc-binding protein,protein-coding,-,-,-,yippee putative zinc-binding protein,20210306,-
61420,43648843,BDV27DRAFT_105862,BDV27DRAFT_105862,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648844,BDV27DRAFT_105892,BDV27DRAFT_105892,-,-,Unknown,-,autophagy-related protein 22-1,protein-coding,-,-,-,autophagy-related protein 22-1,20201217,-
61420,43648845,BDV27DRAFT_106001,BDV27DRAFT_106001,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
61420,43648846,BDV27DRAFT_106079,BDV27DRAFT_106079,-,-,Unknown,-,"PRP1 splicing factor, N-terminal-domain-containing protein",protein-coding,-,-,-,"PRP1 splicing factor, N-terminal-domain-containing protein",20210306,-
61420,43648847,BDV27DRAFT_106268,BDV27DRAFT_106268,-,-,Unknown,-,Vaculolar membrane protein-domain-containing protein,protein-coding,-,-,-,Vaculolar membrane protein-domain-containing protein,20210306,-
61420,43648848,BDV27DRAFT_106319,BDV27DRAFT_106319,-,-,Unknown,-,DHS-like NAD/FAD-binding domain-containing protein,protein-coding,-,-,-,DHS-like NAD/FAD-binding domain-containing protein,20201217,-
61420,43648849,BDV27DRAFT_106346,BDV27DRAFT_106346,-,-,Unknown,-,COG4 transport protein-domain-containing protein,protein-coding,-,-,-,COG4 transport protein-domain-containing protein,20210306,-
61420,43648850,BDV27DRAFT_106408,BDV27DRAFT_106408,-,-,Unknown,-,assembly factor cbp4,protein-coding,-,-,-,assembly factor cbp4,20201201,-
61420,43648851,BDV27DRAFT_106414,BDV27DRAFT_106414,-,-,Unknown,-,glucose-6-phosphate isomerase,protein-coding,-,-,-,glucose-6-phosphate isomerase,20201217,-
61420,43648852,BDV27DRAFT_106439,BDV27DRAFT_106439,-,-,Unknown,-,ribonuclease H-like domain-containing protein,protein-coding,-,-,-,ribonuclease H-like domain-containing protein,20201217,-
61420,43648853,BDV27DRAFT_106441,BDV27DRAFT_106441,-,-,Unknown,-,putative cutinase 2,protein-coding,-,-,-,putative cutinase 2,20210306,-
61420,43648854,BDV27DRAFT_106450,BDV27DRAFT_106450,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210306,-
61420,43648855,BDV27DRAFT_106493,BDV27DRAFT_106493,-,-,Unknown,-,superoxide dismutase,protein-coding,-,-,-,superoxide dismutase,20201217,-
