#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540096,24722890,ACQ45_gp02,ACQ45_gp02,CPT_Stevie2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
1540096,24722902,ACQ45_gp14,ACQ45_gp14,CPT_Stevie14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
1540096,24722903,ACQ45_gp15,ACQ45_gp15,CPT_Stevie15,-,-,-,tape measure chaperone protein,protein-coding,-,-,-,tape measure chaperone protein,20201221,-
1540096,24722904,ACQ45_gp16,ACQ45_gp16,CPT_Stevie16,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210129,-
1540096,24722905,ACQ45_gp17,ACQ45_gp17,CPT_Stevie17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1540096,24722906,ACQ45_gp18,ACQ45_gp18,CPT_Stevie18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
1540096,24722907,ACQ45_gp19,ACQ45_gp19,CPT_Stevie19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1540096,24722908,ACQ45_gp20,ACQ45_gp20,CPT_Stevie20,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1540096,24722909,ACQ45_gp21,ACQ45_gp21,CPT_Stevie21,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1540096,24722910,ACQ45_gp22,ACQ45_gp22,CPT_Stevie22,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1540096,24722911,ACQ45_gp23,ACQ45_gp23,CPT_Stevie23,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20201221,-
1540096,24722912,ACQ45_gp24,ACQ45_gp24,CPT_Stevie24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722913,ACQ45_gp25,ACQ45_gp25,CPT_Stevie25,-,-,-,single-strand annealing protein,protein-coding,-,-,-,single-strand annealing protein,20201221,-
1540096,24722914,ACQ45_gp26,ACQ45_gp26,CPT_Stevie26,-,-,-,single-strand DNA-binding protein,protein-coding,-,-,-,single-strand DNA-binding protein,20201221,-
1540096,24722915,ACQ45_gp27,ACQ45_gp27,CPT_Stevie27,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1540096,24722916,ACQ45_gp28,ACQ45_gp28,CPT_Stevie28,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1540096,24722917,ACQ45_gp29,ACQ45_gp29,CPT_Stevie29,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1540096,24722918,ACQ45_gp30,ACQ45_gp30,CPT_Stevie30,-,-,-,helicase,protein-coding,-,-,-,helicase,20210129,-
1540096,24722919,ACQ45_gp31,ACQ45_gp31,CPT_Stevie31,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
1540096,24722920,ACQ45_gp32,ACQ45_gp32,CPT_Stevie32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722921,ACQ45_gp33,ACQ45_gp33,CPT_Stevie33,-,-,-,DNA N-6-adenine methyltransferase,protein-coding,-,-,-,DNA N-6-adenine methyltransferase,20201221,-
1540096,24722922,ACQ45_gp34,ACQ45_gp34,CPT_Stevie34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722923,ACQ45_gp35,ACQ45_gp35,CPT_Stevie35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722924,ACQ45_gp36,ACQ45_gp36,CPT_Stevie36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722925,ACQ45_gp37,ACQ45_gp37,CPT_Stevie37,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20201221,-
1540096,24722926,ACQ45_gp38,ACQ45_gp38,CPT_Stevie38,-,-,-,pinholin,protein-coding,-,-,-,pinholin,20201221,-
1540096,24722927,ACQ45_gp39,ACQ45_gp39,CPT_Stevie39,-,-,-,SAR endolysin,protein-coding,-,-,-,SAR endolysin,20210129,-
1540096,24722928,ACQ45_gp40,ACQ45_gp40,CPT_Stevie40,-,-,-,unimolecular spanin,protein-coding,-,-,-,unimolecular spanin,20201221,-
1540096,24722929,ACQ45_gp41,ACQ45_gp41,CPT_Stevie41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722930,ACQ45_gp42,ACQ45_gp42,CPT_Stevie42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722931,ACQ45_gp43,ACQ45_gp43,CPT_Stevie43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722932,ACQ45_gp44,ACQ45_gp44,CPT_Stevie44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1540096,24722933,ACQ45_gp45,ACQ45_gp45,CPT_Stevie45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722934,ACQ45_gp46,ACQ45_gp46,CPT_Stevie46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722935,ACQ45_gp47,ACQ45_gp47,CPT_Stevie47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722936,ACQ45_gp48,ACQ45_gp48,CPT_Stevie48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722937,ACQ45_gp49,ACQ45_gp49,CPT_Stevie49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722938,ACQ45_gp50,ACQ45_gp50,CPT_Stevie50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722939,ACQ45_gp51,ACQ45_gp51,CPT_Stevie51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722940,ACQ45_gp52,ACQ45_gp52,CPT_Stevie52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722941,ACQ45_gp53,ACQ45_gp53,CPT_Stevie53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722942,ACQ45_gp54,ACQ45_gp54,CPT_Stevie54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722943,ACQ45_gp55,ACQ45_gp55,CPT_Stevie55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722944,ACQ45_gp56,ACQ45_gp56,CPT_Stevie56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722945,ACQ45_gp57,ACQ45_gp57,CPT_Stevie57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722946,ACQ45_gp58,ACQ45_gp58,CPT_Stevie58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722947,ACQ45_gp59,ACQ45_gp59,CPT_Stevie59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722948,ACQ45_gp60,ACQ45_gp60,CPT_Stevie60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722949,ACQ45_gp61,ACQ45_gp61,CPT_Stevie61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722950,ACQ45_gp62,ACQ45_gp62,CPT_Stevie62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722951,ACQ45_gp63,ACQ45_gp63,CPT_Stevie63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722952,ACQ45_gp64,ACQ45_gp64,CPT_Stevie64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722953,ACQ45_gp65,ACQ45_gp65,CPT_Stevie65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722954,ACQ45_gp66,ACQ45_gp66,CPT_Stevie66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722955,ACQ45_gp67,ACQ45_gp67,CPT_Stevie67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722956,ACQ45_gp68,ACQ45_gp68,CPT_Stevie68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722957,ACQ45_gp69,ACQ45_gp69,CPT_Stevie69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722958,ACQ45_gp70,ACQ45_gp70,CPT_Stevie70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722959,ACQ45_gp71,ACQ45_gp71,CPT_Stevie71,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20201221,-
1540096,24722960,ACQ45_gp72,ACQ45_gp72,CPT_Stevie72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722961,ACQ45_gp73,ACQ45_gp73,CPT_Stevie73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722962,ACQ45_gp74,ACQ45_gp74,CPT_Stevie74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722963,ACQ45_gp75,ACQ45_gp75,CPT_Stevie75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722964,ACQ45_gp76,ACQ45_gp76,CPT_Stevie76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722965,ACQ45_gp77,ACQ45_gp77,CPT_Stevie77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722966,ACQ45_gp78,ACQ45_gp78,CPT_Stevie78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722967,ACQ45_gp79,ACQ45_gp79,CPT_Stevie79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722968,ACQ45_gp80,ACQ45_gp80,CPT_Stevie80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722969,ACQ45_gp81,ACQ45_gp81,CPT_Stevie81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722970,ACQ45_gp82,ACQ45_gp82,CPT_Stevie82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722971,ACQ45_gp83,ACQ45_gp83,CPT_Stevie83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722972,ACQ45_gp84,ACQ45_gp84,CPT_Stevie84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722973,ACQ45_gp85,ACQ45_gp85,CPT_Stevie85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722974,ACQ45_gp86,ACQ45_gp86,CPT_Stevie86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722975,ACQ45_gp87,ACQ45_gp87,CPT_Stevie87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722976,ACQ45_gp88,ACQ45_gp88,CPT_Stevie88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722977,ACQ45_gp89,ACQ45_gp89,CPT_Stevie89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722978,ACQ45_gp90,ACQ45_gp90,CPT_Stevie90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722979,ACQ45_gp01,ACQ45_gp01,CPT_Stevie1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210212,-
1540096,24936580,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Citrobacter phage Stevie).,other,-,-,-,-,20200513,-
