#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696340,55626634,HWD05_gp002,HWD05_gp002,CPT_CIP9_002,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210313,-
2696340,55626676,HWD05_gp044,HWD05_gp044,CPT_CIP9_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626677,pseT,HWD05_gp045,CPT_CIP9_045,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20210313,-
2696340,55626678,HWD05_gp046,HWD05_gp046,CPT_CIP9_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626679,HWD05_gp047,HWD05_gp047,CPT_CIP9_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626680,HWD05_gp048,HWD05_gp048,CPT_CIP9_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626681,HWD05_gp049,HWD05_gp049,CPT_CIP9_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626682,alc,HWD05_gp050,CPT_CIP9_050,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210313,-
2696340,55626683,rnlA,HWD05_gp051,CPT_CIP9_051,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210313,-
2696340,55626684,denA,HWD05_gp052,CPT_CIP9_052,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210313,-
2696340,55626685,nrdB,HWD05_gp053,CPT_CIP9_053,-,-,-,"aerobic NDP reductase, small subunit",protein-coding,-,-,-,"aerobic NDP reductase, small subunit",20210313,-
2696340,55626686,HWD05_gp054,HWD05_gp054,CPT_CIP9_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626687,HWD05_gp055,HWD05_gp055,CPT_CIP9_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626688,nrdA,HWD05_gp056,CPT_CIP9_056,-,-,-,"aerobic NDP reductase, large subunit",protein-coding,-,-,-,"aerobic NDP reductase, large subunit",20210306,-
2696340,55626689,HWD05_gp057,HWD05_gp057,CPT_CIP9_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2696340,55626690,td,HWD05_gp058,CPT_CIP9_058,-,-,-,dTMP (thymidylate) synthase,protein-coding,-,-,-,dTMP (thymidylate) synthase,20210313,-
2696340,55626691,HWD05_gp059,HWD05_gp059,CPT_CIP9_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626692,HWD05_gp060,HWD05_gp060,CPT_CIP9_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626693,HWD05_gp061,HWD05_gp061,CPT_CIP9_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626694,frd,HWD05_gp062,CPT_CIP9_062,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210313,-
2696340,55626695,HWD05_gp063,HWD05_gp063,CPT_CIP9_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626696,HWD05_gp064,HWD05_gp064,CPT_CIP9_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626697,HWD05_gp065,HWD05_gp065,CPT_CIP9_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626698,HWD05_gp066,HWD05_gp066,CPT_CIP9_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626699,HWD05_gp067,HWD05_gp067,CPT_CIP9_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626700,HWD05_gp068,HWD05_gp068,CPT_CIP9_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626701,HWD05_gp069,HWD05_gp069,CPT_CIP9_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626702,HWD05_gp070,HWD05_gp070,CPT_CIP9_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626703,HWD05_gp071,HWD05_gp071,CPT_CIP9_071,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210313,-
2696340,55626704,HWD05_gp072,HWD05_gp072,CPT_CIP9_072,-,-,-,loader of gp41 DNA helicase,protein-coding,-,-,-,loader of gp41 DNA helicase,20210306,-
2696340,55626705,HWD05_gp073,HWD05_gp073,CPT_CIP9_073,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210313,-
2696340,55626706,dsbA,HWD05_gp074,CPT_CIP9_074,-,-,-,"dsDNA binding protein, late transcription",protein-coding,-,-,-,"dsDNA binding protein, late transcription",20210306,-
2696340,55626707,rnh,HWD05_gp075,CPT_CIP9_075,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20210313,-
2696340,55626708,HWD05_gp076,HWD05_gp076,CPT_CIP9_076,-,-,-,"long tail fiber, proximal subunit",protein-coding,-,-,-,"long tail fiber, proximal subunit",20210313,-
2696340,55626709,HWD05_gp077,HWD05_gp077,CPT_CIP9_077,-,-,-,"hinge connector of long tail fiber, proximal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, proximal connector",20200620,-
2696340,55626710,HWD05_gp078,HWD05_gp078,CPT_CIP9_078,-,-,-,"hinge connector of long tail fiber, distal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, distal connector",20200620,-
2696340,55626711,HWD05_gp079,HWD05_gp079,CPT_CIP9_079,-,-,-,"long tail fiber, distal subunit",protein-coding,-,-,-,"long tail fiber, distal subunit",20210313,-
2696340,55626712,HWD05_gp080,HWD05_gp080,CPT_CIP9_080,-,-,-,tail fiber adhesin,protein-coding,-,-,-,tail fiber adhesin,20210313,-
2696340,55626713,t,HWD05_gp081,CPT_CIP9_081,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20210313,-
2696340,55626714,srd,HWD05_gp082,CPT_CIP9_082,-,-,-,anti-sigma 70 protein,protein-coding,-,-,-,anti-sigma 70 protein,20210306,-
2696340,55626715,HWD05_gp083,HWD05_gp083,CPT_CIP9_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626716,HWD05_gp084,HWD05_gp084,CPT_CIP9_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626717,HWD05_gp085,HWD05_gp085,CPT_CIP9_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626718,HWD05_gp086,HWD05_gp086,CPT_CIP9_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626719,HWD05_gp087,HWD05_gp087,CPT_CIP9_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2696340,55626720,HWD05_gp088,HWD05_gp088,CPT_CIP9_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626721,motA,HWD05_gp089,CPT_CIP9_089,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20210313,-
2696340,55626722,HWD05_gp090,HWD05_gp090,CPT_CIP9_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626723,HWD05_gp091,HWD05_gp091,CPT_CIP9_091,-,-,-,putative periplasmic protein,protein-coding,-,-,-,putative periplasmic protein,20200620,-
2696340,55626724,HWD05_gp092,HWD05_gp092,CPT_CIP9_092,-,-,-,"topoisomerase II, medium subunit",protein-coding,-,-,-,"topoisomerase II, medium subunit",20210313,-
2696340,55626725,HWD05_gp093,HWD05_gp093,CPT_CIP9_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626726,HWD05_gp094,HWD05_gp094,CPT_CIP9_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626727,ndd,HWD05_gp095,CPT_CIP9_095,-,-,-,nucleoid distruption protein,protein-coding,-,-,-,nucleoid distruption protein,20210313,-
2696340,55626728,HWD05_gp096,HWD05_gp096,CPT_CIP9_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626729,HWD05_gp097,HWD05_gp097,CPT_CIP9_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626730,HWD05_gp098,HWD05_gp098,CPT_CIP9_098,-,-,-,putative inner membrane protein,protein-coding,-,-,-,putative inner membrane protein,20200620,-
2696340,55626731,HWD05_gp099,HWD05_gp099,CPT_CIP9_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626732,denB,HWD05_gp100,CPT_CIP9_100,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200620,-
2696340,55626733,HWD05_gp101,HWD05_gp101,CPT_CIP9_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626734,HWD05_gp102,HWD05_gp102,CPT_CIP9_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626735,rIIB,HWD05_gp103,CPT_CIP9_103,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20200620,-
2696340,55626736,rIIA,HWD05_gp104,CPT_CIP9_104,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210313,-
2696340,55626737,HWD05_gp105,HWD05_gp105,CPT_CIP9_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626738,HWD05_gp106,HWD05_gp106,CPT_CIP9_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626739,HWD05_gp107,HWD05_gp107,CPT_CIP9_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626740,HWD05_gp108,HWD05_gp108,CPT_CIP9_108,-,-,-,"topoisomerase II, large subunit",protein-coding,-,-,-,"topoisomerase II, large subunit",20210313,-
2696340,55626741,HWD05_gp109,HWD05_gp109,CPT_CIP9_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626742,HWD05_gp110,HWD05_gp110,CPT_CIP9_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626743,HWD05_gp111,HWD05_gp111,CPT_CIP9_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626744,HWD05_gp112,HWD05_gp112,CPT_CIP9_112,-,-,-,putative regulatory protein,protein-coding,-,-,-,putative regulatory protein,20210313,-
2696340,55626745,HWD05_gp113,HWD05_gp113,CPT_CIP9_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626746,goF,HWD05_gp114,CPT_CIP9_114,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20200620,-
2696340,55626747,cef,HWD05_gp115,CPT_CIP9_115,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20200620,-
2696340,55626748,motB,HWD05_gp116,CPT_CIP9_116,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20210313,-
2696340,55626749,HWD05_gp117,HWD05_gp117,CPT_CIP9_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626750,dexA,HWD05_gp118,CPT_CIP9_118,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210306,-
2696340,55626751,HWD05_gp119,HWD05_gp119,CPT_CIP9_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626752,dda,HWD05_gp120,CPT_CIP9_120,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210313,-
2696340,55626753,HWD05_gp121,HWD05_gp121,CPT_CIP9_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626754,srd,HWD05_gp122,CPT_CIP9_122,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200620,-
2696340,55626755,modB,HWD05_gp123,CPT_CIP9_123,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20200620,-
2696340,55626756,HWD05_gp124,HWD05_gp124,CPT_CIP9_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626757,HWD05_gp125,HWD05_gp125,CPT_CIP9_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626758,HWD05_gp126,HWD05_gp126,CPT_CIP9_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626759,HWD05_gp127,HWD05_gp127,CPT_CIP9_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626760,HWD05_gp128,HWD05_gp128,CPT_CIP9_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626761,hoc,HWD05_gp129,CPT_CIP9_129,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20210313,-
2696340,55626762,soc,HWD05_gp130,CPT_CIP9_130,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210313,-
2696340,55626763,HWD05_gp131,HWD05_gp131,CPT_CIP9_131,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20210306,-
2696340,55626764,HWD05_gp132,HWD05_gp132,CPT_CIP9_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626765,HWD05_gp133,HWD05_gp133,CPT_CIP9_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626766,HWD05_gp134,HWD05_gp134,CPT_CIP9_134,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210313,-
2696340,55626767,HWD05_gp135,HWD05_gp135,CPT_CIP9_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626768,HWD05_gp136,HWD05_gp136,CPT_CIP9_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626769,HWD05_gp137,HWD05_gp137,CPT_CIP9_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626770,HWD05_gp138,HWD05_gp138,CPT_CIP9_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626771,HWD05_gp139,HWD05_gp139,CPT_CIP9_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626772,HWD05_gp140,HWD05_gp140,CPT_CIP9_140,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210313,-
2696340,55626773,HWD05_gp141,HWD05_gp141,CPT_CIP9_141,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210306,-
2696340,55626774,uvsX,HWD05_gp142,CPT_CIP9_142,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210306,-
2696340,55626775,HWD05_gp143,HWD05_gp143,CPT_CIP9_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626776,HWD05_gp144,HWD05_gp144,CPT_CIP9_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626777,HWD05_gp145,HWD05_gp145,CPT_CIP9_145,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20210313,-
2696340,55626778,HWD05_gp146,HWD05_gp146,CPT_CIP9_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626779,HWD05_gp147,HWD05_gp147,CPT_CIP9_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626780,HWD05_gp148,HWD05_gp148,CPT_CIP9_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626781,HWD05_gp149,HWD05_gp149,CPT_CIP9_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626782,HWD05_gp150,HWD05_gp150,CPT_CIP9_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626783,HWD05_gp151,HWD05_gp151,CPT_CIP9_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626784,HWD05_gp152,HWD05_gp152,CPT_CIP9_152,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210313,-
2696340,55626785,HWD05_gp153,HWD05_gp153,CPT_CIP9_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626786,regA,HWD05_gp154,CPT_CIP9_154,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210306,-
2696340,55626787,HWD05_gp155,HWD05_gp155,CPT_CIP9_155,-,-,-,clamp loader small subunit,protein-coding,-,-,-,clamp loader small subunit,20210313,-
2696340,55626788,HWD05_gp156,HWD05_gp156,CPT_CIP9_156,-,-,-,clamp loader small subunit,protein-coding,-,-,-,clamp loader small subunit,20210313,-
2696340,55626789,HWD05_gp157,HWD05_gp157,CPT_CIP9_157,-,-,-,"sliding clamp, DNA polymerase accessory protein",protein-coding,-,-,-,"sliding clamp, DNA polymerase accessory protein",20210306,-
2696340,55626790,rpbA,HWD05_gp158,CPT_CIP9_158,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210313,-
2696340,55626791,HWD05_gp159,HWD05_gp159,CPT_CIP9_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626792,HWD05_gp160,HWD05_gp160,CPT_CIP9_160,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210313,-
2696340,55626793,HWD05_gp161,HWD05_gp161,CPT_CIP9_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626794,HWD05_gp162,HWD05_gp162,CPT_CIP9_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626795,HWD05_gp163,HWD05_gp163,CPT_CIP9_163,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210306,-
2696340,55626796,HWD05_gp164,HWD05_gp164,CPT_CIP9_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626797,HWD05_gp165,HWD05_gp165,CPT_CIP9_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2696340,55626798,HWD05_gp166,HWD05_gp166,CPT_CIP9_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626799,HWD05_gp167,HWD05_gp167,CPT_CIP9_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626800,HWD05_gp168,HWD05_gp168,CPT_CIP9_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626801,HWD05_gp169,HWD05_gp169,CPT_CIP9_169,-,-,-,sigma factor for T4 late transcription,protein-coding,-,-,-,sigma factor for T4 late transcription,20210313,-
2696340,55626802,HWD05_gp170,HWD05_gp170,CPT_CIP9_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626803,HWD05_gp171,HWD05_gp171,CPT_CIP9_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
