#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315544,63925704,2,KDW68_gp02,SEA_PAITO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210422,-
2315544,63925757,56,KDW68_gp56,SEA_PAITO_56,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210422,-
2315544,63925758,57,KDW68_gp57,SEA_PAITO_57,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210422,-
2315544,63925759,58,KDW68_gp58,SEA_PAITO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925760,59,KDW68_gp59,SEA_PAITO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925761,60,KDW68_gp60,SEA_PAITO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925762,61,KDW68_gp61,SEA_PAITO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925763,62,KDW68_gp62,SEA_PAITO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925764,63,KDW68_gp63,SEA_PAITO_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210422,-
2315544,63925765,64,KDW68_gp64,SEA_PAITO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925766,65,KDW68_gp65,SEA_PAITO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925767,66,KDW68_gp66,SEA_PAITO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925768,67,KDW68_gp67,SEA_PAITO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925769,68,KDW68_gp68,SEA_PAITO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925770,55,KDW68_gp55,SEA_PAITO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925771,1,KDW68_gp01,SEA_PAITO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,64409735,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
