#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024308,40095418,FDJ02_gp001,FDJ02_gp001,Sf21_gp1,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
2024308,40095443,FDJ02_gp026,FDJ02_gp026,Sf21_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095444,FDJ02_gp027,FDJ02_gp027,Sf21_gp27,-,-,-,gp27,protein-coding,-,-,-,gp27|putative small outer capsid protein,20201221,-
2024308,40095445,FDJ02_gp028,FDJ02_gp028,Sf21_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095446,FDJ02_gp029,FDJ02_gp029,Sf21_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095447,FDJ02_gp030,FDJ02_gp030,Sf21_gp30,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20200629,-
2024308,40095448,FDJ02_gp031,FDJ02_gp031,Sf21_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095449,FDJ02_gp032,FDJ02_gp032,Sf21_gp32,-,-,-,"DNA primase/helicase, primase subunit",protein-coding,-,-,-,"DNA primase/helicase, primase subunit",20200629,-
2024308,40095450,FDJ02_gp033,FDJ02_gp033,Sf21_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095451,FDJ02_gp034,FDJ02_gp034,Sf21_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095452,FDJ02_gp035,FDJ02_gp035,Sf21_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095453,FDJ02_gp036,FDJ02_gp036,Sf21_gp36,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20200629,-
2024308,40095454,FDJ02_gp037,FDJ02_gp037,Sf21_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095455,FDJ02_gp038,FDJ02_gp038,Sf21_gp38,-,-,-,descriminator of mRNA degradation,protein-coding,-,-,-,descriminator of mRNA degradation,20200629,-
2024308,40095456,FDJ02_gp039,FDJ02_gp039,Sf21_gp39,-,-,-,"DNA primase/helicase, helicase subunit",protein-coding,-,-,-,"DNA primase/helicase, helicase subunit",20200629,-
2024308,40095457,FDJ02_gp040,FDJ02_gp040,Sf21_gp40,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20200629,-
2024308,40095458,FDJ02_gp041,FDJ02_gp041,Sf21_gp41,-,-,-,RecA-like recombinase protein,protein-coding,-,-,-,RecA-like recombinase protein,20210129,-
2024308,40095459,FDJ02_gp042,FDJ02_gp042,Sf21_gp42,-,-,-,putative beta-glucosyltransferase,protein-coding,-,-,-,putative beta-glucosyltransferase,20200629,-
2024308,40095460,FDJ02_gp043,FDJ02_gp043,Sf21_gp43,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20200629,-
2024308,40095461,FDJ02_gp044,FDJ02_gp044,Sf21_gp44,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210129,-
2024308,40095462,FDJ02_gp045,FDJ02_gp045,Sf21_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095463,FDJ02_gp046,FDJ02_gp046,Sf21_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095464,FDJ02_gp047,FDJ02_gp047,Sf21_gp47,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
2024308,40095465,FDJ02_gp048,FDJ02_gp048,Sf21_gp48,-,-,-,translation repressor protein,protein-coding,-,-,-,translation repressor protein,20200629,-
2024308,40095466,FDJ02_gp049,FDJ02_gp049,Sf21_gp49,-,-,-,"clamp loader, small subunit",protein-coding,-,-,-,"clamp loader, small subunit",20200629,-
2024308,40095467,FDJ02_gp050,FDJ02_gp050,Sf21_gp50,-,-,-,"clamp loader, small subunit",protein-coding,-,-,-,"clamp loader, small subunit",20200629,-
2024308,40095468,FDJ02_gp051,FDJ02_gp051,Sf21_gp51,-,-,-,gp45 sliding clamp DNA polymerase,protein-coding,-,-,-,gp45 sliding clamp DNA polymerase,20201221,-
2024308,40095469,FDJ02_gp052,FDJ02_gp052,Sf21_gp52,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200629,-
2024308,40095470,FDJ02_gp053,FDJ02_gp053,Sf21_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095471,FDJ02_gp054,FDJ02_gp054,Sf21_gp54,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20200629,-
2024308,40095472,FDJ02_gp055,FDJ02_gp055,Sf21_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024308,40095473,FDJ02_gp056,FDJ02_gp056,Sf21_gp56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095474,FDJ02_gp057,FDJ02_gp057,Sf21_gp57,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20200629,-
2024308,40095475,FDJ02_gp058,FDJ02_gp058,Sf21_gp58,-,-,-,alpha glucosyl transferase,protein-coding,-,-,-,alpha glucosyl transferase,20200629,-
2024308,40095476,FDJ02_gp059,FDJ02_gp059,Sf21_gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095477,FDJ02_gp060,FDJ02_gp060,Sf21_gp60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095478,FDJ02_gp061,FDJ02_gp061,Sf21_gp61,-,-,-,a-gt.4 family protein,protein-coding,-,-,-,a-gt.4 family protein,20201221,-
2024308,40095479,FDJ02_gp062,FDJ02_gp062,Sf21_gp62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095480,FDJ02_gp063,FDJ02_gp063,Sf21_gp63,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20200629,-
2024308,40095481,FDJ02_gp064,FDJ02_gp064,Sf21_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095482,FDJ02_gp065,FDJ02_gp065,Sf21_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095483,FDJ02_gp066,FDJ02_gp066,Sf21_gp66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095484,FDJ02_gp067,FDJ02_gp067,Sf21_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095485,FDJ02_gp068,FDJ02_gp068,Sf21_gp68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095486,FDJ02_gp069,FDJ02_gp069,Sf21_gp69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095487,FDJ02_gp070,FDJ02_gp070,Sf21_gp70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095488,FDJ02_gp071,FDJ02_gp071,Sf21_gp71,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210123,-
2024308,40095489,FDJ02_gp072,FDJ02_gp072,Sf21_gp72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095490,FDJ02_gp073,FDJ02_gp073,Sf21_gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095491,FDJ02_gp074,FDJ02_gp074,Sf21_gp74,-,-,-,"anaerobic NTP reductase, small subunit",protein-coding,-,-,-,"anaerobic NTP reductase, small subunit",20200629,-
2024308,40095492,FDJ02_gp075,FDJ02_gp075,Sf21_gp75,-,-,-,"anaerobic NTP reductase, large subunit",protein-coding,-,-,-,"anaerobic NTP reductase, large subunit",20200629,-
2024308,40095493,FDJ02_gp076,FDJ02_gp076,Sf21_gp76,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20201221,-
2024308,40095494,FDJ02_gp077,FDJ02_gp077,Sf21_gp77,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20200629,-
2024308,40095495,FDJ02_gp078,FDJ02_gp078,Sf21_gp78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095496,FDJ02_gp079,FDJ02_gp079,Sf21_gp79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095497,FDJ02_gp080,FDJ02_gp080,Sf21_gp80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095498,FDJ02_gp081,FDJ02_gp081,Sf21_gp81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095499,FDJ02_gp082,FDJ02_gp082,Sf21_gp82,-,-,-,NrdC thioredoxin,protein-coding,-,-,-,NrdC thioredoxin,20210212,-
2024308,40095500,FDJ02_gp083,FDJ02_gp083,Sf21_gp83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095501,FDJ02_gp084,FDJ02_gp084,Sf21_gp84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095502,FDJ02_gp085,FDJ02_gp085,Sf21_gp85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095503,FDJ02_gp086,FDJ02_gp086,Sf21_gp86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095504,FDJ02_gp087,FDJ02_gp087,Sf21_gp87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095505,FDJ02_gp088,FDJ02_gp088,Sf21_gp88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095506,FDJ02_gp089,FDJ02_gp089,Sf21_gp89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095507,FDJ02_gp090,FDJ02_gp090,Sf21_gp90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095508,FDJ02_gp091,FDJ02_gp091,Sf21_gp91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095509,FDJ02_gp092,FDJ02_gp092,Sf21_gp92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2024308,40095510,FDJ02_gp093,FDJ02_gp093,Sf21_gp93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095511,FDJ02_gp094,FDJ02_gp094,Sf21_gp94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095512,FDJ02_gp095,FDJ02_gp095,Sf21_gp95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095513,FDJ02_gp096,FDJ02_gp096,Sf21_gp96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095514,FDJ02_gp097,FDJ02_gp097,Sf21_gp97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095515,FDJ02_gp098,FDJ02_gp098,Sf21_gp98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095516,FDJ02_gp099,FDJ02_gp099,Sf21_gp99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095517,FDJ02_gp100,FDJ02_gp100,Sf21_gp100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095518,FDJ02_gp101,FDJ02_gp101,Sf21_gp101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095519,FDJ02_gp102,FDJ02_gp102,Sf21_gp102,-,-,-,"lysis inhibition regulator, rI",protein-coding,-,-,-,"lysis inhibition regulator, rI",20200629,-
2024308,40095520,FDJ02_gp103,FDJ02_gp103,Sf21_gp103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095521,FDJ02_gp104,FDJ02_gp104,Sf21_gp104,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200629,-
2024308,40095522,FDJ02_gp105,FDJ02_gp105,Sf21_gp105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095523,FDJ02_gp106,FDJ02_gp106,Sf21_gp106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2024308,40095524,FDJ02_gp107,FDJ02_gp107,Sf21_gp107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095525,FDJ02_gp108,FDJ02_gp108,Sf21_gp108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095526,FDJ02_gp109,FDJ02_gp109,Sf21_gp109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095527,FDJ02_gp110,FDJ02_gp110,Sf21_gp110,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20200629,-
2024308,40095528,FDJ02_gp111,FDJ02_gp111,Sf21_gp111,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
2024308,40095529,FDJ02_gp112,FDJ02_gp112,Sf21_gp112,-,-,-,site-specific RNase,protein-coding,-,-,-,site-specific RNase,20210129,-
2024308,40095530,FDJ02_gp113,FDJ02_gp113,Sf21_gp113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095531,FDJ02_gp114,FDJ02_gp114,Sf21_gp114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095532,FDJ02_gp115,FDJ02_gp115,Sf21_gp115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095533,FDJ02_gp116,FDJ02_gp116,Sf21_gp116,-,-,-,autonomous glycyl radical cofactor GrcA,protein-coding,-,-,-,autonomous glycyl radical cofactor GrcA,20201221,-
2024308,40095534,FDJ02_gp117,FDJ02_gp117,Sf21_gp117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095535,FDJ02_gp118,FDJ02_gp118,Sf21_gp118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095536,FDJ02_gp119,FDJ02_gp119,Sf21_gp119,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20200629,-
2024308,40095537,FDJ02_gp120,FDJ02_gp120,Sf21_gp120,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
2024308,40095538,FDJ02_gp121,FDJ02_gp121,Sf21_gp121,-,-,-,glycoside hydrolase family protein,protein-coding,-,-,-,glycoside hydrolase family protein,20201221,-
2024308,40095539,FDJ02_gp122,FDJ02_gp122,Sf21_gp122,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20200629,-
2024308,40095540,FDJ02_gp123,FDJ02_gp123,Sf21_gp123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095541,FDJ02_gp124,FDJ02_gp124,Sf21_gp124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095542,FDJ02_gp125,FDJ02_gp125,Sf21_gp125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095543,FDJ02_gp126,FDJ02_gp126,Sf21_gp126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095544,FDJ02_gp127,FDJ02_gp127,Sf21_gp127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095545,FDJ02_gp128,FDJ02_gp128,Sf21_gp128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095546,FDJ02_gp129,FDJ02_gp129,Sf21_gp129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095547,FDJ02_gp130,FDJ02_gp130,Sf21_gp130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095548,FDJ02_gp131,FDJ02_gp131,Sf21_gp131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095549,FDJ02_gt001,FDJ02_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2024308,40095550,FDJ02_gp265,FDJ02_gp265,Sf21_gp133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095551,FDJ02_gp264,FDJ02_gp264,Sf21_gp134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095552,FDJ02_gp263,FDJ02_gp263,Sf21_gp135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095553,FDJ02_gp262,FDJ02_gp262,Sf21_gp136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095554,FDJ02_gp261,FDJ02_gp261,Sf21_gp137,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20200629,-
2024308,40095555,FDJ02_gp260,FDJ02_gp260,Sf21_gp138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095556,FDJ02_gp259,FDJ02_gp259,Sf21_gp139,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200629,-
2024308,40095557,FDJ02_gp258,FDJ02_gp258,Sf21_gp140,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20200629,-
2024308,40095558,FDJ02_gp257,FDJ02_gp257,Sf21_gp141,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
2024308,40095559,FDJ02_gp256,FDJ02_gp256,Sf21_gp142,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200629,-
2024308,40095560,FDJ02_gp255,FDJ02_gp255,Sf21_gp143,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200629,-
2024308,40095561,FDJ02_gp254,FDJ02_gp254,Sf21_gp144,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024308,40095562,FDJ02_gp253,FDJ02_gp253,Sf21_gp145,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024308,40095563,FDJ02_gp252,FDJ02_gp252,Sf21_gp146,-,-,-,baseplate hub and tail lysozyme,protein-coding,-,-,-,baseplate hub and tail lysozyme,20200629,-
2024308,40095564,FDJ02_gp251,FDJ02_gp251,Sf21_gp147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095565,FDJ02_gp250,FDJ02_gp250,Sf21_gp148,-,-,-,PAAR domain-containing protein,protein-coding,-,-,-,PAAR domain-containing protein,20201221,-
2024308,40095566,FDJ02_gp249,FDJ02_gp249,Sf21_gp149,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024308,40095567,FDJ02_gp248,FDJ02_gp248,Sf21_gp150,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200629,-
2024308,40095568,FDJ02_gp247,FDJ02_gp247,Sf21_gp151,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
2024308,40095569,FDJ02_gp246,FDJ02_gp246,Sf21_gp152,-,-,-,baseplate wedge subunit and tail fiber connector,protein-coding,-,-,-,baseplate wedge subunit and tail fiber connector,20200629,-
2024308,40095570,FDJ02_gp245,FDJ02_gp245,Sf21_gp153,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
2024308,40095571,FDJ02_gp244,FDJ02_gp244,Sf21_gp154,-,-,-,baseplate wedge completion tail pin,protein-coding,-,-,-,baseplate wedge completion tail pin,20201221,-
2024308,40095572,FDJ02_gp243,FDJ02_gp243,Sf21_gp155,-,-,-,short tail fiber,protein-coding,-,-,-,short tail fiber,20210424,-
2024308,40095573,FDJ02_gp242,FDJ02_gp242,Sf21_gp156,-,-,-,neck protein fibritin,protein-coding,-,-,-,neck protein fibritin,20201221,-
2024308,40095574,FDJ02_gp241,FDJ02_gp241,Sf21_gp157,-,-,-,neck or collar protein,protein-coding,-,-,-,neck or collar protein,20200629,-
2024308,40095575,FDJ02_gp240,FDJ02_gp240,Sf21_gp158,-,-,-,neck or collar protein,protein-coding,-,-,-,neck or collar protein,20200629,-
2024308,40095576,FDJ02_gp239,FDJ02_gp239,Sf21_gp159,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200629,-
2024308,40095577,FDJ02_gp238,FDJ02_gp238,Sf21_gp160,-,-,-,small terminase protein,protein-coding,-,-,-,small terminase protein,20201221,-
2024308,40095578,FDJ02_gp237,FDJ02_gp237,Sf21_gp161,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
2024308,40095579,FDJ02_gp236,FDJ02_gp236,Sf21_gp162,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20201221,-
2024308,40095580,FDJ02_gp235,FDJ02_gp235,Sf21_gp163,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
2024308,40095581,FDJ02_gp234,FDJ02_gp234,Sf21_gp164,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
2024308,40095582,FDJ02_gp233,FDJ02_gp233,Sf21_gp165,-,-,-,prohead core scaffolding protein,protein-coding,-,-,-,prohead core scaffolding protein,20200629,-
2024308,40095583,FDJ02_gp232,FDJ02_gp232,Sf21_gp166,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201221,-
2024308,40095584,FDJ02_gp231,FDJ02_gp231,Sf21_gp167,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20210212,-
2024308,40095585,FDJ02_gp230,FDJ02_gp230,Sf21_gp168,-,-,-,prohead core scaffolding protein,protein-coding,-,-,-,prohead core scaffolding protein,20200629,-
2024308,40095586,FDJ02_gp229,FDJ02_gp229,Sf21_gp169,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
2024308,40095587,FDJ02_gp228,FDJ02_gp228,Sf21_gp170,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein|gp170,20200629,-
2024308,40095588,FDJ02_gp227,FDJ02_gp227,Sf21_gp171,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20200629,-
