#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163890,65054912,KMB96_gp002,KMB96_gp002,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163890,65054926,KMB96_gp016,KMB96_gp016,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2163890,65054927,KMB96_gp017,KMB96_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054928,KMB96_gp018,KMB96_gp018,-,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20210607,-
2163890,65054929,KMB96_gp019,KMB96_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054930,KMB96_gp020,KMB96_gp020,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210612,-
2163890,65054931,KMB96_gp021,KMB96_gp021,-,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2163890,65054932,KMB96_gp022,KMB96_gp022,-,-,-,-,tail fiber adhesin,protein-coding,-,-,-,tail fiber adhesin,20210607,-
2163890,65054933,KMB96_gp023,KMB96_gp023,-,-,-,-,long tail fiber distal subunit,protein-coding,-,-,-,long tail fiber distal subunit,20210607,-
2163890,65054934,KMB96_gp024,KMB96_gp024,-,-,-,-,putative hinge connector of long tail fiber distal connector,protein-coding,-,-,-,putative hinge connector of long tail fiber distal connector,20210607,-
2163890,65054935,KMB96_gp025,KMB96_gp025,-,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20210607,-
2163890,65054936,KMB96_gp026,KMB96_gp026,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2163890,65054937,KMB96_gp027,KMB96_gp027,-,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20210607,-
2163890,65054938,KMB96_gp028,KMB96_gp028,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210612,-
2163890,65054939,KMB96_gp029,KMB96_gp029,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20210607,-
2163890,65054940,KMB96_gp030,KMB96_gp030,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2163890,65054941,KMB96_gp031,KMB96_gp031,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2163890,65054942,KMB96_gp032,KMB96_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054943,KMB96_gp033,KMB96_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054944,KMB96_gp034,KMB96_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054945,KMB96_gp035,KMB96_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054946,KMB96_gp036,KMB96_gp036,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2163890,65054947,KMB96_gp037,KMB96_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054948,KMB96_gp038,KMB96_gp038,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2163890,65054949,KMB96_gp039,KMB96_gp039,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210612,-
2163890,65054950,KMB96_gp040,KMB96_gp040,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2163890,65054951,KMB96_gp041,KMB96_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054952,KMB96_gp042,KMB96_gp042,-,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",20210607,-
2163890,65054953,KMB96_gp043,KMB96_gp043,-,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",20210607,-
2163890,65054954,KMB96_gp044,KMB96_gp044,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2163890,65054955,KMB96_gp045,KMB96_gp045,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2163890,65054956,KMB96_gp046,KMB96_gp046,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2163890,65054957,KMB96_gp047,KMB96_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054958,KMB96_gp048,KMB96_gp048,-,-,-,-,outer membrane lipoprotein Rz1,protein-coding,-,-,-,outer membrane lipoprotein Rz1,20210607,-
2163890,65054959,KMB96_gp049,KMB96_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054960,KMB96_gp050,KMB96_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054961,KMB96_gp051,KMB96_gp051,-,-,-,-,putative polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,putative polynucleotide 5'-kinase and 3'-phosphatase,20210607,-
2163890,65054962,KMB96_gp052,KMB96_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054963,KMB96_gp053,KMB96_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054964,KMB96_gp054,KMB96_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054965,KMB96_gp055,KMB96_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054966,KMB96_gp056,KMB96_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054967,KMB96_gp057,KMB96_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054968,KMB96_gp058,KMB96_gp058,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210609,-
2163890,65054969,KMB96_gp059,KMB96_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054970,KMB96_gp060,KMB96_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054971,KMB96_gp061,KMB96_gp061,-,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210607,-
2163890,65054972,KMB96_gp062,KMB96_gp062,-,-,-,-,rIII lysis inhibitor accessory,protein-coding,-,-,-,rIII lysis inhibitor accessory,20210607,-
2163890,65054973,KMB96_gp063,KMB96_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054974,KMB96_gp064,KMB96_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054975,KMB96_gp065,KMB96_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163890,65054976,KMB96_gp066,KMB96_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054977,KMB96_gp067,KMB96_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054978,KMB96_gp068,KMB96_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054979,KMB96_gp069,KMB96_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054980,KMB96_gp070,KMB96_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054981,KMB96_gp071,KMB96_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054982,KMB96_gp072,KMB96_gp072,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2163890,65054983,KMB96_gp073,KMB96_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054984,KMB96_gp074,KMB96_gp074,-,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,20210607,-
2163890,65054985,KMB96_gp075,KMB96_gp075,-,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase Alt,20210607,-
2163890,65054986,KMB96_gp076,KMB96_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163890,65054987,KMB96_gp077,KMB96_gp077,-,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2163890,65054988,KMB96_gp078,KMB96_gp078,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210609,-
2163890,65054989,KMB96_gp079,KMB96_gp079,-,-,-,-,baseplate hub subunit tail length determinator,protein-coding,-,-,-,baseplate hub subunit tail length determinator,20210607,-
2163890,65054990,KMB96_gp080,KMB96_gp080,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2163890,65054991,KMB96_gp081,KMB96_gp081,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210609,-
2163890,65054992,KMB96_gp082,KMB96_gp082,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210607,-
2163890,65054993,KMB96_gp083,KMB96_gp083,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2163890,65054994,KMB96_gp084,KMB96_gp084,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163890,65054995,KMB96_gp085,KMB96_gp085,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210607,-
2163890,65054996,KMB96_gp086,KMB96_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054997,KMB96_gp087,KMB96_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054998,KMB96_gp088,KMB96_gp088,-,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,20210609,-
2163890,65054999,KMB96_gp089,KMB96_gp089,-,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,20210607,-
2163890,65055000,KMB96_gp090,KMB96_gp090,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2163890,65055001,KMB96_gp091,KMB96_gp091,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2163890,65055002,KMB96_gp092,KMB96_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055003,KMB96_gp093,KMB96_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055004,KMB96_gp094,KMB96_gp094,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2163890,65055005,KMB96_gp095,KMB96_gp095,-,-,-,-,capsid vertex,protein-coding,-,-,-,capsid vertex,20210607,-
2163890,65055006,KMB96_gp096,KMB96_gp096,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2163890,65055007,KMB96_gp097,KMB96_gp097,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20210607,-
2163890,65055008,KMB96_gp098,KMB96_gp098,-,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210612,-
2163890,65055009,KMB96_gp099,KMB96_gp099,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2163890,65055010,KMB96_gp100,KMB96_gp100,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2163890,65055011,KMB96_gp101,KMB96_gp101,-,-,-,-,portal vertex of the head,protein-coding,-,-,-,portal vertex of the head,20210609,-
2163890,65055012,KMB96_gp102,KMB96_gp102,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210609,-
2163890,65055013,KMB96_gp103,KMB96_gp103,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2163890,65055014,KMB96_gp104,KMB96_gp104,-,-,-,-,"putative terminase DNA packaging enzyme, large subunit",protein-coding,-,-,-,"putative terminase DNA packaging enzyme, large subunit",20210607,-
2163890,65055015,KMB96_gp105,KMB96_gp105,-,-,-,-,"putative terminase DNA packaging enzyme, small subunit",protein-coding,-,-,-,"putative terminase DNA packaging enzyme, small subunit",20210607,-
2163890,65055016,KMB96_gp106,KMB96_gp106,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
2163890,65055017,KMB96_gp107,KMB96_gp107,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163890,65055018,KMB96_gp108,KMB96_gp108,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2163890,65055019,KMB96_gp109,KMB96_gp109,-,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2163890,65055020,KMB96_gp110,KMB96_gp110,-,-,-,-,short tail fibers,protein-coding,-,-,-,short tail fibers,20210607,-
2163890,65055021,KMB96_gp111,KMB96_gp111,-,-,-,-,baseplate wedge completion tail pin,protein-coding,-,-,-,baseplate wedge completion tail pin,20210607,-
2163890,65055022,KMB96_gp112,KMB96_gp112,-,-,-,-,baseplate wedge completion tail pin,protein-coding,-,-,-,baseplate wedge completion tail pin,20210607,-
2163890,65055023,KMB96_gp113,KMB96_gp113,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2163890,65055024,KMB96_gp114,KMB96_gp114,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163890,65055025,KMB96_gp115,KMB96_gp115,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163890,65055026,KMB96_gp116,KMB96_gp116,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163890,65055027,KMB96_gp117,KMB96_gp117,-,-,-,-,phospholipase,protein-coding,-,-,-,phospholipase,20210612,-
2163890,65055028,KMB96_gp118,KMB96_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055029,KMB96_gp119,KMB96_gp119,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
2163890,65055030,KMB96_gp120,KMB96_gp120,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2163890,65055031,KMB96_gp121,KMB96_gp121,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2163890,65055032,KMB96_gp122,KMB96_gp122,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210612,-
2163890,65055033,KMB96_gp123,KMB96_gp123,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210612,-
2163890,65055034,KMB96_gp124,KMB96_gp124,-,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20210607,-
2163890,65055035,KMB96_gp125,KMB96_gp125,-,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210607,-
2163890,65055036,KMB96_gp126,KMB96_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2163890,65055037,KMB96_gp127,KMB96_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055038,KMB96_gp128,KMB96_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055039,KMB96_gp129,KMB96_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055040,KMB96_gp130,KMB96_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055041,KMB96_gp131,KMB96_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055042,KMB96_gp132,KMB96_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055043,KMB96_gp133,KMB96_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055044,KMB96_gp134,KMB96_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055045,KMB96_gp135,KMB96_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055046,KMB96_gp136,KMB96_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055047,KMB96_gp137,KMB96_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055048,KMB96_gp138,KMB96_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055049,KMB96_gp139,KMB96_gp139,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2163890,65055050,KMB96_gp140,KMB96_gp140,-,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210607,-
2163890,65055051,KMB96_gp141,KMB96_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055052,KMB96_gp142,KMB96_gp142,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210609,-
2163890,65055053,KMB96_gp143,KMB96_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055054,KMB96_gp144,KMB96_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055055,KMB96_gp145,KMB96_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055056,KMB96_gp146,KMB96_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055057,KMB96_gp147,KMB96_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055058,KMB96_gp148,KMB96_gp148,-,-,-,-,pyruvate formate-lyase,protein-coding,-,-,-,pyruvate formate-lyase,20210607,-
2163890,65055059,KMB96_gp149,KMB96_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055060,KMB96_gp150,KMB96_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055061,KMB96_gp151,KMB96_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055062,KMB96_gp152,KMB96_gp152,-,-,-,-,endoribonuclease RegB domain-containing protein,protein-coding,-,-,-,endoribonuclease RegB domain-containing protein,20210607,-
2163890,65055063,KMB96_gp153,KMB96_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055064,KMB96_gp154,KMB96_gp154,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2163890,65055065,KMB96_gp155,KMB96_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055066,KMB96_gp156,KMB96_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055067,KMB96_gp157,KMB96_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055068,KMB96_gp158,KMB96_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055069,KMB96_gp159,KMB96_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055070,KMB96_gp160,KMB96_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055071,KMB96_gp161,KMB96_gp161,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210609,-
2163890,65055072,KMB96_gp162,KMB96_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055073,KMB96_gp163,KMB96_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055074,KMB96_gp164,KMB96_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055075,KMB96_gp165,KMB96_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055076,KMB96_gp166,KMB96_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055077,KMB96_gp167,KMB96_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055078,KMB96_gp168,KMB96_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055079,KMB96_gp169,KMB96_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055080,KMB96_gp170,KMB96_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055081,KMB96_gp171,KMB96_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055082,KMB96_gp172,KMB96_gp172,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055083,KMB96_gp173,KMB96_gp173,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055084,KMB96_gp174,KMB96_gp174,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055085,KMB96_gp175,KMB96_gp175,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055086,KMB96_gp176,KMB96_gp176,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055087,KMB96_gp177,KMB96_gp177,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055088,KMB96_gp178,KMB96_gp178,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055089,KMB96_gp179,KMB96_gp179,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055090,KMB96_gp180,KMB96_gp180,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055091,KMB96_gp181,KMB96_gp181,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055092,KMB96_gp182,KMB96_gp182,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055093,KMB96_gp183,KMB96_gp183,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163890,65055094,KMB96_gp184,KMB96_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055095,KMB96_gp185,KMB96_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055096,KMB96_gp186,KMB96_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055097,KMB96_gp187,KMB96_gp187,-,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2163890,65055098,KMB96_gp188,KMB96_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65055099,KMB96_gp189,KMB96_gp189,-,-,-,-,recombinase endonuclease VII,protein-coding,-,-,-,recombinase endonuclease VII,20210612,-
2163890,65055100,KMB96_gp190,KMB96_gp190,-,-,-,-,"ribonucleotide reductase of class III, large subunit",protein-coding,-,-,-,"ribonucleotide reductase of class III, large subunit",20210607,-
