#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458863,22112790,S349_2,S349_2,-,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201221,-
1458863,22112838,S349_50,S349_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112839,S349_51,S349_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112840,S349_52,S349_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112841,S349_53,S349_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112842,S349_54,S349_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112843,S349_55,S349_55,-,-,-,-,NinB-like protein,protein-coding,-,-,-,NinB-like protein,20201221,-
1458863,22112844,S349_56,S349_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112845,S349_57,S349_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112846,S349_58,S349_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112847,S349_59,S349_59,-,-,-,-,Dcm methylase,protein-coding,-,-,-,Dcm methylase,20201221,-
1458863,22112848,S349_60,S349_60,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1458863,22112849,S349_61,S349_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112850,S349_62,S349_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112851,S349_63,S349_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112852,S349_64,S349_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112853,S349_65,S349_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112854,S349_66,S349_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112855,S349_67,S349_67,-,-,-,-,NinG-like protein,protein-coding,-,-,-,NinG-like protein,20201221,-
1458863,22112856,S349_68,S349_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112857,S349_69,S349_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112858,S349_70,S349_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112859,S349_1,S349_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22203806,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
