#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089121,18561234,2,DORI_2,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20201220,-
1089121,18561251,19,DORI_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561252,20,DORI_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561253,21,DORI_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561254,22,DORI_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561255,23,DORI_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561256,24,DORI_24,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
1089121,18561257,25,DORI_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089121,18561258,26,DORI_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561259,27,DORI_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561260,28,DORI_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561261,29,DORI_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561262,30,DORI_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561263,32,DORI_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561264,33,DORI_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561265,34,DORI_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561266,35,DORI_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561267,36,DORI_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561268,37,DORI_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561269,38,DORI_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561270,39,DORI_39,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1089121,18561271,40,DORI_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561272,41,DORI_41,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1089121,18561273,42,DORI_42,-,-,-,-,DNA methylase N-4/N-6,protein-coding,-,-,-,DNA methylase N-4/N-6,20201220,-
1089121,18561274,43,DORI_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561275,45,DORI_45,-,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20201220,-
1089121,18561276,46,DORI_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561277,47,DORI_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561278,48,DORI_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561279,49,DORI_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561280,50,DORI_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561281,51,DORI_51,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
1089121,18561282,52,DORI_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561283,53,DORI_53,-,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20201220,-
1089121,18561284,54,DORI_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561285,55,DORI_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561286,56,DORI_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561287,57,DORI_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561288,58,DORI_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561289,59,DORI_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561290,60,DORI_60,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201220,-
1089121,18561291,61,DORI_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1089121,18561292,62,DORI_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561293,63,DORI_63,-,-,-,-,recombinase domain protein,protein-coding,-,-,-,recombinase domain protein,20201220,-
1089121,18561294,64,DORI_64,-,-,-,-,RecT,protein-coding,-,-,-,RecT,20201220,-
1089121,18561295,65,DORI_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561296,66,DORI_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561297,67,DORI_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561298,68,DORI_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561299,69,DORI_69,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20201220,-
1089121,18561300,70,DORI_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561301,71,DORI_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561302,72,DORI_72,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201220,-
1089121,18561303,73,DORI_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561304,74,DORI_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561305,75,DORI_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561306,76,DORI_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561307,77,DORI_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561308,78,DORI_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561309,79,DORI_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561310,80,DORI_80,-,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20201220,-
1089121,18561311,81,DORI_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561312,82,DORI_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561313,83,DORI_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561314,84,DORI_84,-,-,-,-,flagellar hook length control protein-like protein,protein-coding,-,-,-,flagellar hook length control protein-like protein,20201220,-
1089121,18561315,85,DORI_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561316,86,DORI_86,-,-,-,-,PinR,protein-coding,-,-,-,PinR,20201220,-
1089121,18561317,87,DORI_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561318,88,DORI_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561319,89,DORI_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561320,90,DORI_90,-,-,-,-,resolvase domain protein,protein-coding,-,-,-,resolvase domain protein,20201220,-
1089121,18561321,91,DORI_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561322,92,DORI_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561323,93,DORI_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561324,94,DORI_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561325,31,DORI_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561326,44,DORI_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561327,1,DORI_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18669599,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Dori).,other,-,-,-,-,20200513,-
