#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821564,29126811,2,BJD57_gp02,SEA_VIVI2_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1821564,29126824,15,BJD57_gp15,SEA_VIVI2_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126825,16,BJD57_gp16,SEA_VIVI2_16,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200927,-
1821564,29126826,17,BJD57_gp17,SEA_VIVI2_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126827,18,BJD57_gp18,SEA_VIVI2_18,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821564,29126828,19,BJD57_gp19,SEA_VIVI2_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126829,20,BJD57_gp20,SEA_VIVI2_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126830,21,BJD57_gp21,SEA_VIVI2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126831,22,BJD57_gp22,SEA_VIVI2_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126832,23,BJD57_gp23,SEA_VIVI2_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821564,29126833,24,BJD57_gp24,SEA_VIVI2_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126834,25,BJD57_gp25,SEA_VIVI2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126835,26,BJD57_gp26,SEA_VIVI2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126836,27,BJD57_gp27,SEA_VIVI2_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126837,28,BJD57_gp28,SEA_VIVI2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126838,29,BJD57_gp29,SEA_VIVI2_29,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1821564,29126839,30,BJD57_gp30,SEA_VIVI2_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126840,31,BJD57_gp31,SEA_VIVI2_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126841,32,BJD57_gp32,SEA_VIVI2_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821564,29126842,33,BJD57_gp33,SEA_VIVI2_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126843,34,BJD57_gp34,SEA_VIVI2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126844,35,BJD57_gp35,SEA_VIVI2_35,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821564,29126845,36,BJD57_gp36,SEA_VIVI2_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821564,29126846,37,BJD57_gp37,SEA_VIVI2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126847,38,BJD57_gp38,SEA_VIVI2_38,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1821564,29126848,39,BJD57_gp39,SEA_VIVI2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126849,40,BJD57_gp40,SEA_VIVI2_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126850,41,BJD57_gp41,SEA_VIVI2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126851,42,BJD57_gp42,SEA_VIVI2_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126852,43,BJD57_gp43,SEA_VIVI2_43,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821564,29126853,44,BJD57_gp44,SEA_VIVI2_44,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1821564,29126854,45,BJD57_gp45,SEA_VIVI2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126855,46,BJD57_gp46,SEA_VIVI2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126856,47,BJD57_gp47,SEA_VIVI2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126857,48,BJD57_gp48,SEA_VIVI2_48,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1821564,29126858,49,BJD57_gp49,SEA_VIVI2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126859,50,BJD57_gp50,SEA_VIVI2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126860,51,BJD57_gp51,SEA_VIVI2_51,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200927,-
1821564,29126861,52,BJD57_gp52,SEA_VIVI2_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126862,53,BJD57_gp53,SEA_VIVI2_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126863,54,BJD57_gp54,SEA_VIVI2_54,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821564,29126864,55,BJD57_gp55,SEA_VIVI2_55,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1821564,29126865,56,BJD57_gp56,SEA_VIVI2_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126866,57,BJD57_gp57,SEA_VIVI2_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126867,58,BJD57_gp58,SEA_VIVI2_58,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821564,29126868,59,BJD57_gp59,SEA_VIVI2_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126869,60,BJD57_gp60,SEA_VIVI2_60,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821564,29126870,61,BJD57_gp61,SEA_VIVI2_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126871,62,BJD57_gp62,SEA_VIVI2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126872,63,BJD57_gp63,SEA_VIVI2_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126873,64,BJD57_gp64,SEA_VIVI2_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821564,29126874,65,BJD57_gp65,SEA_VIVI2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126875,66,BJD57_gp66,SEA_VIVI2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126876,67,BJD57_gp67,SEA_VIVI2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126877,68,BJD57_gp68,SEA_VIVI2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126878,69,BJD57_gp69,SEA_VIVI2_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126879,70,BJD57_gp70,SEA_VIVI2_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126880,71,BJD57_gp71,SEA_VIVI2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126881,72,BJD57_gp72,SEA_VIVI2_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126882,73,BJD57_gp73,SEA_VIVI2_73,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1821564,29126883,74,BJD57_gp74,SEA_VIVI2_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126884,75,BJD57_gp75,SEA_VIVI2_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126885,76,BJD57_gp76,SEA_VIVI2_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126886,77,BJD57_gp77,SEA_VIVI2_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126887,78,BJD57_gp78,SEA_VIVI2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126888,79,BJD57_gp79,SEA_VIVI2_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126889,80,BJD57_gp80,SEA_VIVI2_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126890,81,BJD57_gp81,SEA_VIVI2_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126891,82,BJD57_gp82,SEA_VIVI2_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126892,83,BJD57_gp83,SEA_VIVI2_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126893,84,BJD57_gp84,SEA_VIVI2_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126894,85,BJD57_gp85,SEA_VIVI2_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126895,86,BJD57_gp86,SEA_VIVI2_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126896,87,BJD57_gp87,SEA_VIVI2_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821564,29126897,88,BJD57_gp88,SEA_VIVI2_88,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200927,-
1821564,29126898,89,BJD57_gp89,SEA_VIVI2_89,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200927,-
1821564,29126899,1,BJD57_gp01,SEA_VIVI2_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821564,29140853,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
