#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527493,23680169,2,PBI_SPARKY_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1527493,23680204,37,PBI_SPARKY_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680205,38,PBI_SPARKY_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680206,39,PBI_SPARKY_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680207,40,PBI_SPARKY_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680208,41,PBI_SPARKY_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680209,42,PBI_SPARKY_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680210,43,PBI_SPARKY_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680211,44,PBI_SPARKY_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680212,45,PBI_SPARKY_45,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1527493,23680213,46,PBI_SPARKY_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680214,47,PBI_SPARKY_47,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
1527493,23680215,48,PBI_SPARKY_48,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20200910,-
1527493,23680216,49,PBI_SPARKY_49,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200910,-
1527493,23680217,50,PBI_SPARKY_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680218,51,PBI_SPARKY_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680219,52,PBI_SPARKY_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680220,53,PBI_SPARKY_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680221,54,PBI_SPARKY_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680222,55,PBI_SPARKY_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680223,56,PBI_SPARKY_56,-,-,-,-,RecE,protein-coding,-,-,-,RecE,20200910,-
1527493,23680224,57,PBI_SPARKY_57,-,-,-,-,putative RecT,protein-coding,-,-,-,putative RecT,20200910,-
1527493,23680225,58,PBI_SPARKY_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680226,59,PBI_SPARKY_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680227,60,PBI_SPARKY_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680228,61,PBI_SPARKY_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680229,62,PBI_SPARKY_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680230,63,PBI_SPARKY_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680231,64,PBI_SPARKY_64,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
1527493,23680232,65,PBI_SPARKY_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680233,66,PBI_SPARKY_66,-,-,-,-,DNA helicase/methylase,protein-coding,-,-,-,DNA helicase/methylase,20200910,-
1527493,23680234,67,PBI_SPARKY_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680235,68,PBI_SPARKY_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680236,69,PBI_SPARKY_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680237,70,PBI_SPARKY_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680238,71,PBI_SPARKY_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680239,72,PBI_SPARKY_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680240,73,PBI_SPARKY_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680241,74,PBI_SPARKY_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680242,75,PBI_SPARKY_75,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20200910,-
1527493,23680243,76,PBI_SPARKY_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680244,77,PBI_SPARKY_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680245,78,PBI_SPARKY_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680246,79,PBI_SPARKY_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680247,80,PBI_SPARKY_80,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20200910,-
1527493,23680248,81,PBI_SPARKY_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680249,82,PBI_SPARKY_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680250,83,PBI_SPARKY_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680251,84,PBI_SPARKY_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680252,85,PBI_SPARKY_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680253,86,PBI_SPARKY_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680254,87,PBI_SPARKY_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680255,88,PBI_SPARKY_88,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200910,-
1527493,23680256,89,PBI_SPARKY_89,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200910,-
1527493,23680257,90,PBI_SPARKY_90,-,-,-,-,antitoxin,protein-coding,-,-,-,antitoxin,20200910,-
1527493,23680258,91,PBI_SPARKY_91,-,-,-,-,toxin,protein-coding,-,-,-,toxin,20200910,-
1527493,23680259,92,PBI_SPARKY_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680260,93,PBI_SPARKY_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680261,94,PBI_SPARKY_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680262,95,PBI_SPARKY_95,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1527493,23680263,1,PBI_SPARKY_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23711113,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Sparky).,other,-,-,-,-,20200513,-
