#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701846,40082484,FDI02_gp001,FDI02_gp001,Mordin_1,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1701846,40082527,FDI02_gp044,FDI02_gp044,Mordin_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082528,FDI02_gp045,FDI02_gp045,Mordin_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082529,FDI02_gp046,FDI02_gp046,Mordin_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082530,FDI02_gp047,FDI02_gp047,Mordin_93,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200910,-
1701846,40082531,FDI02_gp048,FDI02_gp048,Mordin_92,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
1701846,40082532,FDI02_gp049,FDI02_gp049,Mordin_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082533,FDI02_gp050,FDI02_gp050,Mordin_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082534,FDI02_gp051,FDI02_gp051,Mordin_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082535,FDI02_gp052,FDI02_gp052,Mordin_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082536,FDI02_gp053,FDI02_gp053,Mordin_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082537,FDI02_gt001,FDI02_gt001,CPT_Mordin.gt25,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082538,FDI02_gt002,FDI02_gt002,CPT_Mordin.gt24,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082539,FDI02_gt003,FDI02_gt003,CPT_Mordin.gt23,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082540,FDI02_gt004,FDI02_gt004,CPT_Mordin.gt22,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082541,FDI02_gt005,FDI02_gt005,CPT_Mordin.gt21,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082542,FDI02_gt006,FDI02_gt006,CPT_Mordin.gt20,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082543,FDI02_gt007,FDI02_gt007,CPT_Mordin.gt19,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082544,FDI02_gt008,FDI02_gt008,CPT_Mordin.gt18,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082545,FDI02_gt009,FDI02_gt009,CPT_Mordin.gt17,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082546,FDI02_gt010,FDI02_gt010,CPT_Mordin.gt16,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082547,FDI02_gt011,FDI02_gt011,CPT_Mordin.gt15,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082548,FDI02_gt012,FDI02_gt012,CPT_Mordin.gt14,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082549,FDI02_gt013,FDI02_gt013,CPT_Mordin.gt13,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082550,FDI02_gt014,FDI02_gt014,CPT_Mordin.gt12,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082551,FDI02_gt015,FDI02_gt015,CPT_Mordin.gt11,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082552,FDI02_gt016,FDI02_gt016,CPT_Mordin.gt10,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082553,FDI02_gt017,FDI02_gt017,CPT_Mordin.gt9,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082554,FDI02_gp138,FDI02_gp138,Mordin_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082555,FDI02_gt018,FDI02_gt018,CPT_Mordin.gt8,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082556,FDI02_gt019,FDI02_gt019,CPT_Mordin.gt7,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082557,FDI02_gt020,FDI02_gt020,CPT_Mordin.gt6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082558,FDI02_gt021,FDI02_gt021,CPT_Mordin.gt5,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082559,FDI02_gt022,FDI02_gt022,CPT_Mordin.gt4,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082560,FDI02_gt023,FDI02_gt023,CPT_Mordin.gt3,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082561,FDI02_gp137,FDI02_gp137,Mordin_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082562,FDI02_gt024,FDI02_gt024,CPT_Mordin.gt2,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082563,FDI02_gt025,FDI02_gt025,CPT_Mordin.gt1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1701846,40082564,FDI02_gp136,FDI02_gp136,Mordin_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082565,FDI02_gp135,FDI02_gp135,Mordin_83,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
1701846,40082566,FDI02_gp134,FDI02_gp134,Mordin_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082567,FDI02_gp133,FDI02_gp133,Mordin_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082568,FDI02_gp132,FDI02_gp132,Mordin_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082569,FDI02_gp131,FDI02_gp131,Mordin_79,-,-,-,head maturation protease,protein-coding,-,-,-,head maturation protease,20200910,-
1701846,40082570,FDI02_gp130,FDI02_gp130,Mordin_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082571,FDI02_gp129,FDI02_gp129,Mordin_77,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1701846,40082572,FDI02_gp128,FDI02_gp128,Mordin_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082573,FDI02_gp127,FDI02_gp127,Mordin_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082574,FDI02_gp126,FDI02_gp126,Mordin_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082575,FDI02_gp125,FDI02_gp125,Mordin_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082576,FDI02_gp124,FDI02_gp124,Mordin_72,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1701846,40082577,FDI02_gp123,FDI02_gp123,Mordin_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1701846,40082578,FDI02_gp122,FDI02_gp122,Mordin_70,-,-,-,tape-measure chaperone,protein-coding,-,-,-,tape-measure chaperone,20200910,-
1701846,40082579,FDI02_gp121,FDI02_gp121,Mordin_69,-,-,-,tape-measure chaperone,protein-coding,-,-,-,tape-measure chaperone,20200910,-
1701846,40082580,FDI02_gp120,FDI02_gp120,Mordin_68,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200910,-
1701846,40082581,FDI02_gp119,FDI02_gp119,Mordin_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082582,FDI02_gp118,FDI02_gp118,Mordin_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082583,FDI02_gp117,FDI02_gp117,Mordin_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082584,FDI02_gp116,FDI02_gp116,Mordin_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082585,FDI02_gp115,FDI02_gp115,Mordin_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082586,FDI02_gp114,FDI02_gp114,Mordin_62,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20200910,-
1701846,40082587,FDI02_gp113,FDI02_gp113,Mordin_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082588,FDI02_gp112,FDI02_gp112,Mordin_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082589,FDI02_gp111,FDI02_gp111,Mordin_59,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1701846,40082590,FDI02_gp110,FDI02_gp110,Mordin_58,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1701846,40082591,FDI02_gp109,FDI02_gp109,Mordin_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082592,FDI02_gp108,FDI02_gp108,Mordin_56,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1701846,40082593,FDI02_gp107,FDI02_gp107,Mordin_55,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1701846,40082594,FDI02_gp106,FDI02_gp106,Mordin_54,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
1701846,40082595,FDI02_gp105,FDI02_gp105,Mordin_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082596,FDI02_gp104,FDI02_gp104,Mordin_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082597,FDI02_gp103,FDI02_gp103,Mordin_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082598,FDI02_gp102,FDI02_gp102,Mordin_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082599,FDI02_gp101,FDI02_gp101,Mordin_49,-,-,-,transcriptional regulatory protein,protein-coding,-,-,-,transcriptional regulatory protein,20200910,-
1701846,40082600,FDI02_gp100,FDI02_gp100,Mordin_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082601,FDI02_gp099,FDI02_gp099,Mordin_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082602,FDI02_gp098,FDI02_gp098,Mordin_46,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1701846,40082603,FDI02_gp097,FDI02_gp097,Mordin_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082604,FDI02_gp096,FDI02_gp096,Mordin_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082605,FDI02_gp095,FDI02_gp095,Mordin_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082606,FDI02_gp094,FDI02_gp094,Mordin_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082607,FDI02_gp093,FDI02_gp093,Mordin_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082608,FDI02_gp092,FDI02_gp092,Mordin_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082609,FDI02_gp091,FDI02_gp091,Mordin_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082610,FDI02_gp090,FDI02_gp090,Mordin_38,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1701846,40082611,FDI02_gp089,FDI02_gp089,Mordin_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082612,FDI02_gp088,FDI02_gp088,Mordin_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082613,FDI02_gp087,FDI02_gp087,Mordin_35,-,-,-,deoxynucleotide monophosphate kinase,protein-coding,-,-,-,deoxynucleotide monophosphate kinase,20200910,-
1701846,40082614,FDI02_gp086,FDI02_gp086,Mordin_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082615,FDI02_gp085,FDI02_gp085,Mordin_33,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200910,-
1701846,40082616,FDI02_gp084,FDI02_gp084,Mordin_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082617,FDI02_gp083,FDI02_gp083,Mordin_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082618,FDI02_gp082,FDI02_gp082,Mordin_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082619,FDI02_gp081,FDI02_gp081,Mordin_29,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20200910,-
1701846,40082620,FDI02_gp080,FDI02_gp080,Mordin_28,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200910,-
1701846,40082621,FDI02_gp079,FDI02_gp079,Mordin_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082622,FDI02_gp078,FDI02_gp078,Mordin_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082623,FDI02_gp077,FDI02_gp077,Mordin_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082624,FDI02_gp076,FDI02_gp076,Mordin_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082625,FDI02_gp075,FDI02_gp075,Mordin_23,-,-,-,ribonucleoside triphosphate reductase large subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase large subunit,20200910,-
1701846,40082626,FDI02_gp074,FDI02_gp074,Mordin_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082627,FDI02_gp073,FDI02_gp073,Mordin_21,-,-,-,ribonucleoside triphosphate reductase small subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase small subunit,20200910,-
1701846,40082628,FDI02_gp072,FDI02_gp072,Mordin_20,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200910,-
1701846,40082629,FDI02_gp071,FDI02_gp071,Mordin_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082630,FDI02_gp070,FDI02_gp070,Mordin_18,-,-,-,anaerobic nucleoside reductase,protein-coding,-,-,-,anaerobic nucleoside reductase,20200910,-
1701846,40082631,FDI02_gp069,FDI02_gp069,Mordin_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082632,FDI02_gp068,FDI02_gp068,Mordin_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082633,FDI02_gp067,FDI02_gp067,Mordin_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082634,FDI02_gp066,FDI02_gp066,Mordin_14,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20200910,-
1701846,40082635,FDI02_gp065,FDI02_gp065,Mordin_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082636,FDI02_gp064,FDI02_gp064,Mordin_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082637,FDI02_gp063,FDI02_gp063,Mordin_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082638,FDI02_gp062,FDI02_gp062,Mordin_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082639,FDI02_gp061,FDI02_gp061,Mordin_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082640,FDI02_gp060,FDI02_gp060,Mordin_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082641,FDI02_gp059,FDI02_gp059,Mordin_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082642,FDI02_gp058,FDI02_gp058,Mordin_6,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20200910,-
1701846,40082643,FDI02_gp057,FDI02_gp057,Mordin_5,-,-,-,nictotinate phosphoribosyl transferase,protein-coding,-,-,-,nictotinate phosphoribosyl transferase,20200910,-
1701846,40082644,FDI02_gp056,FDI02_gp056,Mordin_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082645,FDI02_gp055,FDI02_gp055,Mordin_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082646,FDI02_gp054,FDI02_gp054,Mordin_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40120226,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
