#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675244,65070086,KMC96_gp02,KMC96_gp02,CHPC122_000346,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2675244,65070100,KMC96_gp16,KMC96_gp16,CHPC122_000360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070101,KMC96_gp17,KMC96_gp17,CHPC122_000361,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070102,KMC96_gp18,KMC96_gp18,CHPC122_000362,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070103,KMC96_gp19,KMC96_gp19,CHPC122_000363,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2675244,65070104,KMC96_gp20,KMC96_gp20,CHPC122_000364,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2675244,65070105,KMC96_gp21,KMC96_gp21,CHPC122_000365,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210608,-
2675244,65070106,KMC96_gp22,KMC96_gp22,CHPC122_000366,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070107,KMC96_gp23,KMC96_gp23,CHPC122_000367,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070108,KMC96_gp24,KMC96_gp24,CHPC122_000368,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070109,KMC96_gp25,KMC96_gp25,CHPC122_000369,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20210608,-
2675244,65070110,KMC96_gp26,KMC96_gp26,CHPC122_000370,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210608,-
2675244,65070111,KMC96_gp27,KMC96_gp27,CHPC122_000371,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675244,65070112,KMC96_gp28,KMC96_gp28,CHPC122_000372,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070113,KMC96_gp29,KMC96_gp29,CHPC122_000373,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070114,KMC96_gp30,KMC96_gp30,CHPC122_000374,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210608,-
2675244,65070115,KMC96_gp31,KMC96_gp31,CHPC122_000375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070116,KMC96_gp32,KMC96_gp32,CHPC122_000376,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070117,KMC96_gp33,KMC96_gp33,CHPC122_000377,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070118,KMC96_gp34,KMC96_gp34,CHPC122_000378,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070119,KMC96_gp35,KMC96_gp35,CHPC122_000379,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070120,KMC96_gp36,KMC96_gp36,CHPC122_000380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070121,KMC96_gp37,KMC96_gp37,CHPC122_000381,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070122,KMC96_gp38,KMC96_gp38,CHPC122_000382,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070123,KMC96_gp39,KMC96_gp39,CHPC122_000383,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675244,65070124,KMC96_gp40,KMC96_gp40,CHPC122_000384,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2675244,65070125,KMC96_gp41,KMC96_gp41,CHPC122_000385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070126,KMC96_gp01,KMC96_gp01,CHPC122_000345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65243298,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
