#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647305,26635898,2,AVT48_gp02,SEA_CAMBIARE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210208,-
1647305,26635929,33,AVT48_gp33,SEA_CAMBIARE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635930,34,AVT48_gp34,SEA_CAMBIARE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635931,35,AVT48_gp35,SEA_CAMBIARE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635932,36,AVT48_gp36,SEA_CAMBIARE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635933,37,AVT48_gp37,SEA_CAMBIARE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635934,38,AVT48_gp38,SEA_CAMBIARE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635935,39,AVT48_gp39,SEA_CAMBIARE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635936,40,AVT48_gp40,SEA_CAMBIARE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635937,41,AVT48_gp41,SEA_CAMBIARE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635938,42,AVT48_gp42,SEA_CAMBIARE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635939,43,AVT48_gp43,SEA_CAMBIARE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635940,44,AVT48_gp44,SEA_CAMBIARE_44,-,-,-,RecE,protein-coding,-,-,-,RecE,20210208,-
1647305,26635941,45,AVT48_gp45,SEA_CAMBIARE_45,-,-,-,RecT,protein-coding,-,-,-,RecT,20210208,-
1647305,26635942,46,AVT48_gp46,SEA_CAMBIARE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635943,47,AVT48_gp47,SEA_CAMBIARE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635944,48,AVT48_gp48,SEA_CAMBIARE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635945,49,AVT48_gp49,SEA_CAMBIARE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635946,50,AVT48_gp50,SEA_CAMBIARE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635947,51,AVT48_gp51,SEA_CAMBIARE_51,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20210208,-
1647305,26635948,52,AVT48_gp52,SEA_CAMBIARE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635949,53,AVT48_gp53,SEA_CAMBIARE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635950,54,AVT48_gp54,SEA_CAMBIARE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635951,55,AVT48_gp55,SEA_CAMBIARE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635952,56,AVT48_gp56,SEA_CAMBIARE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635953,57,AVT48_gp57,SEA_CAMBIARE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635954,58,AVT48_gp58,SEA_CAMBIARE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635955,59,AVT48_gp59,SEA_CAMBIARE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635956,60,AVT48_gp60,SEA_CAMBIARE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635957,61,AVT48_gp61,SEA_CAMBIARE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635958,62,AVT48_gp62,SEA_CAMBIARE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635959,63,AVT48_gp63,SEA_CAMBIARE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635960,64,AVT48_gp64,SEA_CAMBIARE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635961,65,AVT48_gp65,SEA_CAMBIARE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635962,66,AVT48_gp66,SEA_CAMBIARE_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210208,-
1647305,26635963,67,AVT48_gp67,SEA_CAMBIARE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635964,1,AVT48_gp01,SEA_CAMBIARE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26680816,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Cambiare).,other,-,-,-,-,20200817,-
