#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
994601,11535992,PaVLD_ORF021L,PaVLD_ORF021L,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201220,-
994601,11536030,PaVLD_ORF059R,PaVLD_ORF059R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536031,PaVLD_ORF060R,PaVLD_ORF060R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536032,PaVLD_ORF061R,PaVLD_ORF061R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536033,PaVLD_ORF062R,PaVLD_ORF062R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536034,PaVLD_ORF063L,PaVLD_ORF063L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536035,PaVLD_ORF064R,PaVLD_ORF064R,-,-,-,-,KilA-like protein,protein-coding,-,-,-,KilA-like protein,20201220,-
994601,11536036,PaVLD_ORF065R,PaVLD_ORF065R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536037,PaVLD_ORF066R,PaVLD_ORF066R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536038,PaVLD_ORF067R,PaVLD_ORF067R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536039,PaVLD_ORF068R,PaVLD_ORF068R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536040,PaVLD_ORF069R,PaVLD_ORF069R,-,-,-,-,G protein,protein-coding,-,-,-,G protein,20201220,-
994601,11536041,PaVLD_ORF070L,PaVLD_ORF070L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536042,PaVLD_ORF071R,PaVLD_ORF071R,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201220,-
994601,11536043,PaVLD_ORF072R,PaVLD_ORF072R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536044,PaVLD_ORF073R,PaVLD_ORF073R,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201220,-
994601,11536045,PaVLD_ORF074R,PaVLD_ORF074R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536046,PaVLD_ORF075R,PaVLD_ORF075R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536047,PaVLD_ORF076R,PaVLD_ORF076R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536048,PaVLD_ORF077R,PaVLD_ORF077R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536049,PaVLD_ORF078R,PaVLD_ORF078R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536050,PaVLD_ORF079R,PaVLD_ORF079R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536051,PaVLD_ORF080R,PaVLD_ORF080R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536052,PaVLD_ORF081R,PaVLD_ORF081R,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201220,-
994601,11536053,PaVLD_ORF082R,PaVLD_ORF082R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536054,PaVLD_ORF083R,PaVLD_ORF083R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536055,PaVLD_ORF084R,PaVLD_ORF084R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536056,PaVLD_ORF085R,PaVLD_ORF085R,-,-,-,-,minor virion protein,protein-coding,-,-,-,minor virion protein,20201220,-
994601,11536057,PaVLD_ORF086L,PaVLD_ORF086L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536058,PaVLD_ORF087R,PaVLD_ORF087R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536059,PaVLD_ORF088R,PaVLD_ORF088R,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
994601,11536060,PaVLD_ORF089L,PaVLD_ORF089L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536061,PaVLD_ORF090L,PaVLD_ORF090L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536062,PaVLD_ORF091L,PaVLD_ORF091L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536063,PaVLD_ORF092L,PaVLD_ORF092L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536064,PaVLD_ORF093L,PaVLD_ORF093L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536065,PaVLD_ORF094R,PaVLD_ORF094R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536066,PaVLD_ORF095L,PaVLD_ORF095L,-,-,-,-,DNA damage-inducible protein,protein-coding,-,-,-,DNA damage-inducible protein,20201220,-
994601,11536067,PaVLD_ORF096L,PaVLD_ORF096L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536068,PaVLD_ORF097L,PaVLD_ORF097L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536069,PaVLD_ORF098R,PaVLD_ORF098R,-,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20201220,-
994601,11536070,PaVLD_ORF099R,PaVLD_ORF099R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536071,PaVLD_ORF100R,PaVLD_ORF100R,-,-,-,-,anti-repressor protein,protein-coding,-,-,-,anti-repressor protein,20201220,-
994601,11536072,PaVLD_ORF101L,PaVLD_ORF101L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536073,PaVLD_ORF102L,PaVLD_ORF102L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536074,PaVLD_ORF103R,PaVLD_ORF103R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536075,PaVLD_ORF104L,PaVLD_ORF104L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536076,PaVLD_ORF105L,PaVLD_ORF105L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536077,PaVLD_ORF106L,PaVLD_ORF106L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536078,PaVLD_ORF107L,PaVLD_ORF107L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536079,PaVLD_ORF108L,PaVLD_ORF108L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536080,PaVLD_ORF109R,PaVLD_ORF109R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536081,PaVLD_ORF110R,PaVLD_ORF110R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536082,PaVLD_ORF111R,PaVLD_ORF111R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536083,PaVLD_ORF112L,PaVLD_ORF112L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536084,PaVLD_ORF113L,PaVLD_ORF113L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536085,PaVLD_ORF114L,PaVLD_ORF114L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536086,PaVLD_ORF115L,PaVLD_ORF115L,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201220,-
994601,11536087,PaVLD_ORF116L,PaVLD_ORF116L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536088,PaVLD_ORF117R,PaVLD_ORF117R,-,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20201220,-
994601,11536089,PaVLD_ORF118L,PaVLD_ORF118L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536090,PaVLD_ORF119L,PaVLD_ORF119L,-,-,-,-,crossover junction endodeoxyribonuclease,protein-coding,-,-,-,crossover junction endodeoxyribonuclease,20201220,-
994601,11536091,PaVLD_ORF120L,PaVLD_ORF120L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536092,PaVLD_ORF121L,PaVLD_ORF121L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536093,PaVLD_ORF122L,PaVLD_ORF122L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536094,PaVLD_ORF123L,PaVLD_ORF123L,-,-,-,-,peptidase M23,protein-coding,-,-,-,peptidase M23,20201220,-
994601,11536095,PaVLD_ORF124L,PaVLD_ORF124L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536096,PaVLD_ORF125L,PaVLD_ORF125L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536097,PaVLD_ORF126L,PaVLD_ORF126L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536098,PaVLD_ORF127L,PaVLD_ORF127L,-,-,-,-,FtsK/SpoIIIE protein,protein-coding,-,-,-,FtsK/SpoIIIE protein,20201220,-
994601,11536099,PaVLD_ORF128L,PaVLD_ORF128L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536100,PaVLD_ORF129L,PaVLD_ORF129L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536101,PaVLD_ORF130L,PaVLD_ORF130L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536102,PaVLD_ORF131L,PaVLD_ORF131L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536103,PaVLD_ORF132R,PaVLD_ORF132R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536104,PaVLD_ORF133L,PaVLD_ORF133L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536105,PaVLD_ORF134L,PaVLD_ORF134L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536106,PaVLD_ORF135L,PaVLD_ORF135L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536107,PaVLD_ORF136L,PaVLD_ORF136L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536108,PaVLD_ORF137L,PaVLD_ORF137L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536109,PaVLD_ORF138L,PaVLD_ORF138L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536110,PaVLD_ORF139L,PaVLD_ORF139L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536111,PaVLD_ORF140L,PaVLD_ORF140L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536112,PaVLD_ORF141L,PaVLD_ORF141L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536113,PaVLD_ORF142L,PaVLD_ORF142L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536114,PaVLD_ORF017R,PaVLD_ORF017R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536115,PaVLD_ORF018R,PaVLD_ORF018R,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
994601,11536116,PaVLD_ORF019R,PaVLD_ORF019R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536117,PaVLD_ORF001L,PaVLD_ORF001L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536118,PaVLD_ORF002L,PaVLD_ORF002L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536119,PaVLD_ORF003L,PaVLD_ORF003L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536120,PaVLD_ORF004R,PaVLD_ORF004R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536121,PaVLD_ORF005R,PaVLD_ORF005R,-,-,-,-,replication-related protein,protein-coding,-,-,-,replication-related protein,20201220,-
994601,11536122,PaVLD_ORF006R,PaVLD_ORF006R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536123,PaVLD_ORF007R,PaVLD_ORF007R,-,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20201220,-
994601,11536124,PaVLD_ORF008R,PaVLD_ORF008R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536125,PaVLD_ORF009R,PaVLD_ORF009R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536126,PaVLD_ORF010R,PaVLD_ORF010R,-,-,-,-,site-specific DNA methylase,protein-coding,-,-,-,site-specific DNA methylase,20201220,-
994601,11536127,PaVLD_ORF011R,PaVLD_ORF011R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536128,PaVLD_ORF012R,PaVLD_ORF012R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536129,PaVLD_ORF013R,PaVLD_ORF013R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536130,PaVLD_ORF014R,PaVLD_ORF014R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536131,PaVLD_ORF015R,PaVLD_ORF015R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536132,PaVLD_ORF016R,PaVLD_ORF016R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536133,PaVLD_ORF020R,PaVLD_ORF020R,-,-,-,-,phosphoadenosine phosphosulfate reductase,protein-coding,-,-,-,phosphoadenosine phosphosulfate reductase,20201220,-
994601,11537637,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Planktothrix agardhii phage PaV-LD).,other,-,-,-,-,20200513,-
