#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1211278,40066920,FDG59_gp02,FDG59_gp02,ELB20_02,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1211278,40066946,FDG59_gp57,FDG59_gp57,ELB20_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066947,FDG59_gp56,FDG59_gp56,ELB20_28,-,-,-,repressor,protein-coding,-,-,-,repressor,20200909,-
1211278,40066948,FDG59_gp55,FDG59_gp55,ELB20_29,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20200909,-
1211278,40066949,FDG59_gp54,FDG59_gp54,ELB20_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066950,FDG59_gp53,FDG59_gp53,ELB20_31,-,-,-,putative Zn binding protein,protein-coding,-,-,-,putative Zn binding protein,20200909,-
1211278,40066951,FDG59_gp52,FDG59_gp52,ELB20_32,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200909,-
1211278,40066952,FDG59_gp51,FDG59_gp51,ELB20_33,-,-,-,deaminase,protein-coding,-,-,-,deaminase,20200909,-
1211278,40066953,FDG59_gp50,FDG59_gp50,ELB20_34,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20200909,-
1211278,40066954,FDG59_gp49,FDG59_gp49,ELB20_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066955,FDG59_gp48,FDG59_gp48,ELB20_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066956,FDG59_gp47,FDG59_gp47,ELB20_37,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200909,-
1211278,40066957,FDG59_gp46,FDG59_gp46,ELB20_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066958,FDG59_gp45,FDG59_gp45,ELB20_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066959,FDG59_gp44,FDG59_gp44,ELB20_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066960,FDG59_gp43,FDG59_gp43,ELB20_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066961,FDG59_gp42,FDG59_gp42,ELB20_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066962,FDG59_gp41,FDG59_gp41,ELB20_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066963,FDG59_gp40,FDG59_gp40,ELB20_44,-,-,-,integrase/recombinase,protein-coding,-,-,-,integrase/recombinase,20200909,-
1211278,40066964,FDG59_gp39,FDG59_gp39,ELB20_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066965,FDG59_gp38,FDG59_gp38,ELB20_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066966,FDG59_gp37,FDG59_gp37,ELB20_47,-,-,-,putative ribonucleoside-triphosphate reductase,protein-coding,-,-,-,putative ribonucleoside-triphosphate reductase,20200909,-
1211278,40066967,FDG59_gp36,FDG59_gp36,ELB20_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066968,FDG59_gp35,FDG59_gp35,ELB20_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066969,FDG59_gp34,FDG59_gp34,ELB20_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066970,FDG59_gp33,FDG59_gp33,ELB20_51,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200909,-
1211278,40066971,FDG59_gp32,FDG59_gp32,ELB20_52,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20200909,-
1211278,40066972,FDG59_gp31,FDG59_gp31,ELB20_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066973,FDG59_gp30,FDG59_gp30,ELB20_54,-,-,-,putative flavin-dependent thymidylate synthase,protein-coding,-,-,-,putative flavin-dependent thymidylate synthase,20200909,-
1211278,40066974,FDG59_gp29,FDG59_gp29,ELB20_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066975,FDG59_gp28,FDG59_gp28,ELB20_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066976,FDG59_gp27,FDG59_gp27,ELB20_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066977,FDG59_gp26,FDG59_gp26,ELB20_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066978,FDG59_gp25,FDG59_gp25,ELB20_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066979,FDG59_gp24,FDG59_gp24,ELB20_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066980,FDG59_gp23,FDG59_gp23,ELB20_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066981,FDG59_gp22,FDG59_gp22,ELB20_62,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20200909,-
1211278,40066982,FDG59_gp21,FDG59_gp21,ELB20_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066983,FDG59_gp20,FDG59_gp20,ELB20_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066984,FDG59_gp19,FDG59_gp19,ELB20_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066985,FDG59_gp18,FDG59_gp18,ELB20_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066986,FDG59_gp17,FDG59_gp17,ELB20_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066987,FDG59_gp16,FDG59_gp16,ELB20_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066988,FDG59_gp15,FDG59_gp15,ELB20_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066989,FDG59_gp14,FDG59_gp14,ELB20_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066990,FDG59_gp13,FDG59_gp13,ELB20_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066991,FDG59_gp12,FDG59_gp12,ELB20_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066992,FDG59_gp11,FDG59_gp11,ELB20_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066993,FDG59_gp10,FDG59_gp10,ELB20_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066994,FDG59_gp09,FDG59_gp09,ELB20_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066995,FDG59_gp08,FDG59_gp08,ELB20_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066996,FDG59_gp07,FDG59_gp07,ELB20_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066997,FDG59_gp06,FDG59_gp06,ELB20_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066998,FDG59_gp05,FDG59_gp05,ELB20_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066999,FDG59_gp04,FDG59_gp04,ELB20_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40067000,FDG59_gp03,FDG59_gp03,ELB20_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40067001,FDG59_gp81,FDG59_gp81,ELB20_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40120121,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Streptomyces bacteriophage phiELB20).,other,-,-,-,-,20200513,-
