#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
707757,8997234,KP15_2,KP15_2,-,-,-,-,RIIA-RIIB membrane-associated protein,protein-coding,-,-,-,RIIA-RIIB membrane-associated protein,20201220,-
707757,8997294,KP15_62,KP15_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997295,KP15_63,KP15_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997297,KP15_65,KP15_65,-,-,-,-,PseT 3' phosphatase and 5' polynucleotide kinase,protein-coding,-,-,-,PseT 3' phosphatase and 5' polynucleotide kinase,20201220,-
707757,8997298,KP15_66,KP15_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997299,KP15_67,KP15_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997300,KP15_68,KP15_68,-,-,-,-,Cd dCMP deaminase,protein-coding,-,-,-,Cd dCMP deaminase,20201220,-
707757,8997301,KP15_69,KP15_69,-,-,-,-,co-chaperonin for GroEL,protein-coding,-,-,-,co-chaperonin for GroEL,20201220,-
707757,8997302,KP15_70,KP15_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997303,KP15_71,KP15_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997304,KP15_72,KP15_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997305,KP15_73,KP15_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997306,KP15_74,KP15_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997308,KP15_76,KP15_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997309,KP15_77,KP15_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997311,KP15_79,KP15_79,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201220,-
707757,8997313,KP15_81,KP15_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997315,KP15_83,KP15_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997316,KP15_84,KP15_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997317,KP15_85,KP15_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997318,KP15_86,KP15_86,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210417,-
707757,8997319,KP15_87,KP15_87,-,-,-,-,baseplate distal hub subunit,protein-coding,-,-,-,baseplate distal hub subunit,20201220,-
707757,8997320,KP15_88,KP15_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997321,KP15_89,KP15_89,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20201220,-
707757,8997322,KP15_90,KP15_90,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20201220,-
707757,8997323,KP15_91,KP15_91,-,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20201220,-
707757,8997324,KP15_92,KP15_92,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201220,-
707757,8997326,KP15_94,KP15_94,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit|tail lysozyme,20201220,-
707757,8997327,KP15_95,KP15_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997328,KP15_96,KP15_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997329,KP15_97,KP15_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997330,KP15_98,KP15_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997332,KP15_100,KP15_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
707757,8997333,KP15_101,KP15_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997334,KP15_102,KP15_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997335,KP15_103,KP15_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997336,KP15_104,KP15_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997337,KP15_105,KP15_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997338,KP15_106,KP15_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997339,KP15_107,KP15_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997340,KP15_108,KP15_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997341,KP15_109,KP15_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997342,KP15_110,KP15_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997343,KP15_111,KP15_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
707757,8997344,KP15_112,KP15_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997345,KP15_113,KP15_113,-,-,-,-,RI membrane protein,protein-coding,-,-,-,RI membrane protein,20201220,-
707757,8997346,KP15_114,KP15_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997347,KP15_115,KP15_115,-,-,-,-,Tk thymidine kinase,protein-coding,-,-,-,Tk thymidine kinase,20201220,-
707757,8997348,KP15_116,KP15_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
707757,8997349,KP15_117,KP15_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997350,KP15_118,KP15_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997351,KP15_119,KP15_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997352,KP15_120,KP15_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
707757,8997353,KP15_121,KP15_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997355,KP15_123,KP15_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997356,KP15_124,KP15_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997357,KP15_125,KP15_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997358,KP15_126,KP15_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997359,KP15_127,KP15_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997361,KP15_129,KP15_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997362,KP15_130,KP15_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997363,KP15_131,KP15_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997364,KP15_132,KP15_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997365,KP15_133,KP15_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997366,KP15_134,KP15_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997367,KP15_135,KP15_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997369,KP15_137,KP15_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997371,KP15_139,KP15_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997372,KP15_140,KP15_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997373,KP15_141,KP15_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997375,KP15_143,KP15_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
707757,8997377,KP15_145,KP15_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997378,KP15_146,KP15_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997379,KP15_147,KP15_147,-,-,-,-,NudE nudix hydrolase,protein-coding,-,-,-,NudE nudix hydrolase,20201220,-
707757,8997380,KP15_148,KP15_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997381,KP15_149,KP15_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997382,KP15_150,KP15_150,-,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20201220,-
707757,8997383,KP15_151,KP15_151,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20201220,-
707757,8997384,KP15_152,KP15_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997386,KP15_154,KP15_154,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20201220,-
707757,8997387,KP15_155,KP15_155,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201220,-
707757,8997388,KP15_156,KP15_156,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
707757,8997389,KP15_157,KP15_157,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20201220,-
707757,8997390,KP15_158,KP15_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997392,KP15_160,KP15_160,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
707757,8997393,KP15_161,KP15_161,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
707757,8997394,KP15_162,KP15_162,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
707757,8997396,KP15_164,KP15_164,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20201220,-
707757,8997397,KP15_165,KP15_165,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20201220,-
707757,8997398,KP15_166,KP15_166,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20201220,-
707757,8997399,KP15_167,KP15_167,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210417,-
707757,8997400,KP15_168,KP15_168,-,-,-,-,whisker protein,protein-coding,-,-,-,whisker protein,20201220,-
707757,8997401,KP15_169,KP15_169,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201220,-
707757,8997402,KP15_170,KP15_170,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201220,-
707757,8997403,KP15_171,KP15_171,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20201220,-
707757,8997404,KP15_172,KP15_172,-,-,-,-,small terminase protein,protein-coding,-,-,-,small terminase protein,20201220,-
707757,8997405,KP15_173,KP15_173,-,-,-,-,large terminase protein,protein-coding,-,-,-,large terminase protein,20210123,-
707757,8997407,KP15_175,KP15_175,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201220,-
707757,8997409,KP15_177,KP15_177,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201220,-
707757,8997410,KP15_178,KP15_178,-,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20201220,-
707757,8997411,KP15_179,KP15_179,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201220,-
707757,8997412,KP15_180,KP15_180,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201220,-
707757,8997413,KP15_181,KP15_181,-,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20201220,-
707757,8997414,KP15_182,KP15_182,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201220,-
707757,8997415,KP15_183,KP15_183,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
707757,8997416,KP15_184,KP15_184,-,-,-,-,SegD homing endonuclease,protein-coding,-,-,-,SegD homing endonuclease,20201220,-
707757,8997418,KP15_186,KP15_186,-,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20201220,-
707757,8997419,KP15_187,KP15_187,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20210123,-
707757,8997420,KP15_188,KP15_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997421,KP15_189,KP15_189,-,-,-,-,UvsW helicase,protein-coding,-,-,-,UvsW helicase,20201220,-
707757,8997423,KP15_191,KP15_191,-,-,-,-,Inh minor capsid protein inhibitor of 21 protease,protein-coding,-,-,-,Inh minor capsid protein inhibitor of 21 protease,20201220,-
707757,8997425,KP15_193,KP15_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997426,KP15_194,KP15_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
707757,8997427,KP15_195,KP15_195,-,-,-,-,Hoc head outer capsid protein,protein-coding,-,-,-,Hoc head outer capsid protein,20201220,-
707757,8997428,KP15_196,KP15_196,-,-,-,-,Hoc large outer capsid protein,protein-coding,-,-,-,Hoc large outer capsid protein,20201220,-
707757,8997429,KP15_197,KP15_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997431,KP15_199,KP15_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
707757,8997432,KP15_200,KP15_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997433,KP15_201,KP15_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997434,KP15_202,KP15_202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997435,KP15_203,KP15_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997436,KP15_204,KP15_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997437,KP15_205,KP15_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997438,KP15_206,KP15_206,-,-,-,-,Srd postulated decoy of host sigma70 or sigmaS,protein-coding,-,-,-,Srd postulated decoy of host sigma70 or sigmaS,20201220,-
707757,8997439,KP15_207,KP15_207,-,-,-,-,RnlB RNA ligase 2,protein-coding,-,-,-,RnlB RNA ligase 2,20201220,-
707757,8997440,KP15_208,KP15_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997441,KP15_209,KP15_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997442,KP15_210,KP15_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997443,KP15_211,KP15_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997444,KP15_212,KP15_212,-,-,-,-,nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,nicotinamide phosphoribosyl transferase,20201220,-
707757,8997445,KP15_213,KP15_213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997446,KP15_214,KP15_214,-,-,-,-,Dam DNA adenine methylase,protein-coding,-,-,-,Dam DNA adenine methylase,20201220,-
707757,8997447,KP15_215,KP15_215,-,-,-,-,NrdC thioredoxin,protein-coding,-,-,-,NrdC thioredoxin,20210123,-
707757,8997448,KP15_216,KP15_216,-,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20201220,-
707757,8997449,KP15_217,KP15_217,-,-,-,-,NrdD anaerobic ribonucleotide reductase subunit,protein-coding,-,-,-,NrdD anaerobic ribonucleotide reductase subunit,20201220,-
707757,8997451,KP15_219,KP15_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997452,KP15_220,KP15_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997453,KP15_221,KP15_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997454,KP15_222,KP15_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997455,KP15_223,KP15_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997456,KP15_224,KP15_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997457,KP15_225,KP15_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997458,KP15_226,KP15_226,-,-,-,-,NrdG anaerobic nucleotide reductase subunit,protein-coding,-,-,-,NrdG anaerobic nucleotide reductase subunit,20201220,-
707757,8997459,KP15_227,KP15_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997460,KP15_228,KP15_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997461,KP15_229,KP15_229,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20201220,-
707757,8997462,KP15_230,KP15_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997463,KP15_231,KP15_231,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20201220,-
707757,8997464,KP15_232,KP15_232,-,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20201220,-
707757,8997465,KP15_233,KP15_233,-,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20201220,-
707757,8997466,KP15_234,KP15_234,-,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20201220,-
707757,8997467,KP15_235,KP15_235,-,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20201220,-
707757,8997468,KP15_236,KP15_236,-,-,-,-,T holin,protein-coding,-,-,-,T holin,20201220,-
707757,8997469,KP15_237,KP15_237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997470,KP15_238,KP15_238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997471,KP15_239,KP15_239,-,-,-,-,Ndd,protein-coding,-,-,-,Ndd,20201220,-
707757,8997472,KP15_240,KP15_240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997473,KP15_1,KP15_1,-,-,-,-,host membrane ATPase affecting protein,protein-coding,-,-,-,host membrane ATPase affecting protein,20201220,-
707757,9007156,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
