#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047834,64367887,KD931_gp02,KD931_gp02,SEA_ANDIES_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2047834,64367941,KD931_gp56,KD931_gp56,SEA_ANDIES_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367942,KD931_gp57,KD931_gp57,SEA_ANDIES_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367943,KD931_gp58,KD931_gp58,SEA_ANDIES_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367944,KD931_gp59,KD931_gp59,SEA_ANDIES_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367945,KD931_gp60,KD931_gp60,SEA_ANDIES_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367946,KD931_gp61,KD931_gp61,SEA_ANDIES_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367947,KD931_gp62,KD931_gp62,SEA_ANDIES_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367948,KD931_gp63,KD931_gp63,SEA_ANDIES_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367949,KD931_gp64,KD931_gp64,SEA_ANDIES_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64367950,KD931_gp65,KD931_gp65,SEA_ANDIES_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2047834,64367951,KD931_gp01,KD931_gp01,SEA_ANDIES_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2047834,64409712,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
