#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053708,55808588,HYP53_gp02,HYP53_gp02,bIBBF12_gp02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2053708,55808632,HYP53_gp46,HYP53_gp46,bIBBF12_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808633,HYP53_gp47,HYP53_gp47,bIBBF12_gp47,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
2053708,55808634,HYP53_gp48,HYP53_gp48,bIBBF12_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808635,HYP53_gp49,HYP53_gp49,bIBBF12_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808636,HYP53_gp50,HYP53_gp50,bIBBF12_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808637,HYP53_gp51,HYP53_gp51,bIBBF12_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808638,HYP53_gp52,HYP53_gp52,bIBBF12_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808639,HYP53_gp53,HYP53_gp53,bIBBF12_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808640,HYP53_gp54,HYP53_gp54,bIBBF12_gp54,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210424,-
2053708,55808641,HYP53_gp55,HYP53_gp55,bIBBF12_gp55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808642,HYP53_gp01,HYP53_gp01,bIBBF12_gp01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
2053708,55863508,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
