#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074309,18559630,2,PBI_BIGNUZ_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1074309,18559645,17,PBI_BIGNUZ_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559646,18,PBI_BIGNUZ_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559647,19,PBI_BIGNUZ_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559648,20,PBI_BIGNUZ_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559649,21,PBI_BIGNUZ_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559650,22,PBI_BIGNUZ_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559651,23,PBI_BIGNUZ_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559652,24,PBI_BIGNUZ_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559653,25,PBI_BIGNUZ_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559654,26,PBI_BIGNUZ_26,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1074309,18559655,27,PBI_BIGNUZ_27,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1074309,18559656,28,PBI_BIGNUZ_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559657,29,PBI_BIGNUZ_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559658,30,PBI_BIGNUZ_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559659,31,PBI_BIGNUZ_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559660,32,PBI_BIGNUZ_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559661,33,PBI_BIGNUZ_33,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1074309,18559662,34,PBI_BIGNUZ_34,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20201220,-
1074309,18559663,35,PBI_BIGNUZ_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559664,36,PBI_BIGNUZ_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559665,37,PBI_BIGNUZ_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559666,38,PBI_BIGNUZ_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559667,39,PBI_BIGNUZ_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559668,40,PBI_BIGNUZ_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559669,41,PBI_BIGNUZ_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559670,42,PBI_BIGNUZ_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559671,43,PBI_BIGNUZ_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559672,44,PBI_BIGNUZ_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559673,45,PBI_BIGNUZ_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559674,46,PBI_BIGNUZ_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559675,47,PBI_BIGNUZ_47,-,-,-,-,RecE,protein-coding,-,-,-,RecE,20201220,-
1074309,18559676,48,PBI_BIGNUZ_48,-,-,-,-,RecT,protein-coding,-,-,-,RecT,20201220,-
1074309,18559677,49,PBI_BIGNUZ_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559678,50,PBI_BIGNUZ_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559679,51,PBI_BIGNUZ_51,-,-,-,-,FtsK,protein-coding,-,-,-,FtsK,20201220,-
1074309,18559680,52,PBI_BIGNUZ_52,-,-,-,-,RusA,protein-coding,-,-,-,RusA,20201220,-
1074309,18559681,53,PBI_BIGNUZ_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559682,54,PBI_BIGNUZ_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559683,55,PBI_BIGNUZ_55,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1074309,18559684,56,PBI_BIGNUZ_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559685,58,PBI_BIGNUZ_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559686,59,PBI_BIGNUZ_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559687,60,PBI_BIGNUZ_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559688,61,PBI_BIGNUZ_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559689,62,PBI_BIGNUZ_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559690,63,PBI_BIGNUZ_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559691,64,PBI_BIGNUZ_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559692,65,PBI_BIGNUZ_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559693,66,PBI_BIGNUZ_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559694,67,PBI_BIGNUZ_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559695,68,PBI_BIGNUZ_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559696,69,PBI_BIGNUZ_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559697,70,PBI_BIGNUZ_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559698,71,PBI_BIGNUZ_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559699,72,PBI_BIGNUZ_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559700,73,PBI_BIGNUZ_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559701,74,PBI_BIGNUZ_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559702,75,PBI_BIGNUZ_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559703,76,PBI_BIGNUZ_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559704,77,PBI_BIGNUZ_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559705,78,PBI_BIGNUZ_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559706,79,PBI_BIGNUZ_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559707,80,PBI_BIGNUZ_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559708,81,PBI_BIGNUZ_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559709,82,PBI_BIGNUZ_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559710,57,PBI_BIGNUZ_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559711,1,PBI_BIGNUZ_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18669559,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage BigNuz).,other,-,-,-,-,20200513,-
