#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1450535,37107590,BO94DRAFT_100549,BO94DRAFT_100549,-,-,Unknown,-,ARF/SAR superfamily,protein-coding,-,-,-,ARF/SAR superfamily,20180721,-
1450535,37107616,BO94DRAFT_103645,BO94DRAFT_103645,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107617,BO94DRAFT_104812,BO94DRAFT_104812,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107618,BO94DRAFT_1049,BO94DRAFT_1049,-,-,Unknown,-,CoA-transferase family III,protein-coding,-,-,-,CoA-transferase family III,20181013,-
1450535,37107619,BO94DRAFT_104912,BO94DRAFT_104912,-,-,Unknown,-,bromodomain protein,protein-coding,-,-,-,bromodomain protein,20181013,-
1450535,37107620,BO94DRAFT_10494,BO94DRAFT_10494,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20181013,-
1450535,37107621,BO94DRAFT_105037,BO94DRAFT_105037,-,-,Unknown,-,Pex19 protein,protein-coding,-,-,-,Pex19 protein,20181013,-
1450535,37107622,BO94DRAFT_105412,BO94DRAFT_105412,-,-,Unknown,-,anion exchange family protein,protein-coding,-,-,-,anion exchange family protein,20181013,-
1450535,37107623,BO94DRAFT_105462,BO94DRAFT_105462,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107624,BO94DRAFT_105504,BO94DRAFT_105504,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107625,BO94DRAFT_105507,BO94DRAFT_105507,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107626,BO94DRAFT_105708,BO94DRAFT_105708,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107627,BO94DRAFT_105717,BO94DRAFT_105717,-,-,Unknown,-,RTA1-domain-containing protein,protein-coding,-,-,-,RTA1-domain-containing protein,20181013,-
1450535,37107628,BO94DRAFT_105846,BO94DRAFT_105846,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107629,BO94DRAFT_106624,BO94DRAFT_106624,-,-,Unknown,-,transcription initiation protein,protein-coding,-,-,-,transcription initiation protein,20181013,-
1450535,37107630,BO94DRAFT_107534,BO94DRAFT_107534,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107631,BO94DRAFT_107620,BO94DRAFT_107620,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107632,BO94DRAFT_10777,BO94DRAFT_10777,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107633,BO94DRAFT_108685,BO94DRAFT_108685,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107634,BO94DRAFT_109177,BO94DRAFT_109177,-,-,Unknown,-,ATP-dependent RNA helicase dbp2,protein-coding,-,-,-,ATP-dependent RNA helicase dbp2,20181013,-
1450535,37107635,BO94DRAFT_109210,BO94DRAFT_109210,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107636,BO94DRAFT_10941,BO94DRAFT_10941,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107637,BO94DRAFT_10964,BO94DRAFT_10964,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107638,BO94DRAFT_109666,BO94DRAFT_109666,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107639,BO94DRAFT_109913,BO94DRAFT_109913,-,-,Unknown,-,Triosephosphate isomerase,protein-coding,-,-,-,Triosephosphate isomerase,20181013,-
1450535,37107640,BO94DRAFT_109971,BO94DRAFT_109971,-,-,Unknown,-,U-box domain protein,protein-coding,-,-,-,U-box domain protein,20181013,-
1450535,37107641,BO94DRAFT_110144,BO94DRAFT_110144,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20181013,-
1450535,37107642,BO94DRAFT_110476,BO94DRAFT_110476,-,-,Unknown,-,developmental regulator FlbA,protein-coding,-,-,-,developmental regulator FlbA,20181013,-
1450535,37107643,BO94DRAFT_110480,BO94DRAFT_110480,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107644,BO94DRAFT_110550,BO94DRAFT_110550,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107645,BO94DRAFT_110556,BO94DRAFT_110556,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107646,BO94DRAFT_110572,BO94DRAFT_110572,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107647,BO94DRAFT_110587,BO94DRAFT_110587,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107648,BO94DRAFT_110658,BO94DRAFT_110658,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107649,BO94DRAFT_110686,BO94DRAFT_110686,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107650,BO94DRAFT_110834,BO94DRAFT_110834,-,-,Unknown,-,bifunctional fatty acid transporter and acyl-CoA synthetase,protein-coding,-,-,-,bifunctional fatty acid transporter and acyl-CoA synthetase,20181013,-
1450535,37107651,BO94DRAFT_110937,BO94DRAFT_110937,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107652,BO94DRAFT_111107,BO94DRAFT_111107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107653,BO94DRAFT_111320,BO94DRAFT_111320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107654,BO94DRAFT_111729,BO94DRAFT_111729,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20181013,-
1450535,37107655,BO94DRAFT_111905,BO94DRAFT_111905,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107656,BO94DRAFT_112240,BO94DRAFT_112240,-,-,Unknown,-,DUF572-domain-containing protein,protein-coding,-,-,-,DUF572-domain-containing protein,20181013,-
1450535,37107657,BO94DRAFT_112270,BO94DRAFT_112270,-,-,Unknown,-,M protein repeat protein,protein-coding,-,-,-,M protein repeat protein,20181013,-
1450535,37107658,BO94DRAFT_112453,BO94DRAFT_112453,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107659,BO94DRAFT_112654,BO94DRAFT_112654,-,-,Unknown,-,acetyl-CoA synthetase-like protein,protein-coding,-,-,-,acetyl-CoA synthetase-like protein,20181013,-
1450535,37107660,BO94DRAFT_112704,BO94DRAFT_112704,-,-,Unknown,-,xylose isomerase-like protein,protein-coding,-,-,-,xylose isomerase-like protein,20181013,-
1450535,37107661,BO94DRAFT_112752,BO94DRAFT_112752,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107662,BO94DRAFT_112799,BO94DRAFT_112799,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107663,BO94DRAFT_113075,BO94DRAFT_113075,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107664,BO94DRAFT_113351,BO94DRAFT_113351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107665,BO94DRAFT_113428,BO94DRAFT_113428,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107666,BO94DRAFT_113460,BO94DRAFT_113460,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107667,BO94DRAFT_113565,BO94DRAFT_113565,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107668,BO94DRAFT_113646,BO94DRAFT_113646,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107669,BO94DRAFT_113692,BO94DRAFT_113692,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107670,BO94DRAFT_114016,BO94DRAFT_114016,-,-,Unknown,-,ubiquitin-conjugating enzyme E2 8,protein-coding,-,-,-,ubiquitin-conjugating enzyme E2 8,20181013,-
1450535,37107671,BO94DRAFT_114620,BO94DRAFT_114620,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107672,BO94DRAFT_114621,BO94DRAFT_114621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107673,BO94DRAFT_115265,BO94DRAFT_115265,-,-,Unknown,-,putative MYND domain protein,protein-coding,-,-,-,putative MYND domain protein,20181013,-
1450535,37107674,BO94DRAFT_115267,BO94DRAFT_115267,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107675,BO94DRAFT_115497,BO94DRAFT_115497,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107676,BO94DRAFT_115500,BO94DRAFT_115500,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107677,BO94DRAFT_115599,BO94DRAFT_115599,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107678,BO94DRAFT_1156,BO94DRAFT_1156,-,-,Unknown,-,terpenoid synthase,protein-coding,-,-,-,terpenoid synthase,20181013,-
1450535,37107679,BO94DRAFT_115989,BO94DRAFT_115989,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107680,BO94DRAFT_116009,BO94DRAFT_116009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107681,BO94DRAFT_116021,BO94DRAFT_116021,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107682,BO94DRAFT_116026,BO94DRAFT_116026,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107683,BO94DRAFT_116037,BO94DRAFT_116037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107684,BO94DRAFT_116248,BO94DRAFT_116248,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107685,BO94DRAFT_116293,BO94DRAFT_116293,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107686,BO94DRAFT_116492,BO94DRAFT_116492,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107687,BO94DRAFT_116664,BO94DRAFT_116664,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107688,BO94DRAFT_117423,BO94DRAFT_117423,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107689,BO94DRAFT_117571,BO94DRAFT_117571,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107690,BO94DRAFT_117613,BO94DRAFT_117613,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107691,BO94DRAFT_117633,BO94DRAFT_117633,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20181013,-
1450535,37107692,BO94DRAFT_117713,BO94DRAFT_117713,-,-,Unknown,-,ATP-binding cassette transporter,protein-coding,-,-,-,ATP-binding cassette transporter,20181013,-
1450535,37107693,BO94DRAFT_117720,BO94DRAFT_117720,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107694,BO94DRAFT_117770,BO94DRAFT_117770,-,-,Unknown,-,vacuolar import and degradation protein,protein-coding,-,-,-,vacuolar import and degradation protein,20181013,-
1450535,37107695,BO94DRAFT_118023,BO94DRAFT_118023,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107696,BO94DRAFT_118027,BO94DRAFT_118027,-,-,Unknown,-,ammonium transporter,protein-coding,-,-,-,ammonium transporter,20181013,-
1450535,37107697,BO94DRAFT_118203,BO94DRAFT_118203,-,-,Unknown,-,P-type calcium ATPase,protein-coding,-,-,-,P-type calcium ATPase,20181013,-
1450535,37107698,BO94DRAFT_118231,BO94DRAFT_118231,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107699,BO94DRAFT_118309,BO94DRAFT_118309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107700,BO94DRAFT_118438,BO94DRAFT_118438,-,-,Unknown,-,"alpha-1,2-mannosidase family protein",protein-coding,-,-,-,"alpha-1,2-mannosidase family protein",20181013,-
1450535,37107701,BO94DRAFT_118485,BO94DRAFT_118485,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107702,BO94DRAFT_118594,BO94DRAFT_118594,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107703,BO94DRAFT_118948,BO94DRAFT_118948,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107704,BO94DRAFT_119081,BO94DRAFT_119081,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107705,BO94DRAFT_119127,BO94DRAFT_119127,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107706,BO94DRAFT_119128,BO94DRAFT_119128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107707,BO94DRAFT_119129,BO94DRAFT_119129,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107708,BO94DRAFT_119345,BO94DRAFT_119345,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107709,BO94DRAFT_119358,BO94DRAFT_119358,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107710,BO94DRAFT_119445,BO94DRAFT_119445,-,-,Unknown,-,DHS-like NAD/FAD-binding domain-containing protein,protein-coding,-,-,-,DHS-like NAD/FAD-binding domain-containing protein,20181013,-
1450535,37107711,BO94DRAFT_119776,BO94DRAFT_119776,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107712,BO94DRAFT_1199,BO94DRAFT_1199,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107713,BO94DRAFT_120014,BO94DRAFT_120014,-,-,Unknown,-,putative phosphoglycerate kinase PgkA,protein-coding,-,-,-,putative phosphoglycerate kinase PgkA,20181013,-
1450535,37107714,BO94DRAFT_120277,BO94DRAFT_120277,-,-,Unknown,-,ABC transporter family protein,protein-coding,-,-,-,ABC transporter family protein,20181013,-
1450535,37107715,BO94DRAFT_120351,BO94DRAFT_120351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107716,BO94DRAFT_120384,BO94DRAFT_120384,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107717,BO94DRAFT_120451,BO94DRAFT_120451,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107718,BO94DRAFT_120463,BO94DRAFT_120463,-,-,Unknown,-,C2H2 transcription factor,protein-coding,-,-,-,C2H2 transcription factor,20181013,-
1450535,37107719,BO94DRAFT_120563,BO94DRAFT_120563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107720,BO94DRAFT_120596,BO94DRAFT_120596,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107721,BO94DRAFT_121154,BO94DRAFT_121154,-,-,Unknown,-,alpha-L-arabinofuranosidase,protein-coding,-,-,-,alpha-L-arabinofuranosidase,20181013,-
1450535,37107722,BO94DRAFT_121694,BO94DRAFT_121694,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107723,BO94DRAFT_121699,BO94DRAFT_121699,-,-,Unknown,-,mitochondrial inner membrane translocase subunit TIM44,protein-coding,-,-,-,mitochondrial inner membrane translocase subunit TIM44,20181013,-
1450535,37107724,BO94DRAFT_121813,BO94DRAFT_121813,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107725,BO94DRAFT_121924,BO94DRAFT_121924,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107726,BO94DRAFT_12255,BO94DRAFT_12255,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107727,BO94DRAFT_122613,BO94DRAFT_122613,-,-,Unknown,-,SFT2 domain protein,protein-coding,-,-,-,SFT2 domain protein,20181013,-
1450535,37107728,BO94DRAFT_123075,BO94DRAFT_123075,-,-,Unknown,-,FAD dependent oxidoreductase,protein-coding,-,-,-,FAD dependent oxidoreductase,20181013,-
1450535,37107729,BO94DRAFT_123128,BO94DRAFT_123128,-,-,Unknown,-,actin-interacting protein,protein-coding,-,-,-,actin-interacting protein,20181013,-
1450535,37107730,BO94DRAFT_123138,BO94DRAFT_123138,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107731,BO94DRAFT_123275,BO94DRAFT_123275,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107732,BO94DRAFT_123378,BO94DRAFT_123378,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20181013,-
1450535,37107733,BO94DRAFT_123574,BO94DRAFT_123574,-,-,Unknown,-,RNA-binding domain-containing protein,protein-coding,-,-,-,RNA-binding domain-containing protein,20181013,-
1450535,37107734,BO94DRAFT_123740,BO94DRAFT_123740,-,-,Unknown,-,R3H domain protein,protein-coding,-,-,-,R3H domain protein,20181013,-
1450535,37107735,BO94DRAFT_12377,BO94DRAFT_12377,-,-,Unknown,-,zf-DHHC-domain-containing protein,protein-coding,-,-,-,zf-DHHC-domain-containing protein,20181013,-
1450535,37107736,BO94DRAFT_124038,BO94DRAFT_124038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107737,BO94DRAFT_124158,BO94DRAFT_124158,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107738,BO94DRAFT_12467,BO94DRAFT_12467,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107739,BO94DRAFT_124737,BO94DRAFT_124737,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107740,BO94DRAFT_12491,BO94DRAFT_12491,-,-,Unknown,-,pre-mRNA splicing factor,protein-coding,-,-,-,pre-mRNA splicing factor,20181013,-
1450535,37107741,BO94DRAFT_125042,BO94DRAFT_125042,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107742,BO94DRAFT_125268,BO94DRAFT_125268,-,-,Unknown,-,cysteine dioxygenase,protein-coding,-,-,-,cysteine dioxygenase,20181013,-
1450535,37107743,BO94DRAFT_125302,BO94DRAFT_125302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107744,BO94DRAFT_125327,BO94DRAFT_125327,-,-,Unknown,-,GTP-binding protein RBG1,protein-coding,-,-,-,GTP-binding protein RBG1,20181013,-
1450535,37107745,BO94DRAFT_125509,BO94DRAFT_125509,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107746,BO94DRAFT_125554,BO94DRAFT_125554,-,-,Unknown,-,centromere binding protein B,protein-coding,-,-,-,centromere binding protein B,20181013,-
1450535,37107747,BO94DRAFT_125574,BO94DRAFT_125574,-,-,Unknown,-,nucleoside hydrolase,protein-coding,-,-,-,nucleoside hydrolase,20181013,-
1450535,37107748,BO94DRAFT_125611,BO94DRAFT_125611,-,-,Unknown,-,enolase C-terminal domain-like protein,protein-coding,-,-,-,enolase C-terminal domain-like protein,20181013,-
1450535,37107749,BO94DRAFT_125709,BO94DRAFT_125709,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107750,BO94DRAFT_125816,BO94DRAFT_125816,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107751,BO94DRAFT_125933,BO94DRAFT_125933,-,-,Unknown,-,protein DFG10,protein-coding,-,-,-,protein DFG10,20181013,-
1450535,37107752,BO94DRAFT_125959,BO94DRAFT_125959,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107753,BO94DRAFT_126027,BO94DRAFT_126027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107754,BO94DRAFT_126141,BO94DRAFT_126141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107755,BO94DRAFT_126168,BO94DRAFT_126168,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107756,BO94DRAFT_126182,BO94DRAFT_126182,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107757,BO94DRAFT_126273,BO94DRAFT_126273,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107758,BO94DRAFT_126322,BO94DRAFT_126322,-,-,Unknown,-,importin 11,protein-coding,-,-,-,importin 11,20181013,-
1450535,37107759,BO94DRAFT_126386,BO94DRAFT_126386,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
