#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821560,29068187,2,BI045_gp02,SEA_PHINALLY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1821560,29068200,15,BI045_gp15,SEA_PHINALLY_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200927,-
1821560,29068201,16,BI045_gp16,SEA_PHINALLY_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068202,17,BI045_gp17,SEA_PHINALLY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068203,18,BI045_gp18,SEA_PHINALLY_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200927,-
1821560,29068204,19,BI045_gp19,SEA_PHINALLY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068205,20,BI045_gp20,SEA_PHINALLY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068206,21,BI045_gp21,SEA_PHINALLY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068207,22,BI045_gp22,SEA_PHINALLY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068208,23,BI045_gp23,SEA_PHINALLY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068209,24,BI045_gp24,SEA_PHINALLY_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821560,29068210,25,BI045_gp25,SEA_PHINALLY_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1821560,29068211,26,BI045_gp26,SEA_PHINALLY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068212,27,BI045_gp27,SEA_PHINALLY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068213,28,BI045_gp28,SEA_PHINALLY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068214,29,BI045_gp29,SEA_PHINALLY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068215,30,BI045_gp30,SEA_PHINALLY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068216,31,BI045_gp31,SEA_PHINALLY_31,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821560,29068217,32,BI045_gp32,SEA_PHINALLY_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821560,29068218,33,BI045_gp33,SEA_PHINALLY_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821560,29068219,34,BI045_gp34,SEA_PHINALLY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068220,35,BI045_gp35,SEA_PHINALLY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068221,36,BI045_gp36,SEA_PHINALLY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068222,37,BI045_gp37,SEA_PHINALLY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068223,38,BI045_gp38,SEA_PHINALLY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068224,39,BI045_gp39,SEA_PHINALLY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068225,40,BI045_gp40,SEA_PHINALLY_40,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1821560,29068226,41,BI045_gp41,SEA_PHINALLY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068227,42,BI045_gp42,SEA_PHINALLY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068228,43,BI045_gp43,SEA_PHINALLY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068229,44,BI045_gp44,SEA_PHINALLY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068230,45,BI045_gp45,SEA_PHINALLY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068231,46,BI045_gp46,SEA_PHINALLY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068232,47,BI045_gp47,SEA_PHINALLY_47,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200927,-
1821560,29068233,48,BI045_gp48,SEA_PHINALLY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068234,49,BI045_gp49,SEA_PHINALLY_49,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1821560,29068235,50,BI045_gp50,SEA_PHINALLY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068236,51,BI045_gp51,SEA_PHINALLY_51,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821560,29068237,52,BI045_gp52,SEA_PHINALLY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068238,53,BI045_gp53,SEA_PHINALLY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068239,54,BI045_gp54,SEA_PHINALLY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068240,55,BI045_gp55,SEA_PHINALLY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068241,56,BI045_gp56,SEA_PHINALLY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068242,57,BI045_gp57,SEA_PHINALLY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068243,58,BI045_gp58,SEA_PHINALLY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068244,59,BI045_gp59,SEA_PHINALLY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068245,60,BI045_gp60,SEA_PHINALLY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068246,61,BI045_gp61,SEA_PHINALLY_61,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200927,-
1821560,29068247,62,BI045_gp62,SEA_PHINALLY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068248,63,BI045_gp63,SEA_PHINALLY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068249,64,BI045_gp64,SEA_PHINALLY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068250,65,BI045_gp65,SEA_PHINALLY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068251,66,BI045_gp66,SEA_PHINALLY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068252,67,BI045_gp67,SEA_PHINALLY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068253,68,BI045_gp68,SEA_PHINALLY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068254,69,BI045_gp69,SEA_PHINALLY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068255,70,BI045_gp70,SEA_PHINALLY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068256,71,BI045_gp71,SEA_PHINALLY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068257,72,BI045_gp72,SEA_PHINALLY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068258,73,BI045_gp73,SEA_PHINALLY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068259,74,BI045_gp74,SEA_PHINALLY_74,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200927,-
1821560,29068260,75,BI045_gp75,SEA_PHINALLY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068261,76,BI045_gp76,SEA_PHINALLY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068262,77,BI045_gp77,SEA_PHINALLY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068263,78,BI045_gp78,SEA_PHINALLY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068264,79,BI045_gp79,SEA_PHINALLY_79,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200927,-
1821560,29068265,80,BI045_gp80,SEA_PHINALLY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068266,81,BI045_gp81,SEA_PHINALLY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068267,82,BI045_gp82,SEA_PHINALLY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068268,83,BI045_gp83,SEA_PHINALLY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068269,84,BI045_gp84,SEA_PHINALLY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068270,85,BI045_gp85,SEA_PHINALLY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068271,86,BI045_gp86,SEA_PHINALLY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068272,87,BI045_gp87,SEA_PHINALLY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821560,29068273,1,BI045_gp01,SEA_PHINALLY_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1821560,29139916,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
