#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1314785,63818182,LAESUDRAFT_100037,LAESUDRAFT_100037,-,-,Unknown,-,peroxisomal acyl-CoA-dehydrogenase,protein-coding,-,-,-,peroxisomal acyl-CoA-dehydrogenase,20210421,-
1314785,63818222,LAESUDRAFT_108725,LAESUDRAFT_108725,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210421,-
1314785,63818223,LAESUDRAFT_10873,LAESUDRAFT_10873,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818224,LAESUDRAFT_108734,LAESUDRAFT_108734,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210421,-
1314785,63818225,LAESUDRAFT_108835,LAESUDRAFT_108835,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818226,LAESUDRAFT_109056,LAESUDRAFT_109056,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818227,LAESUDRAFT_10907,LAESUDRAFT_10907,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818228,LAESUDRAFT_109092,LAESUDRAFT_109092,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818229,LAESUDRAFT_109227,LAESUDRAFT_109227,-,-,Unknown,-,aspartic peptidase A1,protein-coding,-,-,-,aspartic peptidase A1,20210421,-
1314785,63818230,LAESUDRAFT_109616,LAESUDRAFT_109616,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818231,LAESUDRAFT_109954,LAESUDRAFT_109954,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818232,LAESUDRAFT_109983,LAESUDRAFT_109983,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818233,LAESUDRAFT_110446,LAESUDRAFT_110446,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818234,LAESUDRAFT_110504,LAESUDRAFT_110504,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818235,LAESUDRAFT_110530,LAESUDRAFT_110530,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818236,LAESUDRAFT_11070,LAESUDRAFT_11070,-,-,Unknown,-,cytidine deaminase-like protein,protein-coding,-,-,-,cytidine deaminase-like protein,20210421,-
1314785,63818237,LAESUDRAFT_110706,LAESUDRAFT_110706,-,-,Unknown,-,putative monooxygenase,protein-coding,-,-,-,putative monooxygenase,20210421,-
1314785,63818238,LAESUDRAFT_110873,LAESUDRAFT_110873,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818239,LAESUDRAFT_110874,LAESUDRAFT_110874,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818240,LAESUDRAFT_111797,LAESUDRAFT_111797,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818241,LAESUDRAFT_111801,LAESUDRAFT_111801,-,-,Unknown,-,agmatinase,protein-coding,-,-,-,agmatinase,20210421,-
1314785,63818242,LAESUDRAFT_11212,LAESUDRAFT_11212,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818243,LAESUDRAFT_112488,LAESUDRAFT_112488,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818244,LAESUDRAFT_112945,LAESUDRAFT_112945,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818245,LAESUDRAFT_113298,LAESUDRAFT_113298,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818246,LAESUDRAFT_113462,LAESUDRAFT_113462,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818247,LAESUDRAFT_113551,LAESUDRAFT_113551,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818248,LAESUDRAFT_113639,LAESUDRAFT_113639,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818249,LAESUDRAFT_113883,LAESUDRAFT_113883,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818250,LAESUDRAFT_113991,LAESUDRAFT_113991,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818251,LAESUDRAFT_114042,LAESUDRAFT_114042,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818252,LAESUDRAFT_114117,LAESUDRAFT_114117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818253,LAESUDRAFT_114173,LAESUDRAFT_114173,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818254,LAESUDRAFT_114175,LAESUDRAFT_114175,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818255,LAESUDRAFT_115087,LAESUDRAFT_115087,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818256,LAESUDRAFT_115096,LAESUDRAFT_115096,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818257,LAESUDRAFT_115317,LAESUDRAFT_115317,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818258,LAESUDRAFT_115507,LAESUDRAFT_115507,-,-,Unknown,-,pirin domain-containing protein,protein-coding,-,-,-,pirin domain-containing protein,20210421,-
1314785,63818259,LAESUDRAFT_115651,LAESUDRAFT_115651,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818260,LAESUDRAFT_116199,LAESUDRAFT_116199,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818261,LAESUDRAFT_116346,LAESUDRAFT_116346,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818262,LAESUDRAFT_116692,LAESUDRAFT_116692,-,-,Unknown,-,carbohydrate-binding module family 43 protein,protein-coding,-,-,-,carbohydrate-binding module family 43 protein,20210421,-
1314785,63818263,LAESUDRAFT_11696,LAESUDRAFT_11696,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818264,LAESUDRAFT_117138,LAESUDRAFT_117138,-,-,Unknown,-,glycoside hydrolase family 28 protein,protein-coding,-,-,-,glycoside hydrolase family 28 protein,20210421,-
1314785,63818265,LAESUDRAFT_117362,LAESUDRAFT_117362,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818266,LAESUDRAFT_117383,LAESUDRAFT_117383,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818267,LAESUDRAFT_118473,LAESUDRAFT_118473,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818268,LAESUDRAFT_118497,LAESUDRAFT_118497,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818269,LAESUDRAFT_118561,LAESUDRAFT_118561,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818270,LAESUDRAFT_118652,LAESUDRAFT_118652,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818271,LAESUDRAFT_118739,LAESUDRAFT_118739,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818272,LAESUDRAFT_118774,LAESUDRAFT_118774,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818273,LAESUDRAFT_118866,LAESUDRAFT_118866,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818274,LAESUDRAFT_119137,LAESUDRAFT_119137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818275,LAESUDRAFT_119344,LAESUDRAFT_119344,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818276,LAESUDRAFT_119384,LAESUDRAFT_119384,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818277,LAESUDRAFT_120001,LAESUDRAFT_120001,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818278,LAESUDRAFT_120040,LAESUDRAFT_120040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818279,LAESUDRAFT_120444,LAESUDRAFT_120444,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818280,LAESUDRAFT_120455,LAESUDRAFT_120455,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818281,LAESUDRAFT_120495,LAESUDRAFT_120495,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818282,LAESUDRAFT_120519,LAESUDRAFT_120519,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818283,LAESUDRAFT_120752,LAESUDRAFT_120752,-,-,Unknown,-,glycosyltransferase family 1 protein,protein-coding,-,-,-,glycosyltransferase family 1 protein,20210421,-
1314785,63818284,LAESUDRAFT_12207,LAESUDRAFT_12207,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818285,LAESUDRAFT_122800,LAESUDRAFT_122800,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818286,LAESUDRAFT_122806,LAESUDRAFT_122806,-,-,Unknown,-,glycoside hydrolase family 16 protein,protein-coding,-,-,-,glycoside hydrolase family 16 protein,20210421,-
1314785,63818287,LAESUDRAFT_122935,LAESUDRAFT_122935,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818288,LAESUDRAFT_123131,LAESUDRAFT_123131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818289,LAESUDRAFT_12318,LAESUDRAFT_12318,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210421,-
1314785,63818290,LAESUDRAFT_123182,LAESUDRAFT_123182,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818291,LAESUDRAFT_124131,LAESUDRAFT_124131,-,-,Unknown,-,Cyanovirin-N,protein-coding,-,-,-,Cyanovirin-N,20210421,-
1314785,63818292,LAESUDRAFT_124198,LAESUDRAFT_124198,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818293,LAESUDRAFT_124345,LAESUDRAFT_124345,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818294,LAESUDRAFT_124540,LAESUDRAFT_124540,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210421,-
1314785,63818295,LAESUDRAFT_124633,LAESUDRAFT_124633,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210421,-
1314785,63818296,LAESUDRAFT_124757,LAESUDRAFT_124757,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818297,LAESUDRAFT_12495,LAESUDRAFT_12495,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818298,LAESUDRAFT_125500,LAESUDRAFT_125500,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818299,LAESUDRAFT_126006,LAESUDRAFT_126006,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818300,LAESUDRAFT_126313,LAESUDRAFT_126313,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818301,LAESUDRAFT_12637,LAESUDRAFT_12637,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818302,LAESUDRAFT_126425,LAESUDRAFT_126425,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818303,LAESUDRAFT_126586,LAESUDRAFT_126586,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818304,LAESUDRAFT_12664,LAESUDRAFT_12664,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818305,LAESUDRAFT_126944,LAESUDRAFT_126944,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818306,LAESUDRAFT_126981,LAESUDRAFT_126981,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818307,LAESUDRAFT_127703,LAESUDRAFT_127703,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818308,LAESUDRAFT_127713,LAESUDRAFT_127713,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818309,LAESUDRAFT_129303,LAESUDRAFT_129303,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818310,LAESUDRAFT_129659,LAESUDRAFT_129659,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818311,LAESUDRAFT_129855,LAESUDRAFT_129855,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818312,LAESUDRAFT_130291,LAESUDRAFT_130291,-,-,Unknown,-,phosphoglycerate mutase-like protein,protein-coding,-,-,-,phosphoglycerate mutase-like protein,20210421,-
1314785,63818313,LAESUDRAFT_130486,LAESUDRAFT_130486,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818314,LAESUDRAFT_130824,LAESUDRAFT_130824,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818315,LAESUDRAFT_130938,LAESUDRAFT_130938,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818316,LAESUDRAFT_131454,LAESUDRAFT_131454,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818317,LAESUDRAFT_131614,LAESUDRAFT_131614,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818318,LAESUDRAFT_131817,LAESUDRAFT_131817,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818319,LAESUDRAFT_132002,LAESUDRAFT_132002,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818320,LAESUDRAFT_132327,LAESUDRAFT_132327,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818321,LAESUDRAFT_132410,LAESUDRAFT_132410,-,-,Unknown,-,Pcmt1-prov protein,protein-coding,-,-,-,Pcmt1-prov protein,20210421,-
1314785,63818322,LAESUDRAFT_132619,LAESUDRAFT_132619,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210421,-
1314785,63818323,LAESUDRAFT_132665,LAESUDRAFT_132665,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818324,LAESUDRAFT_132785,LAESUDRAFT_132785,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818325,LAESUDRAFT_132807,LAESUDRAFT_132807,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818326,LAESUDRAFT_132833,LAESUDRAFT_132833,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818327,LAESUDRAFT_132873,LAESUDRAFT_132873,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818328,LAESUDRAFT_133265,LAESUDRAFT_133265,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818329,LAESUDRAFT_133578,LAESUDRAFT_133578,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818330,LAESUDRAFT_133808,LAESUDRAFT_133808,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818331,LAESUDRAFT_134254,LAESUDRAFT_134254,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818332,LAESUDRAFT_134676,LAESUDRAFT_134676,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818333,LAESUDRAFT_134692,LAESUDRAFT_134692,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818334,LAESUDRAFT_135010,LAESUDRAFT_135010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818335,LAESUDRAFT_135257,LAESUDRAFT_135257,-,-,Unknown,-,DUF647-domain-containing protein,protein-coding,-,-,-,DUF647-domain-containing protein,20210421,-
1314785,63818336,LAESUDRAFT_136307,LAESUDRAFT_136307,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818337,LAESUDRAFT_136474,LAESUDRAFT_136474,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818338,LAESUDRAFT_13667,LAESUDRAFT_13667,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818339,LAESUDRAFT_13671,LAESUDRAFT_13671,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818340,LAESUDRAFT_137040,LAESUDRAFT_137040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818341,LAESUDRAFT_137183,LAESUDRAFT_137183,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818342,LAESUDRAFT_137217,LAESUDRAFT_137217,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818343,LAESUDRAFT_137380,LAESUDRAFT_137380,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818344,LAESUDRAFT_137506,LAESUDRAFT_137506,-,-,Unknown,-,aconitate hydratase,protein-coding,-,-,-,aconitate hydratase,20210421,-
1314785,63818345,LAESUDRAFT_137769,LAESUDRAFT_137769,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818346,LAESUDRAFT_137891,LAESUDRAFT_137891,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210421,-
