#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10228,4126647,ATP6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20200911,-
10228,4126671,ORF175,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,4126672,ND2,-,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200911,-
10228,4126673,COX2,-,-,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,cytochrome c oxidase subunit II,20200911,-
10228,4126674,ORF677,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,4126675,ND4,-,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20200911,-
10228,6748804,TRIADDRAFT_51256,TRIADDRAFT_51256,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748805,TRIADDRAFT_18815,TRIADDRAFT_18815,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748806,TRIADDRAFT_51258,TRIADDRAFT_51258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748807,TRIADDRAFT_51257,TRIADDRAFT_51257,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748808,TRIADDRAFT_51266,TRIADDRAFT_51266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748809,TRIADDRAFT_51263,TRIADDRAFT_51263,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748810,TRIADDRAFT_51271,TRIADDRAFT_51271,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748811,TRIADDRAFT_18708,TRIADDRAFT_18708,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748812,TRIADDRAFT_18392,TRIADDRAFT_18392,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748813,TRIADDRAFT_63161,TRIADDRAFT_63161,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748814,TRIADDRAFT_51280,TRIADDRAFT_51280,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748815,TRIADDRAFT_18459,TRIADDRAFT_18459,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6748816,TRIADDRAFT_20253,TRIADDRAFT_20253,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748817,TRIADDRAFT_51287,TRIADDRAFT_51287,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748818,TRIADDRAFT_19119,TRIADDRAFT_19119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748819,TRIADDRAFT_51290,TRIADDRAFT_51290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748820,TRIADDRAFT_51292,TRIADDRAFT_51292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748821,TRIADDRAFT_19156,TRIADDRAFT_19156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748822,TRIADDRAFT_49549,TRIADDRAFT_49549,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748823,TRIADDRAFT_49550,TRIADDRAFT_49550,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748824,TRIADDRAFT_18281,TRIADDRAFT_18281,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748825,TRIADDRAFT_51299,TRIADDRAFT_51299,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748826,TRIADDRAFT_18710,TRIADDRAFT_18710,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748827,TRIADDRAFT_18983,TRIADDRAFT_18983,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748828,TRIADDRAFT_63457,TRIADDRAFT_63457,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6748829,TRIADDRAFT_51304,TRIADDRAFT_51304,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748830,TRIADDRAFT_51306,TRIADDRAFT_51306,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748831,TRIADDRAFT_51308,TRIADDRAFT_51308,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748832,TRIADDRAFT_51309,TRIADDRAFT_51309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748833,TRIADDRAFT_20207,TRIADDRAFT_20207,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748834,TRIADDRAFT_51314,TRIADDRAFT_51314,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748835,TRIADDRAFT_17618,TRIADDRAFT_17618,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748836,TRIADDRAFT_51316,TRIADDRAFT_51316,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748837,TRIADDRAFT_36875,TRIADDRAFT_36875,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6748838,TRIADDRAFT_18816,TRIADDRAFT_18816,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748839,TRIADDRAFT_51324,TRIADDRAFT_51324,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748840,TRIADDRAFT_51325,TRIADDRAFT_51325,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748841,TRIADDRAFT_51326,TRIADDRAFT_51326,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748842,TRIADDRAFT_51327,TRIADDRAFT_51327,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748843,TRIADDRAFT_51328,TRIADDRAFT_51328,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748844,TRIADDRAFT_51329,TRIADDRAFT_51329,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748845,TRIADDRAFT_51330,TRIADDRAFT_51330,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748846,TRIADDRAFT_18196,TRIADDRAFT_18196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748847,TRIADDRAFT_51333,TRIADDRAFT_51333,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748848,TRIADDRAFT_51334,TRIADDRAFT_51334,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748849,TRIADDRAFT_51337,TRIADDRAFT_51337,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748850,TRIADDRAFT_51338,TRIADDRAFT_51338,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748851,TRIADDRAFT_19709,TRIADDRAFT_19709,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748852,TRIADDRAFT_18639,TRIADDRAFT_18639,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748853,TRIADDRAFT_51344,TRIADDRAFT_51344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748854,TRIADDRAFT_51346,TRIADDRAFT_51346,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748855,TRIADDRAFT_19129,TRIADDRAFT_19129,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748856,TRIADDRAFT_19198,TRIADDRAFT_19198,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748857,TRIADDRAFT_5116,TRIADDRAFT_5116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748858,TRIADDRAFT_51352,TRIADDRAFT_51352,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748859,TRIADDRAFT_51354,TRIADDRAFT_51354,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748860,TRIADDRAFT_14574,TRIADDRAFT_14574,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748861,TRIADDRAFT_51357,TRIADDRAFT_51357,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748862,TRIADDRAFT_51358,TRIADDRAFT_51358,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748863,TRIADDRAFT_15826,TRIADDRAFT_15826,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748864,TRIADDRAFT_51365,TRIADDRAFT_51365,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748865,TRIADDRAFT_51368,TRIADDRAFT_51368,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748866,TRIADDRAFT_18652,TRIADDRAFT_18652,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748867,TRIADDRAFT_19032,TRIADDRAFT_19032,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748868,TRIADDRAFT_51377,TRIADDRAFT_51377,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748869,TRIADDRAFT_51381,TRIADDRAFT_51381,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748870,TRIADDRAFT_51382,TRIADDRAFT_51382,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748871,TRIADDRAFT_1282,TRIADDRAFT_1282,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748872,TRIADDRAFT_51386,TRIADDRAFT_51386,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748873,TRIADDRAFT_19665,TRIADDRAFT_19665,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748874,TRIADDRAFT_51388,TRIADDRAFT_51388,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748875,TRIADDRAFT_51389,TRIADDRAFT_51389,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748876,TRIADDRAFT_49562,TRIADDRAFT_49562,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748877,TRIADDRAFT_19142,TRIADDRAFT_19142,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748878,TRIADDRAFT_49563,TRIADDRAFT_49563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748879,TRIADDRAFT_51396,TRIADDRAFT_51396,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748880,TRIADDRAFT_19563,TRIADDRAFT_19563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748881,TRIADDRAFT_63462,TRIADDRAFT_63462,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748882,TRIADDRAFT_35180,TRIADDRAFT_35180,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6748883,TRIADDRAFT_51402,TRIADDRAFT_51402,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748884,TRIADDRAFT_51403,TRIADDRAFT_51403,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748885,TRIADDRAFT_51405,TRIADDRAFT_51405,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748886,TRIADDRAFT_51407,TRIADDRAFT_51407,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748887,TRIADDRAFT_51408,TRIADDRAFT_51408,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748888,TRIADDRAFT_51409,TRIADDRAFT_51409,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748889,TRIADDRAFT_4444,TRIADDRAFT_4444,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748890,TRIADDRAFT_20246,TRIADDRAFT_20246,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748891,TRIADDRAFT_51419,TRIADDRAFT_51419,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748892,TRIADDRAFT_63166,TRIADDRAFT_63166,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6748893,TRIADDRAFT_49569,TRIADDRAFT_49569,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748894,TRIADDRAFT_18834,TRIADDRAFT_18834,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748895,TRIADDRAFT_51427,TRIADDRAFT_51427,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748896,TRIADDRAFT_51430,TRIADDRAFT_51430,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748897,TRIADDRAFT_51433,TRIADDRAFT_51433,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748898,TRIADDRAFT_51434,TRIADDRAFT_51434,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748899,TRIADDRAFT_19239,TRIADDRAFT_19239,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748900,TRIADDRAFT_12811,TRIADDRAFT_12811,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748901,TRIADDRAFT_51438,TRIADDRAFT_51438,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748902,TRIADDRAFT_36897,TRIADDRAFT_36897,-,-,Unknown,-,expressed hypothetical protein,protein-coding,-,-,-,expressed hypothetical protein,20200911,-
10228,6748903,TRIADDRAFT_51440,TRIADDRAFT_51440,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748904,TRIADDRAFT_19095,TRIADDRAFT_19095,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748905,TRIADDRAFT_51444,TRIADDRAFT_51444,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748906,TRIADDRAFT_20374,TRIADDRAFT_20374,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748907,TRIADDRAFT_51448,TRIADDRAFT_51448,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748908,TRIADDRAFT_51450,TRIADDRAFT_51450,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748909,TRIADDRAFT_51451,TRIADDRAFT_51451,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748910,TRIADDRAFT_51454,TRIADDRAFT_51454,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748911,TRIADDRAFT_19901,TRIADDRAFT_19901,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748912,TRIADDRAFT_18188,TRIADDRAFT_18188,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748913,TRIADDRAFT_51463,TRIADDRAFT_51463,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748914,TRIADDRAFT_19990,TRIADDRAFT_19990,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748915,TRIADDRAFT_18957,TRIADDRAFT_18957,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748916,TRIADDRAFT_51468,TRIADDRAFT_51468,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748917,TRIADDRAFT_51471,TRIADDRAFT_51471,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748918,TRIADDRAFT_51473,TRIADDRAFT_51473,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748919,TRIADDRAFT_51474,TRIADDRAFT_51474,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748920,TRIADDRAFT_51475,TRIADDRAFT_51475,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748921,TRIADDRAFT_51478,TRIADDRAFT_51478,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748922,TRIADDRAFT_51481,TRIADDRAFT_51481,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748923,TRIADDRAFT_51482,TRIADDRAFT_51482,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748924,TRIADDRAFT_51484,TRIADDRAFT_51484,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748925,TRIADDRAFT_51492,TRIADDRAFT_51492,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748926,TRIADDRAFT_51494,TRIADDRAFT_51494,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748927,TRIADDRAFT_63169,TRIADDRAFT_63169,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748928,TRIADDRAFT_51500,TRIADDRAFT_51500,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748929,TRIADDRAFT_18186,TRIADDRAFT_18186,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748930,TRIADDRAFT_18756,TRIADDRAFT_18756,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748931,TRIADDRAFT_51503,TRIADDRAFT_51503,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748932,TRIADDRAFT_19187,TRIADDRAFT_19187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748933,TRIADDRAFT_51512,TRIADDRAFT_51512,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748934,TRIADDRAFT_18353,TRIADDRAFT_18353,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748935,TRIADDRAFT_51516,TRIADDRAFT_51516,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748936,TRIADDRAFT_51517,TRIADDRAFT_51517,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748937,TRIADDRAFT_18730,TRIADDRAFT_18730,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748938,TRIADDRAFT_18257,TRIADDRAFT_18257,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748939,TRIADDRAFT_19354,TRIADDRAFT_19354,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748940,TRIADDRAFT_51520,TRIADDRAFT_51520,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748941,TRIADDRAFT_51521,TRIADDRAFT_51521,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748942,TRIADDRAFT_18343,TRIADDRAFT_18343,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748943,TRIADDRAFT_20144,TRIADDRAFT_20144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748944,TRIADDRAFT_51528,TRIADDRAFT_51528,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748945,TRIADDRAFT_18102,TRIADDRAFT_18102,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748946,TRIADDRAFT_51531,TRIADDRAFT_51531,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748947,TRIADDRAFT_51532,TRIADDRAFT_51532,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748948,TRIADDRAFT_51534,TRIADDRAFT_51534,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748949,TRIADDRAFT_51535,TRIADDRAFT_51535,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748950,TRIADDRAFT_51536,TRIADDRAFT_51536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748951,TRIADDRAFT_51537,TRIADDRAFT_51537,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748952,TRIADDRAFT_18339,TRIADDRAFT_18339,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748953,TRIADDRAFT_51541,TRIADDRAFT_51541,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748954,TRIADDRAFT_51543,TRIADDRAFT_51543,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748955,TRIADDRAFT_51545,TRIADDRAFT_51545,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,6748956,TRIADDRAFT_3452,TRIADDRAFT_3452,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
