#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
692275,27897640,SEPMUDRAFT_10026,SEPMUDRAFT_10026,-,-,Unknown,-,PLC-like phosphodiesterase,protein-coding,-,-,-,PLC-like phosphodiesterase,20200919,-
692275,27897667,SEPMUDRAFT_104144,SEPMUDRAFT_104144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897668,SEPMUDRAFT_104152,SEPMUDRAFT_104152,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897669,SEPMUDRAFT_104170,SEPMUDRAFT_104170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897670,SEPMUDRAFT_104206,SEPMUDRAFT_104206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897671,SEPMUDRAFT_104224,SEPMUDRAFT_104224,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897672,SEPMUDRAFT_104249,SEPMUDRAFT_104249,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20200919,-
692275,27897673,SEPMUDRAFT_104315,SEPMUDRAFT_104315,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897674,SEPMUDRAFT_104336,SEPMUDRAFT_104336,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897675,SEPMUDRAFT_104404,SEPMUDRAFT_104404,-,-,Unknown,-,60S ribosomal protein,protein-coding,-,-,-,60S ribosomal protein,20200919,-
692275,27897676,SEPMUDRAFT_104411,SEPMUDRAFT_104411,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897677,SEPMUDRAFT_104428,SEPMUDRAFT_104428,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897678,SEPMUDRAFT_104458,SEPMUDRAFT_104458,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897679,SEPMUDRAFT_104466,SEPMUDRAFT_104466,-,-,Unknown,-,DUF1772-domain-containing protein,protein-coding,-,-,-,DUF1772-domain-containing protein,20200919,-
692275,27897680,SEPMUDRAFT_104508,SEPMUDRAFT_104508,-,-,Unknown,-,40S ribosomal protein S15,protein-coding,-,-,-,40S ribosomal protein S15,20200919,-
692275,27897681,SEPMUDRAFT_104531,SEPMUDRAFT_104531,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897682,SEPMUDRAFT_104602,SEPMUDRAFT_104602,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897683,SEPMUDRAFT_104644,SEPMUDRAFT_104644,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897684,SEPMUDRAFT_104683,SEPMUDRAFT_104683,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897685,SEPMUDRAFT_104698,SEPMUDRAFT_104698,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897686,SEPMUDRAFT_104718,SEPMUDRAFT_104718,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897687,SEPMUDRAFT_104722,SEPMUDRAFT_104722,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897688,SEPMUDRAFT_104728,SEPMUDRAFT_104728,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897689,SEPMUDRAFT_104783,SEPMUDRAFT_104783,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897690,SEPMUDRAFT_104784,SEPMUDRAFT_104784,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897691,SEPMUDRAFT_104815,SEPMUDRAFT_104815,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20200919,-
692275,27897692,SEPMUDRAFT_10484,SEPMUDRAFT_10484,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897693,SEPMUDRAFT_104905,SEPMUDRAFT_104905,-,-,Unknown,-,aldose 1-epimerase,protein-coding,-,-,-,aldose 1-epimerase,20200919,-
692275,27897694,SEPMUDRAFT_104907,SEPMUDRAFT_104907,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897695,SEPMUDRAFT_104931,SEPMUDRAFT_104931,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897696,SEPMUDRAFT_104968,SEPMUDRAFT_104968,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897697,SEPMUDRAFT_104969,SEPMUDRAFT_104969,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897698,SEPMUDRAFT_104984,SEPMUDRAFT_104984,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897699,SEPMUDRAFT_105001,SEPMUDRAFT_105001,-,-,Unknown,-,NAD-dependent methanol dehydrogenase,protein-coding,-,-,-,NAD-dependent methanol dehydrogenase,20200919,-
692275,27897700,SEPMUDRAFT_105060,SEPMUDRAFT_105060,-,-,Unknown,-,glycine cleavage system T protein,protein-coding,-,-,-,glycine cleavage system T protein,20200919,-
692275,27897701,SEPMUDRAFT_105099,SEPMUDRAFT_105099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897702,SEPMUDRAFT_105128,SEPMUDRAFT_105128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897703,SEPMUDRAFT_105146,SEPMUDRAFT_105146,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897704,SEPMUDRAFT_105155,SEPMUDRAFT_105155,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897705,SEPMUDRAFT_105190,SEPMUDRAFT_105190,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897706,SEPMUDRAFT_105221,SEPMUDRAFT_105221,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897707,SEPMUDRAFT_105263,SEPMUDRAFT_105263,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897708,SEPMUDRAFT_105298,SEPMUDRAFT_105298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897709,SEPMUDRAFT_105300,SEPMUDRAFT_105300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897710,SEPMUDRAFT_105351,SEPMUDRAFT_105351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897711,SEPMUDRAFT_105382,SEPMUDRAFT_105382,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897712,SEPMUDRAFT_105406,SEPMUDRAFT_105406,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897713,SEPMUDRAFT_10541,SEPMUDRAFT_10541,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897714,SEPMUDRAFT_105417,SEPMUDRAFT_105417,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897715,SEPMUDRAFT_105452,SEPMUDRAFT_105452,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897716,SEPMUDRAFT_105496,SEPMUDRAFT_105496,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897717,SEPMUDRAFT_105498,SEPMUDRAFT_105498,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897718,SEPMUDRAFT_105520,SEPMUDRAFT_105520,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897719,SEPMUDRAFT_105531,SEPMUDRAFT_105531,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897720,SEPMUDRAFT_105565,SEPMUDRAFT_105565,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897721,SEPMUDRAFT_105600,SEPMUDRAFT_105600,-,-,Unknown,-,cysteine proteinase,protein-coding,-,-,-,cysteine proteinase,20200919,-
692275,27897722,SEPMUDRAFT_105709,SEPMUDRAFT_105709,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897723,SEPMUDRAFT_105711,SEPMUDRAFT_105711,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897724,SEPMUDRAFT_105719,SEPMUDRAFT_105719,-,-,Unknown,-,Fungal_trans-domain-containing protein,protein-coding,-,-,-,Fungal_trans-domain-containing protein,20200919,-
692275,27897725,SEPMUDRAFT_105763,SEPMUDRAFT_105763,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897726,SEPMUDRAFT_105770,SEPMUDRAFT_105770,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897727,SEPMUDRAFT_105783,SEPMUDRAFT_105783,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897728,SEPMUDRAFT_105786,SEPMUDRAFT_105786,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897729,SEPMUDRAFT_105797,SEPMUDRAFT_105797,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897730,SEPMUDRAFT_105799,SEPMUDRAFT_105799,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897731,SEPMUDRAFT_105807,SEPMUDRAFT_105807,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897732,SEPMUDRAFT_105812,SEPMUDRAFT_105812,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897733,SEPMUDRAFT_105874,SEPMUDRAFT_105874,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897734,SEPMUDRAFT_105881,SEPMUDRAFT_105881,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897735,SEPMUDRAFT_105893,SEPMUDRAFT_105893,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897736,SEPMUDRAFT_105906,SEPMUDRAFT_105906,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897737,SEPMUDRAFT_105915,SEPMUDRAFT_105915,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897738,SEPMUDRAFT_105920,SEPMUDRAFT_105920,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897739,SEPMUDRAFT_105959,SEPMUDRAFT_105959,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897740,SEPMUDRAFT_106017,SEPMUDRAFT_106017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897741,SEPMUDRAFT_106019,SEPMUDRAFT_106019,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897742,SEPMUDRAFT_106022,SEPMUDRAFT_106022,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897743,SEPMUDRAFT_106039,SEPMUDRAFT_106039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897744,SEPMUDRAFT_106058,SEPMUDRAFT_106058,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897745,SEPMUDRAFT_106061,SEPMUDRAFT_106061,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897746,SEPMUDRAFT_106075,SEPMUDRAFT_106075,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897747,SEPMUDRAFT_106078,SEPMUDRAFT_106078,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897748,SEPMUDRAFT_106106,SEPMUDRAFT_106106,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897749,SEPMUDRAFT_106122,SEPMUDRAFT_106122,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897750,SEPMUDRAFT_106130,SEPMUDRAFT_106130,-,-,Unknown,-,"TFIIH basal transcription factor complex, subunit SSL1",protein-coding,-,-,-,"TFIIH basal transcription factor complex, subunit SSL1",20200919,-
692275,27897751,SEPMUDRAFT_106133,SEPMUDRAFT_106133,-,-,Unknown,-,YebC-like protein,protein-coding,-,-,-,YebC-like protein,20200919,-
692275,27897752,SEPMUDRAFT_106135,SEPMUDRAFT_106135,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897753,SEPMUDRAFT_106140,SEPMUDRAFT_106140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897754,SEPMUDRAFT_106142,SEPMUDRAFT_106142,-,-,Unknown,-,vacuolar protein sorting 55 superfamily,protein-coding,-,-,-,vacuolar protein sorting 55 superfamily,20200919,-
692275,27897755,SEPMUDRAFT_10616,SEPMUDRAFT_10616,-,-,Unknown,-,DNA glycosylase,protein-coding,-,-,-,DNA glycosylase,20200919,-
692275,27897756,SEPMUDRAFT_106183,SEPMUDRAFT_106183,-,-,Unknown,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20200919,-
692275,27897757,SEPMUDRAFT_106206,SEPMUDRAFT_106206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897758,SEPMUDRAFT_106234,SEPMUDRAFT_106234,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897759,SEPMUDRAFT_106246,SEPMUDRAFT_106246,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897760,SEPMUDRAFT_106257,SEPMUDRAFT_106257,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897761,SEPMUDRAFT_106266,SEPMUDRAFT_106266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897762,SEPMUDRAFT_106274,SEPMUDRAFT_106274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897763,SEPMUDRAFT_106289,SEPMUDRAFT_106289,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897764,SEPMUDRAFT_106325,SEPMUDRAFT_106325,-,-,Unknown,-,amidase family protein,protein-coding,-,-,-,amidase family protein,20200919,-
692275,27897765,SEPMUDRAFT_106344,SEPMUDRAFT_106344,-,-,Unknown,-,DUF339-domain-containing protein,protein-coding,-,-,-,DUF339-domain-containing protein,20200919,-
692275,27897766,SEPMUDRAFT_106347,SEPMUDRAFT_106347,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897767,SEPMUDRAFT_106359,SEPMUDRAFT_106359,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897768,SEPMUDRAFT_106404,SEPMUDRAFT_106404,-,-,Unknown,-,phospholipase D/nuclease,protein-coding,-,-,-,phospholipase D/nuclease,20200919,-
692275,27897769,SEPMUDRAFT_106431,SEPMUDRAFT_106431,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897770,SEPMUDRAFT_106433,SEPMUDRAFT_106433,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897771,SEPMUDRAFT_106436,SEPMUDRAFT_106436,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897772,SEPMUDRAFT_106446,SEPMUDRAFT_106446,-,-,Unknown,-,sorbitol dehydrogenase,protein-coding,-,-,-,sorbitol dehydrogenase,20200919,-
692275,27897773,SEPMUDRAFT_106487,SEPMUDRAFT_106487,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897774,SEPMUDRAFT_10649,SEPMUDRAFT_10649,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897775,SEPMUDRAFT_106499,SEPMUDRAFT_106499,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897776,SEPMUDRAFT_106505,SEPMUDRAFT_106505,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897777,SEPMUDRAFT_106508,SEPMUDRAFT_106508,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897778,SEPMUDRAFT_106510,SEPMUDRAFT_106510,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897779,SEPMUDRAFT_106556,SEPMUDRAFT_106556,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897780,SEPMUDRAFT_106564,SEPMUDRAFT_106564,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897781,SEPMUDRAFT_106574,SEPMUDRAFT_106574,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897782,SEPMUDRAFT_106581,SEPMUDRAFT_106581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897783,SEPMUDRAFT_106582,SEPMUDRAFT_106582,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897784,SEPMUDRAFT_106629,SEPMUDRAFT_106629,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897785,SEPMUDRAFT_106664,SEPMUDRAFT_106664,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897786,SEPMUDRAFT_106690,SEPMUDRAFT_106690,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897787,SEPMUDRAFT_106728,SEPMUDRAFT_106728,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897788,SEPMUDRAFT_106754,SEPMUDRAFT_106754,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897789,SEPMUDRAFT_106759,SEPMUDRAFT_106759,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897790,SEPMUDRAFT_106775,SEPMUDRAFT_106775,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897791,SEPMUDRAFT_106809,SEPMUDRAFT_106809,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897792,SEPMUDRAFT_106872,SEPMUDRAFT_106872,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897793,SEPMUDRAFT_106906,SEPMUDRAFT_106906,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897794,SEPMUDRAFT_106910,SEPMUDRAFT_106910,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897795,SEPMUDRAFT_106927,SEPMUDRAFT_106927,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897796,SEPMUDRAFT_106929,SEPMUDRAFT_106929,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897797,SEPMUDRAFT_10701,SEPMUDRAFT_10701,-,-,Unknown,-,"peptidase C15, pyroglutamyl peptidase I-like protein",protein-coding,-,-,-,"peptidase C15, pyroglutamyl peptidase I-like protein",20200919,-
692275,27897798,SEPMUDRAFT_107029,SEPMUDRAFT_107029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897799,SEPMUDRAFT_107031,SEPMUDRAFT_107031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897800,SEPMUDRAFT_107033,SEPMUDRAFT_107033,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897801,SEPMUDRAFT_107035,SEPMUDRAFT_107035,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897802,SEPMUDRAFT_107054,SEPMUDRAFT_107054,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897803,SEPMUDRAFT_107061,SEPMUDRAFT_107061,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897804,SEPMUDRAFT_107106,SEPMUDRAFT_107106,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897805,SEPMUDRAFT_107108,SEPMUDRAFT_107108,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
692275,27897806,SEPMUDRAFT_107113,SEPMUDRAFT_107113,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
