#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1325953,16212554,PEGLEG_14,PEGLEG_14,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1325953,16212691,PEGLEG_75,PEGLEG_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212692,PEGLEG_144,PEGLEG_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212693,PEGLEG_13,PEGLEG_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212694,PEGLEG_72,PEGLEG_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212695,PEGLEG_145,PEGLEG_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212696,PEGLEG_101,PEGLEG_101,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212697,PEGLEG_148,PEGLEG_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212698,PEGLEG_48,PEGLEG_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212699,PEGLEG_121,PEGLEG_121,-,-,-,-,MazG,protein-coding,-,-,-,MazG,20200910,-
1325953,16212700,PEGLEG_21,PEGLEG_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212701,PEGLEG_69,PEGLEG_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212702,PEGLEG_71,PEGLEG_71,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201026,-
1325953,16212703,PEGLEG_135,PEGLEG_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1325953,16212704,PEGLEG_84,PEGLEG_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212705,PEGLEG_79,PEGLEG_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212706,PEGLEG_151,PEGLEG_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212707,PEGLEG_4,PEGLEG_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212708,PEGLEG_55,PEGLEG_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212709,PEGLEG_140,PEGLEG_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212710,PEGLEG_114,PEGLEG_114,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212711,PEGLEG_11,PEGLEG_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212712,PEGLEG_110,PEGLEG_110,-,-,-,-,NrdG,protein-coding,-,-,-,NrdG,20200910,-
1325953,16216336,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage PegLeg).,other,-,-,-,-,20200513,-
