#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
754041,15013071,SWVG_00002,SWVG_00002,-,-,-,-,tail tube A,protein-coding,-,-,-,tail tube A,20201220,-
754041,15013101,SWVG_00032,SWVG_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013102,SWVG_00033,SWVG_00033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013103,SWVG_00034,SWVG_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013104,SWVG_00035,SWVG_00035,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201220,-
754041,15013105,SWVG_00036,SWVG_00036,-,-,-,-,hypothetical protein,pseudo,-,-,-,-,20201220,-
754041,15013106,SWVG_00037,SWVG_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013107,SWVG_00038,SWVG_00038,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201220,-
754041,15013108,SWVG_00039,SWVG_00039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013109,SWVG_00040,SWVG_00040,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201220,-
754041,15013110,SWVG_00041,SWVG_00041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013111,SWVG_00042,SWVG_00042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013112,SWVG_00043,SWVG_00043,-,-,-,-,DNA polymerase,pseudo,-,-,-,-,20201220,-
754041,15013113,SWVG_00044,SWVG_00044,-,-,-,-,exonuclease,pseudo,-,-,-,-,20201220,-
754041,15013114,SWVG_00045,SWVG_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013115,SWVG_00046,SWVG_00046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013116,SWVG_00047,SWVG_00047,-,-,-,-,ribonucleotide reductase domain-containing protein,protein-coding,-,-,-,ribonucleotide reductase domain-containing protein,20201220,-
754041,15013117,SWVG_00048,SWVG_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013118,SWVG_00049,SWVG_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013119,SWVG_00050,SWVG_00050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013120,SWVG_00051,SWVG_00051,-,-,-,-,head-tail connector protein,pseudo,-,-,-,-,20201220,-
754041,15013121,SWVG_00052,SWVG_00052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013122,SWVG_00053,SWVG_00053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013123,SWVG_00054,SWVG_00054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013124,SWVG_00055,SWVG_00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013125,SWVG_00056,SWVG_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013126,SWVG_00057,SWVG_00057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013127,SWVG_00058,SWVG_00058,-,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20201220,-
754041,15013128,SWVG_00059,SWVG_00059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013129,SWVG_00060,SWVG_00060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013130,SWVG_00061,SWVG_00061,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
754041,15013131,SWVG_00001,SWVG_00001,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201220,-
754041,15102285,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage S-RIP1; Synechococcus cyanophage S-RIP1).,other,-,-,-,-,20200629,-
