#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1131316,14698207,I920_gp02,I920_gp02,RcapNL_0002,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1131316,14698219,I920_gp14,I920_gp14,RcapNL_00014,-,-,-,gene transfer agent (GTA) orfg8-like protein,protein-coding,-,-,-,gene transfer agent (GTA) orfg8-like protein,20200629,-
1131316,14698220,I920_gp15,I920_gp15,RcapNL_00015,-,-,-,gene transfer aget (GTA) orfg9-like phage major tail protein,protein-coding,-,-,-,gene transfer aget (GTA) orfg9-like phage major tail protein,20200629,-
1131316,14698221,I920_gp16,I920_gp16,RcapNL_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698222,I920_gp17,I920_gp17,RcapNL_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698223,I920_gp18,I920_gp18,RcapNL_00018,-,-,-,phage tail-related protein,protein-coding,-,-,-,phage tail-related protein,20200629,-
1131316,14698224,I920_gp19,I920_gp19,RcapNL_00019,-,-,-,phage tape measure protein,protein-coding,-,-,-,phage tape measure protein,20200629,-
1131316,14698225,I920_gp20,I920_gp20,RcapNL_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698226,I920_gp21,I920_gp21,RcapNL_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698227,I920_gp22,I920_gp22,RcapNL_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698228,I920_gp23,I920_gp23,RcapNL_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698229,I920_gp24,I920_gp24,RcapNL_00024,-,-,-,phage tail component protein,protein-coding,-,-,-,phage tail component protein,20200629,-
1131316,14698230,I920_gp25,I920_gp25,RcapNL_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698231,I920_gp26,I920_gp26,RcapNL_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698232,I920_gp27,I920_gp27,RcapNL_00027,-,-,-,peptidoglycan-binding protein,protein-coding,-,-,-,peptidoglycan-binding protein,20200629,-
1131316,14698233,I920_gp28,I920_gp28,RcapNL_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698234,I920_gp29,I920_gp29,RcapNL_00029,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1131316,14698235,I920_gp30,I920_gp30,RcapNL_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698236,I920_gp31,I920_gp31,RcapNL_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698237,I920_gp32,I920_gp32,RcapNL_00032,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20200629,-
1131316,14698238,I920_gp33,I920_gp33,RcapNL_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698239,I920_gp34,I920_gp34,RcapNL_00034,-,-,-,phage integrase/recombinase,protein-coding,-,-,-,phage integrase/recombinase,20200905,-
1131316,14698240,I920_gp35,I920_gp35,RcapNL_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698241,I920_gp36,I920_gp36,RcapNL_00036,-,-,-,phage Gp37Gp68 family protein,protein-coding,-,-,-,phage Gp37Gp68 family protein,20200629,-
1131316,14698242,I920_gp37,I920_gp37,RcapNL_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698243,I920_gp38,I920_gp38,RcapNL_00038,-,-,-,PRK12775-containing protein,protein-coding,-,-,-,PRK12775-containing protein,20200629,-
1131316,14698244,I920_gp39,I920_gp39,RcapNL_00039,-,-,-,C-5 cytosine-specific DNA methylase,protein-coding,-,-,-,C-5 cytosine-specific DNA methylase,20200629,-
1131316,14698245,I920_gp40,I920_gp40,RcapNL_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698246,I920_gp41,I920_gp41,RcapNL_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698247,I920_gp42,I920_gp42,RcapNL_00042,-,-,-,DUF2303-containing protein,protein-coding,-,-,-,DUF2303-containing protein,20200629,-
1131316,14698248,I920_gp43,I920_gp43,RcapNL_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698249,I920_gp44,I920_gp44,RcapNL_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698250,I920_gp45,I920_gp45,RcapNL_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698251,I920_gp46,I920_gp46,RcapNL_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698252,I920_gp47,I920_gp47,RcapNL_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698253,I920_gp48,I920_gp48,RcapNL_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698254,I920_gp49,I920_gp49,RcapNL_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698255,I920_gp50,I920_gp50,RcapNL_00050,-,-,-,phage repressor,protein-coding,-,-,-,phage repressor,20200629,-
1131316,14698256,I920_gp51,I920_gp51,RcapNL_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698257,I920_gp52,I920_gp52,RcapNL_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698258,I920_gp53,I920_gp53,RcapNL_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698259,I920_gp54,I920_gp54,RcapNL_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698260,I920_gp55,I920_gp55,RcapNL_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698261,I920_gp56,I920_gp56,RcapNL_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698262,I920_gp57,I920_gp57,RcapNL_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698263,I920_gp58,I920_gp58,RcapNL_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698264,I920_gp59,I920_gp59,RcapNL_00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698265,I920_gp60,I920_gp60,RcapNL_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698266,I920_gp61,I920_gp61,RcapNL_00061,-,-,-,phage P4 alpha zn-binding domain-containing protein,protein-coding,-,-,-,phage P4 alpha zn-binding domain-containing protein,20200629,-
1131316,14698267,I920_gp62,I920_gp62,RcapNL_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698268,I920_gp63,I920_gp63,RcapNL_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698269,I920_gp64,I920_gp64,RcapNL_00064,-,-,-,P4 family phage/plasmid primase,protein-coding,-,-,-,P4 family phage/plasmid primase,20200629,-
1131316,14698270,I920_gp01,I920_gp01,RcapNL_0001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14723738,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Rhodobacter capsulatus phage RcapNL).,other,-,-,-,-,20200513,-
