#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2108127,60335188,2,I5I01_gp02,SEA_MOOMOO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2108127,60335265,80,I5I01_gp80,SEA_MOOMOO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335266,81,I5I01_gp81,SEA_MOOMOO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335267,82,I5I01_gp82,SEA_MOOMOO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335268,83,I5I01_gp83,SEA_MOOMOO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335269,84,I5I01_gp84,SEA_MOOMOO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335270,85,I5I01_gp85,SEA_MOOMOO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335271,86,I5I01_gp86,SEA_MOOMOO_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335272,87,I5I01_gp87,SEA_MOOMOO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335273,88,I5I01_gp88,SEA_MOOMOO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108127,60335274,89,I5I01_gp89,SEA_MOOMOO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335275,90,I5I01_gp90,SEA_MOOMOO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335276,91,I5I01_gp91,SEA_MOOMOO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335277,92,I5I01_gp92,SEA_MOOMOO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335278,93,I5I01_gp93,SEA_MOOMOO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335279,94,I5I01_gp94,SEA_MOOMOO_94,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2108127,60335280,95,I5I01_gp95,SEA_MOOMOO_95,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2108127,60335281,96,I5I01_gp96,SEA_MOOMOO_96,-,-,-,N-acetylglucosaminyl transferase,protein-coding,-,-,-,N-acetylglucosaminyl transferase,20201129,-
2108127,60335282,97,I5I01_gp97,SEA_MOOMOO_97,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2108127,60335283,37,I5I01_gp37,SEA_MOOMOO_37,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2108127,60335284,1,I5I01_gp01,SEA_MOOMOO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60338649,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
