#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250417,63026683,2,J1768_gp02,SEA_RIBEYE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2250417,63026698,17,J1768_gp17,SEA_RIBEYE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026699,18,J1768_gp18,SEA_RIBEYE_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2250417,63026700,19,J1768_gp19,SEA_RIBEYE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026701,20,J1768_gp20,SEA_RIBEYE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026702,21,J1768_gp21,SEA_RIBEYE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026703,22,J1768_gp22,SEA_RIBEYE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026704,23,J1768_gp23,SEA_RIBEYE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026705,24,J1768_gp24,SEA_RIBEYE_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2250417,63026706,25,J1768_gp25,SEA_RIBEYE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026707,26,J1768_gp26,SEA_RIBEYE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026708,27,J1768_gp27,SEA_RIBEYE_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2250417,63026709,28,J1768_gp28,SEA_RIBEYE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026710,29,J1768_gp29,SEA_RIBEYE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026711,30,J1768_gp30,SEA_RIBEYE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026712,31,J1768_gp31,SEA_RIBEYE_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2250417,63026713,32,J1768_gp32,SEA_RIBEYE_32,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2250417,63026714,33,J1768_gp33,SEA_RIBEYE_33,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2250417,63026715,34,J1768_gp34,SEA_RIBEYE_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2250417,63026716,35,J1768_gp35,SEA_RIBEYE_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2250417,63026717,36,J1768_gp36,SEA_RIBEYE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2250417,63026718,37,J1768_gp37,SEA_RIBEYE_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2250417,63026719,38,J1768_gp38,SEA_RIBEYE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026720,39,J1768_gp39,SEA_RIBEYE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026721,40,J1768_gp40,SEA_RIBEYE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026722,41,J1768_gp41,SEA_RIBEYE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026723,42,J1768_gp42,SEA_RIBEYE_42,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2250417,63026724,43,J1768_gp43,SEA_RIBEYE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026725,44,J1768_gp44,SEA_RIBEYE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026726,45,J1768_gp45,SEA_RIBEYE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026727,46,J1768_gp46,SEA_RIBEYE_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2250417,63026728,47,J1768_gp47,SEA_RIBEYE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026729,48,J1768_gp48,SEA_RIBEYE_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2250417,63026730,49,J1768_gp49,SEA_RIBEYE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026731,50,J1768_gp50,SEA_RIBEYE_50,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2250417,63026732,51,J1768_gp51,SEA_RIBEYE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026733,52,J1768_gp52,SEA_RIBEYE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026734,53,J1768_gp53,SEA_RIBEYE_53,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2250417,63026735,54,J1768_gp54,SEA_RIBEYE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026736,55,J1768_gp55,SEA_RIBEYE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026737,56,J1768_gp56,SEA_RIBEYE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026738,57,J1768_gp57,SEA_RIBEYE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026739,58,J1768_gp58,SEA_RIBEYE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026740,59,J1768_gp59,SEA_RIBEYE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026741,60,J1768_gp60,SEA_RIBEYE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026742,61,J1768_gp61,SEA_RIBEYE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026743,62,J1768_gp62,SEA_RIBEYE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026744,63,J1768_gp63,SEA_RIBEYE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026745,64,J1768_gp64,SEA_RIBEYE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026746,65,J1768_gp65,SEA_RIBEYE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026747,66,J1768_gp66,SEA_RIBEYE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026748,67,J1768_gp67,SEA_RIBEYE_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2250417,63026749,68,J1768_gp68,SEA_RIBEYE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026750,69,J1768_gp69,SEA_RIBEYE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026751,70,J1768_gp70,SEA_RIBEYE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026752,71,J1768_gp71,SEA_RIBEYE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026753,72,J1768_gp72,SEA_RIBEYE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026754,73,J1768_gp73,SEA_RIBEYE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026755,74,J1768_gp74,SEA_RIBEYE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026756,75,J1768_gp75,SEA_RIBEYE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026757,76,J1768_gp76,SEA_RIBEYE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026758,77,J1768_gp77,SEA_RIBEYE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026759,78,J1768_gp78,SEA_RIBEYE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026760,79,J1768_gp79,SEA_RIBEYE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026761,80,J1768_gp80,SEA_RIBEYE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026762,81,J1768_gp81,SEA_RIBEYE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026763,82,J1768_gp82,SEA_RIBEYE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026764,83,J1768_gp83,SEA_RIBEYE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026765,84,J1768_gp84,SEA_RIBEYE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026766,85,J1768_gp85,SEA_RIBEYE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2250417,63026767,1,J1768_gp01,SEA_RIBEYE_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2250417,63139657,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
