#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204523,22277699,PI33_gp001,PI33_gp001,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200909,-
1204523,22277797,PI33_gp094,PI33_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277798,PI33_gp095,PI33_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277799,PI33_gp096,PI33_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277800,PI33_gp097,PI33_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277801,PI33_gp098,PI33_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277802,PI33_gp099,PI33_gp099,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
1204523,22277803,PI33_gp100,PI33_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277804,PI33_gp101,PI33_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277805,PI33_gp102,PI33_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277806,PI33_gp103,PI33_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277807,PI33_gp104,PI33_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277808,PI33_gp105,PI33_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1204523,22277809,PI33_gp106,PI33_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277810,PI33_gp107,PI33_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277811,PI33_gp108,PI33_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277812,PI33_gp109,PI33_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277813,PI33_gt001,PI33_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204523,22277814,PI33_gt005,PI33_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204523,22277815,PI33_gp196,PI33_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277816,PI33_gp195,PI33_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277817,PI33_gp194,PI33_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277818,PI33_gp193,PI33_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277819,PI33_gp192,PI33_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277820,PI33_gp191,PI33_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277821,PI33_gp190,PI33_gp190,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20200909,-
1204523,22277822,PI33_gp189,PI33_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204523,22277823,PI33_gp188,PI33_gp188,-,-,-,-,vrlC protein,protein-coding,-,-,-,vrlC protein,20200909,-
1204523,22277824,PI33_gp187,PI33_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277825,PI33_gp186,PI33_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277826,PI33_gp185,PI33_gp185,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
1204523,22277827,PI33_gp184,PI33_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277828,PI33_gp183,PI33_gp183,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
1204523,22277829,PI33_gp182,PI33_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1204523,22277830,PI33_gp181,PI33_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1204523,22277831,PI33_gp180,PI33_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204523,22277832,PI33_gp179,PI33_gp179,-,-,-,-,phage tail sheath protein,protein-coding,-,-,-,phage tail sheath protein,20200909,-
1204523,22277833,PI33_gp178,PI33_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277834,PI33_gp177,PI33_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277835,PI33_gp176,PI33_gp176,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200909,-
1204523,22277836,PI33_gp175,PI33_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277837,PI33_gp174,PI33_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277838,PI33_gp173,PI33_gp173,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200909,-
1204523,22277839,PI33_gp172,PI33_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1204523,22277840,PI33_gp171,PI33_gp171,-,-,-,-,phage prohead assembly scaffolding protein,protein-coding,-,-,-,phage prohead assembly scaffolding protein,20200909,-
1204523,22277841,PI33_gp170,PI33_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204523,22277842,PI33_gp169,PI33_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277843,PI33_gp168,PI33_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277844,PI33_gp167,PI33_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204523,22277845,PI33_gp166,PI33_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277846,PI33_gp165,PI33_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277847,PI33_gp164,PI33_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277848,PI33_gp163,PI33_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277849,PI33_gp162,PI33_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277850,PI33_gp161,PI33_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1204523,22277851,PI33_gp160,PI33_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277852,PI33_gp159,PI33_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277853,PI33_gp158,PI33_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277854,PI33_gp157,PI33_gp157,-,-,-,-,phage tail completion protein,protein-coding,-,-,-,phage tail completion protein,20200909,-
1204523,22277855,PI33_gp156,PI33_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1204523,22277856,PI33_gp155,PI33_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1204523,22277857,PI33_gp154,PI33_gp154,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200909,-
1204523,22277858,PI33_gp153,PI33_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277859,PI33_gp152,PI33_gp152,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200909,-
1204523,22277860,PI33_gp151,PI33_gp151,-,-,-,-,replication factor C small subunit / phage DNA polymerase clamp loader subunit,protein-coding,-,-,-,replication factor C small subunit / phage DNA polymerase clamp loader subunit,20200909,-
1204523,22277861,PI33_gp150,PI33_gp150,-,-,-,-,phage DNA polymerase clamp loader subunit,protein-coding,-,-,-,phage DNA polymerase clamp loader subunit,20210424,-
1204523,22277862,PI33_gp149,PI33_gp149,-,-,-,-,RegA,protein-coding,-,-,-,RegA,20200909,-
1204523,22277863,PI33_gp148,PI33_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277864,PI33_gp147,PI33_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1204523,22277865,PI33_gp146,PI33_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277866,PI33_gp145,PI33_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277867,PI33_gp144,PI33_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277868,PI33_gp143,PI33_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277869,PI33_gp142,PI33_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277870,PI33_gp141,PI33_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277871,PI33_gp140,PI33_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277872,PI33_gp139,PI33_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277873,PI33_gp138,PI33_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277874,PI33_gp137,PI33_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277875,PI33_gp136,PI33_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277876,PI33_gp135,PI33_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277877,PI33_gp134,PI33_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277878,PI33_gp133,PI33_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277879,PI33_gp132,PI33_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277880,PI33_gp131,PI33_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277881,PI33_gp130,PI33_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277882,PI33_gp129,PI33_gp129,-,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20200909,-
1204523,22277883,PI33_gp128,PI33_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204523,22277884,PI33_gp127,PI33_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1204523,22277885,PI33_gp126,PI33_gp126,-,-,-,-,DNA-binding protein HU,protein-coding,-,-,-,DNA-binding protein HU,20200909,-
1204523,22277886,PI33_gp125,PI33_gp125,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200926,-
1204523,22277887,PI33_gp124,PI33_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277888,PI33_gp123,PI33_gp123,-,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20200909,-
1204523,22277889,PI33_gp122,PI33_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277890,PI33_gp121,PI33_gp121,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
1204523,22277891,PI33_gp120,PI33_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277892,PI33_gp119,PI33_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277893,PI33_gp118,PI33_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277894,PI33_gp117,PI33_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277895,PI33_gp116,PI33_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277896,PI33_gp115,PI33_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277897,PI33_gp114,PI33_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277898,PI33_gp113,PI33_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277899,PI33_gp112,PI33_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277900,PI33_gp111,PI33_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1204523,22277901,PI33_gp110,PI33_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22322571,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
