#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540092,24607681,CPT_Pascal2,CPT_Pascal2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1540092,24607704,CPT_Pascal25,CPT_Pascal25,-,-,-,-,FtsK/SpoIIIE protein,protein-coding,-,-,-,FtsK/SpoIIIE protein,20201221,-
1540092,24607705,CPT_Pascal26,CPT_Pascal26,-,-,-,-,plasmid replication-relaxation protein,protein-coding,-,-,-,plasmid replication-relaxation protein,20201221,-
1540092,24607706,CPT_Pascal27,CPT_Pascal27,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1540092,24607707,CPT_Pascal28,CPT_Pascal28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607708,CPT_Pascal29,CPT_Pascal29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607709,CPT_Pascal30,CPT_Pascal30,-,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20201221,-
1540092,24607710,CPT_Pascal31,CPT_Pascal31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607711,CPT_Pascal32,CPT_Pascal32,-,-,-,-,ssDNA-annealing protein,protein-coding,-,-,-,ssDNA-annealing protein,20201221,-
1540092,24607712,CPT_Pascal33,CPT_Pascal33,-,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20201221,-
1540092,24607713,CPT_Pascal34,CPT_Pascal34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607714,CPT_Pascal35,CPT_Pascal35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607715,CPT_Pascal36,CPT_Pascal36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607716,CPT_Pascal37,CPT_Pascal37,-,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20201221,-
1540092,24607717,CPT_Pascal38,CPT_Pascal38,-,-,-,-,DnaD/DnaB replication protein,protein-coding,-,-,-,DnaD/DnaB replication protein,20201221,-
1540092,24607718,CPT_Pascal39,CPT_Pascal39,-,-,-,-,DNA replication protein DnaC,protein-coding,-,-,-,DNA replication protein DnaC,20201221,-
1540092,24607719,CPT_Pascal40,CPT_Pascal40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607720,CPT_Pascal41,CPT_Pascal41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607721,CPT_Pascal42,CPT_Pascal42,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1540092,24607722,CPT_Pascal43,CPT_Pascal43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607723,CPT_Pascal44,CPT_Pascal44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607724,CPT_Pascal45,CPT_Pascal45,-,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20201221,-
1540092,24607725,CPT_Pascal46,CPT_Pascal46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607726,CPT_Pascal47,CPT_Pascal47,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1540092,24607727,CPT_Pascal48,CPT_Pascal48,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
1540092,24607728,CPT_Pascal49,CPT_Pascal49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607729,CPT_Pascal50,CPT_Pascal50,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201221,-
1540092,24607730,CPT_Pascal1,CPT_Pascal1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1540092,24936576,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
