#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
273057,1452661,SSO_RS12725,SSO_RS12725,SSO2622,-,-,-,hotdog fold thioesterase,protein-coding,-,-,-,hotdog fold thioesterase,20210424,-
273057,1452683,SSO_RS12830,SSO_RS12830,SSO2643,-,-,-,glycerol-3-phosphate dehydrogenase,protein-coding,-,-,-,glycerol-3-phosphate dehydrogenase,20210417,-
273057,1452684,SSO_RS12835,SSO_RS12835,SSO2644,-,-,-,DUF3501 family protein,protein-coding,-,-,-,DUF3501 family protein,20210417,-
273057,1452685,SSO_RS12840,SSO_RS12840,SSO2645,-,-,-,DUF4898 domain-containing protein,protein-coding,-,-,-,DUF4898 domain-containing protein,20210417,-
273057,1452686,SSO_RS12845,SSO_RS12845,SSO2646,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210417,-
273057,1452687,SSO_RS12850,SSO_RS12850,SSO2647,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1452688,SSO_RS12855,SSO_RS12855,SSO2648,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452689,cadA,SSO_RS12860,SSO2651,-,-,-,cadmium-translocating P-type ATPase,protein-coding,-,-,-,cadmium-translocating P-type ATPase,20210417,-
273057,1452690,SSO_RS12865,SSO_RS12865,SSO2652,-,-,-,TRASH domain-containing protein,protein-coding,-,-,-,TRASH domain-containing protein,20210417,-
273057,1452691,SSO_RS12870,SSO_RS12870,SSO2653,-,-,-,phosphatase PAP2 family protein,protein-coding,-,-,-,phosphatase PAP2 family protein,20210417,-
273057,1452693,SSO_RS12880,SSO_RS12880,SSO2656,-,-,-,cytochrome bc complex cytochrome b subunit,protein-coding,-,-,-,cytochrome bc complex cytochrome b subunit,20210417,-
273057,1452694,SSO_RS12885,SSO_RS12885,SSO2657,-,-,-,cbb3-type cytochrome c oxidase subunit I,protein-coding,-,-,-,cbb3-type cytochrome c oxidase subunit I,20210308,-
273057,1452695,SSO_RS12890,SSO_RS12890,SSO2658,-,-,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,cytochrome c oxidase subunit II,20210417,-
273057,1452696,SSO_RS12895,SSO_RS12895,SSO2659,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1452697,SSO_RS12900,SSO_RS12900,SSO2660,-,-,-,Rieske 2Fe-2S domain-containing protein,protein-coding,-,-,-,Rieske 2Fe-2S domain-containing protein,20210417,-
273057,1452698,SSO_RS12905,SSO_RS12905,SSO2661,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452699,SSO_RS12910,SSO_RS12910,SSO2662,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452700,SSO_RS12915,SSO_RS12915,SSO2663,-,-,-,DUF1404 family protein,protein-coding,-,-,-,DUF1404 family protein,20210522,-
273057,1452701,SSO_RS12920,SSO_RS12920,SSO2664,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210417,-
273057,1452702,SSO_RS12925,SSO_RS12925,SSO2665,-,-,-,mandelate racemase/muconate lactonizing enzyme family protein,protein-coding,-,-,-,mandelate racemase/muconate lactonizing enzyme family protein,20210417,-
273057,1452703,SSO_RS12930,SSO_RS12930,SSO2666,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452704,SSO_RS12935,SSO_RS12935,SSO2667,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452705,SSO_RS12940,SSO_RS12940,SSO2668,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210417,-
273057,1452706,SSO_RS12945,SSO_RS12945,SSO2669,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20210417,-
273057,1452707,SSO_RS12950,SSO_RS12950,SSO2671,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210417,-
273057,1452708,SSO_RS12955,SSO_RS12955,SSO2670,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1452709,SSO_RS12960,SSO_RS12960,SSO2672,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1452710,nagA,SSO_RS12965,SSO2673,-,-,-,N-acetylglucosamine-6-phosphate deacetylase,protein-coding,-,-,-,N-acetylglucosamine-6-phosphate deacetylase,20210417,-
273057,1452711,SSO_RS12970,SSO_RS12970,SSO2674,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
273057,1452712,SSO_RS12975,SSO_RS12975,SSO2675,-,-,-,M1 family metallopeptidase,protein-coding,-,-,-,M1 family metallopeptidase,20210417,-
273057,1452713,SSO_RS12980,SSO_RS12980,SSO2677,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452714,SSO_RS12985,SSO_RS12985,SSO2676,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452715,SSO_RS12990,SSO_RS12990,SSO2678,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452716,SSO_RS12995,SSO_RS12995,SSO2679,-,-,-,type II secretion system F family protein,protein-coding,-,-,-,type II secretion system F family protein,20210417,-
273057,1452717,SSO_RS13000,SSO_RS13000,SSO2680,-,-,-,type II/IV secretion system ATPase subunit,protein-coding,-,-,-,type II/IV secretion system ATPase subunit,20210308,-
273057,1452718,SSO_RS13005,SSO_RS13005,SSO2681,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452719,SSO_RS13010,SSO_RS13010,SSO2683,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452720,SSO_RS13015,SSO_RS13015,SSO2684,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452721,SSO_RS13020,SSO_RS13020,SSO2686,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20210417,-
273057,1452722,SSO_RS13025,SSO_RS13025,SSO2687,-,-,-,DUF504 domain-containing protein,protein-coding,-,-,-,DUF504 domain-containing protein,20210308,-
273057,1452723,SSO_RS13035,SSO_RS13035,SSO2688,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210417,-
273057,1452724,merA,SSO_RS13040,SSO2689,-,-,-,mercury(II) reductase,protein-coding,-,-,-,mercury(II) reductase,20210417,-
273057,1452725,SSO_RS13045,SSO_RS13045,SSO2690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452726,SSO_RS13050,SSO_RS13050,SSO2691,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210612,-
273057,1452727,SSO_RS13055,SSO_RS13055,SSO2693,-,-,-,S9 family peptidase,protein-coding,-,-,-,S9 family peptidase,20210417,-
273057,1452728,SSO_RS13060,SSO_RS13060,SSO2694,-,-,-,M48 family metalloprotease,protein-coding,-,-,-,M48 family metalloprotease,20210308,-
273057,1452729,SSO_RS13070,SSO_RS13070,SSO2697,-,-,-,thiolase family protein,protein-coding,-,-,-,thiolase family protein,20210417,-
273057,1452730,SSO_RS13080,SSO_RS13080,SSO2699,-,-,-,TA0938 family protein,protein-coding,-,-,-,TA0938 family protein,20210417,-
273057,1452731,SSO_RS13085,SSO_RS13085,SSO2700,-,-,-,iron-containing redox enzyme family protein,protein-coding,-,-,-,iron-containing redox enzyme family protein,20210417,-
273057,1452732,SSO_RS13090,SSO_RS13090,SSO2701,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1452733,SSO_RS13095,SSO_RS13095,SSO2702,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452734,SSO_RS13100,SSO_RS13100,SSO2703,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452735,SSO_RS13105,SSO_RS13105,SSO2704,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1452736,SSO_RS13110,SSO_RS13110,SSO2705,-,-,-,SMP-30/gluconolactonase/LRE family protein,protein-coding,-,-,-,SMP-30/gluconolactonase/LRE family protein,20210417,-
273057,1452737,SSO_RS13115,SSO_RS13115,SSO2706,-,-,-,purine-nucleoside phosphorylase,protein-coding,-,-,-,purine-nucleoside phosphorylase,20210417,-
273057,1452738,SSO_RS13120,SSO_RS13120,SSO2707,-,-,-,DoxX family protein,protein-coding,-,-,-,DoxX family protein,20210308,-
273057,1452739,SSO_RS13125,SSO_RS13125,SSO2708,-,-,-,AIR synthase,protein-coding,-,-,-,AIR synthase,20210417,-
273057,1452740,SSO_RS13130,SSO_RS13130,SSO2710,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210417,-
273057,1452741,SSO_RS13135,SSO_RS13135,SSO2711,-,-,-,YkgJ family cysteine cluster protein,protein-coding,-,-,-,YkgJ family cysteine cluster protein,20210308,-
273057,1452742,SSO_RS13140,SSO_RS13140,SSO2712,-,-,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20210417,-
273057,1452743,SSO_RS13145,SSO_RS13145,SSO2713,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1452744,SSO_RS13150,SSO_RS13150,SSO2714,-,-,-,ABC transporter permease subunit,protein-coding,-,-,-,ABC transporter permease subunit,20210417,-
273057,1452745,SSO_RS13155,SSO_RS13155,SSO2716,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1452746,SSO_RS13160,SSO_RS13160,SSO2717,-,-,-,zinc-binding dehydrogenase,protein-coding,-,-,-,zinc-binding dehydrogenase,20210308,-
273057,1452747,SSO_RS13165,SSO_RS13165,SSO2718,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1452748,SSO_RS13170,SSO_RS13170,SSO2719,-,-,-,Zn-dependent hydrolase,protein-coding,-,-,-,Zn-dependent hydrolase,20210417,-
273057,1452749,SSO_RS13175,SSO_RS13175,SSO2720,-,-,-,aspartate aminotransferase family protein,protein-coding,-,-,-,aspartate aminotransferase family protein,20210417,-
273057,1452750,SSO_RS13180,SSO_RS13180,SSO2721,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1452751,SSO_RS13185,SSO_RS13185,SSO2722,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1452754,SSO_RS13195,SSO_RS13195,SSO2724,-,-,-,ISH3 family transposase,protein-coding,-,-,-,ISH3 family transposase,20210320,-
273057,1452755,SSO_RS13200,SSO_RS13200,SSO2725,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210308,-
273057,1452756,SSO_RS13205,SSO_RS13205,SSO2726,-,-,-,amino acid permease,protein-coding,-,-,-,amino acid permease,20210417,-
273057,1452757,SSO_RS13210,SSO_RS13210,SSO2727,-,-,-,aspartate aminotransferase family protein,protein-coding,-,-,-,aspartate aminotransferase family protein,20210417,-
273057,1452758,SSO_RS13215,SSO_RS13215,SSO2728,-,-,-,amino acid permease,protein-coding,-,-,-,amino acid permease,20210417,-
273057,1452759,SSO_RS13220,SSO_RS13220,SSO2729,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210308,-
273057,1452760,SSO_RS13225,SSO_RS13225,SSO2730,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210417,-
273057,1452761,speB,SSO_RS13230,SSO2732,-,-,-,agmatinase,protein-coding,-,-,-,agmatinase,20210308,-
273057,1452762,SSO_RS13240,SSO_RS13240,SSO2733,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20210612,-
273057,1452763,SSO_RS13245,SSO_RS13245,SSO2734,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452764,SSO_RS13250,SSO_RS13250,SSO11020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452765,SSO_RS13255,SSO_RS13255,SSO2735,-,-,-,carbonic anhydrase,protein-coding,-,-,-,carbonic anhydrase,20210417,-
273057,1452766,SSO_RS13260,SSO_RS13260,SSO2736,-,-,-,DUF433 domain-containing protein,protein-coding,-,-,-,DUF433 domain-containing protein,20210308,-
273057,1452767,SSO_RS13265,SSO_RS13265,SSO2737,-,-,-,M20/M25/M40 family metallo-hydrolase,protein-coding,-,-,-,M20/M25/M40 family metallo-hydrolase,20210417,-
273057,1452768,SSO_RS13270,SSO_RS13270,SSO2738,-,-,-,4-hydroxyphenylacetate 3-hydroxylase family protein,protein-coding,-,-,-,4-hydroxyphenylacetate 3-hydroxylase family protein,20210417,-
273057,1452769,SSO_RS13275,SSO_RS13275,SSO2740,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210515,-
273057,1452770,SSO_RS13280,SSO_RS13280,SSO2741,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452771,SSO_RS13285,SSO_RS13285,SSO2742,-,-,-,glycoside hydrolase family 15 protein,protein-coding,-,-,-,glycoside hydrolase family 15 protein,20210417,-
273057,1452772,SSO_RS13290,SSO_RS13290,SSO2743,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
273057,1452773,SSO_RS13295,SSO_RS13295,SSO2744,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20210417,-
273057,1452774,SSO_RS13300,SSO_RS13300,SSO2745,-,-,-,DUF2173 family protein,protein-coding,-,-,-,DUF2173 family protein,20210308,-
273057,1452775,SSO_RS13305,SSO_RS13305,SSO2746,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1452776,SSO_RS13310,SSO_RS13310,SSO2747,-,-,-,aldose 1-epimerase,protein-coding,-,-,-,aldose 1-epimerase,20210308,-
273057,1452777,SSO_RS13315,SSO_RS13315,SSO2748,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452778,SSO_RS13320,SSO_RS13320,SSO2749,-,-,-,encapsulin,protein-coding,-,-,-,encapsulin,20210417,-
273057,1452779,SSO_RS13325,SSO_RS13325,SSO2750,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210308,-
273057,1452780,SSO_RS13330,SSO_RS13330,SSO2751,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452781,SSO_RS13335,SSO_RS13335,SSO2752,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452782,SSO_RS13340,SSO_RS13340,SSO2753,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452783,SSO_RS13345,SSO_RS13345,SSO2754,-,-,-,glycoside hydrolase family 15 protein,protein-coding,-,-,-,glycoside hydrolase family 15 protein,20210308,-
273057,1452784,SSO_RS13350,SSO_RS13350,SSO2755,-,-,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210417,-
273057,1452785,SSO_RS13355,SSO_RS13355,SSO2756,-,-,-,pyruvate synthase subunit beta,protein-coding,-,-,-,pyruvate synthase subunit beta,20210417,-
273057,1452786,SSO_RS13360,SSO_RS13360,SSO2757,-,-,-,pyruvate ferredoxin oxidoreductase,protein-coding,-,-,-,pyruvate ferredoxin oxidoreductase,20210417,-
273057,1452787,SSO_RS13365,SSO_RS13365,SSO11071,-,-,-,4Fe-4S binding protein,protein-coding,-,-,-,4Fe-4S binding protein,20210417,-
273057,1452788,SSO_RS13370,SSO_RS13370,SSO2758,-,-,-,2-oxoacid:acceptor oxidoreductase family protein,protein-coding,-,-,-,2-oxoacid:acceptor oxidoreductase family protein,20210308,-
273057,1452789,SSO_RS13375,SSO_RS13375,SSO2759,-,-,-,4Fe-4S binding protein,protein-coding,-,-,-,4Fe-4S binding protein,20210417,-
273057,1452790,SSO_RS13385,SSO_RS13385,SSO2760,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,protein-coding,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,20210417,-
273057,1452791,SSO_RS13390,SSO_RS13390,SSO2761,-,-,-,acyl-CoA/acyl-ACP dehydrogenase,protein-coding,-,-,-,acyl-CoA/acyl-ACP dehydrogenase,20210308,-
273057,1452792,SSO_RS13395,SSO_RS13395,SSO2762,-,-,-,electron transfer flavoprotein subunit alpha/FixB family protein,protein-coding,-,-,-,electron transfer flavoprotein subunit alpha/FixB family protein,20210417,-
273057,1452793,SSO_RS13400,SSO_RS13400,SSO2763,-,-,-,electron transfer flavoprotein subunit beta/FixA family protein,protein-coding,-,-,-,electron transfer flavoprotein subunit beta/FixA family protein,20210308,-
273057,1452794,SSO_RS13405,SSO_RS13405,SSO2764,-,-,-,4Fe-4S binding protein,protein-coding,-,-,-,4Fe-4S binding protein,20210417,-
273057,1452795,SSO_RS13410,SSO_RS13410,SSO2765,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210417,-
273057,1452796,SSO_RS13415,SSO_RS13415,SSO2766,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
273057,1452797,SSO_RS13420,SSO_RS13420,SSO2768,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452798,SSO_RS13430,SSO_RS13430,SSO2769,-,-,-,mechanosensitive ion channel family protein,protein-coding,-,-,-,mechanosensitive ion channel family protein,20210417,-
273057,1452799,SSO_RS13435,SSO_RS13435,SSO2770,-,-,-,amidohydrolase family protein,protein-coding,-,-,-,amidohydrolase family protein,20210417,-
273057,1452800,SSO_RS13440,SSO_RS13440,SSO2772,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210417,-
273057,1452801,SSO_RS13445,SSO_RS13445,SSO2773,-,-,-,fumarylacetoacetate hydrolase family protein,protein-coding,-,-,-,fumarylacetoacetate hydrolase family protein,20210417,-
273057,1452802,SSO_RS13450,SSO_RS13450,SSO2774,-,-,-,thiamine pyrophosphate-binding protein,protein-coding,-,-,-,thiamine pyrophosphate-binding protein,20210417,-
273057,1452803,SSO_RS13455,SSO_RS13455,SSO2775,-,-,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210308,-
273057,1452804,SSO_RS13460,SSO_RS13460,SSO11114,-,-,-,4Fe-4S dicluster domain-containing protein,protein-coding,-,-,-,4Fe-4S dicluster domain-containing protein,20210417,-
273057,1452805,SSO_RS13465,SSO_RS13465,SSO2776,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210417,-
273057,1452806,SSO_RS13470,SSO_RS13470,SSO2777,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452807,SSO_RS13475,SSO_RS13475,SSO2778,-,-,-,universal stress protein,protein-coding,-,-,-,universal stress protein,20210308,-
273057,1452808,SSO_RS13480,SSO_RS13480,SSO2779,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210417,-
273057,1452809,SSO_RS13485,SSO_RS13485,SSO2780,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20210308,-
273057,1452810,SSO_RS13490,SSO_RS13490,SSO2781,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20210308,-
273057,1452811,SSO_RS13500,SSO_RS13500,SSO2782,-,-,-,transposase,protein-coding,-,-,-,transposase,20210308,-
273057,1452812,SSO_RS13505,SSO_RS13505,SSO11133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452813,SSO_RS13510,SSO_RS13510,SSO2783,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210417,-
273057,1452814,SSO_RS13515,SSO_RS13515,SSO2784,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1452817,SSO_RS13520,SSO_RS13520,SSO2785,-,-,-,transposase,protein-coding,-,-,-,transposase,20210308,-
273057,1452818,SSO_RS13525,SSO_RS13525,SSO2786,-,-,-,mechanosensitive ion channel,protein-coding,-,-,-,mechanosensitive ion channel,20210417,-
273057,1452819,SSO_RS13530,SSO_RS13530,SSO2787,-,-,-,DedA family protein,protein-coding,-,-,-,DedA family protein,20210417,-
273057,1452820,SSO_RS13540,SSO_RS13540,SSO2788,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1452821,SSO_RS13545,SSO_RS13545,SSO2789,-,-,-,phospholipase C,protein-coding,-,-,-,phospholipase C,20210417,-
273057,1452822,SSO_RS13550,SSO_RS13550,SSO2790,-,-,-,DUF2299 family protein,protein-coding,-,-,-,DUF2299 family protein,20210417,-
273057,1452823,SSO_RS13555,SSO_RS13555,SSO2791,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
273057,1452824,SSO_RS13560,SSO_RS13560,SSO2792,-,-,-,4Fe-4S binding protein,protein-coding,-,-,-,4Fe-4S binding protein,20210417,-
273057,1452825,SSO_RS13565,SSO_RS13565,SSO2793,-,-,-,molecular chaperone TorD family protein,protein-coding,-,-,-,molecular chaperone TorD family protein,20210417,-
273057,1452826,SSO_RS13570,SSO_RS13570,SSO2794,-,-,-,4Fe-4S dicluster domain-containing protein,protein-coding,-,-,-,4Fe-4S dicluster domain-containing protein,20210417,-
273057,1452827,SSO_RS13575,SSO_RS13575,SSO2795,-,-,-,twin-arginine translocation signal domain-containing protein,protein-coding,-,-,-,twin-arginine translocation signal domain-containing protein,20210308,-
273057,1452828,SSO_RS13580,SSO_RS13580,SSO2796,-,-,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210308,-
273057,1452829,nrfD,SSO_RS13585,SSO2797,-,-,-,polysulfide reductase NrfD,protein-coding,-,-,-,polysulfide reductase NrfD,20210308,-
273057,1452830,SSO_RS13590,SSO_RS13590,SSO2798,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452831,SSO_RS13595,SSO_RS13595,SSO2799,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452832,SSO_RS13600,SSO_RS13600,SSO2800,-,-,-,alcohol dehydrogenase catalytic domain-containing protein,protein-coding,-,-,-,alcohol dehydrogenase catalytic domain-containing protein,20210308,-
273057,1452833,cbsA,SSO_RS13605,SSO2801,-,-,-,cytochrome b558/566 subunit A,protein-coding,-,-,-,cytochrome b558/566 subunit A,20210308,-
273057,1452834,cbsB,SSO_RS13610,SSO2802,-,-,-,cytochrome b558/566 subunit B,protein-coding,-,-,-,cytochrome b558/566 subunit B,20210308,-
273057,1452835,soxL2,SSO_RS13615,SSO2803,-,-,-,Rieske iron-sulfur protein SoxL2,protein-coding,-,-,-,Rieske iron-sulfur protein SoxL2,20210417,-
273057,1452836,SSO_RS13620,SSO_RS13620,SSO2805,-,-,-,cytochrome bc complex cytochrome b subunit,protein-coding,-,-,-,cytochrome bc complex cytochrome b subunit,20210417,-
273057,1452837,SSO_RS13625,SSO_RS13625,SSO11196,-,-,-,antibiotic biosynthesis monooxygenase,protein-coding,-,-,-,antibiotic biosynthesis monooxygenase,20210308,-
273057,1452838,SSO_RS13635,SSO_RS13635,SSO2807,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452839,SSO_RS13640,SSO_RS13640,SSO2808,-,-,-,long-chain fatty acid--CoA ligase,protein-coding,-,-,-,long-chain fatty acid--CoA ligase,20210417,-
