#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1175654,40079434,FDH70_gp02,FDH70_gp02,PaMx25_02,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20201221,-
1175654,40079465,FDH70_gp33,FDH70_gp33,PaMx25_33,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1175654,40079466,FDH70_gp34,FDH70_gp34,PaMx25_34,-,-,-,putative replicative clamp,protein-coding,-,-,-,putative replicative clamp,20201221,-
1175654,40079467,tgt,FDH70_gp35,PaMx25_35,-,-,-,putative tRNA ribosyltransferase,protein-coding,-,-,-,putative tRNA ribosyltransferase,20201221,-
1175654,40079468,FDH70_gp36,FDH70_gp36,PaMx25_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079469,folE,FDH70_gp37,PaMx25_37,-,-,-,putative GTP cyclohydrolase,protein-coding,-,-,-,putative GTP cyclohydrolase,20201221,-
1175654,40079470,FDH70_gp38,FDH70_gp38,PaMx25_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079471,queD,FDH70_gp39,PaMx25_39,-,-,-,putative QueD-like protein,protein-coding,-,-,-,putative QueD-like protein,20201221,-
1175654,40079472,queC,FDH70_gp40,PaMx25_40,-,-,-,putative QueC-like protein,protein-coding,-,-,-,putative QueC-like protein,20201221,-
1175654,40079473,queE,FDH70_gp41,PaMx25_41,-,-,-,putative QueE-like protein,protein-coding,-,-,-,putative QueE-like protein,20201221,-
1175654,40079474,FDH70_gp42,FDH70_gp42,PaMx25_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079475,FDH70_gp43,FDH70_gp43,PaMx25_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079476,FDH70_gp44,FDH70_gp44,PaMx25_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079477,FDH70_gp45,FDH70_gp45,PaMx25_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079478,FDH70_gp46,FDH70_gp46,PaMx25_46,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1175654,40079479,recB,FDH70_gp47,PaMx25_47,-,-,-,putative RecB exonuclease,protein-coding,-,-,-,putative RecB exonuclease,20201221,-
1175654,40079480,FDH70_gp48,FDH70_gp48,PaMx25_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079481,FDH70_gp49,FDH70_gp49,PaMx25_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079482,recA,FDH70_gp50,PaMx25_50,-,-,-,putative RecA ATPase,protein-coding,-,-,-,putative RecA ATPase,20201221,-
1175654,40079483,FDH70_gp51,FDH70_gp51,PaMx25_51,-,-,-,putative DNA topoisomerase,protein-coding,-,-,-,putative DNA topoisomerase,20201221,-
1175654,40079484,FDH70_gp52,FDH70_gp52,PaMx25_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079485,FDH70_gp53,FDH70_gp53,PaMx25_53,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20201221,-
1175654,40079486,thyX,FDH70_gp54,PaMx25_54,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201221,-
1175654,40079487,FDH70_gp55,FDH70_gp55,PaMx25_55,-,-,-,putative ribonuclease H like protein,protein-coding,-,-,-,putative ribonuclease H like protein,20201221,-
1175654,40079488,FDH70_gp56,FDH70_gp56,PaMx25_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079489,FDH70_gp57,FDH70_gp57,PaMx25_57,-,-,-,putative nucleotide pyrophosphohydrolase,protein-coding,-,-,-,putative nucleotide pyrophosphohydrolase,20201221,-
1175654,40079490,FDH70_gp58,FDH70_gp58,PaMx25_58,-,-,-,putative primase/helicase,protein-coding,-,-,-,putative primase/helicase,20201221,-
1175654,40079491,FDH70_gp59,FDH70_gp59,PaMx25_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079492,FDH70_gp60,FDH70_gp60,PaMx25_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079493,FDH70_gp61,FDH70_gp61,PaMx25_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079494,FDH70_gp62,FDH70_gp62,PaMx25_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079495,FDH70_gp63,FDH70_gp63,PaMx25_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079496,FDH70_gp64,FDH70_gp64,PaMx25_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079497,FDH70_gp65,FDH70_gp65,PaMx25_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079498,denV,FDH70_gp66,PaMx25_66,-,-,-,putative DenV DNA-repair glycosylase,protein-coding,-,-,-,putative DenV DNA-repair glycosylase,20201221,-
1175654,40079499,FDH70_gp67,FDH70_gp67,PaMx25_67,-,-,-,putative Znf domain-containing protein,protein-coding,-,-,-,putative Znf domain-containing protein,20201221,-
1175654,40079500,FDH70_gp68,FDH70_gp68,PaMx25_68,-,-,-,putative nucleotide triphosphate hydrolase,protein-coding,-,-,-,putative nucleotide triphosphate hydrolase,20201221,-
1175654,40079501,FDH70_gp69,FDH70_gp69,PaMx25_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079502,nrdJ,FDH70_gp70,PaMx25_70,-,-,-,putative ribonucleotide reductase,protein-coding,-,-,-,putative ribonucleotide reductase,20201221,-
1175654,40079503,FDH70_gp71,FDH70_gp71,PaMx25_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079504,FDH70_gp72,FDH70_gp72,PaMx25_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079505,uvrD,FDH70_gp73,PaMx25_73,-,-,-,putative UvrD helicase,protein-coding,-,-,-,putative UvrD helicase,20201221,-
1175654,40079506,FDH70_gp74,FDH70_gp74,PaMx25_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079507,FDH70_gp01,FDH70_gp01,PaMx25_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40120111,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
