#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2234047,65113615,KNT92_gp002,KNT92_gp002,CPT_Mineola_002,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20210607,-
2234047,65113633,KNT92_gp020,KNT92_gp020,CPT_Mineola_020,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20210607,-
2234047,65113634,KNT92_gp021,KNT92_gp021,CPT_Mineola_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113635,KNT92_gp022,KNT92_gp022,CPT_Mineola_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113636,KNT92_gp023,KNT92_gp023,CPT_Mineola_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113637,KNT92_gp024,KNT92_gp024,CPT_Mineola_024,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2234047,65113638,KNT92_gp025,KNT92_gp025,CPT_Mineola_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113639,KNT92_gp026,KNT92_gp026,CPT_Mineola_026,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2234047,65113640,KNT92_gp027,KNT92_gp027,CPT_Mineola_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113641,KNT92_gp028,KNT92_gp028,CPT_Mineola_028,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
2234047,65113642,KNT92_gp029,KNT92_gp029,CPT_Mineola_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113643,KNT92_gp030,KNT92_gp030,CPT_Mineola_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113644,KNT92_gp031,KNT92_gp031,CPT_Mineola_031,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210607,-
2234047,65113645,KNT92_gp032,KNT92_gp032,CPT_Mineola_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113646,KNT92_gp033,KNT92_gp033,CPT_Mineola_033,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210607,-
2234047,65113647,KNT92_gp034,KNT92_gp034,CPT_Mineola_034,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20210607,-
2234047,65113648,KNT92_gp035,KNT92_gp035,CPT_Mineola_035,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210607,-
2234047,65113649,KNT92_gp036,KNT92_gp036,CPT_Mineola_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113650,KNT92_gp037,KNT92_gp037,CPT_Mineola_037,-,-,-,putative beta-glucosyl-HMC-alpha-glucosyl-transferase,protein-coding,-,-,-,putative beta-glucosyl-HMC-alpha-glucosyl-transferase,20210607,-
2234047,65113651,KNT92_gp038,KNT92_gp038,CPT_Mineola_038,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20210607,-
2234047,65113652,KNT92_gp039,KNT92_gp039,CPT_Mineola_039,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210607,-
2234047,65113653,KNT92_gp040,KNT92_gp040,CPT_Mineola_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113654,KNT92_gp041,KNT92_gp041,CPT_Mineola_041,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210609,-
2234047,65113655,KNT92_gp042,KNT92_gp042,CPT_Mineola_042,-,-,-,translation repressor protein,protein-coding,-,-,-,translation repressor protein,20210607,-
2234047,65113656,KNT92_gp043,KNT92_gp043,CPT_Mineola_043,-,-,-,clamp loader small subunit,protein-coding,-,-,-,clamp loader small subunit,20210607,-
2234047,65113657,KNT92_gp044,KNT92_gp044,CPT_Mineola_044,-,-,-,"clamp loader, large subunit",protein-coding,-,-,-,"clamp loader, large subunit",20210607,-
2234047,65113658,KNT92_gp045,KNT92_gp045,CPT_Mineola_045,-,-,-,sliding clamp,protein-coding,-,-,-,sliding clamp,20210607,-
2234047,65113659,KNT92_gp046,KNT92_gp046,CPT_Mineola_046,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2234047,65113660,KNT92_gp047,KNT92_gp047,CPT_Mineola_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113661,KNT92_gp048,KNT92_gp048,CPT_Mineola_048,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20210607,-
2234047,65113662,KNT92_gp049,KNT92_gp049,CPT_Mineola_049,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20210607,-
2234047,65113663,KNT92_gp050,KNT92_gp050,CPT_Mineola_050,-,-,-,alpha glucosyl transferase,protein-coding,-,-,-,alpha glucosyl transferase,20210607,-
2234047,65113664,KNT92_gp051,KNT92_gp051,CPT_Mineola_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113665,KNT92_gp052,KNT92_gp052,CPT_Mineola_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113666,KNT92_gp053,KNT92_gp053,CPT_Mineola_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113667,KNT92_gp054,KNT92_gp054,CPT_Mineola_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113668,KNT92_gp055,KNT92_gp055,CPT_Mineola_055,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210607,-
2234047,65113669,KNT92_gp056,KNT92_gp056,CPT_Mineola_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113670,KNT92_gp057,KNT92_gp057,CPT_Mineola_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113671,KNT92_gp058,KNT92_gp058,CPT_Mineola_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113672,KNT92_gp059,KNT92_gp059,CPT_Mineola_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113673,KNT92_gp060,KNT92_gp060,CPT_Mineola_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113674,KNT92_gp061,KNT92_gp061,CPT_Mineola_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113675,KNT92_gp062,KNT92_gp062,CPT_Mineola_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113676,KNT92_gp063,KNT92_gp063,CPT_Mineola_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113677,KNT92_gp064,KNT92_gp064,CPT_Mineola_064,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2234047,65113678,KNT92_gp065,KNT92_gp065,CPT_Mineola_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113679,KNT92_gp066,KNT92_gp066,CPT_Mineola_066,-,-,-,"anaerobic NTP reductase, small subunit",protein-coding,-,-,-,"anaerobic NTP reductase, small subunit",20210607,-
2234047,65113680,KNT92_gp067,KNT92_gp067,CPT_Mineola_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113681,KNT92_gp068,KNT92_gp068,CPT_Mineola_068,-,-,-,"anaerobic NTP reductase, large subunit",protein-coding,-,-,-,"anaerobic NTP reductase, large subunit",20210607,-
2234047,65113682,KNT92_gp069,KNT92_gp069,CPT_Mineola_069,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20210609,-
2234047,65113683,KNT92_gp070,KNT92_gp070,CPT_Mineola_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113684,KNT92_gp071,KNT92_gp071,CPT_Mineola_071,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2234047,65113685,KNT92_gp072,KNT92_gp072,CPT_Mineola_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113686,KNT92_gp073,KNT92_gp073,CPT_Mineola_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113687,KNT92_gp074,KNT92_gp074,CPT_Mineola_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113688,KNT92_gp075,KNT92_gp075,CPT_Mineola_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113689,KNT92_gp076,KNT92_gp076,CPT_Mineola_076,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210609,-
2234047,65113690,KNT92_gp077,KNT92_gp077,CPT_Mineola_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113691,KNT92_gp078,KNT92_gp078,CPT_Mineola_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113692,KNT92_gp079,KNT92_gp079,CPT_Mineola_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113693,KNT92_gp080,KNT92_gp080,CPT_Mineola_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113694,KNT92_gp081,KNT92_gp081,CPT_Mineola_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113695,KNT92_gp082,KNT92_gp082,CPT_Mineola_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113696,KNT92_gp083,KNT92_gp083,CPT_Mineola_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113697,KNT92_gp084,KNT92_gp084,CPT_Mineola_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113698,KNT92_gp085,KNT92_gp085,CPT_Mineola_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113699,KNT92_gp086,KNT92_gp086,CPT_Mineola_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113700,KNT92_gp087,KNT92_gp087,CPT_Mineola_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113701,KNT92_gp088,KNT92_gp088,CPT_Mineola_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113702,KNT92_gp089,KNT92_gp089,CPT_Mineola_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113703,KNT92_gp090,KNT92_gp090,CPT_Mineola_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113704,KNT92_gp091,KNT92_gp091,CPT_Mineola_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113705,KNT92_gp092,KNT92_gp092,CPT_Mineola_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113706,KNT92_gp093,KNT92_gp093,CPT_Mineola_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113707,KNT92_gp094,KNT92_gp094,CPT_Mineola_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113708,KNT92_gp095,KNT92_gp095,CPT_Mineola_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113709,KNT92_gp096,KNT92_gp096,CPT_Mineola_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113710,KNT92_gp097,KNT92_gp097,CPT_Mineola_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113711,KNT92_gp098,KNT92_gp098,CPT_Mineola_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113712,KNT92_gp099,KNT92_gp099,CPT_Mineola_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113713,KNT92_gp100,KNT92_gp100,CPT_Mineola_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113714,KNT92_gp101,KNT92_gp101,CPT_Mineola_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113715,KNT92_gp102,KNT92_gp102,CPT_Mineola_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113716,KNT92_gp103,KNT92_gp103,CPT_Mineola_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113717,KNT92_gp104,KNT92_gp104,CPT_Mineola_104,-,-,-,rI-like periplasmic antiholin,protein-coding,-,-,-,rI-like periplasmic antiholin,20210607,-
2234047,65113718,KNT92_gp105,KNT92_gp105,CPT_Mineola_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113719,KNT92_gp106,KNT92_gp106,CPT_Mineola_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113720,KNT92_gp107,KNT92_gp107,CPT_Mineola_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113721,KNT92_gp108,KNT92_gp108,CPT_Mineola_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113722,KNT92_gp109,KNT92_gp109,CPT_Mineola_109,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2234047,65113723,KNT92_gp110,KNT92_gp110,CPT_Mineola_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113724,KNT92_gp111,KNT92_gp111,CPT_Mineola_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113725,KNT92_gp112,KNT92_gp112,CPT_Mineola_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113726,KNT92_gp113,KNT92_gp113,CPT_Mineola_113,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20210607,-
2234047,65113727,KNT92_gp114,KNT92_gp114,CPT_Mineola_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113728,KNT92_gp115,KNT92_gp115,CPT_Mineola_115,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2234047,65113729,KNT92_gp116,KNT92_gp116,CPT_Mineola_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113730,KNT92_gp117,KNT92_gp117,CPT_Mineola_117,-,-,-,autonomous glycyl radical cofactor,protein-coding,-,-,-,autonomous glycyl radical cofactor,20210607,-
2234047,65113731,KNT92_gp118,KNT92_gp118,CPT_Mineola_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113732,KNT92_gp119,KNT92_gp119,CPT_Mineola_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113733,KNT92_gp120,KNT92_gp120,CPT_Mineola_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113734,KNT92_gp121,KNT92_gp121,CPT_Mineola_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113735,KNT92_gp122,KNT92_gp122,CPT_Mineola_122,-,-,-,"lysozyme murein hydrolase, putative endolysin",protein-coding,-,-,-,"lysozyme murein hydrolase, putative endolysin",20210607,-
2234047,65113736,KNT92_gp123,KNT92_gp123,CPT_Mineola_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113737,KNT92_gp124,KNT92_gp124,CPT_Mineola_124,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2234047,65113738,KNT92_gp125,KNT92_gp125,CPT_Mineola_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113739,KNT92_gp126,KNT92_gp126,CPT_Mineola_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113740,KNT92_gp127,KNT92_gp127,CPT_Mineola_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113741,KNT92_gp128,KNT92_gp128,CPT_Mineola_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113742,KNT92_gp129,KNT92_gp129,CPT_Mineola_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113743,KNT92_gp130,KNT92_gp130,CPT_Mineola_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113744,KNT92_gp131,KNT92_gp131,CPT_Mineola_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113745,KNT92_gp132,KNT92_gp132,CPT_Mineola_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113746,KNT92_gp133,KNT92_gp133,CPT_Mineola_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113747,KNT92_gp134,KNT92_gp134,CPT_Mineola_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113748,KNT92_gt001,KNT92_gt001,CPT_Mineola_gt001,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113749,KNT92_gp275,KNT92_gp275,CPT_Mineola_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113750,KNT92_gp274,KNT92_gp274,CPT_Mineola_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113751,KNT92_gt004,KNT92_gt004,CPT_Mineola_gt004,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113752,KNT92_gp272,KNT92_gp272,CPT_Mineola_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113753,KNT92_gp271,KNT92_gp271,CPT_Mineola_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113754,KNT92_gp270,KNT92_gp270,CPT_Mineola_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113755,KNT92_gt005,KNT92_gt005,CPT_Mineola_gt005,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113756,KNT92_gt006,KNT92_gt006,CPT_Mineola_gt006,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2234047,65113757,KNT92_gp267,KNT92_gp267,CPT_Mineola_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113758,KNT92_gp266,KNT92_gp266,CPT_Mineola_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113759,KNT92_gp265,KNT92_gp265,CPT_Mineola_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113760,KNT92_gp264,KNT92_gp264,CPT_Mineola_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113761,KNT92_gp263,KNT92_gp263,CPT_Mineola_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113762,KNT92_gp262,KNT92_gp262,CPT_Mineola_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2234047,65113763,KNT92_gp261,KNT92_gp261,CPT_Mineola_150,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210607,-
2234047,65113764,KNT92_gp260,KNT92_gp260,CPT_Mineola_151,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210609,-
2234047,65113765,KNT92_gp259,KNT92_gp259,CPT_Mineola_152,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210607,-
2234047,65113766,KNT92_gp258,KNT92_gp258,CPT_Mineola_153,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2234047,65113767,KNT92_gp257,KNT92_gp257,CPT_Mineola_154,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2234047,65113768,KNT92_gp256,KNT92_gp256,CPT_Mineola_155,-,-,-,baseplate hub subunit and tail lysozyme central spike complex,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme central spike complex,20210607,-
2234047,65113769,KNT92_gp255,KNT92_gp255,CPT_Mineola_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2234047,65113770,KNT92_gp254,KNT92_gp254,CPT_Mineola_157,-,-,-,baseplate puncturing device,protein-coding,-,-,-,baseplate puncturing device,20210609,-
2234047,65113771,KNT92_gp253,KNT92_gp253,CPT_Mineola_158,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2234047,65113772,KNT92_gp252,KNT92_gp252,CPT_Mineola_159,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2234047,65113773,KNT92_gp251,KNT92_gp251,CPT_Mineola_160,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2234047,65113774,KNT92_gp250,KNT92_gp250,CPT_Mineola_161,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2234047,65113775,KNT92_gp249,KNT92_gp249,CPT_Mineola_162,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2234047,65113776,KNT92_gp248,KNT92_gp248,CPT_Mineola_163,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2234047,65113777,KNT92_gp247,KNT92_gp247,CPT_Mineola_164,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20210607,-
2234047,65113778,KNT92_gp246,KNT92_gp246,CPT_Mineola_165,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2234047,65113779,KNT92_gp245,KNT92_gp245,CPT_Mineola_166,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2234047,65113780,KNT92_gp244,KNT92_gp244,CPT_Mineola_167,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2234047,65113781,KNT92_gp243,KNT92_gp243,CPT_Mineola_168,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
2234047,65113782,KNT92_gp242,KNT92_gp242,CPT_Mineola_169,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20210607,-
2234047,65113783,KNT92_gp241,KNT92_gp241,CPT_Mineola_170,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20210607,-
2234047,65113784,KNT92_gp240,KNT92_gp240,CPT_Mineola_171,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2234047,65113785,KNT92_gp239,KNT92_gp239,CPT_Mineola_172,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2234047,65113786,KNT92_gp238,KNT92_gp238,CPT_Mineola_173,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210607,-
