#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099624,40100984,2,FDJ42_gp02,PBI_GOLDEN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2099624,40100998,17,FDJ42_gp17,PBI_GOLDEN_17,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
2099624,40100999,18,FDJ42_gp18,PBI_GOLDEN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099624,40101000,19,FDJ42_gp19,PBI_GOLDEN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099624,40101001,20,FDJ42_gp20,PBI_GOLDEN_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101002,21,FDJ42_gp21,PBI_GOLDEN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101003,22,FDJ42_gp22,PBI_GOLDEN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101004,23,FDJ42_gp23,PBI_GOLDEN_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099624,40101005,24,FDJ42_gp24,PBI_GOLDEN_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2099624,40101006,25,FDJ42_gp25,PBI_GOLDEN_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2099624,40101007,26,FDJ42_gp26,PBI_GOLDEN_26,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2099624,40101008,27,FDJ42_gp27,PBI_GOLDEN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101009,28,FDJ42_gp28,PBI_GOLDEN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101010,29,FDJ42_gp29,PBI_GOLDEN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101011,30,FDJ42_gp30,PBI_GOLDEN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101012,31,FDJ42_gp31,PBI_GOLDEN_31,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20201221,-
2099624,40101013,32,FDJ42_gp32,PBI_GOLDEN_32,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20201221,-
2099624,40101014,33,FDJ42_gp33,PBI_GOLDEN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101015,34,FDJ42_gp34,PBI_GOLDEN_34,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20201221,-
2099624,40101016,35,FDJ42_gp35,PBI_GOLDEN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101017,36,FDJ42_gp36,PBI_GOLDEN_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2099624,40101018,37,FDJ42_gp37,PBI_GOLDEN_37,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
2099624,40101019,38,FDJ42_gp38,PBI_GOLDEN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101020,39,FDJ42_gp39,PBI_GOLDEN_39,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2099624,40101021,40,FDJ42_gp40,PBI_GOLDEN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101022,41,FDJ42_gp41,PBI_GOLDEN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101023,42,FDJ42_gp42,PBI_GOLDEN_42,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
2099624,40101024,43,FDJ42_gp43,PBI_GOLDEN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101025,44,FDJ42_gp44,PBI_GOLDEN_44,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20201221,-
2099624,40101026,45,FDJ42_gp45,PBI_GOLDEN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101027,46,FDJ42_gp46,PBI_GOLDEN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101028,47,FDJ42_gp47,PBI_GOLDEN_47,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
2099624,40101029,48,FDJ42_gp48,PBI_GOLDEN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101030,49,FDJ42_gp49,PBI_GOLDEN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101031,50,FDJ42_gp50,PBI_GOLDEN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101032,51,FDJ42_gp51,PBI_GOLDEN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101033,52,FDJ42_gp52,PBI_GOLDEN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101034,53,FDJ42_gp53,PBI_GOLDEN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101035,54,FDJ42_gp54,PBI_GOLDEN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101036,55,FDJ42_gp55,PBI_GOLDEN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101037,56,FDJ42_gp56,PBI_GOLDEN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101038,57,FDJ42_gp57,PBI_GOLDEN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101039,58,FDJ42_gp58,PBI_GOLDEN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40101040,15,FDJ42_gp16,PBI_GOLDEN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2099624,40101041,1,FDJ42_gp01,PBI_GOLDEN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40120564,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
