#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655021,25102441,SOLID_2,SOLID_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655021,25102464,SOLID_25,SOLID_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655021,25102465,SOLID_26,SOLID_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655021,25102466,SOLID_27,SOLID_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655021,25102467,SOLID_29,SOLID_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102468,SOLID_30,SOLID_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655021,25102469,SOLID_31,SOLID_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655021,25102470,SOLID_33,SOLID_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655021,25102471,SOLID_34,SOLID_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102472,SOLID_35,SOLID_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102473,SOLID_36,SOLID_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655021,25102474,SOLID_37,SOLID_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102475,SOLID_38,SOLID_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102476,SOLID_40,SOLID_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102477,SOLID_41,SOLID_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102478,SOLID_42,SOLID_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102479,SOLID_43,SOLID_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102480,SOLID_44,SOLID_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102481,SOLID_45,SOLID_45,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1655021,25102482,SOLID_39,SOLID_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102483,SOLID_28,SOLID_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102484,SOLID_32,SOLID_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1655021,25102485,SOLID_1,SOLID_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1655021,25147822,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Solid).,other,-,-,-,-,20200513,-
