#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
148305,3974703,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Magnaporthe grisea).,other,-,-,-,-,20190318,-
148305,41955031,PgNI_00033,PgNI_00033,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955032,PgNI_00034,PgNI_00034,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955033,PgNI_00035,PgNI_00035,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955034,PgNI_00036,PgNI_00036,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955035,PgNI_00037,PgNI_00037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955036,PgNI_00038,PgNI_00038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955037,PgNI_00039,PgNI_00039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955038,PgNI_00040,PgNI_00040,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955039,PgNI_00041,PgNI_00041,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955040,PgNI_00042,PgNI_00042,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955041,PgNI_00043,PgNI_00043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955042,PgNI_00044,PgNI_00044,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955043,PgNI_00045,PgNI_00045,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955044,PgNI_00046,PgNI_00046,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955045,PgNI_00047,PgNI_00047,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955046,PgNI_00048,PgNI_00048,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955047,PgNI_00049,PgNI_00049,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955048,PgNI_00050,PgNI_00050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955049,PgNI_00051,PgNI_00051,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955050,PgNI_00052,PgNI_00052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955051,PgNI_00053,PgNI_00053,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955052,PgNI_00054,PgNI_00054,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955053,PgNI_00055,PgNI_00055,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955054,PgNI_00056,PgNI_00056,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955055,PgNI_00057,PgNI_00057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955056,PgNI_00058,PgNI_00058,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955057,PgNI_00059,PgNI_00059,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955058,PgNI_00060,PgNI_00060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955059,PgNI_00061,PgNI_00061,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955060,PgNI_00062,PgNI_00062,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955061,PgNI_00063,PgNI_00063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955062,PgNI_00064,PgNI_00064,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955063,PgNI_00065,PgNI_00065,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955064,PgNI_00066,PgNI_00066,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955065,PgNI_00067,PgNI_00067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955066,PgNI_00068,PgNI_00068,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955067,PgNI_00069,PgNI_00069,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955068,PgNI_00070,PgNI_00070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955069,PgNI_00071,PgNI_00071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955070,PgNI_00072,PgNI_00072,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955071,PgNI_00073,PgNI_00073,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955072,PgNI_00074,PgNI_00074,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955073,PgNI_00075,PgNI_00075,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955074,PgNI_00076,PgNI_00076,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955075,PgNI_00077,PgNI_00077,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955076,PgNI_00078,PgNI_00078,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955077,PgNI_00079,PgNI_00079,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955078,PgNI_00080,PgNI_00080,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955079,PgNI_00081,PgNI_00081,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955080,PgNI_00082,PgNI_00082,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955081,PgNI_00083,PgNI_00083,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955082,PgNI_00084,PgNI_00084,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955083,PgNI_00085,PgNI_00085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955084,PgNI_00086,PgNI_00086,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955085,PgNI_00087,PgNI_00087,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955086,PgNI_00088,PgNI_00088,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955087,PgNI_00089,PgNI_00089,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955088,PgNI_00090,PgNI_00090,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955089,PgNI_00091,PgNI_00091,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955090,PgNI_00092,PgNI_00092,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955091,PgNI_00093,PgNI_00093,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955092,PgNI_00094,PgNI_00094,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955093,PgNI_00095,PgNI_00095,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955094,PgNI_00096,PgNI_00096,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955095,PgNI_00097,PgNI_00097,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955096,PgNI_00098,PgNI_00098,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955097,PgNI_00099,PgNI_00099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955098,PgNI_00100,PgNI_00100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955099,PgNI_00101,PgNI_00101,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955100,PgNI_00102,PgNI_00102,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955101,PgNI_00103,PgNI_00103,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955102,PgNI_00104,PgNI_00104,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955103,PgNI_00105,PgNI_00105,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955104,PgNI_00106,PgNI_00106,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955105,PgNI_00107,PgNI_00107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955106,PgNI_00108,PgNI_00108,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955107,PgNI_00109,PgNI_00109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955108,PgNI_00110,PgNI_00110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955109,PgNI_00111,PgNI_00111,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955110,PgNI_00112,PgNI_00112,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955111,PgNI_00113,PgNI_00113,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955112,PgNI_00114,PgNI_00114,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955113,PgNI_00115,PgNI_00115,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955114,PgNI_00116,PgNI_00116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955115,PgNI_00117,PgNI_00117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955116,PgNI_00119,PgNI_00119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955117,PgNI_00120,PgNI_00120,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955118,PgNI_00121,PgNI_00121,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955119,PgNI_00122,PgNI_00122,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955120,PgNI_00123,PgNI_00123,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955121,PgNI_00124,PgNI_00124,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955122,PgNI_00125,PgNI_00125,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955123,PgNI_00126,PgNI_00126,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955124,PgNI_00127,PgNI_00127,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955125,PgNI_00128,PgNI_00128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955126,PgNI_00129,PgNI_00129,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955127,PgNI_00130,PgNI_00130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955128,PgNI_00131,PgNI_00131,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955129,PgNI_00132,PgNI_00132,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955130,PgNI_00133,PgNI_00133,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955131,PgNI_00134,PgNI_00134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955132,PgNI_00135,PgNI_00135,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955133,PgNI_00136,PgNI_00136,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955134,PgNI_00137,PgNI_00137,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955135,PgNI_00138,PgNI_00138,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955136,PgNI_00139,PgNI_00139,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955137,PgNI_00140,PgNI_00140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955138,PgNI_00141,PgNI_00141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955139,PgNI_00142,PgNI_00142,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955140,PgNI_00143,PgNI_00143,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955141,PgNI_00144,PgNI_00144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955142,PgNI_00145,PgNI_00145,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955143,PgNI_00146,PgNI_00146,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955144,PgNI_00147,PgNI_00147,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955145,PgNI_00148,PgNI_00148,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955146,PgNI_00149,PgNI_00149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955147,PgNI_00150,PgNI_00150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955148,PgNI_00151,PgNI_00151,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955149,PgNI_00152,PgNI_00152,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955150,PgNI_00153,PgNI_00153,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955151,PgNI_00154,PgNI_00154,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955152,PgNI_00155,PgNI_00155,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955153,PgNI_00156,PgNI_00156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955154,PgNI_00157,PgNI_00157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955155,PgNI_00158,PgNI_00158,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955156,PgNI_00159,PgNI_00159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955157,PgNI_00160,PgNI_00160,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955158,PgNI_00161,PgNI_00161,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955159,PgNI_00162,PgNI_00162,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955160,PgNI_00163,PgNI_00163,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955161,PgNI_00164,PgNI_00164,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955162,PgNI_00165,PgNI_00165,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955163,PgNI_00166,PgNI_00166,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955164,PgNI_00167,PgNI_00167,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955165,PgNI_00168,PgNI_00168,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955166,PgNI_00169,PgNI_00169,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955167,PgNI_00170,PgNI_00170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955168,PgNI_00171,PgNI_00171,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955169,PgNI_00172,PgNI_00172,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955170,PgNI_00173,PgNI_00173,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955171,PgNI_00174,PgNI_00174,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955172,PgNI_00175,PgNI_00175,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955173,PgNI_00176,PgNI_00176,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955174,PgNI_00177,PgNI_00177,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955175,PgNI_00178,PgNI_00178,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955176,PgNI_00179,PgNI_00179,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955177,PgNI_00180,PgNI_00180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955178,PgNI_00181,PgNI_00181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955179,PgNI_00182,PgNI_00182,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955180,PgNI_00183,PgNI_00183,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955181,PgNI_00184,PgNI_00184,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955182,PgNI_00185,PgNI_00185,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955183,PgNI_00186,PgNI_00186,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955184,PgNI_00187,PgNI_00187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955185,PgNI_00188,PgNI_00188,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955186,PgNI_00189,PgNI_00189,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955187,PgNI_00190,PgNI_00190,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955188,PgNI_00191,PgNI_00191,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955189,PgNI_00192,PgNI_00192,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955190,PgNI_00193,PgNI_00193,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955191,PgNI_00194,PgNI_00194,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955192,PgNI_00195,PgNI_00195,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955193,PgNI_00196,PgNI_00196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955194,PgNI_00197,PgNI_00197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955195,PgNI_00198,PgNI_00198,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955196,PgNI_00199,PgNI_00199,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955197,PgNI_00200,PgNI_00200,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955198,PgNI_00201,PgNI_00201,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955199,PgNI_00202,PgNI_00202,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955200,PgNI_00203,PgNI_00203,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
