#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301715,64471721,2,KGG90_gp02,SEA_THESTRAL_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2301715,64471742,23,KGG90_gp63,SEA_THESTRAL_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2301715,64471743,24,KGG90_gp62,SEA_THESTRAL_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471744,25,KGG90_gp61,SEA_THESTRAL_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2301715,64471745,26,KGG90_gp60,SEA_THESTRAL_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471746,27,KGG90_gp59,SEA_THESTRAL_27,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210505,-
2301715,64471747,28,KGG90_gp58,SEA_THESTRAL_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471748,29,KGG90_gp57,SEA_THESTRAL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471749,30,KGG90_gp56,SEA_THESTRAL_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2301715,64471750,31,KGG90_gp55,SEA_THESTRAL_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471751,32,KGG90_gp54,SEA_THESTRAL_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2301715,64471752,33,KGG90_gp53,SEA_THESTRAL_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471753,34,KGG90_gp52,SEA_THESTRAL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471754,35,KGG90_gp51,SEA_THESTRAL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471755,36,KGG90_gp50,SEA_THESTRAL_36,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210505,-
2301715,64471756,37,KGG90_gp49,SEA_THESTRAL_37,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210505,-
2301715,64471757,38,KGG90_gp48,SEA_THESTRAL_38,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2301715,64471758,39,KGG90_gp47,SEA_THESTRAL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471759,40,KGG90_gp46,SEA_THESTRAL_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2301715,64471760,41,KGG90_gp45,SEA_THESTRAL_41,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2301715,64471761,42,KGG90_gp44,SEA_THESTRAL_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471762,43,KGG90_gp43,SEA_THESTRAL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471763,44,KGG90_gp42,SEA_THESTRAL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471764,46,KGG90_gp40,SEA_THESTRAL_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471765,47,KGG90_gp39,SEA_THESTRAL_47,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2301715,64471766,48,KGG90_gp38,SEA_THESTRAL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471767,49,KGG90_gp37,SEA_THESTRAL_49,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210505,-
2301715,64471768,50,KGG90_gp36,SEA_THESTRAL_50,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210505,-
2301715,64471769,51,KGG90_gp35,SEA_THESTRAL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471770,52,KGG90_gp34,SEA_THESTRAL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471771,53,KGG90_gp33,SEA_THESTRAL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471772,54,KGG90_gp32,SEA_THESTRAL_54,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2301715,64471773,55,KGG90_gp31,SEA_THESTRAL_55,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210505,-
2301715,64471774,56,KGG90_gp30,SEA_THESTRAL_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471775,57,KGG90_gp29,SEA_THESTRAL_57,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210505,-
2301715,64471776,58,KGG90_gp28,SEA_THESTRAL_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471777,59,KGG90_gp27,SEA_THESTRAL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471778,60,KGG90_gp26,SEA_THESTRAL_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471779,61,KGG90_gp25,SEA_THESTRAL_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471780,62,KGG90_gp24,SEA_THESTRAL_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471781,63,KGG90_gp23,SEA_THESTRAL_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471782,64,KGG90_gp22,SEA_THESTRAL_64,-,-,-,deoxynucleoside monophosphate,protein-coding,-,-,-,deoxynucleoside monophosphate,20210505,-
2301715,64471783,65,KGG90_gp21,SEA_THESTRAL_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471784,66,KGG90_gp20,SEA_THESTRAL_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471785,67,KGG90_gp19,SEA_THESTRAL_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471786,68,KGG90_gp18,SEA_THESTRAL_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471787,69,KGG90_gp17,SEA_THESTRAL_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471788,70,KGG90_gp16,SEA_THESTRAL_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471789,72,KGG90_gp14,SEA_THESTRAL_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471790,73,KGG90_gp13,SEA_THESTRAL_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471791,74,KGG90_gp12,SEA_THESTRAL_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471792,75,KGG90_gp11,SEA_THESTRAL_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471793,76,KGG90_gp10,SEA_THESTRAL_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471794,77,KGG90_gp09,SEA_THESTRAL_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471795,78,KGG90_gp08,SEA_THESTRAL_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471796,79,KGG90_gp07,SEA_THESTRAL_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471797,80,KGG90_gp06,SEA_THESTRAL_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471798,81,KGG90_gp05,SEA_THESTRAL_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471799,82,KGG90_gp04,SEA_THESTRAL_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471800,83,KGG90_gp03,SEA_THESTRAL_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471801,45,KGG90_gp41,SEA_THESTRAL_45,-,-,-,MRE11 double-strand break endo/exonuclease,protein-coding,-,-,-,MRE11 double-strand break endo/exonuclease,20210505,-
2301715,64471802,71,KGG90_gp15,SEA_THESTRAL_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64471803,1,KGG90_gp01,SEA_THESTRAL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2301715,64792230,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
