#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
28200,38346939,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Aliiarcobacter skirrowii; Arcobacter skirrowii.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
28200,60357930,EI285_RS01010,EI285_RS01010,EI285_01010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60357942,EI285_RS03735,EI285_RS03735,EI285_03735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357952,EI285_RS03730,EI285_RS03730,EI285_03730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357953,EI285_RS06845,EI285_RS06845,EI285_06845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357960,EI285_RS03720,EI285_RS03720,EI285_03720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357961,EI285_RS08150,EI285_RS08150,EI285_08150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357964,EI285_RS05875,EI285_RS05875,EI285_05875,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60357966,EI285_RS03715,EI285_RS03715,EI285_03715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357970,EI285_RS00290,EI285_RS00290,EI285_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60357971,EI285_RS04215,EI285_RS04215,EI285_04215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357972,EI285_RS07125,EI285_RS07125,EI285_07125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357974,EI285_RS03710,EI285_RS03710,EI285_03710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357980,EI285_RS04110,EI285_RS04110,EI285_04110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357983,EI285_RS08860,EI285_RS08860,EI285_08860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357985,EI285_RS03705,EI285_RS03705,EI285_03705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357991,EI285_RS03700,EI285_RS03700,EI285_03700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60357996,EI285_RS03690,EI285_RS03690,EI285_03690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358002,EI285_RS08125,EI285_RS08125,EI285_08125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358003,EI285_RS03685,EI285_RS03685,EI285_03685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358009,EI285_RS04245,EI285_RS04245,EI285_04245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358014,EI285_RS03680,EI285_RS03680,EI285_03680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60358018,EI285_RS03675,EI285_RS03675,EI285_03675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358019,EI285_RS03670,EI285_RS03670,EI285_03670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358021,EI285_RS09380,EI285_RS09380,EI285_09380,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358037,EI285_RS03645,EI285_RS03645,EI285_03645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358041,EI285_RS04475,EI285_RS04475,EI285_04475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358045,EI285_RS08090,EI285_RS08090,EI285_08090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358049,EI285_RS08085,EI285_RS08085,EI285_08085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358050,EI285_RS03635,EI285_RS03635,EI285_03635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60358058,EI285_RS04320,EI285_RS04320,EI285_04320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358076,EI285_RS06760,EI285_RS06760,EI285_06760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358089,EI285_RS08070,EI285_RS08070,EI285_08070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358093,EI285_RS03600,EI285_RS03600,EI285_03600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358094,EI285_RS03595,EI285_RS03595,EI285_03595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358099,EI285_RS09670,EI285_RS09670,EI285_09670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358128,EI285_RS03585,EI285_RS03585,EI285_03585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358139,EI285_RS04800,EI285_RS04800,EI285_04800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60358141,EI285_RS03575,EI285_RS03575,EI285_03575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60358144,EI285_RS03570,EI285_RS03570,EI285_03570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358145,EI285_RS00545,EI285_RS00545,EI285_00545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358148,EI285_RS06730,EI285_RS06730,EI285_06730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358161,EI285_RS04205,EI285_RS04205,EI285_04205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358162,EI285_RS06720,EI285_RS06720,EI285_06720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358166,EI285_RS03560,EI285_RS03560,EI285_03560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358168,EI285_RS03555,EI285_RS03555,EI285_03555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358174,EI285_RS08015,EI285_RS08015,EI285_08015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358177,EI285_RS03550,EI285_RS03550,EI285_03550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358178,EI285_RS08010,EI285_RS08010,EI285_08010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358179,EI285_RS05770,EI285_RS05770,EI285_05770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358183,EI285_RS04155,EI285_RS04155,EI285_04155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358186,EI285_RS03540,EI285_RS03540,EI285_03540,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358203,EI285_RS07990,EI285_RS07990,EI285_07990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358205,EI285_RS05270,EI285_RS05270,EI285_05270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358208,EI285_RS06030,EI285_RS06030,EI285_06030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358210,EI285_RS04225,EI285_RS04225,EI285_04225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358211,EI285_RS02340,EI285_RS02340,EI285_02340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60358215,EI285_RS08945,EI285_RS08945,EI285_08945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358216,EI285_RS07985,EI285_RS07985,EI285_07985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358224,EI285_RS03520,EI285_RS03520,EI285_03520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358230,EI285_RS01020,EI285_RS01020,EI285_01020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358253,EI285_RS03505,EI285_RS03505,EI285_03505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358260,EI285_RS03500,EI285_RS03500,EI285_03500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358269,EI285_RS04170,EI285_RS04170,EI285_04170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358278,EI285_RS00875,EI285_RS00875,EI285_00875,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358287,EI285_RS04165,EI285_RS04165,EI285_04165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358291,EI285_RS09205,EI285_RS09205,EI285_09205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358293,EI285_RS09485,EI285_RS09485,EI285_09485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358306,EI285_RS00895,EI285_RS00895,EI285_00895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358312,EI285_RS02040,EI285_RS02040,EI285_02040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358322,EI285_RS00690,EI285_RS00690,EI285_00690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358323,EI285_RS09145,EI285_RS09145,EI285_09145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358339,EI285_RS06640,EI285_RS06640,EI285_06640,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358342,EI285_RS06635,EI285_RS06635,EI285_06635,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358345,EI285_RS02270,EI285_RS02270,EI285_02270,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358346,EI285_RS00515,EI285_RS00515,EI285_00515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358356,EI285_RS04160,EI285_RS04160,EI285_04160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358357,EI285_RS06625,EI285_RS06625,EI285_06625,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358360,EI285_RS09480,EI285_RS09480,EI285_09480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358365,EI285_RS06620,EI285_RS06620,EI285_06620,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358372,EI285_RS04195,EI285_RS04195,EI285_04195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358376,EI285_RS00900,EI285_RS00900,EI285_00900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358392,EI285_RS08890,EI285_RS08890,EI285_08890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358411,EI285_RS07105,EI285_RS07105,EI285_07105,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358417,EI285_RS02545,EI285_RS02545,EI285_02545,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358418,EI285_RS04295,EI285_RS04295,EI285_04295,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358421,EI285_RS06575,EI285_RS06575,EI285_06575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358426,EI285_RS04330,EI285_RS04330,EI285_04330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358436,EI285_RS04105,EI285_RS04105,EI285_04105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358444,EI285_RS07800,EI285_RS07800,EI285_07800,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358445,EI285_RS07795,EI285_RS07795,EI285_07795,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358446,EI285_RS09440,EI285_RS09440,EI285_09440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358449,EI285_RS07790,EI285_RS07790,EI285_07790,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358451,EI285_RS07785,EI285_RS07785,EI285_07785,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358452,EI285_RS09230,EI285_RS09230,EI285_09230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358458,EI285_RS03330,EI285_RS03330,EI285_03330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358463,EI285_RS06040,EI285_RS06040,EI285_06040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358468,EI285_RS05005,EI285_RS05005,EI285_05005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60358471,EI285_RS04620,EI285_RS04620,EI285_04620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60358501,EI285_RS07760,EI285_RS07760,EI285_07760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358505,EI285_RS04250,EI285_RS04250,EI285_04250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358514,EI285_RS04735,EI285_RS04735,EI285_04735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358515,EI285_RS01505,EI285_RS01505,EI285_01505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60358517,EI285_RS00855,EI285_RS00855,EI285_00855,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358520,EI285_RS07100,EI285_RS07100,EI285_07100,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358527,EI285_RS08995,EI285_RS08995,EI285_08995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358533,EI285_RS07735,EI285_RS07735,EI285_07735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358536,EI285_RS04830,EI285_RS04830,EI285_04830,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358538,EI285_RS04260,EI285_RS04260,EI285_04260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358553,EI285_RS03270,EI285_RS03270,EI285_03270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358573,EI285_RS06025,EI285_RS06025,EI285_06025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358577,EI285_RS07315,EI285_RS07315,EI285_07315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358583,EI285_RS00485,EI285_RS00485,EI285_00485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358584,EI285_RS09755,EI285_RS09755,EI285_09755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358590,EI285_RS06505,EI285_RS06505,EI285_06505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358593,EI285_RS06500,EI285_RS06500,EI285_06500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358603,EI285_RS08710,EI285_RS08710,EI285_08710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358605,EI285_RS06495,EI285_RS06495,EI285_06495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358639,EI285_RS05110,EI285_RS05110,EI285_05110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
28200,60358650,EI285_RS02630,EI285_RS02630,EI285_02630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358661,EI285_RS07640,EI285_RS07640,EI285_07640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358662,EI285_RS04210,EI285_RS04210,EI285_04210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358672,EI285_RS05125,EI285_RS05125,EI285_05125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358673,EI285_RS08690,EI285_RS08690,EI285_08690,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358674,EI285_RS01155,EI285_RS01155,EI285_01155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358676,EI285_RS06060,EI285_RS06060,EI285_06060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201204,-
28200,60358685,EI285_RS09265,EI285_RS09265,EI285_09265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358687,EI285_RS01215,EI285_RS01215,EI285_01215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358695,EI285_RS02620,EI285_RS02620,EI285_02620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358711,EI285_RS00475,EI285_RS00475,EI285_00475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358712,EI285_RS03180,EI285_RS03180,EI285_03180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358714,EI285_RS04410,EI285_RS04410,EI285_04410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358719,EI285_RS01940,EI285_RS01940,EI285_01940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
28200,60358724,EI285_RS09375,EI285_RS09375,EI285_09375,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
28200,60358735,EI285_RS05845,EI285_RS05845,EI285_05845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201202,-
