#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675609,26623869,AVT24_gp02,AVT24_gp02,CPT_Sushi2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1675609,26623888,AVT24_gp21,AVT24_gp21,CPT_Sushi21,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1675609,26623889,AVT24_gp22,AVT24_gp22,CPT_Sushi22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623890,AVT24_gp23,AVT24_gp23,CPT_Sushi23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623891,AVT24_gp24,AVT24_gp24,CPT_Sushi24,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201221,-
1675609,26623892,AVT24_gp25,AVT24_gp25,CPT_Sushi25,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
1675609,26623893,AVT24_gp26,AVT24_gp26,CPT_Sushi26,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210116,-
1675609,26623894,AVT24_gp27,AVT24_gp27,CPT_Sushi27,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
1675609,26623895,AVT24_gp28,AVT24_gp28,CPT_Sushi28,-,-,-,primase,protein-coding,-,-,-,primase,20201221,-
1675609,26623896,AVT24_gp29,AVT24_gp29,CPT_Sushi29,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210327,-
1675609,26623897,AVT24_gp30,AVT24_gp30,CPT_Sushi30,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1675609,26623898,AVT24_gp31,AVT24_gp31,CPT_Sushi31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675609,26623899,AVT24_gp32,AVT24_gp32,CPT_Sushi32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623900,AVT24_gp33,AVT24_gp33,CPT_Sushi33,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210327,-
1675609,26623901,AVT24_gp34,AVT24_gp34,CPT_Sushi34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623902,AVT24_gp35,AVT24_gp35,CPT_Sushi35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623903,AVT24_gp36,AVT24_gp36,CPT_Sushi36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623904,AVT24_gp37,AVT24_gp37,CPT_Sushi37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1675609,26623905,AVT24_gp38,AVT24_gp38,CPT_Sushi38,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210123,-
1675609,26623906,AVT24_gp39,AVT24_gp39,CPT_Sushi39,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20201221,-
1675609,26623907,AVT24_gp40,AVT24_gp40,CPT_Sushi40,-,-,-,pinholin,protein-coding,-,-,-,pinholin,20201221,-
1675609,26623908,AVT24_gp41,AVT24_gp41,CPT_Sushi41,-,-,-,SAR endolysin,protein-coding,-,-,-,SAR endolysin,20210327,-
1675609,26623909,AVT24_gp42,AVT24_gp42,CPT_Sushi42,-,-,-,u-spanin,protein-coding,-,-,-,u-spanin,20210327,-
1675609,26623910,AVT24_gp43,AVT24_gp43,CPT_Sushi43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623911,AVT24_gp44,AVT24_gp44,CPT_Sushi44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623912,AVT24_gp45,AVT24_gp45,CPT_Sushi45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623913,AVT24_gp46,AVT24_gp46,CPT_Sushi46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623914,AVT24_gp47,AVT24_gp47,CPT_Sushi47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623915,AVT24_gp48,AVT24_gp48,CPT_Sushi48,-,-,-,cytosine DNA methylase,protein-coding,-,-,-,cytosine DNA methylase,20201221,-
1675609,26623916,AVT24_gp49,AVT24_gp49,CPT_Sushi49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623917,AVT24_gp50,AVT24_gp50,CPT_Sushi50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623918,AVT24_gp51,AVT24_gp51,CPT_Sushi51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623919,AVT24_gp52,AVT24_gp52,CPT_Sushi52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623920,AVT24_gp53,AVT24_gp53,CPT_Sushi53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623921,AVT24_gp54,AVT24_gp54,CPT_Sushi54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623922,AVT24_gp55,AVT24_gp55,CPT_Sushi55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623923,AVT24_gp56,AVT24_gp56,CPT_Sushi56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623924,AVT24_gp57,AVT24_gp57,CPT_Sushi57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623925,AVT24_gp58,AVT24_gp58,CPT_Sushi58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623926,AVT24_gp59,AVT24_gp59,CPT_Sushi59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623927,AVT24_gp60,AVT24_gp60,CPT_Sushi60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623928,AVT24_gp61,AVT24_gp61,CPT_Sushi61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623929,AVT24_gp62,AVT24_gp62,CPT_Sushi62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623930,AVT24_gp63,AVT24_gp63,CPT_Sushi63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623931,AVT24_gp64,AVT24_gp64,CPT_Sushi64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623932,AVT24_gp65,AVT24_gp65,CPT_Sushi65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623933,AVT24_gp66,AVT24_gp66,CPT_Sushi66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623934,AVT24_gp67,AVT24_gp67,CPT_Sushi67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623935,AVT24_gp68,AVT24_gp68,CPT_Sushi68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623936,AVT24_gp69,AVT24_gp69,CPT_Sushi69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623937,AVT24_gp70,AVT24_gp70,CPT_Sushi70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623938,AVT24_gp71,AVT24_gp71,CPT_Sushi71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623939,AVT24_gp72,AVT24_gp72,CPT_Sushi72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623940,AVT24_gp73,AVT24_gp73,CPT_Sushi73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623941,AVT24_gp74,AVT24_gp74,CPT_Sushi74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623942,AVT24_gp75,AVT24_gp75,CPT_Sushi75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623943,AVT24_gp76,AVT24_gp76,CPT_Sushi76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623944,AVT24_gp01,AVT24_gp01,CPT_Sushi1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210406,-
1675609,26680889,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
