#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2721760,55630415,HWD31_gp83,HWD31_gp83,SSEM1_gp83,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201222,-
2721760,55630441,HWD31_gp33,HWD31_gp33,SSEM1_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630442,HWD31_gp96,HWD31_gp96,SSEM1_gp96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630443,HWD31_gp61,HWD31_gp61,SSEM1_gp61,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210327,-
2721760,55630444,HWD31_gp79,HWD31_gp79,SSEM1_gp79,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210327,-
2721760,55630445,HWD31_gp73,HWD31_gp73,SSEM1_gp73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630446,HWD31_gp82,HWD31_gp82,SSEM1_gp82,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20210327,-
2721760,55630447,HWD31_gp81,HWD31_gp81,SSEM1_gp81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630448,HWD31_gp64,HWD31_gp64,SSEM1_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630449,HWD31_gp21,HWD31_gp21,SSEM1_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630450,HWD31_gp76,HWD31_gp76,SSEM1_gp76,-,-,-,putative head-tail adaptor,protein-coding,-,-,-,putative head-tail adaptor,20210327,-
2721760,55630451,HWD31_gp30,HWD31_gp30,SSEM1_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630452,HWD31_gp41,HWD31_gp41,SSEM1_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630453,HWD31_gp66,HWD31_gp66,SSEM1_gp66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630454,HWD31_gp47,HWD31_gp47,SSEM1_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630455,HWD31_gp95,HWD31_gp95,SSEM1_gp95,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210327,-
2721760,55630456,HWD31_gp77,HWD31_gp77,SSEM1_gp77,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201222,-
2721760,55630457,HWD31_gp20,HWD31_gp20,SSEM1_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630458,HWD31_gp26,HWD31_gp26,SSEM1_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630459,HWD31_gp86,HWD31_gp86,SSEM1_gp86,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210327,-
2721760,55630460,HWD31_gp78,HWD31_gp78,SSEM1_gp78,-,-,-,putative tail completion protein,protein-coding,-,-,-,putative tail completion protein,20201222,-
2721760,55630461,HWD31_gp88,HWD31_gp88,SSEM1_gp88,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210327,-
2721760,55630462,HWD31_gp25,HWD31_gp25,SSEM1_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630463,HWD31_gp67,HWD31_gp67,SSEM1_gp67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630464,HWD31_gp38,HWD31_gp38,SSEM1_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630465,HWD31_gp15,HWD31_gp15,SSEM1_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2721760,55630466,HWD31_gp19,HWD31_gp19,SSEM1_gp19,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210327,-
2721760,55630467,HWD31_gp37,HWD31_gp37,SSEM1_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630468,HWD31_gp16,HWD31_gp16,SSEM1_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630469,HWD31_gp08,HWD31_gp08,SSEM1_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630470,HWD31_gp29,HWD31_gp29,SSEM1_gp29,-,-,-,L-alanyl-D-glutamate peptidase,protein-coding,-,-,-,L-alanyl-D-glutamate peptidase,20210327,-
2721760,55630471,HWD31_gp34,HWD31_gp34,SSEM1_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630472,HWD31_gp31,HWD31_gp31,SSEM1_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630473,HWD31_gp39,HWD31_gp39,SSEM1_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630474,HWD31_gp45,HWD31_gp45,SSEM1_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630475,HWD31_gp74,HWD31_gp74,SSEM1_gp74,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210327,-
2721760,55630476,HWD31_gp32,HWD31_gp32,SSEM1_gp32,-,-,-,putative antirestriction protein,protein-coding,-,-,-,putative antirestriction protein,20210327,-
2721760,55630477,HWD31_gp65,HWD31_gp65,SSEM1_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630478,HWD31_gp13,HWD31_gp13,SSEM1_gp13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630479,HWD31_gp44,HWD31_gp44,SSEM1_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630480,HWD31_gp58,HWD31_gp58,SSEM1_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630481,HWD31_gp11,HWD31_gp11,SSEM1_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630482,HWD31_gp27,HWD31_gp27,SSEM1_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630483,HWD31_gp43,HWD31_gp43,SSEM1_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630484,HWD31_gp28,HWD31_gp28,SSEM1_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630485,HWD31_gp14,HWD31_gp14,SSEM1_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630486,HWD31_gp53,HWD31_gp53,SSEM1_gp53,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210327,-
2721760,55630487,HWD31_gp09,HWD31_gp09,SSEM1_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630488,HWD31_gp07,HWD31_gp07,SSEM1_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630489,HWD31_gp18,HWD31_gp18,SSEM1_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2721760,55630490,HWD31_gp56,HWD31_gp56,SSEM1_gp56,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210327,-
2721760,55630491,HWD31_gp46,HWD31_gp46,SSEM1_gp46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630492,HWD31_gp17,HWD31_gp17,SSEM1_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630493,HWD31_gp68,HWD31_gp68,SSEM1_gp68,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
2721760,55630494,HWD31_gp70,HWD31_gp70,SSEM1_gp70,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210327,-
2721760,55630495,HWD31_gp05,HWD31_gp05,SSEM1_gp05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630496,HWD31_gp97,HWD31_gp97,SSEM1_gp97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630497,HWD31_gp12,HWD31_gp12,SSEM1_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630498,HWD31_gp24,HWD31_gp24,SSEM1_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630499,HWD31_gp51,HWD31_gp51,SSEM1_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630500,HWD31_gp36,HWD31_gp36,SSEM1_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630501,HWD31_gp42,HWD31_gp42,SSEM1_gp42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630502,HWD31_gp49,HWD31_gp49,SSEM1_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630503,HWD31_gp10,HWD31_gp10,SSEM1_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630504,HWD31_gp50,HWD31_gp50,SSEM1_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630505,HWD31_gp48,HWD31_gp48,SSEM1_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630506,HWD31_gp06,HWD31_gp06,SSEM1_gp06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630507,HWD31_gp04,HWD31_gp04,SSEM1_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630508,HWD31_gp35,HWD31_gp35,SSEM1_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630509,HWD31_gp03,HWD31_gp03,SSEM1_gp03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630510,HWD31_gp22,HWD31_gp22,SSEM1_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2721760,55630511,HWD31_gp01,HWD31_gp01,SSEM1_gp01,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210327,-
2721760,55636173,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
