#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182358,56214252,2,H3N90_gp02,PBI_TEAGAN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2182358,56214288,38,H3N90_gp38,PBI_TEAGAN_38,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2182358,56214289,39,H3N90_gp39,PBI_TEAGAN_39,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2182358,56214290,40,H3N90_gp40,PBI_TEAGAN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214291,41,H3N90_gp41,PBI_TEAGAN_41,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2182358,56214292,42,H3N90_gp42,PBI_TEAGAN_42,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210424,-
2182358,56214293,43,H3N90_gp43,PBI_TEAGAN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214294,44,H3N90_gp44,PBI_TEAGAN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214295,45,H3N90_gp45,PBI_TEAGAN_45,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20200912,-
2182358,56214296,46,H3N90_gp46,PBI_TEAGAN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214297,47,H3N90_gp47,PBI_TEAGAN_47,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20200729,-
2182358,56214298,48,H3N90_gp48,PBI_TEAGAN_48,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200729,-
2182358,56214299,49,H3N90_gp49,PBI_TEAGAN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214300,50,H3N90_gp50,PBI_TEAGAN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214301,51,H3N90_gp51,PBI_TEAGAN_51,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200912,-
2182358,56214302,52,H3N90_gp52,PBI_TEAGAN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214303,53,H3N90_gp53,PBI_TEAGAN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214304,54,H3N90_gp54,PBI_TEAGAN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214305,55,H3N90_gp55,PBI_TEAGAN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2182358,56214306,56,H3N90_gp56,PBI_TEAGAN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214307,57,H3N90_gp57,PBI_TEAGAN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214308,58,H3N90_gp58,PBI_TEAGAN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214309,59,H3N90_gp59,PBI_TEAGAN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2182358,56214310,60,H3N90_gp60,PBI_TEAGAN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214311,61,H3N90_gp61,PBI_TEAGAN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214312,62,H3N90_gp62,PBI_TEAGAN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214313,63,H3N90_gp63,PBI_TEAGAN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,56214314,1,H3N90_gp01,PBI_TEAGAN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182358,58119639,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200803,-
