#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444862,10327630,PRSM4_002,PRSM4_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
444862,10327689,PRSM4_062,PRSM4_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327690,PRSM4_063,PRSM4_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327691,PRSM4_064,PRSM4_064,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
444862,10327692,dam,PRSM4_065,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
444862,10327693,PRSM4_066,PRSM4_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327694,PRSM4_067,PRSM4_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327695,PRSM4_068,PRSM4_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327696,PRSM4_069,PRSM4_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327697,PRSM4_070,PRSM4_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327698,PRSM4_071,PRSM4_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327699,PRSM4_072,PRSM4_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327700,PRSM4_073,PRSM4_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327701,PRSM4_074,PRSM4_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327702,PRSM4_075,PRSM4_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327703,PRSM4_076,PRSM4_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327704,PRSM4_077,PRSM4_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327705,PRSM4_078,PRSM4_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327706,PRSM4_079,PRSM4_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327707,PRSM4_080,PRSM4_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327708,PRSM4_081,PRSM4_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327709,PRSM4_082,PRSM4_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327710,PRSM4_083,PRSM4_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327711,PRSM4_084,PRSM4_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327712,PRSM4_085,PRSM4_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327713,PRSM4_086,PRSM4_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327714,PRSM4_087,PRSM4_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327715,PRSM4_088,PRSM4_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327716,PRSM4_089,PRSM4_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327717,PRSM4_090,PRSM4_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327718,PRSM4_091,PRSM4_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327719,PRSM4_092,PRSM4_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327720,PRSM4_093,PRSM4_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327721,PRSM4_094,PRSM4_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327722,PRSM4_095,PRSM4_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327723,PRSM4_096,PRSM4_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327724,PRSM4_097,PRSM4_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327725,PRSM4_098,PRSM4_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327726,PRSM4_099,PRSM4_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327727,PRSM4_100,PRSM4_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327728,PRSM4_101,PRSM4_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327729,PRSM4_102,PRSM4_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327730,PRSM4_103,PRSM4_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327731,gp25,PRSM4_104,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20210129,-
444862,10327732,gp6,PRSM4_105,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20210129,-
444862,10327733,PRSM4_106,PRSM4_106,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
444862,10327734,gp9,PRSM4_107,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210129,-
444862,10327735,PRSM4_108,PRSM4_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327736,gp8,PRSM4_109,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
444862,10327737,PRSM4_110,PRSM4_110,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210129,-
444862,10327738,PRSM4_111,PRSM4_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327739,PRSM4_112,PRSM4_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327740,PRSM4_113,PRSM4_113,-,-,-,-,YadA domain-containing structural protein,protein-coding,-,-,-,YadA domain-containing structural protein,20200909,-
444862,10327741,gp14,PRSM4_115,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
444862,10327742,gp15,PRSM4_116,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20200909,-
444862,10327743,gp16,PRSM4_117,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200909,-
444862,10327744,PRSM4_118,PRSM4_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327745,PRSM4_119,PRSM4_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327746,PRSM4_120,PRSM4_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327747,PRSM4_121,PRSM4_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327748,PRSM4_122,PRSM4_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327749,PRSM4_123,PRSM4_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327750,PRSM4_124,PRSM4_124,-,-,-,-,plastoquinol terminal oxidase,protein-coding,-,-,-,plastoquinol terminal oxidase,20210129,-
444862,10327751,PRSM4_125,PRSM4_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327752,PRSM4_126,PRSM4_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327753,PRSM4_128,PRSM4_128,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444862,10327754,PRSM4_129,PRSM4_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327755,PRSM4_130,PRSM4_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327756,pcyA,PRSM4_131,-,-,-,-,ferredoxin oxidoreductase,protein-coding,-,-,-,ferredoxin oxidoreductase,20200909,-
444862,10327757,PRSM4_132,PRSM4_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327758,gp17,PRSM4_133,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200909,-
444862,10327759,gp18,PRSM4_134,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200909,-
444862,10327760,gp19,PRSM4_135,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200909,-
444862,10327761,gp20,PRSM4_136,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200909,-
444862,10327762,PRSM4_137,PRSM4_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327763,gp21,PRSM4_138,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200909,-
444862,10327764,gp22,PRSM4_139,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20200909,-
444862,10327765,gp23,PRSM4_140,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20210129,-
444862,10327766,PRSM4_141,PRSM4_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327767,PRSM4_142,PRSM4_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327768,PRSM4_143,PRSM4_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327769,gp3,PRSM4_144,-,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,20200909,-
444862,10327770,PRSM4_145,PRSM4_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327771,uvsY,PRSM4_146,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20210129,-
444862,10327772,PRSM4_147,PRSM4_147,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20210129,-
444862,10327773,uvsW,PRSM4_148,-,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20200909,-
444862,10327774,PRSM4_149,PRSM4_149,-,-,-,-,methylamine utilization protein,protein-coding,-,-,-,methylamine utilization protein,20210129,-
444862,10327775,gp55,PRSM4_150,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200909,-
444862,10327776,gp47,PRSM4_151,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
444862,10327777,PRSM4_152,PRSM4_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327778,gp46,PRSM4_153,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210129,-
444862,10327779,PRSM4_154,PRSM4_154,-,-,-,-,Rnf-Nqr,protein-coding,-,-,-,Rnf-Nqr,20200909,-
444862,10327780,PRSM4_155,PRSM4_155,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200909,-
444862,10327781,PRSM4_156,PRSM4_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327782,cobS,PRSM4_157,-,-,-,-,putative cobalt chelatase subunit CobS,protein-coding,-,-,-,putative cobalt chelatase subunit CobS,20210129,-
444862,10327783,PRSM4_158,PRSM4_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
444862,10327784,gp45,PRSM4_159,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210129,-
444862,10327785,PRSM4_160,PRSM4_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327786,PRSM4_161,PRSM4_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327787,PRSM4_162,PRSM4_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327788,gp44,PRSM4_163,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
444862,10327789,denV,PRSM4_164,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
444862,10327790,PRSM4_165,PRSM4_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327791,dam,PRSM4_166,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
444862,10327792,gp62,PRSM4_167,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210129,-
444862,10327793,regA,PRSM4_168,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200909,-
444862,10327794,PRSM4_169,PRSM4_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327795,PRSM4_170,PRSM4_170,-,-,-,-,plasmid stability protein,protein-coding,-,-,-,plasmid stability protein,20200909,-
444862,10327796,PRSM4_171,PRSM4_171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327797,PRSM4_172,PRSM4_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327798,PRSM4_173,PRSM4_173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327799,PRSM4_174,PRSM4_174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327800,PRSM4_176,PRSM4_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327801,PRSM4_175,PRSM4_175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327802,hsp20,PRSM4_177,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200909,-
444862,10327803,pstS,PRSM4_178,-,-,-,-,phosphate transporter subunit,protein-coding,-,-,-,phosphate transporter subunit,20200909,-
444862,10327804,PRSM4_179,PRSM4_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327805,PRSM4_180,PRSM4_180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327806,gp43,PRSM4_181,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
444862,10327807,PRSM4_182,PRSM4_182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327808,uvsX,PRSM4_183,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20200909,-
444862,10327809,PRSM4_184,PRSM4_184,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20210129,-
444862,10327810,gp41,PRSM4_185,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20200909,-
444862,10327811,mazG,PRSM4_186,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200909,-
444862,10327812,PRSM4_187,PRSM4_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327813,PRSM4_188,PRSM4_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327814,PRSM4_189,PRSM4_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327815,PRSM4_190,PRSM4_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327816,PRSM4_191,PRSM4_191,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20210129,-
444862,10327817,PRSM4_192,PRSM4_192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327818,PRSM4_193,PRSM4_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327819,PRSM4_194,PRSM4_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327820,PRSM4_195,PRSM4_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327821,PRSM4_196,PRSM4_196,-,-,-,-,S-layer domain protein,protein-coding,-,-,-,S-layer domain protein,20200909,-
444862,10327822,PRSM4_197,PRSM4_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327823,PRSM4_198,PRSM4_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327824,PRSM4_199,PRSM4_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327825,PRSM4_200,PRSM4_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327826,gp61,PRSM4_201,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200909,-
444862,10327827,nrdA,PRSM4_202,-,-,-,-,ribonucleotide reductase class Ia alpha subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia alpha subunit,20200909,-
444862,10327828,nrdB,PRSM4_203,-,-,-,-,ribonucleotide reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia beta subunit,20210129,-
444862,10327829,PRSM4_204,PRSM4_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327830,PRSM4_205,PRSM4_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327831,PRSM4_206,PRSM4_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327832,PRSM4_207,PRSM4_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327833,PRSM4_208,PRSM4_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327834,talC,PRSM4_209,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20200909,-
444862,10327835,PRSM4_210,PRSM4_210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
444862,10327836,PRSM4_211,PRSM4_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
