#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204533,14515999,G380_gp174,G380_gp174,-,-,-,-,putative Pectin lyase-like protein,protein-coding,-,-,-,putative Pectin lyase-like protein,20200909,-
1204533,14516020,G380_gp187,G380_gp187,-,-,-,-,putative LIM-type zinc finger domain containing protein,protein-coding,-,-,-,putative LIM-type zinc finger domain containing protein,20200909,-
1204533,14516021,G380_gp186,G380_gp186,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200909,-
1204533,14516022,G380_gp185,G380_gp185,-,-,-,-,putative adenylate kinase-like protein,protein-coding,-,-,-,putative adenylate kinase-like protein,20200909,-
1204533,14516023,G380_gp184,G380_gp184,-,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20200909,-
1204533,14516024,G380_gp183,G380_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516025,G380_gp182,G380_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516026,G380_gp181,G380_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516027,G380_gp180,G380_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516028,G380_gp179,G380_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516029,G380_gp178,G380_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516030,G380_gp177,G380_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516031,G380_gt002,G380_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204533,14516032,G380_gp175,G380_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516033,G380_gt001,G380_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204533,14516034,G380_gt003,G380_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204533,14516035,G380_gp172,G380_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14516036,G380_gp171,G380_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14516037,G380_gp170,G380_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516038,G380_gp169,G380_gp169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14516039,G380_gp168,G380_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14516040,G380_gp167,G380_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14516041,G380_gp166,G380_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516042,G380_gp165,G380_gp165,-,-,-,-,putative DNA-cytosine methyltransferase,protein-coding,-,-,-,putative DNA-cytosine methyltransferase,20200909,-
1204533,14516043,G380_gp164,G380_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516044,G380_gp163,G380_gp163,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200909,-
1204533,14516045,G380_gp162,G380_gp162,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200909,-
1204533,14516046,G380_gp161,G380_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516047,G380_gp160,G380_gp160,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200909,-
1204533,14516048,G380_gp159,G380_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516049,G380_gp158,G380_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516050,G380_gp157,G380_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516051,G380_gp156,G380_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516052,G380_gp155,G380_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516053,G380_gp154,G380_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516054,G380_gp153,G380_gp153,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200909,-
1204533,14516055,G380_gp152,G380_gp152,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200909,-
1204533,14516056,G380_gp151,G380_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516057,G380_gp150,G380_gp150,-,-,-,-,"putative cell wall-binding, peptidase-related domain protein",protein-coding,-,-,-,"putative cell wall-binding, peptidase-related domain protein",20200909,-
1204533,14516058,G380_gp149,G380_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516059,G380_gp148,G380_gp148,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200909,-
1204533,14516060,G380_gp147,G380_gp147,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20200909,-
1204533,14516061,G380_gp146,G380_gp146,-,-,-,-,putative tail lysin 2,protein-coding,-,-,-,putative tail lysin 2,20200909,-
1204533,14516062,G380_gp145,G380_gp145,-,-,-,-,putative tail lysin 1,protein-coding,-,-,-,putative tail lysin 1,20200909,-
1204533,14516063,G380_gp144,G380_gp144,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200909,-
1204533,14516064,G380_gp143,G380_gp143,-,-,-,-,putative minor structural protein 1,protein-coding,-,-,-,putative minor structural protein 1,20200909,-
1204533,14516065,G380_gp142,G380_gp142,-,-,-,-,putative minor structural protein 2,protein-coding,-,-,-,putative minor structural protein 2,20200909,-
1204533,14516066,G380_gp141,G380_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516067,G380_gp140,G380_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516068,G380_gp139,G380_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516069,G380_gp138,G380_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516070,G380_gp137,G380_gp137,-,-,-,-,putative baseplate protein W,protein-coding,-,-,-,putative baseplate protein W,20200909,-
1204533,14516071,G380_gp136,G380_gp136,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20200909,-
1204533,14516072,G380_gp135,G380_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516073,G380_gp134,G380_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516074,G380_gp133,G380_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516075,G380_gp132,G380_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516076,G380_gp131,G380_gp131,-,-,-,-,putative intein containing helicase/endonucleaseprotein,protein-coding,-,-,-,putative intein containing helicase/endonucleaseprotein,20200909,-
1204533,14516077,G380_gp130,G380_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516078,G380_gp129,G380_gp129,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200909,-
1204533,14516079,G380_gp128,G380_gp128,-,-,-,-,helicase DnaB-like,protein-coding,-,-,-,helicase DnaB-like,20200909,-
1204533,14516080,G380_gp127,G380_gp127,-,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20200909,-
1204533,14516081,G380_gp126,G380_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516082,G380_gp125,G380_gp125,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200909,-
1204533,14516083,G380_gp124,G380_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516084,G380_gp123,G380_gp123,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200909,-
1204533,14516085,G380_gp122,G380_gp122,-,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,putative deoxyuridine 5'-triphosphate nucleotidohydrolase,20200909,-
1204533,14516086,G380_gp121,G380_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516087,G380_gp120,G380_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516088,G380_gp119,G380_gp119,-,-,-,-,putative resolvase,protein-coding,-,-,-,putative resolvase,20200909,-
1204533,14516089,G380_gp118,G380_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516090,G380_gp117,G380_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516091,G380_gp116,G380_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516092,G380_gp115,G380_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516093,G380_gp114,G380_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516094,G380_gp113,G380_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516095,G380_gp112,G380_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516096,G380_gp111,G380_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516097,G380_gp110,G380_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516098,G380_gp109,G380_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516099,G380_gp108,G380_gp108,-,-,-,-,"putative ribonucleotide reductase class Ib, NrdI",protein-coding,-,-,-,"putative ribonucleotide reductase class Ib, NrdI",20200909,-
1204533,14516100,G380_gp107,G380_gp107,-,-,-,-,"putative ribonucleotide reductase of class Ib (aerobic), subunit alpha 1",protein-coding,-,-,-,"putative ribonucleotide reductase of class Ib (aerobic), subunit alpha 1",20200909,-
1204533,14516101,G380_gp106,G380_gp106,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
1204533,14516102,G380_gp105,G380_gp105,-,-,-,-,"putative ribonucleotide reductase of class Ib (aerobic), subunit alpha 2",protein-coding,-,-,-,"putative ribonucleotide reductase of class Ib (aerobic), subunit alpha 2",20200909,-
1204533,14516103,G380_gp104,G380_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516104,G380_gp103,G380_gp103,-,-,-,-,"putative ribonucleotide reductase of class Ib (aerobic), subunit beta",protein-coding,-,-,-,"putative ribonucleotide reductase of class Ib (aerobic), subunit beta",20200909,-
1204533,14516105,G380_gp102,G380_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516106,G380_gp101,G380_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516107,G380_gp100,G380_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516108,G380_gp099,G380_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516109,G380_gp098,G380_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516110,G380_gp097,G380_gp097,-,-,-,-,putative metallo-dependent phosphatase 1,protein-coding,-,-,-,putative metallo-dependent phosphatase 1,20200909,-
1204533,14516111,G380_gp096,G380_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516112,G380_gp095,G380_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516113,G380_gp094,G380_gp094,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200909,-
1204533,14516114,G380_gp093,G380_gp093,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200909,-
1204533,14516115,G380_gp092,G380_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516116,G380_gp091,G380_gp091,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200909,-
1204533,14516117,G380_gp090,G380_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516118,G380_gp089,G380_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516119,G380_gp088,G380_gp088,-,-,-,-,putative DNA recombination and repair protein RecA,protein-coding,-,-,-,putative DNA recombination and repair protein RecA,20200909,-
1204533,14516120,G380_gp087,G380_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516121,G380_gp086,G380_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516122,G380_gp085,G380_gp085,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200909,-
1204533,14516123,G380_gp084,G380_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516124,G380_gp083,G380_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516125,G380_gp082,G380_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516126,G380_gp081,G380_gp081,-,-,-,-,putative metallo-dependent phosphatase 2,protein-coding,-,-,-,putative metallo-dependent phosphatase 2,20200909,-
1204533,14516127,G380_gp080,G380_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516128,G380_gp079,G380_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516129,G380_gp078,G380_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516130,G380_gp077,G380_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516131,G380_gp076,G380_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516132,G380_gp075,G380_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516133,G380_gp074,G380_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516134,G380_gp073,G380_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516135,G380_gp072,G380_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516136,G380_gp071,G380_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516137,G380_gp070,G380_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516138,G380_gp069,G380_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516139,G380_gp068,G380_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516140,G380_gp067,G380_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516141,G380_gp066,G380_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516142,G380_gp065,G380_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516143,G380_gp064,G380_gp064,-,-,-,-,putative RNA polymerase sigma factor SigF 1,protein-coding,-,-,-,putative RNA polymerase sigma factor SigF 1,20200909,-
1204533,14516144,G380_gp063,G380_gp063,-,-,-,-,putative RNA polymerase sigma factor SigF 2,protein-coding,-,-,-,putative RNA polymerase sigma factor SigF 2,20200909,-
1204533,14516145,G380_gp062,G380_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516146,G380_gp061,G380_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516147,G380_gp060,G380_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516148,G380_gp059,G380_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516149,G380_gp058,G380_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516150,G380_gp057,G380_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516151,G380_gp056,G380_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516152,G380_gp055,G380_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516153,G380_gp054,G380_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516154,G380_gp053,G380_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516155,G380_gp052,G380_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516156,G380_gp051,G380_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516157,G380_gp050,G380_gp050,-,-,-,-,putative peptidase M23,protein-coding,-,-,-,putative peptidase M23,20200909,-
1204533,14516158,G380_gp049,G380_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516159,G380_gp048,G380_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516160,G380_gp047,G380_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516161,G380_gp046,G380_gp046,-,-,-,-,putative DNA translocase,protein-coding,-,-,-,putative DNA translocase,20200909,-
1204533,14516162,G380_gp045,G380_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516163,G380_gp044,G380_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516164,G380_gp043,G380_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516165,G380_gp042,G380_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516166,G380_gp041,G380_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516167,G380_gp040,G380_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516168,G380_gp039,G380_gp039,-,-,-,-,putative XRE family transcriptional regulator,protein-coding,-,-,-,putative XRE family transcriptional regulator,20200909,-
1204533,14516169,G380_gp038,G380_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516170,G380_gp037,G380_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516171,G380_gp036,G380_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516172,G380_gp035,G380_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516173,G380_gp034,G380_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516174,G380_gp033,G380_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516175,G380_gp032,G380_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516176,G380_gp031,G380_gp031,-,-,-,-,putative hexapeptide repeat containing transferase like protein,protein-coding,-,-,-,putative hexapeptide repeat containing transferase like protein,20200909,-
1204533,14516177,G380_gp030,G380_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516178,G380_gp029,G380_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516179,G380_gp028,G380_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516180,G380_gp027,G380_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516181,G380_gp026,G380_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516182,G380_gp025,G380_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516183,G380_gp024,G380_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516184,G380_gp023,G380_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516185,G380_gp022,G380_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516186,G380_gp021,G380_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516187,G380_gp020,G380_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516188,G380_gp019,G380_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516189,G380_gp018,G380_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516190,G380_gp017,G380_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516191,G380_gp016,G380_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516192,G380_gp015,G380_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516193,G380_gp014,G380_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516194,G380_gp013,G380_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516195,G380_gp012,G380_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516196,G380_gp011,G380_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516197,G380_gp010,G380_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516198,G380_gp009,G380_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516199,G380_gp008,G380_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516200,G380_gp007,G380_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516201,G380_gp006,G380_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14516202,G380_gp005,G380_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204533,14516203,G380_gp004,G380_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
