#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1739967,26518027,SEA_CABRINIANS_2,SEA_CABRINIANS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1739967,26518047,SEA_CABRINIANS_22,SEA_CABRINIANS_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518048,SEA_CABRINIANS_23,SEA_CABRINIANS_23,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739967,26518049,SEA_CABRINIANS_24,SEA_CABRINIANS_24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739967,26518050,SEA_CABRINIANS_25,SEA_CABRINIANS_25,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1739967,26518051,SEA_CABRINIANS_26,SEA_CABRINIANS_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518052,SEA_CABRINIANS_27,SEA_CABRINIANS_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518053,SEA_CABRINIANS_28,SEA_CABRINIANS_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518054,SEA_CABRINIANS_29,SEA_CABRINIANS_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518055,SEA_CABRINIANS_30,SEA_CABRINIANS_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1739967,26518056,SEA_CABRINIANS_31,SEA_CABRINIANS_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1739967,26518057,SEA_CABRINIANS_32,SEA_CABRINIANS_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1739967,26518058,SEA_CABRINIANS_33,SEA_CABRINIANS_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518059,SEA_CABRINIANS_34,SEA_CABRINIANS_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518060,SEA_CABRINIANS_35,SEA_CABRINIANS_35,-,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210129,-
1739967,26518061,SEA_CABRINIANS_36,SEA_CABRINIANS_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518062,SEA_CABRINIANS_37,SEA_CABRINIANS_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518063,SEA_CABRINIANS_38,SEA_CABRINIANS_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518064,SEA_CABRINIANS_39,SEA_CABRINIANS_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518065,SEA_CABRINIANS_40,SEA_CABRINIANS_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518066,SEA_CABRINIANS_41,SEA_CABRINIANS_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518067,SEA_CABRINIANS_42,SEA_CABRINIANS_42,-,-,-,-,transposase,protein-coding,-,-,-,transposase,20201221,-
1739967,26518068,SEA_CABRINIANS_43,SEA_CABRINIANS_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518069,SEA_CABRINIANS_44,SEA_CABRINIANS_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518070,SEA_CABRINIANS_45,SEA_CABRINIANS_45,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
1739967,26518071,SEA_CABRINIANS_46,SEA_CABRINIANS_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518072,SEA_CABRINIANS_47,SEA_CABRINIANS_47,-,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20210417,-
1739967,26518073,SEA_CABRINIANS_48,SEA_CABRINIANS_48,-,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20201221,-
1739967,26518074,SEA_CABRINIANS_49,SEA_CABRINIANS_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518075,SEA_CABRINIANS_50,SEA_CABRINIANS_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518076,SEA_CABRINIANS_51,SEA_CABRINIANS_51,-,-,-,-,Xis,protein-coding,-,-,-,Xis,20210212,-
1739967,26518077,SEA_CABRINIANS_52,SEA_CABRINIANS_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518078,SEA_CABRINIANS_53,SEA_CABRINIANS_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518079,SEA_CABRINIANS_54,SEA_CABRINIANS_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518080,SEA_CABRINIANS_55,SEA_CABRINIANS_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518081,SEA_CABRINIANS_56,SEA_CABRINIANS_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518082,SEA_CABRINIANS_57,SEA_CABRINIANS_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1739967,26518083,SEA_CABRINIANS_58,SEA_CABRINIANS_58,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1739967,26518084,SEA_CABRINIANS_59,SEA_CABRINIANS_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518085,SEA_CABRINIANS_60,SEA_CABRINIANS_60,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210417,-
1739967,26518086,SEA_CABRINIANS_61,SEA_CABRINIANS_61,-,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210406,-
1739967,26518087,SEA_CABRINIANS_62,SEA_CABRINIANS_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518088,SEA_CABRINIANS_63,SEA_CABRINIANS_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518089,SEA_CABRINIANS_64,SEA_CABRINIANS_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518090,SEA_CABRINIANS_65,SEA_CABRINIANS_65,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210406,-
1739967,26518091,SEA_CABRINIANS_66,SEA_CABRINIANS_66,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1739967,26518092,SEA_CABRINIANS_67,SEA_CABRINIANS_67,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210417,-
1739967,26518093,SEA_CABRINIANS_68,SEA_CABRINIANS_68,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
1739967,26518094,SEA_CABRINIANS_69,SEA_CABRINIANS_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518095,SEA_CABRINIANS_70,SEA_CABRINIANS_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518096,SEA_CABRINIANS_71,SEA_CABRINIANS_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518097,SEA_CABRINIANS_72,SEA_CABRINIANS_72,-,-,-,-,GIY-YIG nuclease,protein-coding,-,-,-,GIY-YIG nuclease,20201221,-
1739967,26518098,SEA_CABRINIANS_73,SEA_CABRINIANS_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518099,SEA_CABRINIANS_74,SEA_CABRINIANS_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518100,SEA_CABRINIANS_75,SEA_CABRINIANS_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1739967,26518101,SEA_CABRINIANS_76,SEA_CABRINIANS_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518102,SEA_CABRINIANS_77,SEA_CABRINIANS_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518103,SEA_CABRINIANS_78,SEA_CABRINIANS_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518104,SEA_CABRINIANS_79,SEA_CABRINIANS_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518105,SEA_CABRINIANS_80,SEA_CABRINIANS_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518106,SEA_CABRINIANS_81,SEA_CABRINIANS_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518107,SEA_CABRINIANS_82,SEA_CABRINIANS_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518108,SEA_CABRINIANS_83,SEA_CABRINIANS_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518109,SEA_CABRINIANS_84,SEA_CABRINIANS_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518110,SEA_CABRINIANS_85,SEA_CABRINIANS_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518111,SEA_CABRINIANS_86,SEA_CABRINIANS_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1739967,26518112,SEA_CABRINIANS_87,SEA_CABRINIANS_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518113,SEA_CABRINIANS_88,SEA_CABRINIANS_88,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210123,-
1739967,26518114,SEA_CABRINIANS_89,SEA_CABRINIANS_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518115,SEA_CABRINIANS_90,SEA_CABRINIANS_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518116,SEA_CABRINIANS_91,SEA_CABRINIANS_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518117,SEA_CABRINIANS_92,SEA_CABRINIANS_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518118,SEA_CABRINIANS_93,SEA_CABRINIANS_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518119,SEA_CABRINIANS_94,SEA_CABRINIANS_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518120,SEA_CABRINIANS_95,SEA_CABRINIANS_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518121,SEA_CABRINIANS_96,SEA_CABRINIANS_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518122,SEA_CABRINIANS_97,SEA_CABRINIANS_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518123,SEA_CABRINIANS_98,SEA_CABRINIANS_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518124,SEA_CABRINIANS_99,SEA_CABRINIANS_99,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1739967,26518125,SEA_CABRINIANS_100,SEA_CABRINIANS_100,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
1739967,26518126,SEA_CABRINIANS_101,SEA_CABRINIANS_101,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1739967,26518127,SEA_CABRINIANS_1,SEA_CABRINIANS_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1739967,26591661,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Cabrinians).,other,-,-,-,-,20200513,-
