#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772080,65130630,KNV47_gp92,KNV47_gp92,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2772080,65130666,KNV47_gp73,KNV47_gp73,-,-,-,-,outer capsid protein,protein-coding,-,-,-,outer capsid protein,20210608,-
2772080,65130667,KNV47_gp72,KNV47_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130668,KNV47_gp71,KNV47_gp71,-,-,-,-,sulfatase-like protein,protein-coding,-,-,-,sulfatase-like protein,20210608,-
2772080,65130669,KNV47_gp70,KNV47_gp70,-,-,-,-,reverse transcriptase,protein-coding,-,-,-,reverse transcriptase,20210608,-
2772080,65130670,KNV47_gp69,KNV47_gp69,-,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2772080,65130671,KNV47_gp68,KNV47_gp68,-,-,-,-,lysis regulatory protein-like protein,protein-coding,-,-,-,lysis regulatory protein-like protein,20210608,-
2772080,65130672,KNV47_gp67,KNV47_gp67,-,-,-,-,RNA polymerase sigma factor/ubiquitin-like protein,protein-coding,-,-,-,RNA polymerase sigma factor/ubiquitin-like protein,20210608,-
2772080,65130673,KNV47_gp66,KNV47_gp66,-,-,-,-,spike protein/glycoprotein,protein-coding,-,-,-,spike protein/glycoprotein,20210608,-
2772080,65130674,KNV47_gp65,KNV47_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130675,KNV47_gp64,KNV47_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130676,KNV47_gp63,KNV47_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130677,KNV47_gp62,KNV47_gp62,-,-,-,-,peptidoglycan-associated protein-like protein,protein-coding,-,-,-,peptidoglycan-associated protein-like protein,20210608,-
2772080,65130678,KNV47_gp61,KNV47_gp61,-,-,-,-,tail tubular protein,protein-coding,-,-,-,tail tubular protein,20210608,-
2772080,65130679,KNV47_gp60,KNV47_gp60,-,-,-,-,stabilization protein,protein-coding,-,-,-,stabilization protein,20210608,-
2772080,65130680,KNV47_gp59,KNV47_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130681,KNV47_gp58,KNV47_gp58,-,-,-,-,nuclear pore complex protein-like protein,protein-coding,-,-,-,nuclear pore complex protein-like protein,20210608,-
2772080,65130682,KNV47_gp57,KNV47_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130683,KNV47_gp56,KNV47_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130684,KNV47_gp55,KNV47_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130685,KNV47_gp54,KNV47_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130686,KNV47_gp53,KNV47_gp53,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2772080,65130687,KNV47_gp52,KNV47_gp52,-,-,-,-,DNA double-strand break repair protein,protein-coding,-,-,-,DNA double-strand break repair protein,20210608,-
2772080,65130688,KNV47_gp51,KNV47_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130689,KNV47_gp50,KNV47_gp50,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2772080,65130690,KNV47_gp49,KNV47_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130691,KNV47_gp48,KNV47_gp48,-,-,-,-,flagella-related protein H,protein-coding,-,-,-,flagella-related protein H,20210608,-
2772080,65130692,KNV47_gp47,KNV47_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130693,KNV47_gp46,KNV47_gp46,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2772080,65130694,KNV47_gp45,KNV47_gp45,-,-,-,-,segregation and condensation protein B,protein-coding,-,-,-,segregation and condensation protein B,20210608,-
2772080,65130695,KNV47_gp44,KNV47_gp44,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2772080,65130696,KNV47_gp43,KNV47_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130697,KNV47_gp42,KNV47_gp42,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2772080,65130698,KNV47_gt02,KNV47_gt02,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772080,65130699,KNV47_gp40,KNV47_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130700,KNV47_gp39,KNV47_gp39,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2772080,65130701,KNV47_gp38,KNV47_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130702,KNV47_gp37,KNV47_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130703,KNV47_gp36,KNV47_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130704,KNV47_gp35,KNV47_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130705,KNV47_gp34,KNV47_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130706,KNV47_gp33,KNV47_gp33,-,-,-,-,RNA polymerase sigma-W factor,protein-coding,-,-,-,RNA polymerase sigma-W factor,20210608,-
2772080,65130707,KNV47_gp32,KNV47_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130708,KNV47_gp31,KNV47_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130709,KNV47_gp30,KNV47_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130710,KNV47_gp29,KNV47_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130711,KNV47_gp28,KNV47_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130712,KNV47_gp27,KNV47_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130713,KNV47_gp26,KNV47_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130714,KNV47_gp25,KNV47_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130715,KNV47_gp24,KNV47_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130716,KNV47_gp23,KNV47_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130717,KNV47_gp22,KNV47_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130718,KNV47_gp21,KNV47_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130719,KNV47_gp20,KNV47_gp20,-,-,-,-,shock protein B,protein-coding,-,-,-,shock protein B,20210608,-
2772080,65130720,KNV47_gp19,KNV47_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130721,KNV47_gp18,KNV47_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130722,KNV47_gt03,KNV47_gt03,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772080,65130723,KNV47_gp16,KNV47_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65130724,KNV47_gp01,KNV47_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772080,65243551,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
