#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591030,55617570,HWC30_gp027,HWC30_gp027,LAh6_27,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210424,-
2591030,55617588,HWC30_gp124,HWC30_gp124,LAh6_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617589,HWC30_gp107,HWC30_gp107,LAh6_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617590,HWC30_gp040,HWC30_gp040,LAh6_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617591,HWC30_gp010,HWC30_gp010,LAh6_10,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20210424,-
2591030,55617592,HWC30_gp038,HWC30_gp038,LAh6_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617593,HWC30_gp113,HWC30_gp113,LAh6_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617594,HWC30_gp011,HWC30_gp011,LAh6_11,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210424,-
2591030,55617595,HWC30_gp120,HWC30_gp120,LAh6_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617596,HWC30_gp126,HWC30_gp126,LAh6_126,-,-,-,putative protein of unknown function DUF2828,protein-coding,-,-,-,putative protein of unknown function DUF2828,20210424,-
2591030,55617597,HWC30_gp044,HWC30_gp044,LAh6_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617598,HWC30_gp117,HWC30_gp117,LAh6_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617599,HWC30_gp019,HWC30_gp019,LAh6_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617600,HWC30_gp118,HWC30_gp118,LAh6_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617601,HWC30_gp112,HWC30_gp112,LAh6_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617602,HWC30_gp105,HWC30_gp105,LAh6_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591030,55617603,HWC30_gp114,HWC30_gp114,LAh6_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617604,HWC30_gp095,HWC30_gp095,LAh6_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617605,HWC30_gp024,HWC30_gp024,LAh6_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617606,HWC30_gp087,HWC30_gp087,LAh6_87,-,-,-,putative anaerobic ribonucleotide reductase subunit or ribonucleoside triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleotide reductase subunit or ribonucleoside triphosphate reductase,20200829,-
2591030,55617607,HWC30_gp156,HWC30_gp156,LAh6_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617608,HWC30_gp072,HWC30_gp072,LAh6_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617609,HWC30_gp047,HWC30_gp047,LAh6_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617610,HWC30_gp164,HWC30_gp164,LAh6_164,-,-,-,putative ABC transporter,protein-coding,-,-,-,putative ABC transporter,20200620,-
2591030,55617611,HWC30_gp146,HWC30_gp146,LAh6_146,-,-,-,putative RNA chaperone,protein-coding,-,-,-,putative RNA chaperone,20210424,-
2591030,55617612,HWC30_gp016,HWC30_gp016,LAh6_16,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
2591030,55617613,HWC30_gp130,HWC30_gp130,LAh6_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617614,HWC30_gp142,HWC30_gp142,LAh6_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617615,HWC30_gp111,HWC30_gp111,LAh6_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617616,HWC30_gp086,HWC30_gp086,LAh6_86,-,-,-,putative phosphate starvation-inducible protein,protein-coding,-,-,-,putative phosphate starvation-inducible protein,20210424,-
2591030,55617617,HWC30_gp030,HWC30_gp030,LAh6_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617618,HWC30_gp046,HWC30_gp046,LAh6_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617619,HWC30_gp031,HWC30_gp031,LAh6_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617620,HWC30_gp014,HWC30_gp014,LAh6_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617621,HWC30_gp092,HWC30_gp092,LAh6_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617622,HWC30_gp090,HWC30_gp090,LAh6_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591030,55617623,HWC30_gp139,HWC30_gp139,LAh6_139,-,-,-,putative two pore domain potassium channel family protein,protein-coding,-,-,-,putative two pore domain potassium channel family protein,20210424,-
2591030,55617624,HWC30_gp152,HWC30_gp152,LAh6_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617625,HWC30_gp158,HWC30_gp158,LAh6_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617626,HWC30_gp035,HWC30_gp035,LAh6_35,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210424,-
2591030,55617627,HWC30_gp099,HWC30_gp099,LAh6_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617628,HWC30_gp161,HWC30_gp161,LAh6_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617629,HWC30_gp133,HWC30_gp133,LAh6_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617630,HWC30_gp085,HWC30_gp085,LAh6_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617631,HWC30_gp064,HWC30_gp064,LAh6_64,-,-,-,putative superfamily II helicase,protein-coding,-,-,-,putative superfamily II helicase,20200829,-
2591030,55617632,HWC30_gp083,HWC30_gp083,LAh6_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617633,HWC30_gp036,HWC30_gp036,LAh6_36,-,-,-,putative ribonucleoside-diphosphate reductase alpha chain,protein-coding,-,-,-,putative ribonucleoside-diphosphate reductase alpha chain,20200829,-
2591030,55617634,HWC30_gp136,HWC30_gp136,LAh6_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617635,HWC30_gp143,HWC30_gp143,LAh6_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617636,HWC30_gp021,HWC30_gp021,LAh6_21,-,-,-,putative DNA injection protein,protein-coding,-,-,-,putative DNA injection protein,20200620,-
2591030,55617637,HWC30_gp025,HWC30_gp025,LAh6_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617638,HWC30_gp150,HWC30_gp150,LAh6_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617639,HWC30_gp051,HWC30_gp051,LAh6_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617640,HWC30_gp028,HWC30_gp028,LAh6_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617641,HWC30_gp155,HWC30_gp155,LAh6_155,-,-,-,putative coil containing protein,protein-coding,-,-,-,putative coil containing protein,20200620,-
2591030,55617642,HWC30_gp151,HWC30_gp151,LAh6_151,-,-,-,putative NUDIX domain-containing protein,protein-coding,-,-,-,putative NUDIX domain-containing protein,20210424,-
2591030,55617643,HWC30_gp149,HWC30_gp149,LAh6_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617644,HWC30_gp121,HWC30_gp121,LAh6_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617645,HWC30_gp116,HWC30_gp116,LAh6_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617646,HWC30_gp005,HWC30_gp005,LAh6_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617647,HWC30_gp013,HWC30_gp013,LAh6_13,-,-,-,putative tail needle knob,protein-coding,-,-,-,putative tail needle knob,20210424,-
2591030,55617648,HWC30_gp141,HWC30_gp141,LAh6_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617649,HWC30_gp140,HWC30_gp140,LAh6_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617650,HWC30_gp128,HWC30_gp128,LAh6_128,-,-,-,putative ATPase,protein-coding,-,-,-,putative ATPase,20200829,-
2591030,55617651,HWC30_gp098,HWC30_gp098,LAh6_98,-,-,-,putative calcineurin-like phosphoesterase,protein-coding,-,-,-,putative calcineurin-like phosphoesterase,20210424,-
2591030,55617652,HWC30_gp091,HWC30_gp091,LAh6_91,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210424,-
2591030,55617653,HWC30_gp069,HWC30_gp069,LAh6_69,-,-,-,putative DNA polymerase family A,protein-coding,-,-,-,putative DNA polymerase family A,20210424,-
2591030,55617654,HWC30_gp033,HWC30_gp033,LAh6_33,-,-,-,putative thioredoxin-like protein,protein-coding,-,-,-,putative thioredoxin-like protein,20210424,-
2591030,55617655,HWC30_gp154,HWC30_gp154,LAh6_154,-,-,-,putative cell wall hydrolase,protein-coding,-,-,-,putative cell wall hydrolase,20210424,-
2591030,55617656,HWC30_gp123,HWC30_gp123,LAh6_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617657,HWC30_gp084,HWC30_gp084,LAh6_84,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase-activating protein,protein-coding,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase-activating protein,20210424,-
2591030,55617658,HWC30_gp115,HWC30_gp115,LAh6_115,-,-,-,putative gamma-glutamylcyclotransferase,protein-coding,-,-,-,putative gamma-glutamylcyclotransferase,20210424,-
2591030,55617659,HWC30_gp077,HWC30_gp077,LAh6_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617660,HWC30_gp018,HWC30_gp018,LAh6_18,-,-,-,putative baseplate wedge subunit and tail pin,protein-coding,-,-,-,putative baseplate wedge subunit and tail pin,20200829,-
2591030,55617661,HWC30_gp078,HWC30_gp078,LAh6_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617662,HWC30_gp096,HWC30_gp096,LAh6_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591030,55617663,HWC30_gp061,HWC30_gp061,LAh6_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617664,HWC30_gp148,HWC30_gp148,LAh6_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617665,HWC30_gp147,HWC30_gp147,LAh6_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617666,HWC30_gp157,HWC30_gp157,LAh6_157,-,-,-,putative DNAJC5B isoform 4,protein-coding,-,-,-,putative DNAJC5B isoform 4,20201222,-
2591030,55617667,HWC30_gp058,HWC30_gp058,LAh6_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617668,HWC30_gp073,HWC30_gp073,LAh6_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617669,HWC30_gp080,HWC30_gp080,LAh6_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617670,HWC30_gp137,HWC30_gp137,LAh6_137,-,-,-,putative glutathionylspermidine synthetase,protein-coding,-,-,-,putative glutathionylspermidine synthetase,20210424,-
2591030,55617671,HWC30_gp082,HWC30_gp082,LAh6_82,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20210424,-
2591030,55617672,HWC30_gp102,HWC30_gp102,LAh6_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617673,HWC30_gp071,HWC30_gp071,LAh6_71,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210424,-
2591030,55617674,HWC30_gp103,HWC30_gp103,LAh6_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617675,HWC30_gp079,HWC30_gp079,LAh6_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617676,HWC30_gp049,HWC30_gp049,LAh6_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617677,HWC30_gp053,HWC30_gp053,LAh6_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617678,HWC30_gp144,HWC30_gp144,LAh6_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617679,HWC30_gp068,HWC30_gp068,LAh6_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617680,HWC30_gp043,HWC30_gp043,LAh6_43,-,-,-,putative 5'-3' exonuclease,protein-coding,-,-,-,putative 5'-3' exonuclease,20200829,-
2591030,55617681,HWC30_gp160,HWC30_gp160,LAh6_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617682,HWC30_gp122,HWC30_gp122,LAh6_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617683,HWC30_gp093,HWC30_gp093,LAh6_93,-,-,-,putative DNA primase/helicase,protein-coding,-,-,-,putative DNA primase/helicase,20210424,-
2591030,55617684,HWC30_gp034,HWC30_gp034,LAh6_34,-,-,-,putative DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,putative DNA N-6-adenine-methyltransferase,20210424,-
2591030,55617685,HWC30_gp074,HWC30_gp074,LAh6_74,-,-,-,putative DUF1738 domain-containing protein,protein-coding,-,-,-,putative DUF1738 domain-containing protein,20200620,-
2591030,55617686,HWC30_gp009,HWC30_gp009,LAh6_9,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20200620,-
2591030,55617687,HWC30_gp012,HWC30_gp012,LAh6_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617688,HWC30_gp108,HWC30_gp108,LAh6_108,-,-,-,putative glutamine amidotransferase,protein-coding,-,-,-,putative glutamine amidotransferase,20210424,-
2591030,55617689,HWC30_gp045,HWC30_gp045,LAh6_45,-,-,-,putative RNA polymerase ECF sigma factor,protein-coding,-,-,-,putative RNA polymerase ECF sigma factor,20200829,-
2591030,55617690,HWC30_gp106,HWC30_gp106,LAh6_106,-,-,-,putative ATP-grasp enzyme,protein-coding,-,-,-,putative ATP-grasp enzyme,20210424,-
2591030,55617691,HWC30_gp159,HWC30_gp159,LAh6_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617692,HWC30_gp104,HWC30_gp104,LAh6_104,-,-,-,putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose-phosphate pyrophosphokinase,20200829,-
2591030,55617693,HWC30_gp052,HWC30_gp052,LAh6_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617694,HWC30_gp132,HWC30_gp132,LAh6_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617695,HWC30_gp015,HWC30_gp015,LAh6_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617696,HWC30_gp076,HWC30_gp076,LAh6_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617697,HWC30_gp042,HWC30_gp042,LAh6_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617698,HWC30_gp131,HWC30_gp131,LAh6_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617699,HWC30_gp089,HWC30_gp089,LAh6_89,-,-,-,putative dCTP deaminase,protein-coding,-,-,-,putative dCTP deaminase,20210424,-
2591030,55617700,HWC30_gp075,HWC30_gp075,LAh6_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617701,HWC30_gp063,HWC30_gp063,LAh6_63,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20200829,-
2591030,55617702,HWC30_gp067,HWC30_gp067,LAh6_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617703,HWC30_gp032,HWC30_gp032,LAh6_32,-,-,-,putative DUF4326 domain-containing protein,protein-coding,-,-,-,putative DUF4326 domain-containing protein,20210424,-
2591030,55617704,HWC30_gp097,HWC30_gp097,LAh6_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591030,55617705,HWC30_gp135,HWC30_gp135,LAh6_135,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210424,-
2591030,55617706,HWC30_gp081,HWC30_gp081,LAh6_81,-,-,-,"putative transcriptional regulator, Zn-ribbon, ATP-cone family",protein-coding,-,-,-,"putative transcriptional regulator, Zn-ribbon, ATP-cone family",20210424,-
2591030,55617707,HWC30_gp057,HWC30_gp057,LAh6_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617708,HWC30_gp029,HWC30_gp029,LAh6_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617709,HWC30_gp119,HWC30_gp119,LAh6_119,-,-,-,putative RNA ligase 2,protein-coding,-,-,-,putative RNA ligase 2,20210424,-
2591030,55617710,HWC30_gp050,HWC30_gp050,LAh6_50,-,-,-,putative NADAR family protein,protein-coding,-,-,-,putative NADAR family protein,20200829,-
2591030,55617711,HWC30_gp048,HWC30_gp048,LAh6_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617712,HWC30_gp100,HWC30_gp100,LAh6_100,-,-,-,putative nicotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinate phosphoribosyltransferase,20200829,-
2591030,55617713,HWC30_gp134,HWC30_gp134,LAh6_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617714,HWC30_gp041,HWC30_gp041,LAh6_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617715,HWC30_gp039,HWC30_gp039,LAh6_39,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20210424,-
2591030,55617716,HWC30_gp060,HWC30_gp060,LAh6_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617717,HWC30_gp054,HWC30_gp054,LAh6_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617718,HWC30_gp065,HWC30_gp065,LAh6_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617719,HWC30_gp004,HWC30_gp004,LAh6_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617720,HWC30_gp153,HWC30_gp153,LAh6_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617721,HWC30_gp125,HWC30_gp125,LAh6_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591030,55617722,HWC30_gp062,HWC30_gp062,LAh6_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617723,HWC30_gp066,HWC30_gp066,LAh6_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617724,HWC30_gp056,HWC30_gp056,LAh6_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617725,HWC30_gp055,HWC30_gp055,LAh6_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617726,HWC30_gp059,HWC30_gp059,LAh6_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617727,HWC30_gp145,HWC30_gp145,LAh6_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617728,HWC30_gp163,HWC30_gp163,LAh6_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617729,HWC30_gp003,HWC30_gp003,LAh6_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617730,HWC30_gp162,HWC30_gp162,LAh6_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617731,HWC30_gp002,HWC30_gp002,LAh6_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55617732,HWC30_gp006,HWC30_gp006,LAh6_6,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2591030,55617733,HWC30_gp001,HWC30_gp001,LAh6_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591030,55635996,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
