#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1541825,22277247,PI26_gp001,PI26_gp001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
1541825,22277286,PI26_gp038,PI26_gp038,-,-,-,-,mRNA degradation control protein,protein-coding,-,-,-,mRNA degradation control protein,20200629,-
1541825,22277287,PI26_gp039,PI26_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277288,PI26_gp040,PI26_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277289,PI26_gp041,PI26_gp041,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210327,-
1541825,22277290,PI26_gp042,PI26_gp042,-,-,-,-,head vertex assembly initiator,protein-coding,-,-,-,head vertex assembly initiator,20200629,-
1541825,22277291,PI26_gp043,PI26_gp043,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210424,-
1541825,22277292,PI26_gp044,PI26_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277293,PI26_gp045,PI26_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277294,PI26_gp046,PI26_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277295,PI26_gp047,PI26_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277296,PI26_gp048,PI26_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277297,PI26_gp049,PI26_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277298,PI26_gp050,PI26_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277299,PI26_gp051,PI26_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277300,PI26_gp052,PI26_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277301,PI26_gp053,PI26_gp053,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1541825,22277302,PI26_gp054,PI26_gp054,-,-,-,-,translational regulator,protein-coding,-,-,-,translational regulator,20200629,-
1541825,22277303,PI26_gp055,PI26_gp055,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200629,-
1541825,22277304,PI26_gp056,PI26_gp056,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200629,-
1541825,22277305,PI26_gp057,PI26_gp057,-,-,-,-,sliding clamp,protein-coding,-,-,-,sliding clamp,20200629,-
1541825,22277306,PI26_gp058,PI26_gp058,-,-,-,-,RNA polymerase-binding protein,protein-coding,-,-,-,RNA polymerase-binding protein,20200629,-
1541825,22277307,PI26_gp059,PI26_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277308,PI26_gp060,PI26_gp060,-,-,-,-,recombination subunit,protein-coding,-,-,-,recombination subunit,20200629,-
1541825,22277309,PI26_gp061,PI26_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1541825,22277310,PI26_gp062,PI26_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277311,PI26_gp063,PI26_gp063,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20200629,-
1541825,22277312,PI26_gp064,PI26_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277313,PI26_gp065,PI26_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277314,PI26_gp066,PI26_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277315,PI26_gp067,PI26_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277316,PI26_gp068,PI26_gp068,-,-,-,-,late sigma transcription factor,protein-coding,-,-,-,late sigma transcription factor,20200629,-
1541825,22277317,PI26_gp069,PI26_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277318,PI26_gp070,PI26_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277319,PI26_gp071,PI26_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277320,PI26_gp072,PI26_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1541825,22277321,PI26_gp073,PI26_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277322,PI26_gp074,PI26_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277323,PI26_gp075,PI26_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277324,PI26_gp076,PI26_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277325,PI26_gp077,PI26_gp077,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
1541825,22277326,PI26_gp078,PI26_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277327,PI26_gp079,PI26_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277328,PI26_gp080,PI26_gp080,-,-,-,-,small subunit anaerobic ribonucleotide reductase,protein-coding,-,-,-,small subunit anaerobic ribonucleotide reductase,20200629,-
1541825,22277329,PI26_gp081,PI26_gp081,-,-,-,-,large subunit anaerobic ribonucleotide reductase,protein-coding,-,-,-,large subunit anaerobic ribonucleotide reductase,20200629,-
1541825,22277330,PI26_gp082,PI26_gp082,-,-,-,-,Endo VII,protein-coding,-,-,-,Endo VII,20200629,-
1541825,22277331,PI26_gp083,PI26_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277332,PI26_gp084,PI26_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277333,PI26_gp085,PI26_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277334,PI26_gp086,PI26_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277335,PI26_gp087,PI26_gp087,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200926,-
1541825,22277336,PI26_gp088,PI26_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277337,PI26_gp089,PI26_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277338,PI26_gp090,PI26_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277339,PI26_gp091,PI26_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277340,PI26_gp092,PI26_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277341,PI26_gp093,PI26_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277342,PI26_gp094,PI26_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277343,PI26_gp095,PI26_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277344,PI26_gp096,PI26_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277345,PI26_gp097,PI26_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277346,PI26_gp098,PI26_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277347,PI26_gp099,PI26_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277348,PI26_gp100,PI26_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277349,PI26_gp101,PI26_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277350,PI26_gp102,PI26_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277351,PI26_gp103,PI26_gp103,-,-,-,-,lysis inhibition regulator,protein-coding,-,-,-,lysis inhibition regulator,20200629,-
1541825,22277352,PI26_gp104,PI26_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277353,PI26_gp105,PI26_gp105,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200629,-
1541825,22277354,PI26_gp106,PI26_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277355,PI26_gp107,PI26_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277356,PI26_gp108,PI26_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277357,PI26_gp109,PI26_gp109,-,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20200629,-
1541825,22277358,PI26_gp110,PI26_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277359,PI26_gp111,PI26_gp111,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210116,-
1541825,22277360,PI26_gp112,PI26_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277361,PI26_gp113,PI26_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277362,PI26_gp114,PI26_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277363,PI26_gp115,PI26_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277364,PI26_gp116,PI26_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277365,PI26_gp117,PI26_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277366,PI26_gp118,PI26_gp118,-,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20200629,-
1541825,22277367,PI26_gp119,PI26_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277368,PI26_gp120,PI26_gp120,-,-,-,-,bifunctional N-glycosylase and DNA endonuclease,protein-coding,-,-,-,bifunctional N-glycosylase and DNA endonuclease,20200629,-
1541825,22277369,PI26_gp121,PI26_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277370,PI26_gp122,PI26_gp122,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200629,-
1541825,22277371,PI26_gp123,PI26_gp123,-,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20200629,-
1541825,22277372,PI26_gp124,PI26_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277373,PI26_gp125,PI26_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277374,PI26_gp126,PI26_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277375,PI26_gp127,PI26_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277376,PI26_gp128,PI26_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277377,PI26_gp129,PI26_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277378,PI26_gp130,PI26_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277379,PI26_gp131,PI26_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277380,PI26_gp132,PI26_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277381,PI26_gp133,PI26_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277382,PI26_gp134,PI26_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277383,PI26_gp135,PI26_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277384,PI26_gp136,PI26_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277385,PI26_gp137,PI26_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277386,PI26_gp138,PI26_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277387,PI26_gp139,PI26_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277388,PI26_gp140,PI26_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277389,PI26_gp141,PI26_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277390,PI26_gt001,PI26_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1541825,22277391,PI26_gp266,PI26_gp266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277392,PI26_gp265,PI26_gp265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277393,PI26_gp264,PI26_gp264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277394,PI26_gp263,PI26_gp263,-,-,-,-,internal head protein 7,protein-coding,-,-,-,internal head protein 7,20200629,-
1541825,22277395,PI26_gp262,PI26_gp262,-,-,-,-,internal head protein 1,protein-coding,-,-,-,internal head protein 1,20200629,-
1541825,22277396,PI26_gp261,PI26_gp261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277397,PI26_gp260,PI26_gp260,-,-,-,-,tail fiber chaperone,protein-coding,-,-,-,tail fiber chaperone,20200629,-
1541825,22277398,PI26_gp259,PI26_gp259,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200629,-
1541825,22277399,PI26_gp258,PI26_gp258,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200629,-
1541825,22277400,PI26_gp257,PI26_gp257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277401,PI26_gp256,PI26_gp256,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200629,-
1541825,22277402,PI26_gp255,PI26_gp255,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1541825,22277403,PI26_gp254,PI26_gp254,-,-,-,-,baseplate hub subunit tail lysozyme,protein-coding,-,-,-,baseplate hub subunit tail lysozyme,20200629,-
1541825,22277404,PI26_gp253,PI26_gp253,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277405,PI26_gp252,PI26_gp252,-,-,-,-,baseplate hub needle,protein-coding,-,-,-,baseplate hub needle,20200629,-
1541825,22277406,PI26_gp251,PI26_gp251,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1541825,22277407,PI26_gp250,PI26_gp250,-,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200629,-
1541825,22277408,PI26_gp249,PI26_gp249,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1541825,22277409,PI26_gp248,PI26_gp248,-,-,-,-,baseplate wedge connector for long tail fiber,protein-coding,-,-,-,baseplate wedge connector for long tail fiber,20200629,-
1541825,22277410,PI26_gp247,PI26_gp247,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1541825,22277411,PI26_gp246,PI26_gp246,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1541825,22277412,PI26_gp245,PI26_gp245,-,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20200629,-
1541825,22277413,PI26_gp244,PI26_gp244,-,-,-,-,fibritin collar whiskers protein,protein-coding,-,-,-,fibritin collar whiskers protein,20200629,-
1541825,22277414,PI26_gp243,PI26_gp243,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1541825,22277415,PI26_gp242,PI26_gp242,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1541825,22277416,PI26_gp241,PI26_gp241,-,-,-,-,sheath completion,protein-coding,-,-,-,sheath completion,20200629,-
1541825,22277417,PI26_gp240,PI26_gp240,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1541825,22277418,PI26_gp239,PI26_gp239,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1541825,22277419,PI26_gp238,PI26_gp238,-,-,-,-,sheath protein,protein-coding,-,-,-,sheath protein,20200629,-
1541825,22277420,PI26_gp237,PI26_gp237,-,-,-,-,tail tube,protein-coding,-,-,-,tail tube,20200629,-
1541825,22277421,PI26_gp236,PI26_gp236,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1541825,22277422,PI26_gp235,PI26_gp235,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200629,-
1541825,22277423,PI26_gp234,PI26_gp234,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200629,-
1541825,22277424,PI26_gp233,PI26_gp233,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200629,-
1541825,22277425,PI26_gp232,PI26_gp232,-,-,-,-,head scaffolding protein,protein-coding,-,-,-,head scaffolding protein,20200629,-
1541825,22277426,PI26_gp231,PI26_gp231,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1541825,22277427,PI26_gp230,PI26_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277428,PI26_gp229,PI26_gp229,-,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20200629,-
1541825,22277429,PI26_gp228,PI26_gp228,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20200629,-
1541825,22277430,PI26_gp227,PI26_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277431,PI26_gp226,PI26_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1541825,22277432,PI26_gp225,PI26_gp225,-,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20200629,-
1541825,22277433,PI26_gp224,PI26_gp224,-,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200629,-
1541825,22277434,PI26_gp223,PI26_gp223,-,-,-,-,RNA-DNA helicase,protein-coding,-,-,-,RNA-DNA helicase,20200629,-
1541825,22277435,PI26_gp222,PI26_gp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277436,PI26_gp221,PI26_gp221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277437,PI26_gp220,PI26_gp220,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20210212,-
1541825,22277438,PI26_gp219,PI26_gp219,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1541825,22277439,PI26_gp218,PI26_gp218,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
1541825,22277440,PI26_gp217,PI26_gp217,-,-,-,-,baseplate hub assembly,protein-coding,-,-,-,baseplate hub assembly,20200629,-
1541825,22277441,PI26_gp216,PI26_gp216,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
1541825,22277442,PI26_gp215,PI26_gp215,-,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20200629,-
1541825,22277443,PI26_gp214,PI26_gp214,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1541825,22277444,PI26_gp213,PI26_gp213,-,-,-,-,baseplate tail tube junction,protein-coding,-,-,-,baseplate tail tube junction,20200629,-
1541825,22277445,PI26_gp212,PI26_gp212,-,-,-,-,baseplate tail tube junction,protein-coding,-,-,-,baseplate tail tube junction,20200629,-
1541825,22277446,PI26_gp211,PI26_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277447,PI26_gp210,PI26_gp210,-,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20200629,-
1541825,22277448,PI26_gp209,PI26_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277449,PI26_gp208,PI26_gp208,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
