#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034140,40232397,2,FGG61_gp02,MICROWOLF_2,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200909,-
1034140,40232431,35,FGG61_gp60,MICROWOLF_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1034140,40232432,36,FGG61_gp59,MICROWOLF_36,-,-,-,integrase,protein-coding,-,-,-,integrase,20200909,-
1034140,40232433,37,FGG61_gp58,MICROWOLF_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232434,38,FGG61_gp57,MICROWOLF_38,-,-,-,HTH DNA binding,protein-coding,-,-,-,HTH DNA binding,20210123,-
1034140,40232435,39,FGG61_gp56,MICROWOLF_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232436,40,FGG61_gp55,MICROWOLF_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232437,41,FGG61_gp54,MICROWOLF_41,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210417,-
1034140,40232438,42,FGG61_gp53,MICROWOLF_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232439,43,FGG61_gp52,MICROWOLF_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232440,44,FGG61_gp51,MICROWOLF_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232441,45,FGG61_gp50,MICROWOLF_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232442,46,FGG61_gp49,MICROWOLF_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232443,47,FGG61_gp48,MICROWOLF_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232444,48,FGG61_gp47,MICROWOLF_48,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
1034140,40232445,49,FGG61_gp46,MICROWOLF_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232446,50,FGG61_gp45,MICROWOLF_50,-,-,-,HTH DNA binding,protein-coding,-,-,-,HTH DNA binding,20200909,-
1034140,40232447,51,FGG61_gp44,MICROWOLF_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232448,52,FGG61_gp43,MICROWOLF_52,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210123,-
1034140,40232449,53,FGG61_gp42,MICROWOLF_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232450,54,FGG61_gp41,MICROWOLF_54,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200909,-
1034140,40232451,55,FGG61_gp40,MICROWOLF_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232452,56,FGG61_gp39,MICROWOLF_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232453,57,FGG61_gp38,MICROWOLF_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232454,58,FGG61_gp37,MICROWOLF_58,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20200912,-
1034140,40232455,59,FGG61_gp36,MICROWOLF_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232456,60,FGG61_gp35,MICROWOLF_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232457,61,FGG61_gp34,MICROWOLF_61,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1034140,40232458,62,FGG61_gp33,MICROWOLF_62,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210123,-
1034140,40232459,63,FGG61_gp32,MICROWOLF_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232460,65,FGG61_gp30,MICROWOLF_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1034140,40232461,66,FGG61_gp29,MICROWOLF_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232462,67,FGG61_gp28,MICROWOLF_67,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210212,-
1034140,40232463,68,FGG61_gp27,MICROWOLF_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232464,69,FGG61_gp26,MICROWOLF_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232465,70,FGG61_gp25,MICROWOLF_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232466,71,FGG61_gp24,MICROWOLF_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232467,72,FGG61_gp23,MICROWOLF_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232468,73,FGG61_gp22,MICROWOLF_73,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210123,-
1034140,40232469,74,FGG61_gp21,MICROWOLF_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232470,75,FGG61_gp20,MICROWOLF_75,-,-,-,repressor,protein-coding,-,-,-,repressor,20200909,-
1034140,40232471,76,FGG61_gp19,MICROWOLF_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232472,77,FGG61_gp18,MICROWOLF_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232473,78,FGG61_gp17,MICROWOLF_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232474,79,FGG61_gp16,MICROWOLF_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232475,80,FGG61_gp15,MICROWOLF_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232476,81,FGG61_gp14,MICROWOLF_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232477,82,FGG61_gp13,MICROWOLF_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232478,83,FGG61_gp12,MICROWOLF_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232479,84,FGG61_gp11,MICROWOLF_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232480,85,FGG61_gp10,MICROWOLF_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232481,86,FGG61_gp09,MICROWOLF_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232482,87,FGG61_gp08,MICROWOLF_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232483,88,FGG61_gp07,MICROWOLF_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232484,64,FGG61_gp31,MICROWOLF_64,-,-,-,esterase/lipase,protein-coding,-,-,-,esterase/lipase,20200912,-
1034140,40340365,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Microwolf; Mycobacterium phage Microwolf).,other,-,-,-,-,20200513,-
