#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1429912,17775989,3,X816_gp03,JOVO_3,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200622,-
1429912,17776006,21,X816_gp70,JOVO_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200622,-
1429912,17776007,22,X816_gp69,JOVO_22,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201026,-
1429912,17776008,20,X816_gp71,JOVO_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200622,-
1429912,17776009,23,X816_gp68,JOVO_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1429912,17776010,24,X816_gp67,JOVO_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1429912,17776011,25,X816_gp66,JOVO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776012,26,X816_gp65,JOVO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776013,27,X816_gp64,JOVO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776014,28,X816_gp63,JOVO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776015,29,X816_gp62,JOVO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776016,30,X816_gp61,JOVO_30,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20201026,-
1429912,17776017,31,X816_gp60,JOVO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776018,32,X816_gp59,JOVO_32,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200905,-
1429912,17776019,33,X816_gp58,JOVO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776020,34,X816_gp57,JOVO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776021,35,X816_gp56,JOVO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776022,36,X816_gp55,JOVO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776023,37,X816_gp54,JOVO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776024,38,X816_gp53,JOVO_38,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201026,-
1429912,17776025,39,X816_gp52,JOVO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776026,40,X816_gp51,JOVO_40,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201026,-
1429912,17776027,41,X816_gp50,JOVO_41,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200905,-
1429912,17776028,42,X816_gp49,JOVO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776029,43,X816_gp48,JOVO_43,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200622,-
1429912,17776030,44,X816_gp47,JOVO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776031,45,X816_gp46,JOVO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776032,46,X816_gp45,JOVO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776033,47,X816_gp44,JOVO_47,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200622,-
1429912,17776034,48,X816_gp43,JOVO_48,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200905,-
1429912,17776035,49,X816_gp42,JOVO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776036,50,X816_gp41,JOVO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776037,51,X816_gp40,JOVO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776038,52,X816_gp39,JOVO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776039,53,X816_gp38,JOVO_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
1429912,17776040,54,X816_gp37,JOVO_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
1429912,17776041,56,X816_gp35,JOVO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776042,57,X816_gp34,JOVO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776043,58,X816_gp33,JOVO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776044,59,X816_gp32,JOVO_59,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20200905,-
1429912,17776045,60,X816_gp31,JOVO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776046,61,X816_gp30,JOVO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776047,62,X816_gp29,JOVO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776048,63,X816_gp28,JOVO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776049,64,X816_gp27,JOVO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776050,65,X816_gp26,JOVO_65,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200905,-
1429912,17776051,66,X816_gp25,JOVO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776052,67,X816_gp24,JOVO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776053,68,X816_gp23,JOVO_68,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200905,-
1429912,17776054,69,X816_gp22,JOVO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776055,70,X816_gp21,JOVO_70,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200622,-
1429912,17776056,71,X816_gp20,JOVO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776057,72,X816_gp19,JOVO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776058,73,X816_gp18,JOVO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776059,74,X816_gp17,JOVO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776060,75,X816_gp16,JOVO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776061,76,X816_gp15,JOVO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776062,77,X816_gp14,JOVO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776063,78,X816_gp13,JOVO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776064,79,X816_gp12,JOVO_79,-,-,-,ArdA-like antirestriction protein,protein-coding,-,-,-,ArdA-like antirestriction protein,20201026,-
1429912,17776065,80,X816_gp11,JOVO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776066,81,X816_gp10,JOVO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776067,82,X816_gp09,JOVO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776068,83,X816_gp08,JOVO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776069,84,X816_gp07,JOVO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776070,85,X816_gp06,JOVO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776071,2,X816_gp02,JOVO_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776072,55,X816_gp36,JOVO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776073,1,X816_gp01,JOVO_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200905,-
1429912,17849514,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
