#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296661,26646066,AVV45_gp02,AVV45_gp02,ABOUO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1296661,26646132,AVV45_gp68,AVV45_gp68,ABOUO_68,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20200629,-
1296661,26646133,AVV45_gp69,AVV45_gp69,ABOUO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646134,AVV45_gp70,AVV45_gp70,ABOUO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646135,AVV45_gp71,AVV45_gp71,ABOUO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646136,AVV45_gp72,AVV45_gp72,ABOUO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646137,AVV45_gp73,AVV45_gp73,ABOUO_73,-,-,-,recombination protein U,protein-coding,-,-,-,recombination protein U,20200629,-
1296661,26646138,AVV45_gp74,AVV45_gp74,ABOUO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646139,AVV45_gp75,AVV45_gp75,ABOUO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646140,AVV45_gp76,AVV45_gp76,ABOUO_76,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200629,-
1296661,26646141,AVV45_gp77,AVV45_gp77,ABOUO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646142,AVV45_gp78,AVV45_gp78,ABOUO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646143,AVV45_gp79,AVV45_gp79,ABOUO_79,-,-,-,DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,DNA N-6-adenine-methyltransferase,20200629,-
1296661,26646144,AVV45_gp80,AVV45_gp80,ABOUO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646145,AVV45_gp81,AVV45_gp81,ABOUO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646146,AVV45_gp82,AVV45_gp82,ABOUO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646147,AVV45_gp83,AVV45_gp83,ABOUO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646148,AVV45_gp84,AVV45_gp84,ABOUO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646149,AVV45_gp85,AVV45_gp85,ABOUO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646150,AVV45_gp86,AVV45_gp86,ABOUO_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646151,AVV45_gp87,AVV45_gp87,ABOUO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646152,AVV45_gp88,AVV45_gp88,ABOUO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646153,AVV45_gp89,AVV45_gp89,ABOUO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646154,AVV45_gp90,AVV45_gp90,ABOUO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646155,AVV45_gp91,AVV45_gp91,ABOUO_91,-,-,-,RNA polymerase subunit sigma 24,protein-coding,-,-,-,RNA polymerase subunit sigma 24,20200629,-
1296661,26646156,AVV45_gp92,AVV45_gp92,ABOUO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646157,AVV45_gp93,AVV45_gp93,ABOUO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646158,AVV45_gp94,AVV45_gp94,ABOUO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646159,AVV45_gp01,AVV45_gp01,ABOUO_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1296661,26680564,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Paenibacillus phage Abouo).,other,-,-,-,-,20200513,-
