#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2201430,54993521,2,HOT44_gp02,PBI_SUZY_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2201430,54993536,17,HOT44_gp17,PBI_SUZY_17,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2201430,54993537,18,HOT44_gp18,PBI_SUZY_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993538,19,HOT44_gp19,PBI_SUZY_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210129,-
2201430,54993539,20,HOT44_gp20,PBI_SUZY_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2201430,54993540,21,HOT44_gp21,PBI_SUZY_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2201430,54993541,22,HOT44_gp22,PBI_SUZY_22,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210129,-
2201430,54993542,23,HOT44_gp23,PBI_SUZY_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2201430,54993543,24,HOT44_gp24,PBI_SUZY_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2201430,54993544,25,HOT44_gp25,PBI_SUZY_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2201430,54993545,26,HOT44_gp26,PBI_SUZY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993546,27,HOT44_gp27,PBI_SUZY_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2201430,54993547,28,HOT44_gp28,PBI_SUZY_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2201430,54993548,29,HOT44_gp29,PBI_SUZY_29,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210129,-
2201430,54993549,30,HOT44_gp30,PBI_SUZY_30,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2201430,54993550,31,HOT44_gp31,PBI_SUZY_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2201430,54993551,32,HOT44_gp32,PBI_SUZY_32,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2201430,54993552,33,HOT44_gp33,PBI_SUZY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993553,34,HOT44_gp34,PBI_SUZY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993554,35,HOT44_gp35,PBI_SUZY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993555,36,HOT44_gp36,PBI_SUZY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993556,37,HOT44_gp37,PBI_SUZY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201430,54993557,38,HOT44_gp38,PBI_SUZY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201430,54993558,39,HOT44_gp39,PBI_SUZY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993559,40,HOT44_gp40,PBI_SUZY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993560,41,HOT44_gp41,PBI_SUZY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993561,42,HOT44_gp42,PBI_SUZY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201430,54993562,43,HOT44_gp43,PBI_SUZY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993563,44,HOT44_gp44,PBI_SUZY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993564,45,HOT44_gp45,PBI_SUZY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993565,46,HOT44_gp46,PBI_SUZY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993566,47,HOT44_gp47,PBI_SUZY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993567,48,HOT44_gp48,PBI_SUZY_48,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
2201430,54993568,49,HOT44_gp49,PBI_SUZY_49,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210129,-
2201430,54993569,50,HOT44_gp50,PBI_SUZY_50,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
2201430,54993570,51,HOT44_gp51,PBI_SUZY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993571,52,HOT44_gp52,PBI_SUZY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993572,53,HOT44_gp53,PBI_SUZY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993573,54,HOT44_gp54,PBI_SUZY_54,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2201430,54993574,55,HOT44_gp55,PBI_SUZY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993575,56,HOT44_gp56,PBI_SUZY_56,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210129,-
2201430,54993576,57,HOT44_gp57,PBI_SUZY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993577,58,HOT44_gp58,PBI_SUZY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993578,59,HOT44_gp59,PBI_SUZY_59,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20210129,-
2201430,54993579,60,HOT44_gp60,PBI_SUZY_60,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
2201430,54993580,61,HOT44_gp61,PBI_SUZY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993581,62,HOT44_gp62,PBI_SUZY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993582,63,HOT44_gp63,PBI_SUZY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201430,54993583,64,HOT44_gp64,PBI_SUZY_64,-,-,-,DNA polymerase III alpha,protein-coding,-,-,-,DNA polymerase III alpha,20210129,-
2201430,54993584,65,HOT44_gp65,PBI_SUZY_65,-,-,-,DNA polymerase III alpha,protein-coding,-,-,-,DNA polymerase III alpha,20210129,-
2201430,54993585,66,HOT44_gp66,PBI_SUZY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993586,68,HOT44_gp68,PBI_SUZY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993587,69,HOT44_gp69,PBI_SUZY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993588,70,HOT44_gp70,PBI_SUZY_70,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210129,-
2201430,54993589,71,HOT44_gp71,PBI_SUZY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993590,72,HOT44_gp72,PBI_SUZY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993591,73,HOT44_gp73,PBI_SUZY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993592,74,HOT44_gp74,PBI_SUZY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993593,75,HOT44_gp75,PBI_SUZY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993594,76,HOT44_gp76,PBI_SUZY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993595,77,HOT44_gp77,PBI_SUZY_77,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
2201430,54993596,78,HOT44_gp78,PBI_SUZY_78,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2201430,54993597,79,HOT44_gp79,PBI_SUZY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993598,80,HOT44_gp80,PBI_SUZY_80,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
2201430,54993599,81,HOT44_gp81,PBI_SUZY_81,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210129,-
2201430,54993600,82,HOT44_gp82,PBI_SUZY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993601,83,HOT44_gp83,PBI_SUZY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993602,84,HOT44_gp84,PBI_SUZY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993603,85,HOT44_gp85,PBI_SUZY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993604,86,HOT44_gp86,PBI_SUZY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993605,87,HOT44_gp87,PBI_SUZY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993606,88,HOT44_gp88,PBI_SUZY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993607,89,HOT44_gp89,PBI_SUZY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993608,90,HOT44_gp90,PBI_SUZY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201430,54993609,91,HOT44_gp91,PBI_SUZY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993610,92,HOT44_gp92,PBI_SUZY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993611,93,HOT44_gp93,PBI_SUZY_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993612,94,HOT44_gp94,PBI_SUZY_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993613,95,HOT44_gp95,PBI_SUZY_95,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210129,-
2201430,54993614,96,HOT44_gp96,PBI_SUZY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993615,67,HOT44_gp67,PBI_SUZY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993616,1,HOT44_gp01,PBI_SUZY_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2201430,55153983,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
