#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074307,18562436,3,LINSTU_3,-,-,-,-,NrdC,protein-coding,-,-,-,NrdC,20200909,-
1074307,18562539,111,LINSTU_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562540,112,LINSTU_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562541,113,LINSTU_113,-,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20200909,-
1074307,18562542,114,LINSTU_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562543,115,LINSTU_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562544,116,LINSTU_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562545,117,LINSTU_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562546,118,LINSTU_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562547,119,LINSTU_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562548,120,LINSTU_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562549,121,LINSTU_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562550,122,LINSTU_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562551,123,LINSTU_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562552,124,LINSTU_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562553,125,LINSTU_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562554,126,LINSTU_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562555,127,LINSTU_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562556,129,LINSTU_129,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1074307,18562557,128,LINSTU_128,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1074307,18562558,131,LINSTU_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562559,130,LINSTU_130,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200909,-
1074307,18562560,132,LINSTU_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562561,133,LINSTU_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562562,134,LINSTU_134,-,-,-,-,NLP/P60 domain protein,protein-coding,-,-,-,NLP/P60 domain protein,20200909,-
1074307,18562563,135,LINSTU_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562564,136,LINSTU_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562565,137,LINSTU_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562566,138,LINSTU_138,-,-,-,-,baseplate J,protein-coding,-,-,-,baseplate J,20210417,-
1074307,18562567,139,LINSTU_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562568,140,LINSTU_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562569,141,LINSTU_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562570,142,LINSTU_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562571,143,LINSTU_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562572,144,LINSTU_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562573,145,LINSTU_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562574,146,LINSTU_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562575,147,LINSTU_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562576,148,LINSTU_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562577,149,LINSTU_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562578,150,LINSTU_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562579,151,LINSTU_151,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562580,152,LINSTU_152,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562581,153,LINSTU_153,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562582,156,LINSTU_156,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562583,157,LINSTU_157,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562584,158,LINSTU_158,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562585,159,LINSTU_159,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562586,160,LINSTU_160,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562587,161,LINSTU_161,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562588,162,LINSTU_162,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562589,163,LINSTU_163,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562590,164,LINSTU_164,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562591,165,LINSTU_165,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562592,166,LINSTU_166,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562593,167,LINSTU_167,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562594,168,LINSTU_168,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562595,169,LINSTU_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562596,170,LINSTU_170,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562597,171,LINSTU_171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1074307,18562598,172,LINSTU_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562599,173,LINSTU_173,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562600,174,LINSTU_174,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562601,175,LINSTU_175,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562602,176,LINSTU_176,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562603,177,LINSTU_177,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562604,179,LINSTU_179,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562605,180,LINSTU_180,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562606,182,LINSTU_182,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562607,183,LINSTU_183,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562608,184,LINSTU_184,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562609,185,LINSTU_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562610,187,LINSTU_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562611,188,LINSTU_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562612,189,LINSTU_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562613,190,LINSTU_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562614,191,LINSTU_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562615,192,LINSTU_192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562616,193,LINSTU_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562617,194,LINSTU_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562618,195,LINSTU_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562619,196,LINSTU_196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562620,197,LINSTU_197,-,-,-,-,ArgD,protein-coding,-,-,-,ArgD,20200909,-
1074307,18562621,198,LINSTU_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562622,199,LINSTU_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562623,200,LINSTU_200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562624,201,LINSTU_201,-,-,-,-,DnaC,protein-coding,-,-,-,DnaC,20210417,-
1074307,18562625,202,LINSTU_202,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20200909,-
1074307,18562626,203,LINSTU_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562627,204,LINSTU_204,-,-,-,-,primase,protein-coding,-,-,-,primase,20210417,-
1074307,18562628,205,LINSTU_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562629,206,LINSTU_206,-,-,-,-,J domain protein,protein-coding,-,-,-,J domain protein,20200909,-
1074307,18562630,207,LINSTU_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562631,208,LINSTU_208,-,-,-,-,DNA polymerase III alpha,protein-coding,-,-,-,DNA polymerase III alpha,20200909,-
1074307,18562632,209,LINSTU_209,-,-,-,-,RF1 domain protein,protein-coding,-,-,-,RF1 domain protein,20210417,-
1074307,18562633,210,LINSTU_210,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210417,-
1074307,18562634,211,LINSTU_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562635,212,LINSTU_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562636,213,LINSTU_213,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200909,-
1074307,18562637,214,LINSTU_214,-,-,-,-,RusA,protein-coding,-,-,-,RusA,20210212,-
1074307,18562638,215,LINSTU_215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562639,216,LINSTU_216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1074307,18562640,217,LINSTU_217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562641,218,LINSTU_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562642,219,LINSTU_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562643,220,LINSTU_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562644,221,LINSTU_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562645,222,LINSTU_222,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562646,223,LINSTU_223,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562647,224,LINSTU_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1074307,18562648,225,LINSTU_225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562649,226,LINSTU_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562650,227,LINSTU_227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562651,228,LINSTU_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562652,229,LINSTU_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562653,230,LINSTU_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562654,231,LINSTU_231,-,-,-,-,Ro protein,protein-coding,-,-,-,Ro protein,20200909,-
1074307,18562655,233,LINSTU_233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562656,234,LINSTU_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562657,235,LINSTU_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562658,236,LINSTU_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562659,237,LINSTU_237,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200909,-
1074307,18562660,238,LINSTU_238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562661,239,LINSTU_239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562662,240,LINSTU_240,-,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20200909,-
1074307,18562663,241,LINSTU_241,-,-,-,-,spread protein,protein-coding,-,-,-,spread protein,20200909,-
1074307,18562664,242,LINSTU_242,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200909,-
1074307,18562665,243,LINSTU_243,-,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20200909,-
1074307,18562666,244,LINSTU_244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562667,245,LINSTU_245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562668,246,LINSTU_246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562669,247,LINSTU_247,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
1074307,18562670,248,LINSTU_248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
